date,open,high,low,close,volume
2017-12-26,169.453,170.1177,168.3408,169.2248,33185536
2017-12-27,168.7585,169.4332,168.3716,169.2546,21498213
2017-12-28,169.6514,170.4947,169.1355,169.7308,16480187
2017-12-29,169.1752,169.2447,167.8855,167.8954,25999922
2018-01-02,168.818,170.9412,167.9251,170.9015,25555934
2018-01-03,171.1694,173.1734,170.6039,170.8717,29517899
2018-01-04,171.1793,172.1019,170.7229,171.6654,22434597
2018-01-05,172.0722,173.987,171.6853,173.6199,23660018
2018-01-08,172.975,174.2251,172.5583,172.975,20567766
2018-01-09,173.1734,173.6794,172.0424,172.9552,21583997
2018-01-10,171.7944,172.9254,171.6357,172.9155,23959895
2018-01-11,173.2131,174.1046,173.1139,173.8977,18667729
2018-01-12,174.7906,175.9613,174.2648,175.6934,25418080
2018-01-16,176.497,177.9753,174.7509,174.8005,29565947
2018-01-17,174.7608,177.8364,173.6893,177.6875,34386836
2018-01-18,177.9554,178.6797,176.8442,177.8463,31193352
2018-01-19,177.2014,178.1638,176.0109,177.0526,32425067
2018-01-22,175.9017,176.378,175.2088,175.6041,27108551
2018-01-23,175.9017,178.0249,175.4255,175.6438,32689146
2018-01-24,175.8521,175.9017,171.8341,172.846,51105090
2018-01-25,173.1288,173.5703,169.1851,169.7606,41529004
2018-01-26,170.6435,170.6435,168.7188,170.1574,39143011
2018-01-29,168.818,168.818,165.7524,166.6354,50640406
2018-01-30,164.2196,166.0501,163.4011,165.6532,46048185
2018-01-31,165.554,167.1133,165.1869,166.1096,32478930
2018-02-01,165.8467,167.2902,165.4449,166.4568,47230787
2018-02-02,164.6909,165.4845,158.8374,159.2342,86593825
2018-02-05,157.8453,162.5876,154.7697,155.2559,72738522
2018-02-06,153.6089,162.4288,152.7855,161.7443,68243838
2018-02-07,161.7988,162.1114,157.814,158.2818,51608580
2018-02-08,159.0259,159.7303,153.8074,153.9264,54390516
2018-02-09,156.4667,157.2835,149.6629,155.8092,70672608
2018-02-12,157.8912,163.2605,156.905,162.085,60819539
2018-02-13,161.3279,164.1172,161.0291,163.7088,32549163
2018-02-14,162.4187,166.8965,162.2544,166.7271,40644933
2018-02-15,169.1378,172.4252,168.3509,172.3255,51147171
2018-02-16,171.698,174.1485,171.1102,171.7677,40176091
2018-02-20,171.3892,173.5907,170.7616,171.1899,33930540
2018-02-21,172.1662,173.4512,170.3532,170.4129,37471623
2018-02-22,171.1401,173.2819,171.0505,171.8374,30991940
2018-02-23,173.0029,174.9753,172.8734,174.8259,33812360
2018-02-26,175.6726,178.701,175.5332,178.2826,38162174
2018-02-27,178.4121,179.7868,177.4757,177.7048,38928125
2018-02-28,178.5715,179.9213,177.3661,177.4358,37782138
2018-03-01,177.8542,179.0845,171.9968,174.3278,48801970
2018-03-02,172.1363,175.6228,171.7876,175.5332,38453950
2018-03-05,174.537,177.0573,173.8497,176.1408,28401366
2018-03-06,177.2266,177.5653,175.4535,175.9914,23788506
2018-03-07,174.2681,175.1746,173.6006,174.3577,31703462
2018-03-08,174.806,176.4397,174.3976,176.2604,23774107
2018-03-09,177.2765,179.3086,176.7086,179.2887,32185162
2018-03-12,179.5975,181.6894,179.5178,181.022,32207081
2018-03-13,181.8887,182.7952,178.5515,179.2787,31693529
2018-03-14,179.6274,179.8266,177.127,177.7546,29368356
2018-03-15,177.8144,179.5477,177.3861,177.9638,22743798
2018-03-16,177.9638,178.432,176.9378,177.3362,39404688
2018-03-19,176.6389,176.7883,172.993,174.6267,33446771
2018-03-20,174.5669,176.1209,174.2681,174.5669,19649350
2018-03-21,174.3677,174.4175,170.6022,170.6122,37054935
2018-03-22,169.347,172.0167,167.9524,168.2014,41490767
2018-03-23,167.7432,169.2673,164.3065,164.3065,41028784
2018-03-26,167.4244,172.4351,165.8007,172.1064,37541236
2018-03-27,173.0129,174.4772,166.2789,167.6934,40922579
2018-03-28,166.6076,169.367,164.5555,165.8406,41668545
2018-03-29,167.1605,171.0903,166.2589,167.1356,38398505
2018-04-02,167.2352,168.2911,163.8383,166.0398,37586791
2018-04-03,166.9961,168.0973,164.2467,167.7432,30278046
2018-04-04,164.2467,171.3493,164.1371,170.9508,34605489
2018-04-05,171.9171,173.5612,171.419,172.1363,26933197
2018-04-06,170.3133,171.8175,167.5539,167.7333,35005290
2018-04-09,169.2275,172.4252,169.1926,169.3968,29017718
2018-04-10,172.3355,173.3317,170.8712,172.5845,28614241
2018-04-11,171.5685,173.2552,171.0405,171.7777,22431640
2018-04-12,172.7439,174.3278,172.3754,173.4711,22889285
2018-04-13,174.1087,175.1646,173.1822,174.0589,25124255
2018-04-16,174.3578,175.5133,174.1586,175.1447,21578420
2018-04-17,175.8121,178.2492,175.7324,177.5554,26605442
2018-04-18,177.127,178.1332,176.2006,177.1569,20754538
