date,open,high,low,close,volume
2014-01-02,24.1458,24.8682,24.1362,24.4251,8998943
2014-01-03,24.8008,25.7639,24.5696,25.5617,13836062
2014-01-06,25.6387,26.1973,25.6194,26.0336,11272273
2014-01-07,26.1973,26.3897,25.6869,25.9132,11288775
2014-01-08,25.3979,26.6596,25.3787,26.6115,15736891
2014-01-09,27.199,28.5088,27.1605,28.3355,26056445
2014-01-10,27.9791,28.7304,27.6902,28.2681,12824160
2014-01-13,28.1043,28.4414,27.5265,27.5939,10591701
2014-01-14,27.6902,27.9695,27.6517,27.8058,10601529
2014-01-15,27.8347,28.3547,27.642,27.7769,11192558
2014-01-16,27.8732,28.3066,27.642,28.2584,7034698
2014-01-17,28.2199,28.9134,28.0957,28.9134,18304949
2014-01-21,29.5298,29.6646,29.0867,29.5298,10612821
2014-01-22,29.5779,30.0884,29.5201,30.0499,7583631
2014-01-23,29.5201,30.3003,29.4912,30.1943,11397447
2014-01-24,29.8765,30.0306,28.8074,29.2794,13699981
2014-01-27,29.2794,29.732,27.6131,29.0675,16288488
2014-01-28,29.2023,31.013,28.9134,30.7819,23966003
2014-01-29,31.0515,32.1688,30.9167,31.7643,22726800
2014-01-30,32.1302,32.9393,31.9761,32.554,13677012
2014-01-31,32.2073,32.8237,31.7835,32.3132,12795698
2014-02-03,32.6985,33.209,31.8317,32.7081,21743871
2014-02-04,32.7852,33.1126,32.3421,32.7948,11241908
2014-02-05,32.5733,32.7178,32.1688,32.554,15471546
2014-02-06,32.4673,33.6327,32.4577,33.3823,13924507
2014-02-07,33.5268,34.384,33.3727,34.3551,15411777
2014-02-10,34.7692,34.8174,34.0758,34.2684,11110235
2014-02-11,34.2684,34.3262,33.1223,33.835,11990875
2014-02-12,33.6038,33.7098,33.0934,33.4112,9386780
2014-02-13,32.8141,33.7483,32.8044,33.7339,8412272
2014-02-14,33.5653,33.8793,32.9585,33.1415,7307286
2014-02-18,33.4497,33.6616,32.9393,33.0452,7090152
2014-02-19,32.9874,33.7965,32.8526,33.3149,7259501
2014-02-20,33.1608,34.3545,33.1608,34.3455,9289448
2014-02-21,34.461,35.1063,34.4321,34.8367,7821334
2014-02-24,34.8656,35.3086,34.6922,35.299,7022370
2014-02-25,35.2797,35.7805,35.1641,35.6361,8991389
2014-02-26,35.7516,35.9057,35.2315,35.3953,10516864
2014-02-27,35.5205,35.5865,35.0004,35.2123,5666647
2014-02-28,34.7789,35.6168,34.7403,35.5686,7991349
2014-03-03,34.8367,35.0582,34.018,34.7692,9495177
2014-03-04,35.2219,36.0791,35.2219,35.9635,11742444
2014-03-05,36.2139,36.6281,36.1273,36.4644,8793959
2014-03-06,36.8689,37.8754,36.8689,37.3793,14008414
2014-03-07,37.7261,37.8416,36.7051,37.5816,10540431
2014-03-10,37.2734,38.4099,37.1289,37.5238,11415390
2014-03-11,37.2252,37.8128,36.551,36.6762,11311219
2014-03-12,36.5703,36.6762,35.8576,36.1753,9416584
2014-03-13,36.5029,36.5895,34.4321,35.3856,11743627
2014-03-14,34.6729,35.8093,34.3551,35.0004,7199813
2014-03-17,35.2701,36.3777,35.1834,36.3103,9240047
2014-03-18,36.3584,36.6377,35.7227,35.9732,5716947
