date,open,high,low,close,volume
2014-01-02,44.614,44.7938,44.1004,44.4942,4569061
2014-01-03,44.7253,45.0805,44.4835,44.7681,4794591
2014-01-06,45.1105,45.1105,42.825,43.1331,11871094
2014-01-07,43.5183,43.8351,43.0561,43.2187,9719873
2014-01-08,43.3386,43.7495,43.0005,43.1075,6813338
2014-01-09,43.3043,44.2117,42.688,43.8436,6960524
2014-01-10,43.8864,44.0747,43.4499,43.5697,5518662
2014-01-13,43.7078,43.7768,42.8277,42.9917,7055356
2014-01-14,43.0866,43.8976,42.8191,43.656,6610849
2014-01-15,43.6991,43.7164,43.1987,43.2332,4728401
2014-01-16,43.2246,43.6733,43.1556,43.5697,4972290
2014-01-17,43.6905,43.7078,43.147,43.1901,8606778
2014-01-21,43.3627,43.9321,43.0607,43.1383,5827366
2014-01-22,43.1211,43.1383,41.9477,42.3446,8181957
2014-01-23,42.0512,42.3273,41.7493,42.1634,7270503
2014-01-24,41.7752,42.3618,41.2144,41.2316,9203692
2014-01-27,41.2316,41.2661,40.0496,40.4034,10788733
2014-01-28,40.6191,41.8183,40.6191,41.1453,12298641
2014-01-29,40.6794,41.2748,40.5329,41.0763,7608549
2014-01-30,41.3869,42.172,41.3265,41.6803,7670930
2014-01-31,43.0866,43.6129,42.336,42.474,12894409
2014-02-03,42.6207,42.6983,40.6018,40.852,10315368
2014-02-04,40.7053,41.3869,40.5069,41.3697,9606123
2014-02-05,41.2057,41.4732,40.6838,41.1799,6987085
2014-02-06,41.3179,41.5681,40.9383,41.3524,4957804
2014-02-07,41.4128,42.2971,41.1195,42.1807,7003884
2014-02-10,42.0599,43.3023,42.034,42.7501,7907594
2014-02-11,42.6293,43.1103,42.3101,42.845,7220444
2014-02-12,42.8191,43.9407,42.7846,43.6215,6534491
2014-02-13,43.3972,43.587,43.0348,43.4403,5266042
2014-02-14,43.6215,43.9235,43.285,43.7682,4125072
2014-02-18,43.6905,44.4843,43.6215,44.398,4984888
2014-02-19,44.1478,44.7431,43.6905,44.165,5242787
2014-02-20,44.165,44.9588,43.7682,44.7431,6078933
2014-02-21,44.7086,44.838,44.0097,44.0356,5842724
2014-02-24,44.0097,44.4843,43.8544,43.8717,5704236
2014-02-25,43.9407,44.1133,43.5697,43.7595,5424996
2014-02-26,43.0952,43.9752,43.0779,43.7768,5710741
2014-02-27,43.656,43.9321,43.5438,43.9235,5052972
2014-02-28,43.8631,44.8294,43.5783,43.9235,7096343
2014-03-03,43.4317,43.8803,42.9572,43.216,6817656
2014-03-04,43.7682,44.6266,43.5956,44.5101,6198289
2014-03-05,44.5878,44.9674,44.2599,44.605,5251165
2014-03-06,44.8984,45.5282,44.838,44.8984,6529013
2014-03-07,45.0796,45.2953,44.0097,44.398,5860736
