date,open,high,low,close,volume
2014-01-02,34.4454,34.7257,34.364,34.572,4967472
2014-01-03,34.6986,35.0693,34.6081,34.9427,4301604
2014-01-06,35.4401,35.8923,35.3678,35.4039,10130748
2014-01-07,35.4763,35.5803,35.0332,35.1326,8329434
2014-01-08,35.1326,35.4672,35.0183,35.4492,6140715
2014-01-09,35.5125,35.5758,35.2412,35.5125,4996794
2014-01-10,35.5125,35.8357,35.3678,35.7838,6360581
2014-01-13,35.5655,36.0748,35.52,35.5655,12136003
2014-01-14,35.7383,35.9975,35.5291,35.9838,6570306
2014-01-15,36.0111,36.0293,35.6928,35.9475,5338689
2014-01-16,35.9475,36.0929,35.8383,35.9565,3716078
2014-01-17,36.2475,36.2475,35.6519,35.8292,7216431
2014-01-21,35.9384,35.9838,35.3382,35.5746,8230083
2014-01-22,34.5743,35.3473,33.5922,34.6198,12970242
2014-01-23,34.4652,34.4925,33.8468,34.0378,10207305
2014-01-24,33.8286,33.8286,33.2557,33.2648,9204891
2014-01-27,33.3557,33.4921,32.8556,33.0102,9128881
2014-01-28,33.2284,33.5285,32.992,33.0738,7608263
2014-01-29,32.9738,33.1921,32.4191,32.601,10405325
2014-01-30,32.9556,33.3012,32.8647,33.2193,9579843
2014-01-31,32.7646,33.5467,32.7101,33.3376,10845470
2014-02-03,33.2648,33.6013,32.5555,32.601,12232080
2014-02-04,32.6464,33.1375,32.601,32.9647,8237356
2014-02-05,32.8465,33.283,32.7192,33.0556,7597341
2014-02-06,33.1102,33.5831,33.0829,33.3285,9982322
2014-02-07,33.4376,33.8377,33.3285,33.8104,12044916
2014-02-10,33.8013,33.9405,33.6058,33.7922,11207267
2014-02-11,33.6877,34.5561,33.6877,34.5106,8645614
2014-02-12,34.4925,34.9017,34.457,34.7925,8793500
2014-02-13,34.6198,35.2882,34.6061,35.2109,7253281
2014-02-14,35.1745,35.4473,35.0563,35.2927,7269587
2014-02-18,35.4291,35.6383,35.2836,35.4018,6794100
2014-02-19,35.229,35.8019,35.1745,35.2472,7093216
2014-02-20,35.3018,35.5473,35.0381,35.42,8611905
2014-02-21,35.3564,35.8747,35.2745,35.3018,8335130
2014-02-24,35.3427,35.7838,35.3018,35.4473,8104555
2014-02-25,35.4564,35.9384,35.3836,35.6928,7952172
2014-02-26,35.7292,36.0657,35.4928,35.8201,8752550
2014-02-27,35.7838,36.2203,35.7656,36.1839,9189574
2014-02-28,36.0293,36.3567,35.8474,36.1748,8695830
2014-03-03,35.9202,36.0475,35.3136,35.7656,11006319
2014-03-04,36.1384,36.6659,36.0748,36.484,9460192
2014-03-05,36.8204,36.8204,36.1566,36.1839,8285234
2014-03-06,36.3021,36.584,36.1293,36.1293,6442012
2014-03-07,36.2294,36.3294,35.7565,35.9838,8630729
2014-03-10,35.9202,36.2748,35.8383,36.2112,5576312
2014-03-11,36.2384,36.5203,36.0566,36.1111,5117602
2014-03-12,35.8656,36.2748,35.8656,36.0657,6933032
2014-03-13,36.1384,36.2112,35.5564,35.6746,6964453
2014-03-14,35.6383,35.9384,35.3836,35.4382,7736046
2014-03-17,35.5109,35.9929,35.5019,35.9293,5768991
2014-03-18,35.9202,36.2703,35.902,36.1293,5534330
2014-03-19,36.1293,36.5749,35.7565,35.8747,8679052
2014-03-20,35.8838,36.0475,35.2654,35.3473,11396612
2014-03-21,35.6565,36.0111,34.8835,34.9108,21663062
2014-03-24,35.1563,35.1563,34.6743,34.9471,11078044
2014-03-25,35.0017,35.1927,34.6289,34.9199,8209588
2014-03-26,35.0563,35.5928,34.9108,35.0654,8174785
2014-03-27,35.0563,35.1833,34.6743,34.9653,7404067
2014-03-28,35.0835,35.4518,34.7471,34.838,6251371
2014-03-31,34.9926,35.0835,34.647,35.0199,8037950
2014-04-01,35.0017,35.3109,34.7653,34.9835,5632577
2014-04-02,34.6652,35.1381,34.6198,35.0835,6340897
2014-04-03,35.229,35.2381,34.8289,35.1472,6029613
2014-04-04,35.3473,35.9202,35.1017,35.129,7368242
2014-04-07,35.0654,35.32,34.638,34.7107,5893976
2014-04-08,34.738,34.738,34.1833,34.2105,9560130
2014-04-09,34.3015,34.4106,33.9605,34.2196,13694845
2014-04-10,34.3924,34.4652,33.765,33.8832,9788664
2014-04-11,33.8008,34.0753,33.5264,33.8649,10490437
2014-04-14,34.0112,34.5601,33.9472,34.5235,12726820
2014-04-15,34.5509,34.8162,34.0661,34.7339,10725609
2014-04-16,35.4474,35.5846,34.3588,35.109,10953743
2014-04-17,34.9992,35.6853,34.8894,35.6121,9825035
2014-04-21,35.5572,35.667,35.173,35.4108,6920345
2014-04-22,35.4474,35.5846,35.3011,35.3102,6220028
2014-04-23,35.4291,35.5115,35.237,35.3102,3557726
2014-04-24,35.3559,35.3559,34.8528,35.1547,4421332
2014-04-25,35.1181,35.1638,34.6607,34.7888,4232058
