date,open,high,low,close,volume
2014-01-02,44.3502,44.5562,43.9203,44.1353,2799092
2014-01-03,44.1263,44.592,44.0099,44.4308,1644748
2014-01-06,44.198,44.3323,44.0188,44.1801,2165027
2014-01-07,44.3234,44.5831,44.189,44.4129,1338520
2014-01-08,44.5204,44.6861,44.2248,44.5204,1201573
2014-01-09,44.2875,44.4487,44.0547,44.3502,2470916
2014-01-10,44.2696,44.4129,44.0099,44.3592,2072165
2014-01-13,44.0726,44.3771,43.58,43.7681,2989716
2014-01-14,43.8218,44.798,43.786,44.5204,2879927
2014-01-15,44.5562,45.0757,44.5383,44.798,2120659
2014-01-16,45.21,45.2279,44.5383,44.6189,2884984
2014-01-17,44.395,44.7264,44.0681,44.2248,3104289
2014-01-21,44.7353,44.8876,44.2965,44.7622,2228527
2014-01-22,44.6547,45.2637,44.5652,45.1115,1659902
2014-01-23,44.9771,45.0577,44.1801,44.2517,2236542
2014-01-24,44.2338,44.2338,43.177,43.2128,2691167
2014-01-27,43.2755,43.6293,43.0874,43.1859,1888315
2014-01-28,43.1412,43.6606,43.0874,43.4457,1777446
2014-01-29,43.2755,43.8039,43.0785,43.2307,1994091
2014-01-30,43.7681,43.992,43.3651,43.786,1385414
2014-01-31,43.2934,43.6427,43.0516,43.2307,1927519
2014-02-03,43.1949,43.3046,42.2187,42.3262,2892213
2014-02-04,42.7202,42.765,42.2993,42.7113,2333296
2014-02-05,42.4784,42.9979,42.3306,42.8546,2589428
2014-02-06,42.9979,43.5979,42.8635,43.3024,1797870
2014-02-07,43.5084,43.8576,43.2218,43.8576,1824652
2014-02-10,43.6875,44.1666,43.6606,44.0815,1458744
2014-02-11,44.1621,44.6816,44.0515,44.5562,1232444
2014-02-12,44.7443,44.9503,44.5293,44.6816,1802541
2014-02-13,44.5025,45.407,44.4487,45.3981,2124684
2014-02-14,45.1563,45.6668,45.0219,45.4697,2169706
2014-02-18,45.1742,45.9802,45.1742,45.8817,3937394
2014-02-19,46.4818,46.9116,46.0429,46.1862,4081149
2014-02-20,46.3205,46.4549,45.6847,46.034,3741305
