date,open,high,low,close,volume
2014-01-02,38.5148,38.5772,38.1316,38.3098,2753765
2014-01-03,38.4078,38.6574,38.2118,38.488,2275519
2014-01-06,38.693,38.8356,38.423,38.5683,4182854
2014-01-07,38.6485,38.6485,37.793,38.1851,4529507
2014-01-08,38.1049,38.2029,37.6147,37.7484,4462223
2014-01-09,37.8821,37.9266,37.1246,37.5702,4444284
2014-01-10,37.793,37.9266,37.3652,37.4098,5537331
2014-01-13,37.4365,37.5167,36.9286,37.0088,6368802
2014-01-14,37.187,37.7751,37.0444,37.7217,7294001
2014-01-15,37.8108,38.1583,37.5123,37.8286,4655968
2014-01-16,37.8821,37.989,36.737,36.7593,7134238
2014-01-17,36.8038,36.9197,36.483,36.5454,6667175
2014-01-21,36.786,36.9731,36.5457,36.8662,4209074
2014-01-22,36.9909,37.7395,36.9286,37.6504,5183242
2014-01-23,37.3474,37.4365,36.3761,36.3939,5519541
2014-01-24,36.18,36.3939,35.2265,35.2621,5756076
2014-01-27,35.5384,35.7968,35.0037,35.075,5665785
2014-01-28,35.173,35.7701,35.1374,35.7077,4097047
2014-01-29,35.3067,35.5117,34.7186,34.9502,5240790
2014-01-30,35.28,35.3691,34.9057,35.2087,3986996
2014-01-31,34.8344,35.4003,34.772,35.1819,4333981
2014-02-03,35.0037,35.4849,34.5492,34.674,7878336
2014-02-04,35.476,35.5028,33.9165,34.068,7340610
2014-02-05,34.5314,34.6027,33.7918,34.4512,8799086
2014-02-06,34.5938,34.9814,34.5225,34.8522,5759035
2014-02-07,35.2889,35.6275,34.8879,35.5473,6613964
2014-02-10,35.476,35.8681,35.2087,35.7434,6795746
2014-02-11,35.7523,36.1355,35.4315,36.1176,6510786
2014-02-12,36.0285,36.385,35.8948,36.2246,7035371
2014-02-13,36.0909,36.4474,35.8441,36.2424,3070860
2014-02-14,36.278,36.5097,36.0998,36.3404,3791431
2014-02-18,36.448,36.6721,36.2777,36.3314,4296040
2014-02-19,36.3046,36.3314,35.7577,35.8115,4449254
2014-02-20,35.8115,36.0894,35.7308,35.9639,3709568
2014-02-21,35.955,36.0087,35.659,35.8474,3919612
2014-02-24,35.946,36.4569,35.8474,35.9998,3499008
2014-02-25,36.0805,36.5287,35.9908,36.2059,3734077
2014-02-26,36.2956,36.4569,36.1029,36.2059,2649446
2014-02-27,36.1432,36.3404,35.6681,35.7577,5100116
