date,open,high,low,close,volume
2014-01-02,258.1555,258.3915,254.5552,258.0571,547808
2014-01-03,258.8047,261.0179,258.0768,259.3949,497953
2014-01-06,259.7392,259.7687,253.8666,254.0732,668902
2014-01-07,250.8271,251.1025,247.5603,251.0238,1290279
2014-01-08,251.8403,254.0339,250.8369,253.7781,832930
2014-01-09,254.9192,259.0113,254.6142,254.7421,611623
2014-01-10,254.7126,256.2963,252.942,254.0437,1020394
2014-01-13,252.7551,254.1519,245.5349,246.9121,657577
2014-01-14,248.24,251.6534,246.0858,251.6435,469624
2014-01-15,252.1649,254.3486,249.1598,249.3614,633993
2014-01-16,248.7712,252.2337,248.423,250.7976,523927
2014-01-17,251.1615,253.2764,249.2926,252.6961,530435
2014-01-21,253.9552,254.7795,249.8631,250.5713,598379
2014-01-22,250.4435,258.362,250.0746,257.6636,695324
2014-01-23,255.2241,259.0604,250.7091,251.7616,791424
2014-01-24,249.3024,250.7287,245.0431,245.6431,703860
2014-01-27,247.2367,247.2367,236.554,238.0098,1242535
2014-01-28,238.3541,242.3478,238.3541,241.8757,676323
2014-01-29,237.6655,244.5021,237.4147,240.951,734372
2014-01-30,244.2463,245.83,242.0134,244.8857,659021
2014-01-31,240.8231,243.361,235.0981,235.7474,1202146
2014-02-03,236.0818,239.7509,229.9437,231.8815,1719551
2014-02-04,232.2553,234.3014,231.5864,232.816,601412
2014-02-05,231.2913,233.5734,226.7615,230.3765,1069578
2014-02-06,234.6161,254.5473,233.7505,254.329,1937260
2014-02-07,255.7848,266.1773,254.8208,260.7524,1318192
2014-02-10,262.2967,263.6936,258.7555,263.6247,920983
2014-02-11,263.1427,270.9432,262.2672,269.4284,737794
2014-02-12,269.4185,273.786,268.6414,271.9859,720466
2014-02-13,271.0121,275.0747,268.4545,274.8386,686924
2014-02-14,274.8287,277.1994,272.0843,275.537,467132
2014-02-18,275.0255,279.393,274.9468,279.2946,488585
2014-02-19,279.9832,280.8685,275.4091,276.1075,402011
2014-02-20,278.0257,279.7865,274.701,279.5897,879894
2014-02-21,280.357,281.0357,277.7424,278.3306,688811
2014-02-24,275.4288,283.5146,274.0516,281.6259,649001
2014-02-25,280.8783,285.0491,279.6487,280.8193,589850
2014-02-26,282.4916,283.7408,279.5012,280.6226,679183
2014-02-27,277.9863,281.6063,276.1276,279.6291,633213
2014-02-28,280.0717,282.6981,277.4158,280.4554,649580
2014-03-03,276.7272,276.7322,269.5759,273.6582,758663
2014-03-04,277.3568,282.8358,277.0027,282.4424,525902
2014-03-05,280.839,281.685,277.406,279.3635,398384
2014-03-06,280.8685,282.0883,277.4256,281.4685,485718
2014-03-07,282.5899,283.8195,280.3176,283.0818,415475
2014-03-10,283.3572,284.5671,278.37,279.5602,489474
2014-03-11,280.6619,282.8875,278.4978,280.721,487074
2014-03-12,278.7044,281.3997,274.8386,281.2128,408161
