date,open,high,low,close,volume
2014-01-02,30.8707,30.922,30.374,30.4254,1394264
2014-01-03,30.511,30.5624,30.1556,30.3141,1206534
2014-01-06,30.5709,30.6737,30.3312,30.6223,2837469
2014-01-07,30.6651,31.0419,30.6651,31.0162,1653721
2014-01-08,30.9477,30.9906,30.6566,30.7765,1618538
2014-01-09,30.845,30.9049,30.708,30.8621,1226322
2014-01-10,30.9734,31.393,30.815,31.2731,2106624
2014-01-13,31.2046,31.316,30.8621,31.0248,1363681
2014-01-14,31.0419,31.2475,30.9649,31.0933,1419986
2014-01-15,31.0933,31.1704,30.7679,30.785,1351804
2014-01-16,30.785,30.9906,30.7337,30.9734,1056992
2014-01-17,30.9991,31.0419,30.8964,30.9563,826211
2014-01-21,31.1019,31.3887,31.0334,31.3759,913957
2014-01-22,31.4102,31.5472,31.2175,31.3673,1688209
2014-01-23,31.2303,31.3331,31.0248,31.2303,1414416
2014-01-24,31.1276,31.2903,30.7508,30.7508,1787601
2014-01-27,30.8193,31.1875,30.7251,31.0419,2037044
2014-01-28,31.0676,31.2988,30.9991,31.2817,1117442
2014-01-29,31.1961,31.4615,31.1104,31.3588,1613063
2014-01-30,31.4358,31.9325,31.3759,31.9068,1209620
2014-01-31,31.7441,32.4891,31.5557,32.4035,2720080
2014-02-03,32.4121,32.8317,32.1894,32.2494,3280628
2014-02-04,32.3692,32.3692,31.7698,31.8726,3733393
2014-02-05,31.8383,31.864,31.4615,31.6242,2168154
2014-02-06,31.6242,31.864,31.4958,31.8298,1439292
2014-02-07,31.9325,32.0867,31.8298,32.061,1227945
2014-02-10,31.9753,32.2579,31.6842,32.2579,1242770
2014-02-11,32.198,32.7032,32.1637,32.6604,1262525
2014-02-12,32.6261,32.7546,32.5148,32.5748,814512
2014-02-13,32.4806,32.883,32.4129,32.8745,1348998
2014-02-14,32.8317,33.0928,32.7546,33.08,824872
2014-02-18,33.1742,33.4225,33.1014,33.3026,1224367
2014-02-19,33.2084,33.3968,32.6775,32.7717,2191959
2014-02-20,32.9002,33.3069,32.7674,33.2341,2455370
2014-02-21,35.1095,36.1713,34.1847,35.0067,5257661
2014-02-24,35.0924,35.589,34.9896,35.0239,3494293
2014-02-25,34.63,35.0067,34.5785,34.6728,2362482
2014-02-26,34.7584,34.8269,34.4929,34.63,1246254
2014-02-27,34.6043,34.8526,34.2789,34.3816,1298536
2014-02-28,34.4501,34.7841,34.3893,34.6043,1146781
2014-03-03,34.5358,34.7712,34.3602,34.5614,1695607
2014-03-04,34.8526,35.1009,34.8183,35.0239,2014565
2014-03-05,34.9725,35.0067,34.6642,34.7584,1322173
2014-03-06,34.8012,34.8954,34.3902,34.5101,1072753
2014-03-07,34.5015,34.5786,33.9021,34.159,4070698
2014-03-10,34.133,34.3925,34.0898,34.2974,1649351
2014-03-11,34.306,34.3752,33.9946,34.2974,1317433
2014-03-12,34.2887,34.7731,34.2239,34.7645,1371236
2014-03-13,34.7904,35.3613,34.7299,35.3267,1988199
2014-03-14,35.3094,35.69,35.1905,35.5862,1635660
2014-03-17,35.6381,35.7333,35.3613,35.5862,1774406
2014-03-18,35.6035,35.7679,35.4804,35.5516,1768074
2014-03-19,35.5949,35.7073,34.7904,35.024,1355996
2014-03-20,34.4444,34.7645,34.1071,34.7126,2750655
2014-03-21,34.8769,35.2662,34.8077,35.0153,3326640
2014-03-24,35.0153,35.2402,34.7212,35.0759,1596315
2014-03-25,35.1278,35.197,34.8423,35.0413,1624715
2014-03-26,35.0759,35.3267,34.8077,34.825,1284042
2014-03-27,34.7991,35.0672,34.5915,35.0413,1264313
2014-03-28,35.0153,35.3181,34.9288,35.2921,1330678
2014-03-31,35.4651,35.8674,35.3095,35.6381,1350345
2014-04-01,35.5689,35.5776,35.037,35.2575,1451490
2014-04-02,35.3094,35.344,34.9807,35.0932,1502564
2014-04-03,35.0932,35.2619,34.8942,35.1105,1461452
2014-04-04,35.2056,35.4132,34.8856,34.9461,2144674
2014-04-07,34.9029,35.1278,34.3752,34.3925,3624531
2014-04-08,34.3925,34.8769,34.0898,34.8423,4015413
2014-04-09,34.8769,35.0067,34.2195,34.6261,3581969
2014-04-10,34.678,35.3181,34.5309,34.7472,3475586
2014-04-11,34.6866,35.0845,34.6693,35.0326,2576500
2014-04-14,35.1537,35.5084,35.0067,35.4392,2228014
2014-04-15,35.3959,36.1182,35.3959,36.1139,2542425
2014-04-16,36.1658,36.2609,35.8976,36.2436,1909458
2014-04-17,36.1571,36.2263,35.4392,35.4565,2180798
2014-04-21,35.4219,35.6208,34.9721,35.171,2007867
2014-04-22,35.2056,35.344,34.9894,35.1883,1829317
2014-04-23,35.2835,35.6987,35.2317,35.4911,2037021
2014-04-24,35.4997,35.8111,35.2402,35.5689,1808887
2014-04-25,35.6468,35.9495,35.5776,35.9149,1122413
2014-04-28,35.9063,36.0845,35.4738,35.716,2239257
2014-04-29,35.69,36.1139,35.5719,35.6987,2014804
2014-04-30,35.5603,35.9322,35.5603,35.7333,1824951
2014-05-01,35.8284,35.9997,35.4003,35.716,1413313
2014-05-02,35.5257,35.5603,34.6607,34.7731,1528963
2014-05-05,34.7558,35.2056,34.652,35.1364,1099341
2014-05-06,35.1278,35.2792,34.851,34.8856,1225679
2014-05-07,34.8077,35.5257,34.8077,35.4478,1634410
2014-05-08,35.6122,35.8544,34.7991,34.8596,2858196
2014-05-09,34.5223,34.851,33.96,34.0033,2914318
2014-05-12,34.0379,34.2628,33.5102,33.5189,2827144
2014-05-13,33.7005,33.8216,33.4583,33.5708,2362751
2014-05-14,33.6573,34.2368,33.5189,33.9687,2120441
2014-05-15,33.9427,34.1936,33.8476,34.0552,2514389
2014-05-16,34.0811,34.1244,33.64,33.9254,1986895
2014-05-19,33.8649,33.8822,33.3286,33.3372,1578006
2014-05-20,33.4064,33.5881,33.0604,33.2421,1626104
2014-05-21,33.2421,33.3199,32.8182,32.9134,2251356
2014-05-22,33.0172,33.64,32.9912,33.5016,2200845
2014-05-23,33.5794,33.6573,33.4064,33.4237,1194483
2014-05-27,33.6054,33.7524,33.4324,33.6573,1917667
2014-05-28,33.6746,33.9427,33.5794,33.8908,2005549
2014-05-29,33.7351,33.8562,33.4843,33.6573,2729778
2014-05-30,33.6746,34.0552,33.6313,34.0379,1576888
2014-06-02,34.0206,34.0379,33.7351,33.7697,1559560
2014-06-03,33.6573,34.0119,33.5967,34.0033,1526806
2014-06-04,34.0379,34.0379,33.7914,33.8908,1545802
2014-06-05,33.9341,34.2801,33.8562,34.2628,1443876
2014-06-06,34.2801,34.4531,33.9903,34.0552,1424140
2014-06-09,33.9591,34.3523,33.8018,34.0814,1550492
2014-06-10,34.0377,34.0552,33.6182,33.6445,1335261
2014-06-11,33.6882,33.7843,33.2687,33.2949,2116844
2014-06-12,33.3823,33.5396,32.9191,33.4435,1133935
2014-06-13,33.426,33.6969,33.225,33.5571,1251493
2014-06-16,33.5396,34.2212,33.5046,33.9154,1655829
2014-06-17,33.7581,33.9241,33.6357,33.793,950995
