date,open,high,low,close,volume
2014-01-02,12.4647,12.5077,12.1898,12.2586,3987216
2014-01-03,12.2671,12.3273,12.1211,12.1984,4104721
2014-01-06,12.3187,12.4089,12.1383,12.3187,5066996
2014-01-07,12.3359,12.7138,12.3359,12.5335,10596937
2014-01-08,12.4905,12.5506,12.207,12.2843,6992503
2014-01-09,12.3359,12.4905,12.2586,12.4218,5359464
2014-01-10,12.4561,12.6279,12.439,12.4819,4807694
2014-01-13,12.4132,12.4647,12.207,12.25,4807218
2014-01-14,12.2586,12.4132,12.1812,12.4046,4268264
2014-01-15,12.4089,12.4304,12.2242,12.2843,5268524
2014-01-16,12.2671,12.3445,12.1812,12.2929,4247117
2014-01-17,12.3359,12.4046,12.2586,12.2843,3437874
2014-01-21,12.4218,12.4991,12.2671,12.396,4683758
2014-01-22,12.396,12.5335,12.3616,12.4304,3384088
2014-01-23,12.3273,12.3702,12.0782,12.1898,5266322
2014-01-24,12.1383,12.1383,11.6315,11.7861,12327830
2014-01-27,11.7861,11.8119,11.5284,11.7174,8703468
2014-01-28,11.7259,12.0008,11.7002,12.0008,5337019
2014-01-29,11.8548,11.9923,11.7517,11.8119,7127289
2014-01-30,11.8981,12.0446,11.8377,12.0274,3184882
2014-01-31,11.8808,12.1567,11.8205,12.1222,7542430
2014-02-03,12.1222,12.2602,11.7946,11.8205,5421188
2014-02-04,11.8636,11.9757,11.7429,11.9239,4359531
2014-02-05,11.8463,12.0015,11.7084,11.9326,3564278
2014-02-06,11.9412,12.0619,11.8894,12.036,3388811
2014-02-07,12.0705,12.1567,12.0015,12.1222,3536772
2014-02-10,12.0877,12.1653,11.911,12.1136,3095277
2014-02-11,12.1136,12.493,12.0964,12.355,4940391
2014-02-12,12.355,12.3809,12.2171,12.3378,4655921
2014-02-13,12.2516,12.5878,12.2429,12.493,3640580
2014-02-14,12.4499,12.6051,12.4326,12.6051,3029407
2014-02-18,12.6309,12.881,12.6051,12.7258,4366118
2014-02-19,12.6482,12.7689,12.3809,12.424,6897518
2014-02-20,12.3895,12.7258,12.3895,12.5188,5707346
2014-02-21,12.5275,12.743,12.4628,12.6137,4392938
2014-02-24,12.6051,12.6525,12.2688,12.3033,9062735
2014-02-25,12.2947,12.4068,12.1998,12.3205,4971934
2014-02-26,12.2171,12.3895,12.0877,12.2171,9411177
2014-02-27,12.1395,12.1524,11.8463,11.8808,10287967
2014-02-28,11.8981,11.9498,11.6998,11.7687,9209560
2014-03-03,11.7084,12.0188,11.6825,11.9498,7896503
2014-03-04,11.9843,12.1481,11.967,12.0274,5669372
2014-03-05,11.9929,12.1136,11.9627,12.105,4721744
2014-03-06,12.105,12.1912,11.9929,12.0619,5778843
2014-03-07,12.0619,12.1222,11.9498,12.1136,6189757
2014-03-10,12.0964,12.0964,11.9326,11.9326,5844276
2014-03-11,11.9412,11.9584,11.6739,11.7343,5951736
2014-03-12,11.6739,11.9412,11.661,11.9326,3456290
2014-03-13,11.9326,12.0188,11.8808,11.9326,3937780
2014-03-14,11.8981,12.0533,11.8894,11.9067,3308431
2014-03-17,11.9412,12.0619,11.8894,11.9929,2971359
2014-03-18,12.0188,12.1481,12.0058,12.0877,3010462
2014-03-19,12.1222,12.174,11.8722,11.9239,4115485
2014-03-20,11.9153,12.0705,11.8118,12.0446,4092260
2014-03-21,12.1826,12.2171,11.967,11.9757,6004511
2014-03-24,12.0188,12.0921,11.855,11.9584,4508759
2014-03-25,11.9929,12.0619,11.9326,12.0101,3997914
2014-03-26,12.0446,12.0921,11.8291,11.8377,4108651
2014-03-27,11.8636,12.1222,11.855,12.0877,4550130
2014-03-28,12.1567,12.3378,12.1309,12.3205,5876034
2014-03-31,12.4154,12.4499,12.2257,12.3119,6983281
2014-04-01,12.355,12.3981,12.2731,12.3378,4790721
2014-04-02,12.355,12.4671,12.2602,12.286,5591510
2014-04-03,12.3205,12.424,12.2602,12.286,4360034
2014-04-04,12.3723,12.6223,12.3205,12.355,7403745
2014-04-07,12.3464,12.4326,12.2257,12.2343,4954002
2014-04-08,12.2171,12.5016,12.1567,12.3981,3593109
2014-04-09,12.4068,12.5016,12.2257,12.3292,8194826
2014-04-10,12.3292,12.5706,12.3205,12.4412,5899452
2014-04-11,12.3981,12.4757,12.161,12.1998,5218358
2014-04-14,12.2602,12.3981,12.1826,12.3378,3608336
2014-04-15,12.3378,12.4585,12.1912,12.355,4484947
2014-04-16,12.424,12.4585,12.2171,12.3723,5563492
2014-04-17,12.355,12.4585,12.23,12.2947,2902545
2014-04-21,12.3205,12.3809,12.1481,12.1912,3692360
2014-04-22,12.1912,12.2343,12.0791,12.1912,5337768
2014-04-23,12.2257,12.4068,12.2171,12.3119,3170830
2014-04-24,12.355,12.5878,12.3033,12.5102,4101326
2014-04-25,12.5102,12.5619,12.355,12.4499,4162674
2014-04-28,12.5102,12.5361,12.3464,12.3723,6122205
2014-04-29,12.4242,12.4761,12.2035,12.3896,5542213
2014-04-30,12.3982,12.5193,12.2857,12.502,5784952
2014-05-01,12.5107,12.7789,12.4761,12.7443,4599407
2014-05-02,12.7097,12.7183,12.3723,12.3982,3412001
2014-05-05,12.3636,12.3939,12.2684,12.3636,3291914
2014-05-06,12.3636,12.4155,12.2598,12.2771,4358460
2014-05-07,12.329,12.528,12.303,12.5193,4398430
2014-05-08,12.1127,12.4847,12.0608,12.1819,8089125
2014-05-09,12.156,12.3377,12.0694,12.1473,4777409
2014-05-12,12.1819,12.2598,12.0694,12.1214,3575769
2014-05-13,12.1646,12.2511,12.1127,12.1906,2415238
2014-05-14,12.2165,12.3809,12.1646,12.2684,3653181
2014-05-15,12.2684,12.3203,12.1819,12.2857,3564887
2014-05-16,12.303,12.3723,12.1819,12.303,3805990
2014-05-19,12.2511,12.2857,12.0435,12.1127,4078112
2014-05-20,12.0954,12.1473,11.9137,11.9656,3368006
2014-05-21,11.9743,12.0608,11.7234,11.7493,9295660
2014-05-22,11.732,11.9007,11.6109,11.8358,10871615
2014-05-23,11.8618,12.0002,11.7493,11.7753,5683540
2014-05-27,11.9397,12.0089,11.8748,11.9137,4676469
2014-05-28,11.9051,12.0348,11.7926,12.0002,4513117
2014-05-29,11.9916,12.0824,11.9397,12.0781,7454678
2014-05-30,12.0608,12.2079,11.9224,12.1992,7938082
2014-06-02,12.1906,12.2684,12.1127,12.1992,3711959
2014-06-03,12.1473,12.3203,12.1214,12.2771,4228522
2014-06-04,12.2944,12.329,12.0781,12.0867,7115395
2014-06-05,12.1214,12.4242,12.1214,12.355,6039096
2014-06-06,12.3896,12.5886,12.3809,12.5107,5089220
2014-06-09,12.528,12.5799,12.4501,12.4501,6111522
2014-06-10,12.4328,12.5107,12.3506,12.3636,4897296
2014-06-11,12.3463,12.4501,12.2641,12.3117,5185716
2014-06-12,12.329,12.355,12.1906,12.2598,6047731
2014-06-13,12.2598,12.3982,12.1819,12.2857,4804565
2014-06-16,12.2598,12.4934,12.2425,12.4847,5347467
2014-06-17,12.4501,12.6102,12.3809,12.5972,7051853
2014-06-18,12.5713,13.0125,12.554,13.0038,8997213
2014-06-19,13.0298,13.2375,13.0297,13.1596,6715751
2014-06-20,13.2115,13.3153,13.1336,13.2028,6356485
2014-06-23,13.1855,13.2548,13.1509,13.2202,4479413
2014-06-24,13.1942,13.3283,13.1163,13.1509,7075744
2014-06-25,13.1423,13.2721,12.9865,13.2548,8561874
2014-06-26,13.298,13.4667,13.1336,13.3672,7025387
2014-06-27,13.3499,13.5316,13.3326,13.4364,8856071
2014-06-30,13.4105,13.5403,13.2634,13.4537,5983153
2014-07-01,13.4711,13.5316,13.2894,13.4711,5599392
2014-07-02,13.4624,13.5013,13.2807,13.3586,7359409
2014-07-03,13.298,13.4191,13.1899,13.3759,3206071
2014-07-07,13.3586,13.4537,13.3326,13.3586,6598487
2014-07-08,13.3499,13.4624,13.298,13.4018,4499886
2014-07-09,13.4364,13.4624,13.2331,13.3067,5461577
2014-07-10,13.2807,13.4624,13.2461,13.4364,3493690
2014-07-11,13.3759,13.4018,13.2548,13.3326,4120645
2014-07-14,13.3759,13.3759,13.1077,13.1423,6047024
2014-07-15,13.1682,13.2461,13.0038,13.1077,4675452
2014-07-16,13.1855,13.2028,13.0644,13.1942,4559369
2014-07-17,13.0817,13.1726,12.9952,13.1423,3200350
2014-07-18,13.0817,13.1726,12.9952,13.1423,3200350
2014-07-21,13.1163,13.1596,12.9779,13.1077,2544010
2014-07-22,13.1855,13.2677,13.1033,13.1682,3580355
2014-07-23,13.1596,13.1769,13.0731,13.1509,2454621
2014-07-24,13.1855,13.2461,13.0514,13.2202,3098002
2014-07-25,13.1682,13.2375,13.0385,13.0558,3256282
2014-07-28,13.0298,13.1336,12.9,12.9692,3273381
2014-07-29,13.1596,13.2288,13.0558,13.0644,2436290
2014-07-30,13.0731,13.1773,12.9429,13.0123,3273381
2014-07-31,12.9255,13.008,12.6564,12.6825,3893012
2014-08-01,12.7432,12.8561,12.5175,12.8561,6018001
2014-08-04,12.7432,12.8561,12.5175,12.8561,6018001
2014-08-05,12.7953,12.8561,12.5262,12.587,4224662
2014-08-06,12.5088,12.5392,12.3613,12.4654,6789614
2014-08-07,12.1616,12.5392,12.1616,12.4915,4431196
2014-08-08,12.5349,12.804,12.5175,12.804,4125804
2014-08-11,12.8127,12.9429,12.6174,12.6391,4825159
2014-08-12,12.6391,12.7519,12.587,12.6651,3826928
2014-08-13,12.6651,12.8387,12.6651,12.7432,3471420
2014-08-14,12.7432,12.9602,12.7432,12.9429,2037672
2014-08-15,12.9689,13.0123,12.7736,12.8561,2811966
2014-08-18,12.8995,13.0123,12.7866,12.804,2504454
2014-08-19,12.8561,12.9516,12.804,12.9342,2418395
2014-08-20,12.8908,13.0905,12.8387,13.0644,4216108
2014-08-21,13.0731,13.2033,13.047,13.0818,2241146
2014-08-22,13.047,13.0991,12.9125,13.0384,2929473
2014-08-25,13.1252,13.1686,13.0123,13.1599,1898430
2014-08-26,13.1773,13.1773,13.0384,13.047,2702399
2014-08-27,13.0731,13.1078,12.995,13.0557,2335671
2014-08-28,13.0123,13.1165,12.9776,13.1078,1851526
2014-08-29,13.1078,13.1946,13.047,13.1773,1828527
2014-09-02,13.1686,13.2033,12.9082,12.9776,3803670
2014-09-03,12.9863,13.0123,12.6043,12.6391,6911257
2014-09-04,12.6477,12.7693,12.5696,12.7432,4481834
2014-09-05,12.7432,12.9255,12.6911,12.9255,3000026
2014-09-08,12.8821,13.0384,12.8648,12.9689,3945130
2014-09-09,12.9255,12.9299,12.7779,12.7953,3119977
2014-09-10,12.804,12.8561,12.5436,12.5696,4106315
2014-09-11,12.5696,12.6477,12.5349,12.6043,4485172
2014-09-12,12.5609,12.626,12.4568,12.5088,3701787
