date,open,high,low,close,volume
2014-01-02,29.9692,29.998,29.6004,29.6678,3829314
2014-01-03,29.7218,29.9287,29.7061,29.7533,2558246
2014-01-06,29.7758,29.8095,28.9302,29.1821,8488358
2014-01-07,29.2495,29.4744,29.1758,29.2765,3826204
2014-01-08,29.227,29.3125,28.9707,29.0696,3452748
2014-01-09,29.0966,29.1686,28.8267,28.9077,4623882
2014-01-10,29.0471,29.353,28.8312,29.3125,3674302
2014-01-13,29.1596,29.2405,28.7863,28.8312,4819512
2014-01-14,28.9617,29.1506,28.8852,29.1011,3555654
2014-01-15,29.1056,29.2855,29.0923,29.2091,4039716
2014-01-16,29.1416,29.3035,29.0336,29.1596,3316630
2014-01-17,29.1506,29.4474,29.0651,29.1056,4288810
2014-01-21,29.2001,29.362,28.9707,29.1596,4355154
2014-01-22,29.1731,29.2315,28.8987,28.9662,2792188
2014-01-23,28.8762,28.9212,28.4534,28.5884,4045826
2014-01-24,28.4669,28.6108,28.0171,28.0171,6403174
2014-01-27,27.9676,28.1431,27.5898,27.7922,5636612
2014-01-28,27.8147,28.1273,27.8147,28.0891,3576454
2014-01-29,27.7697,28.2695,27.7652,27.9407,4996390
2014-01-30,28.1341,28.4939,28.0891,28.4264,3148034
2014-01-31,27.9946,28.4939,27.8957,28.2375,4406832
2014-02-03,28.2735,28.3005,27.2975,27.311,6068782
2014-02-04,27.4279,27.7248,27.3514,27.6483,4874030
2014-02-05,27.8417,28.0261,27.19,27.7787,5432392
2014-02-06,27.7068,27.8867,27.6033,27.7652,4344104
2014-02-07,27.7832,28.242,27.6528,28.1925,4660262
2014-02-10,28.1161,28.3365,27.9542,28.0801,3747950
2014-02-11,28.0756,28.1656,27.7922,28.0711,4699954
2014-02-12,28.2023,28.4829,28.1888,28.3924,3235898
2014-02-13,28.1345,28.424,28.053,28.4105,2606822
2014-02-14,28.3562,28.6186,28.3516,28.5643,2982876
2014-02-18,28.5462,28.5734,28.4331,28.5191,2779636
2014-02-19,28.3878,28.7996,28.234,28.2521,3171446
2014-02-20,28.3109,28.5326,28.2069,28.4693,3059820
2014-02-21,28.4919,28.5055,28.1118,28.1978,4744528
2014-02-24,28.1707,28.4512,28.1707,28.1888,3762434
2014-02-25,28.2023,28.4331,28.1209,28.2883,3655454
2014-02-26,28.4059,28.501,28.2386,28.3245,2960830
2014-02-27,28.2792,28.6865,28.2747,28.6774,3060982
2014-02-28,28.6819,29.1751,28.6774,28.9941,5069476
2014-03-03,28.6729,29.0937,28.5055,28.967,4238484
2014-03-04,29.2204,29.5371,29.157,29.4692,4276438
2014-03-05,29.3968,29.4511,29.2249,29.4149,2856812
2014-03-06,29.4602,29.6909,29.4511,29.51,2712516
2014-03-07,29.6683,29.8656,29.5416,29.6864,2731122
2014-03-10,29.6909,29.8086,29.5009,29.6548,2187956
2014-03-11,29.709,29.709,29.2883,29.3878,3019402
2014-03-12,29.234,29.433,29.1842,29.3606,2013180
2014-03-13,29.4466,29.5009,28.9697,29.0394,3055566
2014-03-14,28.9896,29.2249,28.9127,29.0077,2366334
2014-03-17,29.157,29.234,28.8041,28.8765,3528670
2014-03-18,28.967,29.2204,28.9489,29.0982,2210476
2014-03-19,29.1118,29.1616,28.5055,28.6684,4302514
2014-03-20,28.6096,28.7996,28.4783,28.6005,5772192
2014-03-21,28.6638,28.7498,28.4738,28.4964,11588100
2014-03-24,28.6096,28.7272,28.3652,28.3652,4403124
2014-03-25,28.5326,28.6819,28.4376,28.4783,3706550
2014-03-26,28.6729,28.7046,28.3607,28.3743,3984728
2014-03-27,28.3516,28.3743,28.0983,28.1752,3138004
2014-03-28,28.2612,28.5734,28.2114,28.3516,2470134
2014-03-31,28.5326,28.605,28.415,28.5236,3534364
2014-04-01,28.7181,28.786,28.51,28.6503,3366272
2014-04-02,28.5236,28.8856,28.4738,28.7136,2624218
