date,open,high,low,close,volume
2014-01-02,163.6893,166.9958,162.969,164.3936,1268722
2014-01-03,163.8752,164.9904,162.76,164.3643,615628
2014-01-06,165.8317,167.7392,163.3714,164.2762,962130
2014-01-07,165.8708,168.737,165.5088,166.2034,1188998
2014-01-08,166.3795,173.9207,165.8121,173.2565,2326319
2014-01-09,175.7315,179.1553,173.8658,176.0249,1697753
2014-01-10,180.3781,182.677,176.878,179.3314,1568218
2014-01-13,179.6738,180.7694,176.9934,177.3456,1216893
2014-01-14,178.5292,182.9118,178.3825,181.9531,1763214
2014-01-15,181.9531,182.2857,177.3358,177.8445,1891990
2014-01-16,177.2575,177.8445,175.6923,176.788,1625903
2014-01-17,177.2869,180.2509,177.238,179.2923,1465797
2014-01-21,181.9531,182.09,179.5955,181.7966,1631493
2014-01-22,181.9531,185.6508,180.9748,181.3661,1878713
2014-01-23,182.1292,182.6066,177.3945,179.1847,1662088
2014-01-24,177.3945,178.9792,172.5042,173.3348,2099569
2014-01-27,173.9706,176.2988,171.1337,174.8119,1993912
2014-01-28,176.0738,180.5346,175.2131,180.1531,1826930
2014-01-29,179.0966,179.8303,176.0836,176.8271,1746665
2014-01-30,180.7596,183.9291,179.5466,182.6281,2050938
2014-01-31,179.3118,187.0106,179.1455,184.8682,2292802
2014-02-03,185.8661,186.1302,177.5627,178.1086,2203931
2014-02-04,181.0531,182.1292,177.3368,181.0335,1766202
2014-02-05,181.1509,181.4689,176.7684,179.8205,1469795
2014-02-06,179.9477,180.5933,177.8934,178.8814,1742769
2014-02-07,179.6151,184.8584,179.0184,184.115,1843001
2014-02-10,184.0759,184.79,182.2563,184.653,1129746
2014-02-11,184.9465,187.6073,183.2639,187.0889,1813520
2014-02-12,188.5464,189.0062,185.0972,185.8367,1105860
2014-02-13,185.69,187.6855,183.1857,187.4606,1117230
2014-02-14,187.7638,188.1336,186.453,187.7052,763671
2014-02-18,200.5788,204.2045,197.0278,197.0865,14968326
2014-02-19,200.9701,208.4732,199.1604,205.9787,8786861
2014-02-20,206.8494,217.4046,205.9102,215.5753,5883445
2014-02-21,213.2471,214.4894,209.0211,213.6579,4371786
2014-02-24,213.0123,218.7888,213.0123,217.5318,3213521
2014-02-25,217.1698,221.4936,216.5633,220.1045,3425110
2014-02-26,220.9654,225.749,220.2317,222.3154,3644118
2014-02-27,221.973,224.311,220.5447,222.2078,2087238
2014-02-28,222.6578,222.7556,214.8807,216.0155,3718542
2014-03-03,208.3656,214.6459,207.7298,214.059,2821722
2014-03-04,217.6785,222.4425,217.5415,221.2002,2535315
2014-03-05,222.1197,222.4425,218.8573,219.6643,1520188
2014-03-06,220.0654,220.5447,209.2265,209.295,4153983
2014-03-07,210.8993,211.3884,201.9875,208.5417,4897543
2014-03-10,205.0005,208.1113,201.9973,204.1396,3255276
2014-03-11,204.4233,209.9602,202.5451,205.5287,2607220
2014-03-12,205.7342,208.6493,202.9866,207.7591,1946898
2014-03-13,208.395,212.484,205.606,206.3113,2387109
2014-03-14,205.7635,211.2514,204.5309,209.8526,2166427
2014-03-17,211.2612,214.3036,208.4635,209.5395,1761206
2014-03-18,209.8819,216.2894,209.6276,213.922,2168525
2014-03-19,214.1862,215.8688,210.0189,211.7699,1393464
2014-03-20,211.8677,213.971,209.52,211.0265,1609190
2014-03-21,210.9873,211.183,204.2668,204.8146,3911261
2014-03-24,204.5211,205.7342,197.2137,201.8016,3941037
2014-03-25,203.2005,208.0232,200.5593,201.7821,2690527
2014-03-26,202.6527,205.1472,198.4952,198.5245,2296696
