date,open,high,low,close,volume
2014-01-02,47.3007,47.7569,46.9842,47.2077,9198092
2014-01-03,47.1704,47.6917,47.1146,47.4032,7278160
2014-01-06,47.9896,48.0176,46.9935,47.0308,9265551
2014-01-07,47.1704,47.8221,47.1146,47.6731,9061225
2014-01-08,47.6917,48.3434,47.4962,48.2317,9961929
2014-01-09,48.2968,48.6762,48.1339,48.511,8166238
2014-01-10,48.6041,48.7251,48.106,48.6134,8604554
2014-01-13,48.4737,48.8461,47.85,47.9059,9261657
2014-01-14,48.092,48.3713,47.7848,48.1851,5627333
2014-01-15,48.4272,48.7251,47.4776,48.511,5928551
2014-01-16,48.4737,48.5017,47.7755,47.9431,6214107
2014-01-17,47.85,47.9896,47.2914,47.3752,7157654
2014-01-21,47.6359,47.8686,46.7143,47.0866,8217208
2014-01-22,47.2914,47.5428,46.6491,46.8167,9961375
2014-01-23,46.5653,46.5653,45.3458,45.8113,10800159
2014-01-24,45.411,45.7554,44.5452,44.5545,11887094
2014-01-27,44.7034,45.2341,43.577,44.0239,17883575
2014-01-28,45.2061,45.7368,44.7779,45.1131,13386026
2014-01-29,44.7965,45.1782,44.4986,44.6383,9848863
2014-01-30,45.1037,45.6995,45.0898,45.504,7205104
2014-01-31,44.6941,45.2341,44.4707,44.6476,12708183
2014-02-03,44.6848,44.9082,43.5654,43.6422,12990791
2014-02-04,43.6329,44.7686,43.6142,44.3311,9051128
2014-02-05,44.0145,44.5778,43.7725,44.3497,8656435
2014-02-06,44.5173,44.9455,44.2752,44.4242,9027114
2014-02-07,44.8245,45.6623,44.345,45.6251,9392492
2014-02-10,45.6344,45.8578,45.262,45.504,5929047
2014-02-11,45.5227,45.9043,44.9269,45.6158,10561394
2014-02-12,45.8485,46.286,45.4575,45.653,10451578
2014-02-13,45.383,46.3046,44.9641,46.165,12011762
2014-02-14,45.5227,45.8299,44.6848,45.5971,26915401
2014-02-18,45.7554,46.947,45.6158,46.7049,14943961
2014-02-19,46.5095,46.7608,45.7833,45.8485,10268663
2014-02-20,45.8019,46.0533,45.532,45.8206,9828599
2014-02-21,45.8299,45.895,45.5971,45.5971,10727605
