date,open,high,low,close,volume
2014-01-02,22.3463,22.5534,22.1393,22.355,844901
2014-01-03,22.3204,22.5189,22.2428,22.355,1206160
2014-01-06,22.3377,22.493,22.1134,22.3895,2265323
2014-01-07,22.4326,22.5189,22.2946,22.2946,856180
2014-01-08,22.2514,22.26,22.0185,22.2169,1577353
2014-01-09,22.3032,22.3463,22.0789,22.191,1764406
2014-01-10,22.2514,22.9373,22.2255,22.7863,1605744
2014-01-13,22.7173,22.8295,22.6483,22.6828,1214445
2014-01-14,22.7605,23.1746,22.7605,23.0279,1657734
2014-01-15,22.9934,23.1574,22.9934,23.0538,1297036
2014-01-16,23.0711,23.2091,23.002,23.2005,1295605
2014-01-17,23.2609,23.4852,23.1142,23.4076,1521685
2014-01-21,23.4766,23.6621,23.3644,23.4421,889281
2014-01-22,23.5197,23.675,23.468,23.5801,868319
2014-01-23,23.4852,23.5456,23.2609,23.3385,953154
2014-01-24,23.304,23.3213,23.0452,23.0624,1650201
2014-01-27,23.0797,23.1919,22.8165,22.9589,1453653
2014-01-28,22.9934,23.3644,22.9417,23.3644,1170529
2014-01-29,23.2177,23.5974,23.1875,23.5629,2388455
2014-01-30,23.6664,24.21,23.5801,24.0115,2345285
2014-01-31,23.7699,24.2445,23.7268,24.1323,2206964
2014-02-03,24.1582,24.2013,23.8648,23.9166,1906350
2014-02-04,24.0201,24.2445,23.8109,24.1754,2354804
2014-02-05,24.1151,24.4688,23.9856,24.4688,2057515
2014-02-06,24.4688,24.8225,24.4515,24.8053,2194416
2014-02-07,24.581,25.5214,24.1496,25.4696,3284126
2014-02-10,25.5128,26.1685,25.4438,26.0218,3352561
2014-02-11,26.0305,26.5395,25.8838,26.0305,3293976
2014-02-12,25.9086,26.1175,25.6997,25.8912,2315459
2014-02-13,25.7781,26.1958,25.7172,26.1001,1892740
2014-02-14,26.013,26.0914,25.8129,25.8825,1888353
2014-02-18,25.8912,25.9695,25.7824,25.9173,2088077
2014-02-19,25.8216,26.1349,25.7694,25.8999,3067399
2014-02-20,25.8216,26.013,25.3951,25.4822,1808889
2014-02-21,25.5083,25.8042,25.2994,25.6475,1518881
