date,open,high,low,close,volume
2014-01-02,40.7852,40.9774,40.2783,40.3307,483694
2014-01-03,40.2958,40.4968,40.2434,40.3395,282512
2014-01-06,40.4531,40.558,40.0992,40.3045,638713
2014-01-07,40.8027,41.4231,40.8027,41.3794,1152069
2014-01-08,41.3095,41.313,40.8726,41.2483,766911
2014-01-09,41.3095,41.93,41.2658,41.93,849441
2014-01-10,42.0086,42.3058,41.4493,41.9999,901975
2014-01-13,41.8076,41.9562,41.4581,41.6591,894610
2014-01-14,41.7814,42.2621,41.6503,42.2446,724706
2014-01-15,42.2446,42.5767,42.1048,42.5679,815558
2014-01-16,42.4369,42.6379,42.3145,42.6291,697711
2014-01-17,42.6204,42.6816,42.297,42.3932,419410
2014-01-21,42.7078,42.8738,42.3932,42.8301,696449
2014-01-22,42.8476,43.2234,42.7427,43.1622,637951
2014-01-23,43.0224,43.101,42.2446,42.332,737309
2014-01-24,42.2359,42.3145,41.292,41.292,938858
2014-01-27,41.3183,41.4231,40.5929,40.6017,996618
2014-01-28,41.091,41.5542,40.925,41.4581,1417737
2014-01-29,39.3258,41.362,39.0199,41.0736,1096334
2014-01-30,41.3008,41.3008,40.4793,40.6803,836974
2014-01-31,40.2521,40.6104,39.8326,40.4007,719144
2014-02-03,40.2696,40.4793,38.7752,38.7839,1116636
2014-02-04,38.8451,39.0286,38.4693,38.8713,965618
2014-02-05,38.8014,39.2034,38.6336,39.0985,680990
2014-02-06,39.1859,39.3694,38.915,38.9587,726443
2014-02-07,39.1073,39.6229,39.0636,39.6054,460648
2014-02-10,39.5442,39.6578,39.3694,39.5442,550994
2014-02-11,39.5442,40.1123,39.4568,39.9287,339713
2014-02-12,39.9025,40.0249,39.4481,39.553,650851
2014-02-13,39.3258,39.8851,39.3004,39.8588,427287
2014-02-14,39.7977,39.9899,39.5879,39.8588,325928
2014-02-18,39.8151,40.2171,39.6141,39.9987,387558
2014-02-19,39.8414,40.1123,39.754,39.8588,480206
2014-02-20,39.8326,40.3133,39.7365,40.2521,346741
2014-02-21,40.2259,40.3918,39.9899,40.0511,389001
2014-02-24,40.0511,40.2434,39.7277,39.7277,645259
2014-02-25,39.7452,40.0249,39.553,39.8676,437938
2014-02-26,39.9812,40.156,39.7277,39.8938,624912
2014-02-27,39.8763,40.2434,39.5967,40.1647,443645
2014-02-28,40.1999,40.7725,40.1999,40.6932,631353
2014-03-03,40.3233,40.658,40.1045,40.6139,542429
2014-03-04,40.9574,41.3626,40.7372,41.3362,543623
2014-03-05,41.2921,41.3327,41.0561,41.2569,338825
2014-03-06,41.3626,41.6445,41.1547,41.5916,382768
2014-03-07,41.759,41.8559,41.3274,41.4331,462448
2014-03-10,41.3802,41.6709,41.3275,41.6268,625808
2014-03-11,41.6709,41.7766,41.3274,41.389,355235
2014-03-12,41.1776,41.4595,41.1336,41.2833,478780
2014-03-13,41.3714,41.3714,40.7196,40.8341,604512
2014-03-14,40.8253,41.2393,40.8253,40.9134,446584
2014-03-17,41.0279,41.4859,40.9662,41.3802,467641
2014-03-18,41.4683,41.6268,41.3274,41.5828,562772
2014-03-19,41.4243,41.5828,40.9839,41.1776,396457
2014-03-20,41.1072,41.4066,40.9839,41.4066,595642
2014-03-21,41.7237,42.0672,41.3802,41.4419,1973920
2014-03-24,41.6621,41.8911,41.3802,41.4859,537123
2014-03-25,41.574,41.9704,41.3274,41.5035,432510
2014-03-26,41.7237,41.8294,41.3978,41.4243,774406
2014-03-27,43.4941,43.4941,40.9927,41.1336,285294
2014-03-28,41.2041,41.5388,41.116,41.2921,248859
2014-03-31,41.6533,41.9527,41.4947,41.9087,422299
2014-04-01,41.8999,42.1817,41.6973,42.1817,522729
2014-04-02,42.3403,42.5693,42.1465,42.4636,889562
2014-04-03,42.49,42.6089,42.2126,42.2786,648737
2014-04-04,42.3667,42.402,41.16,41.2569,902715
2014-04-07,41.0719,41.1952,39.1518,39.3632,1800108
2014-04-08,39.3808,39.5481,38.315,38.3943,1660206
2014-04-09,38.3414,39.2663,37.8482,39.002,2427092
2014-04-10,39.0989,39.2046,38.1407,38.4559,2808005
2014-04-11,38.13,39.5305,38.1036,39.0901,16607121
2014-04-14,39.372,39.5481,39.0549,39.4072,2156553
2014-04-15,39.645,39.874,38.8259,39.6538,2091843
2014-04-16,39.8917,39.9841,39.5129,39.874,1516530
2014-04-17,39.8917,39.8917,39.6098,39.786,1613479
2014-04-21,39.7507,39.9709,39.416,39.8036,1569508
2014-04-22,39.9269,40.0546,39.6362,39.6715,1353819
2014-04-23,39.6803,39.8564,39.4953,39.5922,852579
2014-04-24,39.6715,39.8124,39.2134,39.3456,1292803
2014-04-25,39.2222,39.3191,38.8787,39.1782,1270074
2014-04-28,39.4072,39.6538,38.958,39.3191,1196905
2014-04-29,39.3279,39.5834,39.1562,39.2487,1810827
2014-04-30,39.1782,39.7507,39.002,39.6538,2261773
2014-05-01,39.7331,40.0766,39.4865,39.7067,1130052
2014-05-02,39.6626,39.8432,39.2399,39.3279,766515
2014-05-05,39.2222,39.6362,38.8787,39.416,586389
2014-05-06,39.3191,39.372,39.0461,39.0813,682189
2014-05-07,39.1077,39.3808,38.914,39.3191,1033825
2014-05-08,39.3191,39.9005,39.2663,39.6715,2015688
2014-05-09,39.6186,40.0238,39.5129,40.0062,942440
2014-05-12,40.1823,40.517,40.0326,40.3937,838829
2014-05-13,40.4113,40.4994,40.1779,40.1999,663707
