date,open,high,low,close,volume
2014-01-02,59.0759,59.281,58.3489,58.8522,548782
2014-01-03,58.9454,59.0386,58.5167,58.9547,401958
2014-01-06,59.0666,59.0666,58.1485,58.8243,842709
2014-01-07,59.2157,59.6165,58.6285,59.2251,662702
2014-01-08,59.3183,60.4927,59.3183,60.4647,1125584
2014-01-09,61.0986,61.8722,60.5859,61.3595,1037277
2014-01-10,61.3968,61.9934,60.9727,61.9747,929820
2014-01-13,61.7883,62.04,61.0333,61.285,744783
2014-01-14,61.3502,62.0959,61.0519,62.0866,535699
2014-01-15,62.1052,62.739,62.1052,62.2077,444446
2014-01-16,62.1611,62.3196,61.6671,61.8629,341972
2014-01-17,61.8815,61.8815,61.2756,61.518,382047
2014-01-21,61.6951,61.9747,61.4341,61.6578,420286
2014-01-22,62.0213,62.2357,61.518,61.7976,254542
2014-01-23,61.4528,61.7417,60.791,61.0706,389808
2014-01-24,60.8562,60.8562,58.9361,59.0107,762293
2014-01-27,58.9734,59.8123,58.4048,59.2717,549975
2014-01-28,59.3649,59.4487,58.319,58.9081,717080
2014-01-29,59.4954,62.012,58.9361,60.8189,1609990
2014-01-30,60.8376,61.1824,59.8169,60.2317,723350
2014-01-31,59.7097,60.6791,59.6631,59.8216,647180
2014-02-03,60.1012,60.1609,57.9294,58.004,1334759
2014-02-04,58.8895,58.8895,57.6778,57.9854,1088240
2014-02-05,57.8828,58.3582,56.783,58.2464,820424
2014-02-06,58.3023,58.759,58.0693,58.6099,409591
2014-02-07,58.8149,59.253,58.5633,59.1691,337881
2014-02-10,58.8615,59.761,58.8615,59.3835,356295
2014-02-11,59.281,60.0733,59.1505,59.747,377209
2014-02-12,59.7284,60.2037,59.7284,60.0919,451525
2014-02-13,59.8029,60.6512,59.281,60.4088,392483
2014-02-14,60.4647,61.0333,60.2037,60.8282,245603
2014-02-18,60.9494,60.9494,59.9522,60.1012,451474
2014-02-19,60.1199,60.7257,59.994,60.036,749261
2014-02-20,60.0733,60.3529,59.9869,60.0639,553600
2014-02-21,60.1944,60.4368,59.486,59.5699,666916
2014-02-24,59.5792,59.775,59.2717,59.5047,513940
2014-02-25,59.6445,60.269,59.2717,59.9148,481058
2014-02-26,61.2011,61.2011,59.9521,61.1079,565936
2014-02-27,60.9401,61.2125,60.6465,61.1265,274266
2014-02-28,61.0426,61.9561,60.9121,61.5087,380741
2014-03-03,60.8003,61.751,60.735,61.2756,729633
2014-03-04,61.6765,62.6831,61.3782,61.5553,1408251
2014-03-05,61.6112,61.8722,61.2104,61.5553,365264
2014-03-06,61.6858,62.4128,61.6746,62.0586,245716
2014-03-07,62.245,62.4408,61.6951,62.0306,404993
2014-03-10,61.7976,62.1705,61.0986,61.49,467254
2014-03-11,61.0147,61.6159,61.0053,61.0892,479517
2014-03-12,60.6914,61.0378,60.5042,60.8506,615620
2014-03-13,60.8786,61.2367,60.0175,60.0924,606819
2014-03-14,59.9426,60.654,59.381,59.4652,603231
2014-03-17,59.9707,60.3825,59.5401,60.2328,460869
2014-03-18,60.4106,60.6727,60.0737,60.6166,437728
2014-03-19,60.6634,60.9067,59.9801,60.186,241195
2014-03-20,60.1673,60.317,59.5869,59.9801,690811
2014-03-21,60.3077,61.0658,60.083,60.5229,1080706
2014-03-24,60.6821,61.2811,60.0549,60.2983,643451
2014-03-25,61.0003,61.2998,60.4855,60.7008,336128
2014-03-26,60.888,61.335,60.2328,60.2421,420543
2014-03-27,60.3638,60.9442,60.2328,60.7382,498042
2014-03-28,60.7289,61.1126,60.551,60.9348,351357
2014-03-31,61.3092,62.3669,61.0565,62.1703,510898
2014-04-01,62.3295,62.5915,61.6649,62.1984,475294
2014-04-02,62.4043,62.7881,61.8802,62.6384,329415
2014-04-03,62.732,63.1812,62.3669,62.526,444509
2014-04-04,62.9285,62.9285,61.3747,61.8802,546030
