date,open,high,low,close,volume
2014-01-02,34.235,34.5151,33.8709,34.165,900234
2014-01-03,34.6832,34.9727,34.4778,34.7906,1615220
2014-01-06,35.1361,35.2948,34.4778,34.5618,1437232
2014-01-07,34.7346,34.9306,34.291,34.5431,1223636
2014-01-08,34.4825,35.4208,34.4451,35.3882,1672628
2014-01-09,35.7196,37.4424,35.7196,36.1305,2613614
2014-01-10,36.0138,37.1109,35.9484,36.9195,1499486
2014-01-13,37.0969,37.2043,35.827,36.1585,1524496
2014-01-14,36.3126,37.1062,36.1725,37.0595,1403368
2014-01-15,37.0549,37.1856,36.4246,36.7561,1523550
2014-01-16,36.6767,37.1856,36.5413,36.9615,802204
2014-01-17,37.0175,37.1856,36.5787,36.6534,1021366
2014-01-21,37.2416,37.8999,37.0175,37.377,2652026
2014-01-22,37.4097,38.2547,37.3723,38.222,2289038
2014-01-23,38.2827,38.2827,36.9101,37.9793,2202566
2014-01-24,37.8158,38.3201,37.0082,37.1856,2207342
2014-01-27,37.1762,37.3653,35.6872,36.7888,1733234
2014-01-28,36.6954,37.7318,36.6954,37.1296,1393616
2014-01-29,36.686,37.1762,35.6776,35.827,1200452
2014-01-30,36.2799,36.6814,35.8882,36.3592,756532
2014-01-31,36.6674,37.349,36.462,36.9148,1762696
2014-02-03,36.6954,36.8681,34.8559,34.87,2608304
2014-02-04,34.7112,35.4395,33.9035,35.3041,2251658
2014-02-05,35.08,35.3975,34.7626,35.0614,1373492
2014-02-06,35.094,36.2005,35.094,35.6403,1637896
2014-02-07,35.7477,36.3732,35.7337,36.3312,1639122
2014-02-10,36.3732,36.4153,35.3181,35.813,1459134
2014-02-11,36.0184,36.3546,35.2061,36.1865,1683208
2014-02-12,36.1865,36.588,35.8364,36.5273,1463840
2014-02-13,35.9227,37.5824,35.9227,37.0969,2090030
2014-02-14,37.1622,38.2827,36.9782,38.0446,1917692
2014-02-18,37.8719,38.2314,36.8214,36.8728,1722782
2014-02-19,36.6907,37.0409,36.5275,36.574,1010784
