date,open,high,low,close,volume
2014-01-02,16.4733,16.4733,16.1754,16.343,7785873
2014-01-03,16.3337,16.4827,16.2685,16.3057,6773030
2014-01-06,16.2964,16.3057,16.0357,16.1009,9975530
2014-01-07,16.1754,16.2312,16.0683,16.1754,8133172
2014-01-08,16.2033,16.2498,15.9984,16.2219,8026062
2014-01-09,16.2219,16.2964,16.1288,16.2033,8837992
2014-01-10,16.1754,16.3057,16.1381,16.2685,7970117
2014-01-13,16.194,16.2964,16.0636,16.1288,9143081
2014-01-14,16.1474,16.5199,16.1102,16.4175,12187626
2014-01-15,16.5013,16.8365,16.4733,16.6968,11834844
2014-01-16,16.641,16.6549,16.3988,16.4175,6960778
2014-01-17,16.3523,16.4639,16.2173,16.343,9461179
2014-01-21,16.4082,16.4733,16.2685,16.3988,5754123
2014-01-22,16.4733,16.5013,16.3523,16.4454,5772319
2014-01-23,16.3057,16.3523,16.2033,16.3243,8232195
2014-01-24,16.0636,16.2219,15.896,15.9891,19772861
2014-01-27,15.9519,16.0264,15.4956,15.5701,15409329
2014-01-28,15.5328,15.6725,15.4211,15.598,9867558
2014-01-29,15.5328,15.6725,15.4769,15.5794,8983473
2014-01-30,15.7563,15.761,15.5328,15.6259,10336297
2014-01-31,15.2814,15.6911,15.2721,15.6632,20152221
2014-02-03,15.4583,15.6725,15.4117,15.6073,24873416
2014-02-04,15.6259,15.6911,15.5049,15.6259,18624348
2014-02-05,15.5421,15.7935,15.4956,15.7284,16304007
2014-02-06,15.747,15.9984,15.719,15.8774,7924097
2014-02-07,15.896,16.045,15.7703,15.9984,12585895
2014-02-10,16.017,16.1055,15.9332,16.0636,7728615
2014-02-11,16.1474,16.7341,16.017,16.5572,23056910
2014-02-12,16.5665,16.8458,16.5339,16.6782,18143691
2014-02-13,16.5665,17.6932,16.5106,17.5722,31649491
2014-02-14,17.5254,17.8718,17.31,17.7501,22151782
2014-02-18,17.6752,17.7501,17.516,17.6471,13689635
2014-02-19,17.6377,17.7781,17.4598,17.5535,13031386
2014-02-20,17.5534,17.7875,17.5254,17.7781,16166132
2014-02-21,17.8998,18.0122,17.7032,17.8811,14790468
2014-02-24,18.0215,18.1432,17.853,17.853,13389816
2014-02-25,17.9092,17.9092,17.5535,17.8062,12121808
2014-02-26,17.7875,18.1713,17.7313,17.8811,14863933
2014-02-27,17.7875,17.853,17.6471,17.7969,12154584
2014-02-28,17.8156,17.8249,17.591,17.7501,14745728
2014-03-03,17.5066,17.6845,17.3662,17.516,9200300
2014-03-04,17.7501,17.8062,17.4598,17.6377,11369491
2014-03-05,17.6003,17.9654,17.5066,17.9466,17568472
2014-03-06,17.956,18.145,17.8858,18.1432,13373449
2014-03-07,18.2462,18.4101,18.1667,18.3867,16734375
2014-03-10,18.4522,18.4522,18.0403,18.1432,11603215
2014-03-11,18.162,18.2556,17.853,17.9092,12202644
2014-03-12,17.8811,18.2743,17.7126,18.265,10189811
2014-03-13,18.3305,18.4147,17.5722,17.6752,19390652
2014-03-14,17.619,17.7594,17.516,17.5254,13071728
2014-03-17,17.6752,17.853,17.6471,17.7688,6796316
2014-03-18,17.7688,18.1526,17.6845,18.1339,10686142
2014-03-19,18.1245,18.499,18.0309,18.2275,16491666
2014-03-20,18.2181,18.9109,18.1432,18.9016,27535598
2014-03-21,18.9109,19.482,18.836,18.8828,25859760
2014-03-24,19.145,19.1543,18.5271,18.8173,15100303
2014-03-25,18.9577,19.0982,18.7424,19.0607,13018711
2014-03-26,19.145,19.3135,18.5926,18.5926,16214089
2014-03-27,18.5926,18.7424,18.3867,18.4335,12449639
2014-03-28,18.4896,18.9952,18.4335,18.8922,12615761
2014-03-31,18.9484,19.3322,18.8922,19.1122,13094287
2014-04-01,19.0701,19.3228,18.9437,19.3041,16010163
2014-04-02,19.3416,19.5101,19.2199,19.4633,11896852
2014-04-03,19.5194,19.8097,19.4071,19.5101,19373025
2014-04-04,19.6505,19.688,18.8735,18.9577,15097599
2014-04-07,18.9296,18.9577,18.6113,18.7518,10206197
2014-04-08,18.7143,18.9016,18.5177,18.5833,12649441
2014-04-09,18.6956,18.7611,18.5084,18.7143,9540105
2014-04-10,18.6862,18.7143,17.8156,17.8718,19609316
2014-04-11,17.8343,18.2369,17.6471,17.8998,12163112
2014-04-14,18.0028,18.1432,17.6564,17.8062,6573569
2014-04-15,17.853,17.9279,17.1322,17.6564,28433272
2014-04-16,17.5066,17.7173,17.2632,17.7126,16948176
2014-04-17,17.6845,17.853,17.502,17.7781,10238706
2014-04-21,17.8624,17.9569,17.619,17.9186,10505687
2014-04-22,17.8156,18.293,17.8156,18.1245,11168386
2014-04-23,18.1245,18.2509,17.9701,18.0215,9062971
2014-04-24,18.2088,18.3398,17.9654,18.1339,11860889
2014-04-25,17.7781,17.9186,17.1977,17.4317,20504004
2014-04-28,17.5535,17.6845,17.1041,17.4786,11939110
2014-04-29,17.6096,17.9466,17.516,17.853,13964027
2014-04-30,17.7407,17.8624,17.4973,17.8437,17911754
2014-05-01,17.8905,18.059,17.6564,17.6752,17221392
2014-05-02,17.7032,17.8905,17.6377,17.7501,10285315
2014-05-05,17.5909,17.8577,17.5066,17.7594,9133061
2014-05-06,17.6845,17.8718,17.5722,17.6564,10168577
2014-05-07,17.6658,17.7969,17.4692,17.7781,11924628
2014-05-08,17.6003,18.3773,17.5628,18.0871,21343337
2014-05-09,18.1152,18.2088,17.9186,18.073,14059751
2014-05-12,18.1901,18.3305,18.1058,18.2275,13120762
2014-05-13,18.1901,18.2275,17.6939,17.8905,20500415
2014-05-14,17.8624,17.9232,17.6845,17.7407,14985718
2014-05-15,17.6939,17.7594,17.3007,17.4973,15801723
2014-05-16,18.162,18.9952,18.162,18.9203,38232013
2014-05-19,18.7705,19.1075,18.6113,18.836,16279247
2014-05-20,18.789,18.9442,18.4973,18.6949,13314567
2014-05-21,18.6855,18.8784,18.662,18.8172,7642712
2014-05-22,18.7608,18.996,18.6855,18.7137,9347211
2014-05-23,18.8266,18.9301,18.7325,18.8548,7170154
2014-05-27,18.9866,19.3629,18.7702,19.3629,20050043
