date,open,high,low,close,volume
2014-01-02,214.1636,214.9273,210.0672,211.6443,285563
2014-01-03,211.6443,214.0545,210.7417,212.6163,192029
2014-01-06,213.5486,215.6415,210.8111,211.7236,173495
2014-01-07,213.2511,217.6053,212.5469,214.2826,205693
2014-01-08,214.5504,215.334,212.3286,214.1735,286927
2014-01-09,214.4909,216.3298,212.7849,213.5288,280193
2014-01-10,214.4711,215.6911,211.5947,212.6857,291182
2014-01-13,212.2195,212.9833,206.556,207.2205,437447
2014-01-14,208.5298,210.1366,207.0271,209.6903,474284
2014-01-15,209.8787,212.041,208.629,212.041,256529
2014-01-16,210.3052,212.16,210.3052,211.1979,177549
2014-01-17,210.8904,212.0509,209.6407,210.2457,207377
2014-01-21,210.7218,212.3634,209.0852,209.2439,339816
2014-01-22,208.5397,211.0391,208.5397,210.2755,361951
2014-01-23,208.2124,209.6209,205.8319,206.6254,274832
2014-01-24,194.5643,203.7986,194.5643,198.8393,358919
2014-01-27,199.1864,200.8726,194.5991,195.0603,357827
2014-01-28,196.7365,198.9266,196.7365,198.4624,434617
2014-01-29,197.1829,198.1251,194.5048,194.9115,246231
2014-01-30,197.7482,199.4245,197.1233,197.6391,239497
2014-01-31,195.3975,199.1666,194.4156,197.6193,465464
2014-02-03,196.7861,198.4524,185.6871,186.1632,1007337
2014-02-04,185.4788,192.4219,179.3789,192.0053,1478565
2014-02-05,190.9341,191.1027,184.8143,186.0442,756569
2014-02-06,186.3715,187.6709,185.4045,187.0956,419119
2014-02-07,187.5717,188.7222,184.1002,185.1317,798080
2014-02-10,184.7548,185.5284,181.8238,185.4888,741494
2014-02-11,187.9684,189.3174,185.4293,189.2975,587745
2014-02-12,189.4166,193.513,188.6429,193.1757,994777
2014-02-13,193.3939,193.3939,190.3787,192.5211,711433
2014-02-14,191.44,192.407,188.5735,189.0297,530198
2014-02-18,189.7042,190.8448,188.0875,188.3255,679785
2014-02-19,188.1569,189.5852,185.5979,185.8954,644615
2014-02-20,185.9797,188.2734,184.4969,187.7601,541623
2014-02-21,188.4544,188.9901,184.5167,184.6953,697114
2014-02-24,184.9829,190.0018,184.6754,188.4644,620611
2014-02-25,188.4445,188.8611,186.7385,187.1253,369144
2014-02-26,186.8575,188.4941,184.5663,185.3301,455641
2014-02-27,185.34,187.284,184.4771,185.8657,493373
2014-02-28,185.3697,187.2234,185.0266,186.5203,746799
2014-03-03,184.9234,186.6096,184.0089,185.9748,638521
2014-03-04,188.9405,192.7492,188.0279,192.045,546061
2014-03-05,192.045,193.6816,191.312,193.0369,500493
2014-03-06,193.0567,195.0999,192.3475,193.87,552549
2014-03-07,194.7032,195.4372,192.2037,194.852,585207
2014-03-10,194.9908,195.8637,193.017,195.4173,322579
2014-03-11,195.2487,195.2487,191.8516,192.283,245118
2014-03-12,191.0135,193.503,189.4364,193.2848,484877
2014-03-13,193.1261,194.8817,186.5997,186.6988,659863
2014-03-14,186.5699,188.018,183.4753,183.5546,748725
2014-03-17,186.0045,187.6213,184.9333,186.1136,337127
2014-03-18,186.56,187.2146,183.9315,186.5203,523323
2014-03-19,186.9369,187.8196,184.9036,186.312,294719
2014-03-20,185.5284,190.7754,185.5185,190.4778,461275
2014-03-21,191.1622,192.6104,187.5023,188.1668,473152
2014-03-24,189.3372,190.0613,185.5681,186.1037,311207
2014-03-25,187.5023,188.1569,182.781,183.7828,601139
2014-03-26,184.2093,185.1218,180.4501,181.5907,640016
2014-03-27,182.0668,182.7413,179.5396,180.46,322262
2014-03-28,182.1561,190.091,180.9212,189.4265,767698
2014-03-31,194.8024,199.5435,192.9674,198.4227,1140379
2014-04-01,201.6066,204.3144,200.1684,203.5804,871298
2014-04-02,203.4415,204.5127,201.8846,202.41,485716
2014-04-03,202.2414,202.6133,198.7103,199.3055,514379
2014-04-04,200.8726,200.8726,192.165,192.8187,770754
2014-04-07,192.8187,194.1081,188.2759,189.2678,733561
2014-04-08,190.3588,191.0928,188.3553,189.6348,553925
2014-04-09,191.2912,192.6401,188.3949,190.7258,351802
2014-04-10,190.3489,191.4201,180.5255,180.5493,1029942
2014-04-11,177.8316,180.6485,176.4747,177.8415,501809
2014-04-14,179.7657,181.1146,177.7026,179.6665,480407
2014-04-15,180.4303,181.8982,176.682,180.4997,360291
2014-04-16,182.1462,183.6935,181.2188,183.4455,311445
2014-04-17,183.6241,185.8855,182.9317,185.1218,329483
2014-04-21,183.7629,185.3499,183.2868,183.753,242374
2014-04-22,184.0406,185.9549,183.7629,184.8242,250107
2014-04-23,184.9532,185.945,183.9216,184.3977,348974
2014-04-24,186.2327,186.2327,183.0835,184.1795,222210
2014-04-25,183.5943,184.0109,180.9262,181.0055,276952
2014-04-28,182.4437,182.4437,175.4114,178.3077,681765
2014-04-29,188.5834,197.1531,188.4445,193.5229,1325601
2014-04-30,193.3245,197.1432,191.6185,196.5877,753781
2014-05-01,197.4804,197.4804,193.9295,194.2767,441026
2014-05-02,194.0684,195.5264,192.8484,195.3578,403659
2014-05-05,193.4435,194.48,191.6582,194.1081,261383
2014-05-06,193.8502,193.8502,190.8151,191.073,262589
2014-05-07,192.0549,194.4651,189.4066,194.4453,416318
2014-05-08,193.5626,196.0918,190.2745,190.6365,547641
2014-05-09,191.1126,191.1424,188.4644,190.1208,418758
