date,open,high,low,close,volume
2014-01-02,102.6615,104.3043,102.3922,103.9497,2529728
2014-01-03,103.8645,104.1068,102.3922,102.7603,2075841
2014-01-06,102.7603,103.1643,101.5484,101.8716,2838138
2014-01-07,101.8895,104.843,101.683,104.5198,3635257
2014-01-08,104.7083,104.9417,103.5503,104.026,2482018
2014-01-09,104.6185,106.791,104.3313,106.7281,3401883
2014-01-10,106.8269,106.8269,104.3133,105.9202,3054735
2014-01-13,106.2164,106.5845,104.0799,104.4929,3703890
2014-01-14,104.8878,105.8753,104.3313,105.6778,2541192
2014-01-15,106.3062,106.782,105.3918,106.387,3065536
2014-01-16,106.6653,107.4463,106.1177,106.8538,2553509
2014-01-17,106.7461,107.3206,106.2075,106.9615,4013110
2014-01-21,107.6887,107.7246,106.4409,107.0513,3072710
2014-01-22,107.572,111.7284,107.3476,111.6476,5091693
2014-01-23,110.4177,111.5129,109.1609,110.9563,3534823
2014-01-24,110.0676,110.0676,106.8179,107.0872,5060130
2014-01-27,107.0513,107.572,105.4085,106.396,4128057
2014-01-28,106.2793,109.4033,106.2075,108.353,4352416
2014-01-29,105.0315,108.7659,105.0315,106.9795,5730423
2014-01-30,107.7874,109.502,107.3206,108.5236,3324539
2014-01-31,106.4229,107.9131,106.019,106.782,4936860
2014-02-03,107.4373,108.1732,104.5557,104.8071,5046431
2014-02-04,105.6509,105.6868,103.8734,103.9363,5093107
2014-02-05,103.6221,104.9776,102.8501,103.2989,4332194
2014-02-06,103.7926,104.8699,103.3079,104.1966,2737271
2014-02-07,104.5288,106.8628,103.9632,106.7371,2839710
2014-02-10,107.4373,108.0478,105.8394,107.9939,3352513
2014-02-11,108.2736,109.4015,107.236,109.3925,2502769
2014-02-12,109.1128,110.5609,109.0589,110.2677,2187545
2014-02-13,109.7624,112.0271,109.3744,112.0181,2530134
2014-02-14,111.4677,112.1535,110.5474,111.7384,2681557
2014-02-18,112.6407,113.9761,112.3971,112.7309,3082110
2014-02-19,112.6497,112.6948,111.0978,111.2963,2783059
2014-02-20,111.2963,112.1625,110.8912,111.4226,3019980
2014-02-21,111.6572,113.2362,111.2151,111.7474,3394951
2014-02-24,112.2301,114.2197,112.0632,113.4979,2772570
2014-02-25,113.0918,113.8858,111.9008,112.2076,2429830
2014-02-26,111.7925,112.0903,109.8436,109.9519,3895729
2014-02-27,110.0692,111.7925,109.8707,111.0527,3775396
2014-02-28,112.1174,114.5445,111.1339,111.9008,4853628
2014-03-03,110.8812,112.0452,110.5474,111.6031,2503868
2014-03-04,113.0738,113.7415,112.3429,113.6873,2561520
2014-03-05,113.8497,114.725,113.136,113.8588,2478251
2014-03-06,114.3099,114.9686,111.991,112.0542,3067544
2014-03-07,113.0648,113.5971,108.5082,110.3128,7124965
2014-03-10,110.3128,113.7776,110.3038,113.146,3788733
2014-03-11,113.1911,113.3264,111.6482,112.1264,2655286
2014-03-12,110.9624,113.6873,110.9624,113.6693,2761051
2014-03-13,113.8407,114.0031,111.2603,111.8467,2436808
2014-03-14,111.3414,112.7038,110.403,110.5654,2215788
2014-03-17,111.0888,113.0648,110.5745,111.7565,2576030
2014-03-18,112.3339,115.0227,112.1625,115.0137,3255625
2014-03-19,115.4829,115.4829,113.4347,114.2107,2599484
2014-03-20,113.8317,114.6798,113.0016,114.6347,2311155
2014-03-21,114.6347,116.3581,110.5023,110.9173,7101208
2014-03-24,111.2241,111.4316,106.9744,109.4286,4448092
2014-03-25,109.8436,111.8377,107.9669,108.8421,3863785
2014-03-26,109.3835,110.8812,108.3188,108.3729,3843835
2014-03-27,109.4556,111.8647,108.7248,110.3399,4553405
2014-03-28,110.3218,111.991,108.6165,108.7699,3245971
2014-03-31,110.5293,112.3609,110.2533,111.2873,4761382
2014-04-01,111.585,113.8949,111.4407,113.7505,3163815
2014-04-02,113.7054,114.6708,112.8031,113.6693,2892876
2014-04-03,113.8317,114.8152,111.0978,112.0001,3036339
2014-04-04,112.8482,113.1278,107.3623,107.4706,5020559
2014-04-07,106.6405,108.0391,105.1699,107.209,4813124
2014-04-08,108.427,108.6977,106.1713,106.451,4181303
2014-04-09,106.415,108.4451,106.0179,108.2736,3442150
2014-04-10,108.1564,108.2285,102.3186,102.9592,6202378
2014-04-11,102.2013,104.7457,100.9652,101.0013,7262698
2014-04-14,101.9577,103.6539,100.505,102.2464,5428544
2014-04-15,102.7697,104.6555,100.514,103.7622,4750481
2014-04-16,104.7999,104.8811,102.6163,104.2495,3451016
2014-04-17,104.3126,105.7382,103.7803,104.1773,3237732
2014-04-21,105.0796,105.648,103.4374,105.5849,2658265
2014-04-22,105.7834,108.012,105.6119,107.6421,4280936
2014-04-23,104.7232,105.0706,100.6133,102.2419,10966595
2014-04-24,102.9592,103.3111,100.8659,102.6073,6112321
2014-04-25,102.5171,102.5171,100.4238,100.5231,4513442
2014-04-28,100.8569,101.3622,97.6267,100.5862,6113899
2014-04-29,101.3261,101.4614,99.8554,100.9652,4116169
2014-04-30,100.884,101.299,99.6208,100.8298,4465932
2014-05-01,100.496,102.1472,99.9817,101.7411,3643094
2014-05-02,102.075,102.6073,100.7577,101.4344,4319178
2014-05-05,100.505,102.2645,100.0268,102.1201,2544453
2014-05-06,101.5607,102.5622,101.2359,101.308,3760869
2014-05-07,100.8028,101.8133,99.9546,101.7502,2823929
2014-05-08,101.4163,102.6073,99.7651,99.9546,4161937
2014-05-09,99.702,100.6674,98.7185,100.5885,3487770
2014-05-12,100.8569,101.7141,100.505,100.8118,3555431
2014-05-13,101.3017,101.7735,100.4852,100.5306,3676843
2014-05-14,100.83,102.0457,100.2675,101.6737,2991454
2014-05-15,101.6102,101.9004,99.7232,100.0588,2785390
2014-05-16,100.576,101.6374,100.331,101.5558,4193637
2014-05-19,100.9207,102.0366,100.6304,101.6828,3655495
2014-05-20,102.336,102.3813,101.5104,101.8098,3234221
2014-05-21,101.6828,103.2795,101.5739,102.962,2805121
2014-05-22,102.6807,104.8672,102.5265,104.2049,2582723
2014-05-23,104.3228,104.4408,103.0255,103.7241,2815887
2014-05-27,104.9942,105.1666,104.0779,105.1393,2514130
2014-05-28,105.3299,105.5839,104.6585,104.9397,2261668
2014-05-29,105.0305,105.6928,104.7855,105.2391,2123088
2014-05-30,105.7563,105.7563,104.3591,105.2301,2251617
2014-06-02,105.8923,106.2008,105.0849,105.6474,2741160
2014-06-03,105.6474,106.7996,105.4206,106.2552,2474120
2014-06-04,106.6,108.3056,106.346,108.0969,3051548
2014-06-05,108.2693,108.2693,106.6907,106.8177,3115993
2014-06-06,107.7975,107.8066,106.1645,106.8903,2559230
2014-06-09,106.5728,106.8631,105.2754,105.602,2900146
2014-06-10,105.0214,106.2825,104.967,106.2371,1912803
2014-06-11,106.1101,106.6181,104.8762,105.5476,2178396
2014-06-12,105.3661,105.8016,104.8854,105.4206,1805743
2014-06-13,105.847,105.8697,104.6041,105.2663,1456995
2014-06-16,105.2391,106.0647,104.9896,105.3843,2159567
2014-06-17,105.9196,106.0103,104.9397,105.3934,2108891
2014-06-18,105.6383,106.6544,104.7855,106.5909,2549136
2014-06-19,107.1625,107.1625,106.3097,106.9175,2206257
2014-06-20,107.5344,109.7753,106.8994,109.7481,6250787
2014-06-23,109.485,109.6392,107.5072,108.0788,2317976
