date,open,high,low,close,volume
2014-01-02,52.7167,53.5048,51.8654,52.4993,2868883
2014-01-03,52.0555,52.5537,51.1044,51.7566,2744311
2014-01-06,51.9287,52.7077,51.8653,52.1461,2503751
2014-01-07,52.4359,52.9975,51.0048,52.599,3785180
2014-01-08,51.8653,52.4812,51.195,51.4215,5306743
2014-01-09,51.7022,52.5537,51.5664,52.5356,4361783
2014-01-10,52.5446,52.9432,51.4305,52.0917,3987559
2014-01-13,51.7294,52.1823,49.5736,49.6461,3782769
2014-01-14,50.0084,50.262,48.9758,49.3744,3828591
2014-01-15,49.3925,49.4106,47.445,47.7711,5213212
2014-01-16,47.6624,48.0248,46.8744,47.7893,4172811
2014-01-17,48.0791,48.3146,47.5537,47.6262,2120535
2014-01-21,47.9432,48.8128,47.744,48.0066,3419073
2014-01-22,48.1425,48.532,47.445,47.744,2367742
2014-01-23,47.8436,48.2965,46.7521,47.3998,2255155
2014-01-24,46.6751,46.6932,45.3165,45.8056,3215168
2014-01-27,45.9052,46.6661,45.5157,46.0864,3218471
2014-01-28,45.8328,46.4215,45.4342,46.0864,1977297
2014-01-29,45.4795,47.8889,45.1353,46.965,3510422
2014-01-30,47.0646,47.5809,46.3672,46.4306,1916390
2014-01-31,45.8962,47.4813,45.7603,46.6661,2252038
2014-02-03,46.5393,46.8744,45.7693,45.9867,2924340
2014-02-04,46.0954,46.1498,44.5556,45.6969,3708314
2014-02-05,45.1625,45.4523,44.4016,45.244,4628728
2014-02-06,42.9976,44.2023,42.0285,43.1154,9865384
2014-02-07,43.4052,43.7766,42.5719,43.3781,5329718
2014-02-10,43.9306,43.9306,42.4632,43.2694,4400763
2014-02-11,43.369,44.465,43.3147,44.1842,3066572
2014-02-12,44.2023,44.5918,43.7132,43.9034,2152200
2014-02-13,43.5683,45.2531,43.5592,44.9994,2662008
2014-02-14,44.9179,46.0954,44.0846,45.5248,3365054
2014-02-18,45.5067,46.4396,45.4251,45.6878,1966697
