date,open,high,low,close,volume
2014-01-02,79.1247,79.4475,78.0806,78.1755,1209157
2014-01-03,78.4888,78.764,78.1565,78.4033,860395
2014-01-06,78.802,78.9823,77.568,77.587,1214056
2014-01-07,78.1565,78.4603,77.9335,78.1186,1474197
2014-01-08,77.9477,78.0417,77.3687,77.7389,1880559
2014-01-09,77.9762,79.4902,77.9762,79.4,1372148
2014-01-10,79.419,79.4664,78.0806,78.3274,1081854
2014-01-13,77.9762,78.261,76.5809,76.8087,1370438
2014-01-14,77.2358,78.7593,76.9179,78.6976,1259561
2014-01-15,78.783,79.1769,78.6217,79.1627,1161499
2014-01-16,78.9254,79.7702,78.764,79.7512,891799
2014-01-17,80.1309,80.2163,79.7132,79.8746,961593
2014-01-21,80.0644,80.3302,79.2007,79.4475,1128116
2014-01-22,79.4475,79.6942,78.0996,78.5552,2078587
2014-01-23,77.8433,77.8908,76.5429,77.1599,1805272
2014-01-24,76.505,76.7992,74.4262,74.4262,1902446
2014-01-27,74.673,76.0304,74.4974,74.9198,2021470
2014-01-28,75.1571,76.2771,75.1571,76.0114,1192666
2014-01-29,75.4703,76.2487,75.29,75.5083,2565765
2014-01-30,76.1314,76.8163,75.7319,76.8068,2000442
2014-01-31,75.3704,76.94,74.0576,76.5405,1937058
2014-02-03,76.2836,76.5402,73.0683,73.1349,2763475
2014-02-04,73.5439,73.9244,73.0017,73.6295,2108246
2014-02-05,73.4488,74.0719,73.23,73.6961,1791036
2014-02-06,73.8198,74.1813,72.7638,73.5629,1940275
2014-02-07,74.381,77.2468,74.1052,77.0732,2578172
2014-02-10,76.9685,77.7391,76.6166,77.6725,1596548
2014-02-11,77.292,79.556,76.9876,79.128,2672797
2014-02-12,79.0233,80.0217,78.9472,79.3658,1436768
2014-02-13,78.6523,80.298,78.6238,80.2124,1622127
2014-02-14,79.927,81.2588,79.8604,81.0781,1591954
2014-02-18,80.1363,81.6584,79.1945,81.0115,1836672
2014-02-19,80.8878,81.5109,80.2933,80.65,1666505
2014-02-20,80.3932,81.6203,80.1458,81.2493,1624521
2014-02-21,81.392,82.2387,81.2683,82.0199,2023572
2014-02-24,81.6774,83.0187,81.6774,82.4575,1800221
2014-02-25,82.2006,82.5526,81.763,81.9628,1548051
2014-02-26,82.0103,82.1245,81.0686,81.1732,1788200
2014-02-27,81.4301,82.3243,81.2018,81.5823,2369081
2014-02-28,81.5728,81.763,80.7356,81.4301,3066135
2014-03-03,80.7261,80.9259,79.9841,80.5073,1082808
2014-03-04,81.4206,81.9152,81.1827,81.5252,1439249
2014-03-05,81.9247,81.9723,81.2683,81.6964,1406870
2014-03-06,81.9342,82.5145,81.5918,82.3433,1473317
2014-03-07,82.7524,83.1899,82.3148,82.7143,966968
2014-03-10,82.4955,82.9426,81.9533,82.4479,1030450
2014-03-11,82.7428,83.1329,81.8677,82.0864,1603442
2014-03-12,81.5157,82.1245,81.1542,81.354,1587438
2014-03-13,81.354,81.5975,79.128,79.147,3130036
2014-03-14,79.0518,80.0697,79.0328,79.3563,1531301
2014-03-17,79.2136,80.5263,79.0233,80.4502,1191409
2014-03-18,80.5834,81.4015,80.2124,81.373,998269
2014-03-19,81.3349,81.354,80.0602,80.1268,1282098
2014-03-20,79.9365,81.2779,79.4228,81.2588,1007623
2014-03-21,82.0389,82.0484,81.0971,81.6774,1973686
2014-03-24,81.8391,82.134,80.1363,80.1363,1313389
2014-03-25,80.612,80.8308,79.4419,79.8129,1112682
2014-03-26,80.0792,80.2885,78.9472,78.9567,943514
2014-03-27,78.6428,79.0138,78.1196,78.4335,990454
2014-03-28,78.5857,79.5655,78.2718,78.5952,939642
2014-03-31,79.1945,80.2314,79.1945,80.1744,1494651
2014-04-01,80.4598,80.8117,80.0792,80.669,898176
2014-04-02,80.6405,80.9069,80.241,80.3741,756310
2014-04-03,80.65,80.7642,79.8414,80.1173,748694
2014-04-04,80.6405,80.7832,78.5286,78.5952,1085309
2014-04-07,78.4525,78.5762,77.0351,77.1683,1365787
2014-04-08,77.1207,77.8532,76.8258,77.2444,1201685
2014-04-09,77.5964,78.6713,77.0256,78.5762,1207702
2014-04-10,78.5572,78.7379,75.7509,75.9887,1865221
2014-04-11,74.9423,76.217,74.7711,75.5606,2114626
2014-04-14,76.0743,77.2729,75.8175,76.5214,1042920
2014-04-15,76.55,77.3205,75.8365,77.292,1159973
2014-04-16,77.9769,78.4621,77.6059,78.3479,1078296
2014-04-17,78.4621,78.4621,77.8057,78.1386,1046413
2014-04-21,78.1862,78.4525,77.7391,78.034,699293
2014-04-22,78.0054,78.5191,77.6202,78.2337,684048
2014-04-23,78.0815,78.4716,77.9293,78.0625,939375
2014-04-24,78.4621,78.5286,77.4917,78.1862,1466811
2014-04-25,78.1386,82.0864,77.701,80.8117,2808980
2014-04-28,81.3635,81.7535,79.4799,80.1458,1913504
2014-04-29,80.5561,81.4434,80.5465,80.7755,1546929
2014-04-30,80.766,81.2812,80.3652,80.9854,1990548
2014-05-01,80.7755,82.0063,80.6324,81.472,1388550
2014-05-02,81.5197,81.9205,80.9377,81.1381,1419144
2014-05-05,80.4988,81.5006,80.2927,81.243,1279892
2014-05-06,81.1381,81.5674,80.6896,80.8709,1336206
2014-05-07,81.0427,82.8364,81.0427,82.3975,2021703
2014-05-08,82.0349,82.7887,81.6247,81.7487,1097228
2014-05-09,81.6819,81.9205,80.8423,81.6056,1668019
2014-05-12,82.054,82.5216,81.6724,82.2639,1284608
2014-05-13,82.2639,82.9127,82.054,82.4738,1146567
2014-05-14,82.4929,82.512,81.8441,81.9777,855609
2014-05-15,81.5197,82.388,80.9091,82.2544,1532898
2014-05-16,82.2067,82.8173,81.5006,82.6647,1186898
2014-05-19,82.3593,83.1226,82.283,82.9509,1481262
2014-05-20,82.9223,83.3707,82.4166,83.0272,1808888
2014-05-21,83.2944,84.0768,83.0463,83.7047,2073084
2014-05-22,83.3516,84.2008,83.2753,83.9813,1815848
2014-05-23,83.9336,84.5443,83.7333,84.3725,1487774
2014-05-27,84.4393,85.2503,84.3916,85.0786,1505917
2014-05-28,85.0595,85.3934,84.861,85.0309,1595588
2014-05-29,85.3934,85.8037,84.8878,85.6797,1693889
2014-05-30,85.4221,85.9277,85.2646,85.8133,1844937
2014-06-02,85.9754,86.2235,85.5175,85.7846,1158655
2014-06-03,85.6224,85.9373,85.2694,85.4221,965018
2014-06-04,85.1072,85.8363,85.05,85.6415,802102
2014-06-05,85.8705,86.0518,85.3076,85.9277,1094246
2014-06-06,86.0709,86.6052,85.9373,86.3571,1202959
2014-06-09,86.3476,86.4907,86.1567,86.4525,1498502
2014-06-10,86.1186,86.4621,85.9945,86.2521,1023340
2014-06-11,86.109,86.4048,85.985,86.1949,1612139
2014-06-12,86.2044,86.2044,85.1263,85.4221,1050029
2014-06-13,85.6892,86.1281,85.4507,85.8037,1225218
2014-06-16,85.7369,85.8705,85.3076,85.6415,971104
2014-06-17,85.4507,85.9611,85.174,85.8514,1162191
2014-06-18,86.0613,86.8914,85.6797,86.7292,2576886
2014-06-19,86.8437,86.8914,86.1186,86.4811,883536
2014-06-20,86.7864,86.8055,86.3094,86.5288,2417053
2014-06-23,86.7674,86.8723,86.2521,86.7006,1046271
2014-06-24,86.3285,86.5575,85.7178,85.756,1216661
2014-06-25,85.403,86.5956,85.403,86.4716,1097251
2014-06-26,86.5479,86.5479,85.6224,85.8419,936102
2014-06-27,85.6797,86.3189,85.3553,86.2426,1379634
2014-06-30,86.2999,86.4048,85.7369,85.9564,945480
2014-07-01,86.0518,86.8914,85.9564,86.6338,954744
2014-07-02,86.3476,86.8485,85.9659,86.0995,834446
2014-07-03,86.4239,86.4525,85.8037,86.1567,655620
2014-07-07,86.0041,86.4621,85.7274,86.3762,779592
2014-07-08,86.3189,86.3189,85.6988,85.9468,787512
2014-07-09,85.8705,86.0422,85.5366,85.8514,654857
2014-07-10,85.4507,86.1472,84.945,85.8323,1183843
2014-07-11,85.632,86.109,85.3744,85.9564,713670
2014-07-14,86.1281,86.691,85.8419,85.8896,1031601
