date,open,high,low,close,volume
2014-01-02,100.5267,100.8781,100.1212,100.4186,839074
2014-01-03,100.8691,100.9862,99.7788,100.2203,1057819
2014-01-06,100.5357,100.9232,99.8148,100.4636,773899
2014-01-07,101.1034,101.1034,99.121,99.2201,1292088
2014-01-08,99.3733,99.4994,98.31,99.2021,1398336
2014-01-09,99.3372,99.986,98.4542,98.8146,1127924
2014-01-10,99.2021,99.6977,98.5983,98.7876,1158987
2014-01-13,98.6164,99.6076,97.6433,97.8414,1033080
2014-01-14,98.1388,99.4003,97.472,99.2742,804316
2014-01-15,99.3012,101.0493,99.2201,100.2473,1313607
2014-01-16,100.0491,100.797,100.0041,100.6438,1119200
2014-01-17,100.797,101.4026,100.2744,100.9322,1368351
2014-01-21,101.2656,101.7612,100.5177,100.9682,798271
2014-01-22,101.563,102.0225,100.6258,101.1935,1068997
2014-01-23,100.3645,100.8781,99.8599,100.0311,829431
2014-01-24,99.157,99.4364,96.1023,96.1564,1159216
2014-01-27,96.4808,96.7601,95.039,95.7328,1116067
2014-01-28,96.3816,97.2737,95.2913,97.1295,1469414
2014-01-29,95.9401,96.9854,94.9759,95.5166,1645764
2014-01-30,95.9761,96.0032,95.3544,95.4445,909561
2014-01-31,94.4623,95.6517,93.5432,94.7416,1744850
2014-02-03,95.039,95.5977,93.1737,93.4891,1789044
2014-02-04,93.9937,94.8948,93.5251,93.6964,1213385
2014-02-05,93.444,94.246,92.57,93.9487,857529
2014-02-06,93.7414,96.724,93.4981,96.6339,1521042
2014-02-07,97.5981,98.5262,97.0349,98.4271,1700034
2014-02-10,98.2199,99.6661,98.2199,98.9498,1604946
2014-02-11,99.3643,101.0313,98.9678,100.8691,1618494
2014-02-12,100.779,101.1575,100.6168,100.806,2049346
2014-02-13,99.8328,105.4647,99.6706,105.3656,3059121
2014-02-14,105.2304,105.9243,104.4284,105.7711,1365016
2014-02-18,105.8792,107.1335,105.8522,106.3658,1320930
2014-02-19,106.51,106.8794,105.4737,105.5008,1406529
2014-02-20,105.8882,106.3748,104.6627,106.0685,1358214
2014-02-21,106.6632,107.4381,106.2667,106.5731,1322284
2014-02-24,106.3117,107.2849,106.3117,106.9876,1555647
2014-02-25,106.7172,108.132,106.6001,107.8346,1520056
2014-02-26,107.7085,108.4564,105.7711,105.8522,2946942
2014-02-27,107.0507,107.7986,106.6001,107.5372,1448073
2014-02-28,107.6814,110.1504,107.6634,109.3214,1625990
2014-03-03,108.6636,109.1052,107.8166,108.6005,852134
2014-03-04,109.9342,110.9704,109.6278,110.3937,1155421
2014-03-05,110.3937,110.3937,109.4386,109.5557,728090
2014-03-06,109.5557,111.3759,109.4926,110.3397,1092714
2014-03-07,110.9524,111.0696,109.3665,109.6368,940536
2014-03-10,109.5737,109.754,108.132,109.1232,1288255
2014-03-11,109.4476,110.1324,108.5555,108.6186,1539545
2014-03-12,108.0779,108.3392,107.6274,107.9067,1446883
2014-03-13,108.2131,108.97,107.114,107.5102,982912
2014-03-14,107.5913,108.2491,107.3841,107.9247,1037425
