date,open,high,low,close,volume
2014-01-02,42.7593,42.7883,42.1473,42.2823,883640
2014-01-03,42.2919,42.5618,42.2293,42.4365,766702
2014-01-06,42.6292,42.6292,42.0076,42.0461,783708
2014-01-07,42.2244,42.581,42.0895,42.3305,610274
2014-01-08,42.3305,42.7304,42.2293,42.5666,853834
2014-01-09,42.6822,43.1111,42.6148,43.0919,1061978
2014-01-10,42.9762,43.3617,42.6581,43.0533,769228
2014-01-13,42.9473,43.675,42.7834,42.981,1508324
2014-01-14,43.2316,44.5376,43.2316,44.5328,1730220
2014-01-15,44.3785,44.4749,43.9545,44.3593,1406322
2014-01-16,44.3496,44.3689,44.0171,44.2725,727652
2014-01-17,44.3545,44.4749,44.1472,44.3737,945446
2014-01-21,44.3834,44.5376,43.6774,43.8725,2122324
2014-01-22,43.8677,44.5231,43.2894,43.887,1688856
2014-01-23,43.6798,43.8509,42.5618,42.6437,1660224
2014-01-24,42.5521,42.5521,41.3907,41.3907,1351552
2014-01-27,41.3931,41.598,41.1209,41.1257,1786572
2014-01-28,41.2076,41.6076,41.198,41.4871,2195638
2014-01-29,41.0004,41.4389,40.957,41.2654,2316712
2014-01-30,41.4919,41.9112,41.3691,41.7666,1553194
2014-01-31,41.2173,42.022,41.145,41.8678,1595190
2014-02-03,41.8293,41.8919,40.7691,40.8076,2006016
2014-02-04,40.8221,41.0197,40.533,40.9426,1384732
2014-02-05,40.7643,41.251,40.6727,41.1209,1099050
2014-02-06,41.0438,41.9449,41.0389,41.7811,1252746
2014-02-07,41.863,42.1329,41.6606,42.0991,1112266
2014-02-10,42.0654,42.1618,41.6606,41.9401,742578
2014-02-11,41.9305,42.4991,41.9305,42.3883,855834
2014-02-12,42.4654,42.6967,42.3401,42.5425,644152
2014-02-13,42.1859,42.7353,42.1232,42.6678,559974
2014-02-14,42.7063,42.7401,42.3353,42.5377,942918
2014-02-18,42.581,42.8846,42.5088,42.8172,831934
2014-02-19,42.6244,43.2147,42.5907,42.6726,930014
2014-02-20,42.6774,42.9377,42.3883,42.8654,632530
2014-02-21,42.8654,43.0533,42.4172,42.4847,1145420
2014-02-24,42.663,43.2413,42.6437,42.8461,960852
2014-02-25,42.7642,42.9328,42.4461,42.5666,684358
2014-02-26,42.6196,42.6919,41.863,41.9642,1531630
2014-02-27,41.8341,42.369,41.8004,42.21,1643994
2014-02-28,42.2437,42.5666,42.0799,42.4172,1190850
2014-03-03,42.1714,42.4702,41.81,42.3015,1026238
2014-03-04,42.7353,43.4485,42.6822,43.3617,1209164
2014-03-05,43.2943,43.4003,42.9762,43.034,764908
2014-03-06,43.0533,43.5714,42.9136,43.4918,1126602
2014-03-07,43.622,43.9304,43.4292,43.5689,755776
2014-03-10,43.4434,43.8442,42.6948,43.7042,1072178
2014-03-11,43.8346,44.0278,43.1632,43.3902,1058932
2014-03-12,43.1632,43.7911,43.0618,43.738,1265836
2014-03-13,43.8297,44.192,43.4917,43.5786,1307390
2014-03-14,43.4627,43.9891,43.4216,43.7042,1047832
2014-03-17,43.9312,44.3813,43.8732,44.0664,714282
2014-03-18,44.0664,44.4335,43.936,44.3127,839454
2014-03-19,44.163,44.4769,43.7573,44.0181,912960
2014-03-20,43.6897,44.2886,43.4385,44.2741,975386
2014-03-21,44.6749,45.2159,44.431,45.0372,3203752
2014-03-24,44.8005,45.0323,44.5445,44.6749,2359288
2014-03-25,44.6556,45.0951,44.5687,44.7812,851748
2014-03-26,45.0613,45.1579,44.1775,44.1775,1063422
2014-03-27,44.3465,44.3465,43.8104,43.8442,1355006
2014-03-28,43.965,44.588,43.7284,44.2499,814548
2014-03-31,44.5107,44.5803,43.7187,44.2644,3145268
2014-04-01,44.3997,44.5542,44.0616,44.5397,1249122
2014-04-02,44.5977,45.4912,44.4914,45.3994,1258966
2014-04-03,45.3318,45.3559,44.8875,45.2738,947172
2014-04-04,45.4622,46.0756,44.7474,44.7812,1257126
2014-04-07,44.617,44.7377,43.9746,44.1775,935680
2014-04-08,44.1485,44.419,43.8104,44.2982,1136086
2014-04-09,44.2934,45.0758,44.2065,44.9841,1339024
2014-04-10,45.013,45.1048,43.9553,43.9746,928608
2014-04-11,43.8539,44.2596,43.6366,43.7235,1344442
2014-04-14,44.2065,44.221,43.6124,44.0567,577804
2014-04-15,44.1727,44.4914,43.6974,44.1244,1210718
2014-04-16,44.5349,45.1434,44.2789,45.1,872362
2014-04-17,45.042,45.6023,44.844,45.4574,891716
2014-04-21,45.4525,45.8727,45.3704,45.5733,983806
2014-04-22,45.5008,45.9885,45.4477,45.8872,1411688
2014-04-23,46.3171,46.3412,45.3869,46.1384,1347276
2014-04-24,46.433,46.602,46.206,46.5199,3803168
2014-04-25,46.5102,46.5102,45.4863,45.7423,1368448
2014-04-28,46.0514,46.1577,45.2531,45.752,1771954
2014-04-29,45.7906,45.9693,45.665,45.8775,1898870
