date,open,high,low,close,volume
2014-01-02,55.13,55.8002,54.7731,55.4694,402659
2014-01-03,55.4955,56.4704,55.3476,56.0526,361171
2014-01-06,56.0961,56.6531,55.7567,55.8437,447124
2014-01-07,55.9046,56.3746,55.4868,56.0004,310620
2014-01-08,55.9742,56.2441,55.3998,55.8785,244645
2014-01-09,56.157,56.1831,55.3737,55.8089,329065
2014-01-10,56.157,56.4791,55.6957,56.3572,394335
2014-01-13,56.2702,56.4965,55.8872,56.07,298194
2014-01-14,56.2963,56.8359,56.2876,56.6096,399315
2014-01-15,56.8881,57.4191,56.8446,57.3059,235070
2014-01-16,57.3495,57.6106,56.9665,57.4539,399195
2014-01-17,57.8021,57.8543,57.3756,57.6367,965421
2014-01-21,57.8021,59.0014,57.6193,58.7943,640806
2014-01-22,58.9771,59.5428,58.9771,59.4819,1097360
2014-01-23,59.2295,60.0128,59.1598,59.7952,759900
2014-01-24,59.7604,59.9432,59.0815,59.2382,440358
2014-01-27,58.89,59.4297,58.5158,58.9771,541204
2014-01-28,59.038,59.8823,59.038,59.6212,425359
2014-01-29,59.2643,59.7604,59.0467,59.6212,652330
2014-01-30,59.9606,60.4393,59.4819,60.2739,407924
2014-01-31,59.7604,61.3793,59.6124,61.0399,683889
2014-02-03,61.4228,61.4228,60.065,60.4915,1171730
2014-02-04,59.6037,61.2575,58.7734,61.0573,1098275
2014-02-05,61.1269,61.4228,60.8397,61.1269,789707
2014-02-06,61.2401,61.9799,61.1008,61.8667,434859
2014-02-07,61.9973,62.3541,61.4054,61.5621,481873
2014-02-10,61.4664,62.4499,61.3706,62.3716,567935
2014-02-11,62.2671,62.6066,61.9103,61.9277,567639
2014-02-12,62.0843,62.3454,61.4751,62.006,422459
2014-02-13,61.6927,62.6936,61.5347,62.3541,306049
2014-02-14,62.2584,62.8067,62.1714,62.6762,228414
2014-02-18,62.7458,63.1288,62.4673,63.1288,322857
2014-02-19,62.9286,63.8947,62.9234,63.1723,388841
2014-02-20,63.2332,63.8164,62.3411,62.7458,604576
2014-02-21,62.8677,63.6345,62.3716,63.4508,633152
2014-02-24,63.4595,63.9731,62.9547,62.9634,463742
2014-02-25,63.0243,63.799,62.9112,63.3638,327763
2014-02-26,63.5988,63.7729,63.1636,63.1984,352620
2014-02-27,63.2593,63.6162,62.6936,63.1288,230637
2014-02-28,63.1288,63.4421,62.9895,63.0592,755774
2014-03-03,62.6936,63.6684,62.6675,63.3986,500695
2014-03-04,63.9382,64.504,63.7381,64.4866,501274
2014-03-05,64.3734,64.7042,63.4943,64.1384,466167
2014-03-06,64.3299,64.3299,63.4595,63.799,290113
2014-03-07,63.651,63.7119,62.563,63.0679,379399
2014-03-10,62.9547,63.1114,62.4064,62.6588,378529
2014-03-11,62.9025,64.1384,62.9025,63.7816,373347
2014-03-12,63.6336,64.121,63.5553,63.7206,449765
2014-03-13,63.799,63.799,63.1375,63.5988,267233
2014-03-14,63.5466,64.1036,63.416,63.5118,203523
2014-03-17,63.8251,64.1732,63.4682,64.034,461804
2014-03-18,63.9034,64.2429,63.6162,64.1645,358447
2014-03-19,64.2603,64.6171,62.5804,62.6153,259663
2014-03-20,62.5979,62.8416,61.7971,62.8242,386542
2014-03-21,62.8416,63.886,62.8416,63.6771,615521
2014-03-24,63.6858,64.0949,62.6588,63.1027,343485
2014-03-25,63.3551,63.9557,62.859,63.1723,242815
2014-03-26,63.2506,63.3725,62.154,62.1975,389402
2014-03-27,62.1711,62.7513,61.6086,62.6546,227635
2014-03-28,62.6897,63.6215,62.6458,63.305,237478
2014-03-31,63.4632,64.2016,62.6897,63.7797,277471
2014-04-01,63.1204,63.4984,62.3821,63.1996,839449
2014-04-02,63.1468,63.6918,62.7952,63.6127,432468
2014-04-03,63.5072,63.8236,63.2787,63.6478,526669
2014-04-04,63.9819,64.1313,63.4808,63.7533,275499
2014-04-07,63.8412,64.9224,63.7973,64.4829,407666
2014-04-08,64.4565,64.8169,64.061,64.184,432743
2014-04-09,64.2455,64.4741,63.7269,64.017,194585
2014-04-10,64.1313,64.3598,62.7337,62.8304,374263
2014-04-11,62.7776,63.3402,62.4366,62.5403,387963
2014-04-14,62.9183,63.7797,62.5403,63.6918,397874
2014-04-15,63.7357,64.8169,63.3226,64.7642,355751
2014-04-16,64.9575,65.3882,64.5532,65.0279,445973
2014-04-17,64.7729,64.9312,64.2455,64.4126,302297
2014-04-21,64.3598,65.0103,64.1664,64.5444,226384
2014-04-22,64.6763,64.9136,64.1489,64.7026,261176
2014-04-23,64.7378,65.0542,64.4003,64.685,677030
2014-04-24,64.9663,65.1949,64.5356,65.0542,454489
2014-04-25,64.6499,65.0191,64.3422,64.4917,185180
2014-04-28,64.6499,65.0015,64.1928,64.7642,374314
2014-04-29,64.9575,65.1773,64.2368,64.5884,228571
2014-04-30,64.6323,64.9224,64.3334,64.8872,239669
2014-05-01,64.8345,64.9224,64.0698,64.6675,386249
2014-05-02,64.5796,65.6344,64.5532,65.3091,260358
2014-05-05,65.0103,65.4849,64.896,65.2652,320618
2014-05-06,64.1664,65.6519,64.1664,65.6431,559735
2014-05-07,65.8277,66.3068,65.2388,65.7223,494050
2014-05-08,65.6871,66.5046,65.5728,65.6959,384132
2014-05-09,65.7486,66.1442,65.4761,65.8981,290110
2014-05-12,66.0914,66.487,65.8365,66.1793,283921
2014-05-13,66.2497,66.8649,65.6431,65.9244,207153
2014-05-14,65.9947,66.3815,65.4146,66.1354,281315
2014-05-15,65.9684,66.3112,65.3003,66.3024,293243
2014-05-16,66.1618,66.7946,65.8981,66.7858,160770
2014-05-19,66.8474,67.0671,66.3288,66.5046,257323
2014-05-20,66.4342,66.821,65.9772,66.0739,271139
2014-05-21,66.2409,66.487,65.7135,65.9068,171044
2014-05-22,65.8981,66.1793,65.5113,65.5816,218203
2014-05-23,65.7926,66.2848,65.4797,66.1002,265440
2014-05-27,66.1354,66.1969,65.274,65.7926,590581
2014-05-28,65.7398,65.8629,65.2037,65.8014,454824
2014-05-29,65.942,66.3903,65.6695,66.3376,188792
2014-05-30,66.32,67.0495,66.1618,66.8825,521875
2014-06-02,66.7331,67.7527,66.6364,67.5857,348281
2014-06-03,67.5594,67.8143,67.1726,67.6736,241697
2014-06-04,67.5594,67.8494,67.2605,67.7,227079
2014-06-05,67.7967,68.8778,67.5945,68.8251,359969
2014-06-06,68.8954,69.1679,68.2098,68.368,330252
2014-06-09,68.3944,68.6229,67.6472,67.8406,210666
2014-06-10,67.7439,67.9813,67.1286,67.3748,255382
2014-06-11,67.3308,67.6297,66.8913,67.155,226259
2014-06-12,67.0232,67.6648,66.5749,67.6033,450206
2014-06-13,67.7703,67.9461,67.0759,67.4451,214331
2014-06-16,67.4627,67.8055,66.9898,67.2957,199728
2014-06-17,67.3836,67.823,67.1726,67.5594,362404
2014-06-18,67.533,68.1395,67.4627,68.0076,246462
2014-06-19,68.1395,68.412,67.8582,68.1219,255418
2014-06-20,68.1131,68.1966,67.2253,67.6297,666615
2014-06-23,67.7176,68.034,67.4451,67.489,220169
2014-06-24,67.5594,67.8143,67.3132,67.6297,241882
2014-06-25,67.6648,68.0076,67.5242,67.7967,224947
2014-06-26,67.8144,67.8144,67.3442,67.7168,203157
2014-06-27,67.6813,68.3912,67.2022,68.3734,441629
2014-06-30,68.2403,68.8969,68.1072,68.888,551100
2014-07-01,69.1099,69.3405,68.4533,69.0566,727567
2014-07-02,68.8348,69.2873,68.3912,69.1187,380015
