date,open,high,low,close,volume
2014-01-02,22.5896,22.6969,22.1177,22.5896,7432953
2014-01-03,22.6111,22.89,22.4824,22.6754,4215957
2014-01-06,22.8041,22.9114,22.4609,22.5896,5031075
2014-01-07,22.6325,22.7398,22.3536,22.6111,5881730
2014-01-08,22.5253,23.3405,22.4824,23.2332,11645101
2014-01-09,23.2332,23.3834,22.5253,22.9329,16618358
2014-01-10,21.4097,21.8817,21.0772,21.6886,24863561
2014-01-13,21.8602,21.9889,21.5599,21.6672,8077654
2014-01-14,21.7959,22.2357,21.7959,22.1391,6087999
2014-01-15,22.2464,22.7398,22.2249,22.7183,10669441
2014-01-16,22.7183,23.6837,22.6969,23.6837,13295761
2014-01-17,23.6623,24.7349,23.6623,24.3702,18020830
2014-01-21,25.2712,26.4082,25.2497,26.022,42940452
2014-01-22,26.1937,26.4296,25.7646,26.2151,18855318
2014-01-23,25.8719,26.2151,25.7217,25.8933,19443886
2014-01-24,25.5501,25.7003,24.456,24.5418,20638468
2014-01-27,24.692,25.357,24.3919,24.9709,9334926
2014-01-28,25.2712,25.5072,25.121,25.4214,5866195
2014-01-29,24.9709,26.2366,24.8421,25.7217,14818842
2014-01-30,25.8504,25.8933,25.3785,25.6359,7742637
2014-01-31,24.8851,25.3141,24.5633,24.692,11008241
2014-02-03,24.7134,25.1425,24.0269,24.0913,8864951
2014-02-04,24.1557,24.692,24.0699,24.5633,6632795
2014-02-05,24.5418,24.5633,23.5093,23.7459,12201475
2014-02-06,23.8104,24.2191,23.6169,23.7674,7371771
2014-02-07,23.7889,24.1116,23.7674,24.0686,5148128
2014-02-10,24.1116,24.2836,23.2942,23.7889,7392638
2014-02-11,24.1546,24.5547,23.9395,24.3697,6865365
2014-02-12,24.4127,24.6923,24.1118,24.2406,5376814
2014-02-13,23.9395,24.6278,23.918,24.5202,3985073
2014-02-14,24.5418,24.7138,24.3052,24.4557,3822467
2014-02-18,24.3912,24.6041,24.1116,24.5202,4766642
