date,open,high,low,close,volume
2014-01-02,103.6331,104.5183,103.1336,103.6244,901928
2014-01-03,103.1862,105.421,103.1862,104.9565,737640
2014-01-06,105.6401,106.5427,104.9565,106.5165,1414031
2014-01-07,106.5252,107.0335,105.4516,106.0607,984244
2014-01-08,105.7014,107.0651,105.282,106.3236,889767
2014-01-09,104.676,106.6917,104.676,105.9468,624305
2014-01-10,106.3499,107.0072,105.938,106.7443,638100
2014-01-13,106.3324,107.0861,105.5261,105.8942,651271
2014-01-14,106.2097,106.9809,105.9293,106.683,642164
2014-01-15,106.8933,107.796,106.7531,107.4805,786567
2014-01-16,108.1904,108.2955,107.314,107.6645,892758
2014-01-17,107.7697,107.9976,106.6304,106.8144,898489
2014-01-21,107.349,107.7871,106.683,107.0423,792817
2014-01-22,107.3928,107.9011,106.5603,106.8407,1153663
2014-01-23,106.236,106.4113,105.57,105.7365,1134876
2014-01-24,104.2729,105.272,104.2729,104.7461,1206092
2014-01-27,104.1502,105.3596,103.7471,103.7471,973579
2014-01-28,103.414,104.7461,102.9846,103.0021,1482479
2014-01-29,106.3587,109.356,102.5902,103.081,1855427
2014-01-30,100.0487,108.0326,100.0487,107.0598,2720200
2014-01-31,106.3061,108.7162,106.3061,108.2342,1584841
2014-02-03,108.2342,109.0755,107.8924,108.0501,1407940
2014-02-04,108.5497,109.6189,107.8626,109.5137,1483529
2014-02-05,109.2245,110.7056,108.8827,110.4427,1428280
2014-02-06,110.5698,111.3892,110.4953,111.2928,864649
2014-02-07,111.5645,112.2919,111.1087,112.0114,903517
2014-02-10,112.4146,113.7379,111.8887,113.3435,1070861
2014-02-11,113.0719,114.6932,112.7432,113.624,1258104
2014-02-12,113.5802,113.8781,112.7301,112.9316,1444006
2014-02-13,112.6599,113.475,112.3883,112.4759,996938
2014-02-14,112.5285,113.0983,112.4759,113.0456,588860
2014-02-18,112.8265,113.7204,112.6161,113.4925,691800
2014-02-19,113.3874,113.773,112.2743,112.4847,673288
2014-02-20,112.8528,113.3348,111.9851,112.9579,737648
2014-02-21,112.8352,113.5626,112.0202,112.7563,623034
2014-02-24,112.8528,114.106,112.6337,113.2471,694630
2014-02-25,112.9141,113.7029,112.7169,113.2559,765977
2014-02-26,113.8518,113.8746,112.213,112.5548,694099
2014-02-27,112.6687,112.8265,111.2577,111.5645,723835
2014-02-28,111.8361,113.4662,111.3979,113.028,1131023
2014-03-03,112.7826,113.5451,112.5811,113.0631,689169
2014-03-04,114.141,114.3689,113.5977,114.3339,531141
2014-03-05,113.9921,114.2725,112.0903,112.9141,745039
2014-03-06,112.9141,113.0105,111.5732,112.0377,823206
2014-03-07,111.9764,112.546,111.249,112.3707,805035
2014-03-10,112.3269,112.5373,111.249,111.7836,464816
2014-03-11,111.9764,112.879,111.4917,112.7301,450868
2014-03-12,112.4584,113.2208,112.2568,113.1858,633371
2014-03-13,113.4662,113.489,111.8142,113.177,622578
2014-03-14,113.0981,114.2462,113.0981,113.7116,692948
2014-03-17,113.9307,114.439,113.2559,114.0184,682611
2014-03-18,113.9044,114.2462,113.4084,114.0008,798437
2014-03-19,114.0709,114.6581,111.9413,113.0894,1723036
2014-03-20,112.6249,113.475,112.2218,112.8002,1300297
2014-03-21,113.9044,114.4565,112.7563,113.7905,1273780
2014-03-24,114.1235,114.2813,112.8966,113.6064,734518
2014-03-25,114.2199,115.5082,113.6327,115.3066,617446
2014-03-26,115.2716,115.2716,113.6678,113.9745,930221
2014-03-27,113.8508,114.8677,113.5324,114.5494,904066
2014-03-28,115.1153,115.805,114.7351,115.0711,854245
2014-03-31,115.4336,116.875,114.4256,116.1234,1184822
2014-04-01,116.1234,116.2383,114.995,116.0792,770555
2014-04-02,115.8846,116.9634,115.3717,116.5478,727847
2014-04-03,121.7562,121.7562,116.3179,116.7954,1130636
2014-04-04,117.494,118.5817,116.6186,117.9892,1160039
2014-04-07,117.9627,119.3245,117.8831,118.0953,838551
2014-04-08,117.945,118.4844,117.4498,118.3341,720058
2014-04-09,118.2633,118.8116,117.6355,117.9008,661951
2014-04-10,118.0246,118.9133,116.9634,117.4498,868035
2014-04-11,117.0872,117.8787,116.4682,116.9457,999715
2014-04-14,117.5647,118.2014,116.9435,117.83,578459
2014-04-15,117.7416,119.1034,117.211,118.9796,942876
2014-04-16,119.2272,119.5897,118.6789,119.5544,946549
2014-04-17,119.0503,119.2802,117.5736,118.1749,1200910
2014-04-21,118.1042,118.9354,117.8566,118.7143,853001
2014-04-22,118.6524,119.1211,117.4056,118.9973,565644
2014-04-23,118.3164,119.2979,117.6355,117.9185,1112498
2014-04-24,117.1138,119.3952,116.7866,118.4402,957093
2014-04-25,118.5286,119.7754,118.4092,119.6693,722057
2014-04-28,120.0672,121.3229,120.0672,121.0046,901471
2014-04-29,121.1461,121.3494,120.138,120.7393,564803
2014-04-30,120.7393,121.2345,119.7754,120.7481,591011
2014-05-01,120.9338,121.1284,119.3775,120.589,720592
2014-05-02,120.1468,121.2522,119.7224,121.208,835219
2014-05-05,120.81,122.2956,120.5005,122.2426,491373
2014-05-06,121.376,122.1365,121.1903,121.6059,529867
2014-05-07,122.2868,123.5513,121.5352,123.0119,1047316
2014-05-08,122.9854,123.7989,122.5786,123.4894,679757
2014-05-09,123.3833,123.7901,122.4636,123.2064,602792
2014-05-12,123.2683,124.3648,123.1534,124.188,566854
2014-05-13,123.7635,124.9396,122.7731,123.0384,583980
2014-05-14,123.2683,123.6574,122.5874,122.9854,413563
2014-05-15,123.1092,124.188,122.7555,124.0023,1192071
2014-05-16,123.8343,124.4179,123.3302,124.356,742772
2014-05-19,124.1526,124.6832,123.5336,124.5594,763304
2014-05-20,124.0553,124.723,123.4982,124.1084,753519
2014-05-21,124.1791,124.86,123.1887,123.6486,650677
2014-05-22,123.5248,124.1349,122.9765,123.233,604288
2014-05-23,123.4982,123.9139,123.3125,123.852,477730
2014-05-27,124.0377,124.6832,123.9404,124.3472,738230
2014-05-28,124.3472,124.5329,123.401,124.0377,845966
2014-05-29,124.188,124.3719,123.3744,124.1172,606680
2014-05-30,124.2499,125.5232,123.6663,125.426,1669391
2014-06-02,125.3375,125.9477,125.2845,125.4348,1003705
2014-06-03,125.1342,126.0803,125.0546,125.8946,498292
2014-06-04,125.5675,126.3721,125.4437,126.1334,581538
2014-06-05,126.2572,127.787,125.7443,127.6986,670813
2014-06-06,127.6367,127.6986,125.6205,126.0627,746168
2014-06-09,126.1246,126.6949,123.233,123.7282,1266769
2014-06-10,123.3656,124.0023,122.7289,122.9942,867625
2014-06-11,122.9942,123.3125,122.2603,122.8704,624903
2014-06-12,122.835,123.5071,122.0878,123.1711,731445
2014-06-13,123.4982,124.0421,122.4902,123.8166,569631
2014-06-16,123.5513,124.0464,122.8704,123.0473,561264
2014-06-17,122.9942,124.0642,122.4813,124.02,1174926
