date,open,high,low,close,volume
2014-01-02,45.2406,45.3309,44.6581,44.8071,645964
2014-01-03,44.9155,45.0239,44.6355,44.7529,770037
2014-01-06,44.9697,45.1593,44.5542,44.6445,976423
2014-01-07,44.7168,44.9606,44.5632,44.8161,1210236
2014-01-08,44.9335,45.0419,44.491,44.6716,1169923
2014-01-09,45.0239,45.7374,45.0239,45.051,1555126
2014-01-10,45.5748,46.1872,45.5477,45.9541,1614618
2014-01-13,45.6832,46.1709,45.3309,45.4845,841182
2014-01-14,45.5116,46.3064,45.5025,46.3064,809229
2014-01-15,46.3154,46.3967,46.0354,46.2974,674033
2014-01-16,46.3515,46.3515,45.6471,46.2703,1041594
2014-01-17,46.3425,46.3651,45.9632,46.198,591947
2014-01-21,46.5412,46.6273,45.918,46.3425,644816
2014-01-22,46.5141,47.1192,46.4238,47.0922,1018885
2014-01-23,46.6948,46.7489,45.7916,46.2793,988296
2014-01-24,45.8638,46.0535,44.3555,44.3736,1039830
2014-01-27,44.4097,44.4458,43.6871,44.1749,1196860
2014-01-28,44.1749,44.5723,44.0845,44.5,656688
2014-01-29,44.0755,44.9426,43.94,44.1929,912376
2014-01-30,44.7168,45.0239,44.0033,44.9064,879465
2014-01-31,43.6781,44.7168,43.2658,44.5,1352731
2014-02-03,44.6536,45.069,43.1181,43.1814,1273573
2014-02-04,43.4523,43.6239,42.8201,42.9736,1080880
2014-02-05,42.6214,42.7749,41.7724,42.4407,1383813
2014-02-06,42.3865,43.0188,42.3053,42.9736,785794
2014-02-07,43.2175,43.4072,42.7388,43.2536,983462
2014-02-10,43.3349,44.3916,43.1904,44.3103,1266134
2014-02-11,44.4819,44.7077,43.1994,44.4729,926702
2014-02-12,44.5181,44.8974,44.3555,44.491,1147978
2014-02-13,44.22,44.7077,44.0303,44.6626,748682
2014-02-14,44.6265,44.8974,44.4278,44.6174,608523
2014-02-18,44.6987,44.8252,44.4323,44.7258,445898
2014-02-19,44.6987,45.2045,44.3916,44.4729,643921
2014-02-20,44.5632,44.7077,44.1749,44.5271,628148
2014-02-21,44.6174,44.6174,44.1297,44.1568,593209
2014-02-24,44.2291,44.4097,43.931,44.0665,818989
2014-02-25,44.0755,44.3194,43.7413,44.1116,672910
2014-02-26,44.3374,44.9426,44.3374,44.7168,707189
2014-02-27,44.5994,44.78,44.1749,44.3555,803153
2014-02-28,44.3736,45.2135,44.211,44.9968,975875
2014-03-03,44.5607,45.1239,44.5062,44.8787,746719
2014-03-04,46.4867,47.3315,46.1324,47.0499,1517590
2014-03-05,46.6956,46.841,45.9688,46.3867,1408624
2014-03-06,46.5412,46.6911,46.2323,46.414,715396
2014-03-07,46.6774,47.0681,46.5593,46.841,837061
2014-03-10,46.7865,46.8137,46.0143,46.523,859504
2014-03-11,46.6956,46.7683,45.9234,45.9507,855429
2014-03-12,45.7326,46.2141,45.669,46.0324,1058758
