date,open,high,low,close,volume
2014-01-02,37.9576,38.0298,37.4968,37.5691,788839
2014-01-03,37.5329,37.6233,37.1851,37.4606,819620
2014-01-06,37.4787,37.5998,37.2619,37.3161,670421
2014-01-07,37.3884,37.7227,37.3793,37.6865,769919
2014-01-08,37.6775,37.8175,37.4516,37.6775,726941
2014-01-09,37.7678,37.7949,37.4697,37.5871,698170
2014-01-10,37.6594,38.319,37.6052,37.9395,941397
2014-01-13,37.8943,38.0118,37.5239,37.5781,530669
2014-01-14,37.6323,37.8672,37.3522,37.5058,450089
2014-01-15,37.5871,37.5871,37.2076,37.298,633395
2014-01-16,37.2799,37.5326,37.2257,37.5058,777175
2014-01-17,37.6594,37.6594,37.2528,37.5239,931950
2014-01-21,37.1444,37.8853,37.1444,37.822,710177
2014-01-22,37.7859,38.1202,37.7859,38.0479,519845
2014-01-23,37.9124,38.1003,37.7859,38.0931,622173
2014-01-24,37.9485,38.0841,37.7136,37.7949,717211
2014-01-27,37.804,37.9937,37.6323,37.6323,646720
2014-01-28,37.6413,37.9666,37.6413,37.7588,730132
2014-01-29,37.6504,37.9576,37.6413,37.9124,841274
2014-01-30,38.2035,38.7129,37.9761,38.6583,942654
2014-01-31,38.4127,38.818,38.2671,38.7219,1076437
2014-02-03,38.6583,39.0858,38.1853,38.4855,1134714
2014-02-04,38.6492,38.6492,37.8487,37.9852,1303311
2014-02-05,37.9033,37.9761,37.4394,37.4394,976865
2014-02-06,37.4667,38.0216,37.353,37.9306,591497
2014-02-07,38.0761,38.4855,37.9943,38.4582,636779
2014-02-10,38.5218,38.6128,38.1216,38.5127,557621
2014-02-11,38.4491,38.8857,38.3854,38.8493,1009673
2014-02-12,38.8857,39.1859,38.7038,39.0221,576432
2014-02-13,38.8584,39.6316,38.7401,39.6316,695173
2014-02-14,39.6588,39.7422,39.4133,39.6588,504530
2014-02-18,39.768,39.9135,39.4951,39.7225,558790
2014-02-19,39.5861,40.0136,39.536,39.6861,607801
2014-02-20,39.6497,40.0864,39.486,40.0773,504006
2014-02-21,40.05,40.432,39.9135,40.2683,650001
2014-02-24,40.3501,40.4775,39.8862,39.9044,593690
2014-02-25,39.7771,40.4774,39.7589,39.9772,785947
2014-02-26,40.1409,40.2674,39.8499,39.9044,491279
2014-02-27,39.7953,40.2865,39.4496,40.0409,538849
2014-02-28,40.2046,41.0687,40.0773,40.7868,957906
2014-03-03,40.623,40.6503,40.0955,40.1591,977953
2014-03-04,40.4775,40.6834,40.3028,40.4502,717127
2014-03-05,40.4047,40.523,40.0591,40.341,822882
2014-03-06,40.4775,40.6139,40.2592,40.3501,784839
2014-03-07,40.3956,40.4775,40.0682,40.341,722565
2014-03-10,40.341,40.5321,40.15,40.4138,840337
2014-03-11,40.2592,40.3229,39.6861,39.8862,884395
2014-03-12,39.7862,40.2774,39.7407,40.2683,584776
2014-03-13,40.4229,40.9778,40.2592,40.9232,878787
2014-03-14,40.9687,41.7146,40.9268,41.4417,1101914
2014-03-17,41.5053,41.5053,40.9187,41.0505,645418
2014-03-18,41.1506,41.5872,41.0687,41.378,788088
2014-03-19,41.4235,41.6236,40.7686,40.8504,525498
2014-03-20,40.714,40.8777,40.523,40.623,733371
2014-03-21,40.8686,41.4144,40.6685,40.9869,1120604
2014-03-24,41.1688,41.3689,40.8959,41.0869,567168
2014-03-25,41.2689,41.2689,40.8777,40.9778,454756
2014-03-26,40.9778,41.1106,40.4047,40.4229,668487
2014-03-27,40.5321,40.9141,40.2592,40.8959,573441
2014-03-28,40.9414,41.1961,40.9096,41.0505,640072
2014-03-31,41.187,41.6054,40.905,41.2961,1052590
2014-04-01,41.2779,41.3325,40.805,41.0778,887924
2014-04-02,41.0687,41.5144,40.8331,41.4053,588973
2014-04-03,41.4326,41.6873,41.3234,41.4144,618196
2014-04-04,41.5508,42.0511,41.3871,41.6509,786400
2014-04-07,41.6054,41.8601,41.3325,41.3598,664715
2014-04-08,41.3143,41.4417,40.8959,41.3689,1072722
2014-04-09,41.4781,41.569,41.0233,41.5417,690765
2014-04-10,41.4872,41.8783,41.2416,41.4144,956184
2014-04-11,41.4053,41.5963,41.2689,41.3871,876823
2014-04-14,41.6327,41.8257,41.2961,41.6145,801219
2014-04-15,41.4417,41.6691,41.0324,41.5326,859842
2014-04-16,41.6327,41.8146,41.3143,41.8146,900848
2014-04-17,41.8328,42.0329,41.4417,41.5417,577970
2014-04-21,41.7509,41.9602,41.4508,41.6509,515779
2014-04-22,41.7328,41.9874,41.5053,41.851,614548
2014-04-23,41.942,42.0966,41.6509,41.7146,783635
2014-04-24,41.7328,42.0329,41.4799,41.8419,602303
2014-04-25,41.8055,41.9602,41.6145,41.9511,662872
2014-04-28,42.0329,42.3695,41.7873,42.2512,1104981
2014-04-29,42.2967,42.415,41.7055,41.7418,691730
2014-04-30,41.8146,41.9783,41.378,41.4144,758065
2014-05-01,41.5326,42.042,41.3234,42.042,671145
2014-05-02,41.9965,42.4331,41.6782,41.9965,812947
2014-05-05,42.0056,42.3604,41.8055,42.3513,586602
2014-05-06,42.1876,42.4331,41.8601,42.0056,561563
2014-05-07,42.1057,42.6969,42.092,42.6787,1073800
2014-05-08,42.871,43.5944,42.5872,42.7886,715290
2014-05-09,42.871,43.034,42.2209,42.3583,903511
2014-05-12,42.5872,42.6787,42.2209,42.404,1229422
2014-05-13,42.5963,43.1091,42.4407,43.0908,1142847
2014-05-14,43.1091,43.631,42.8619,43.0908,965007
2014-05-15,43.0358,43.4113,43.0358,43.3838,1404897
2014-05-16,43.3289,43.3654,42.8436,43.2739,1303584
2014-05-19,43.2373,43.306,42.7978,42.8985,710028
2014-05-20,42.8985,43.3563,42.6238,42.871,771533
2014-05-21,42.9351,43.0908,42.7337,42.871,529411
2014-05-22,42.871,43.4113,42.871,43.3014,443148
2014-05-23,43.3472,43.6676,43.2007,43.5944,579858
2014-05-27,43.7409,44.1255,43.3289,43.4204,1297212
2014-05-28,43.6036,43.6768,43.3289,43.5852,911922
2014-05-29,43.6951,43.6951,43.3655,43.6219,461002
2014-05-30,43.7684,44.5375,43.6768,44.5101,1641469
2014-06-02,44.7023,44.7023,44.0614,44.1529,709262
2014-06-03,44.1529,44.1896,43.8508,43.9973,702401
2014-06-04,43.8599,44.0339,43.457,43.8966,748528
2014-06-05,44.0522,44.1346,43.6402,44.0614,605981
2014-06-06,44.1346,44.2903,43.8416,43.9057,586070
2014-06-09,43.9057,44.1804,43.805,44.0522,610476
2014-06-10,44.1072,44.1072,43.6585,43.7867,532212
2014-06-11,43.7684,43.7867,43.4662,43.6493,376137
2014-06-12,43.6951,43.9286,43.2419,43.8142,629585
2014-06-13,43.8233,43.979,43.5944,43.8966,400376
2014-06-16,43.8691,44.3635,43.7592,44.0431,705515
2014-06-17,44.0431,44.3727,43.9973,44.1621,509500
2014-06-18,44.1804,44.5558,43.9973,44.5375,505742
2014-06-19,44.5284,44.7573,44.3361,44.3544,614381
2014-06-20,44.3819,44.5925,44.0705,44.098,689045
2014-06-23,44.1804,44.4643,43.9698,44.3544,621485
2014-06-24,44.3819,44.739,44.3178,44.4093,485866
2014-06-25,44.3544,44.6566,44.2354,44.6291,372407
2014-06-26,44.5742,44.7664,44.4276,44.6749,461805
2014-06-27,44.7115,45.0961,44.565,44.8946,797229
2014-06-30,45.0045,45.325,44.6474,45.2792,725622
2014-07-01,45.1876,45.3689,44.9587,45.0228,734544
2014-07-02,44.9404,45.0503,44.3544,44.4093,816321
2014-07-03,44.3544,44.391,43.9423,44.0064,523118
2014-07-07,43.7684,44.2216,43.6585,44.0431,739945
2014-07-08,43.9057,44.7161,43.8599,44.5101,796760
2014-07-09,44.5925,44.6932,44.2161,44.3819,421187
2014-07-10,44.3178,44.6474,44.1987,44.5009,437053
2014-07-11,44.4734,44.4917,44.0522,44.3544,534440
2014-07-14,44.3819,44.5192,44.1438,44.1529,524476
2014-07-15,44.1804,44.5101,44.1529,44.3178,535449
2014-07-16,44.4551,44.6199,43.9973,44.3819,450992
2014-07-17,44.3727,44.4551,43.9881,44.0339,418065
2014-07-18,44.2079,44.8397,43.9973,44.8397,379447
2014-07-21,44.7939,44.7939,44.4551,44.6016,343817
2014-07-22,44.8214,45.0137,44.6016,44.8763,435675
2014-07-23,44.8672,44.8763,44.5009,44.6291,336871
2014-07-24,44.6474,44.8488,44.391,44.6657,300656
2014-07-25,44.6199,44.728,44.4093,44.5009,347656
2014-07-28,44.3544,45.032,44.3544,44.9129,440409
2014-07-29,44.8855,45.0594,44.4826,44.5284,395275
2014-07-30,44.5925,44.8672,44.1255,44.2537,589088
2014-07-31,44.0248,44.2811,43.6768,43.7409,856966
2014-08-01,43.6951,44.3086,43.6951,43.9881,774975
2014-08-04,44.0522,44.1529,42.7245,43.3655,1008760
2014-08-05,43.1457,43.5395,42.5231,42.6696,1067718
2014-08-06,42.4224,42.8527,42.4224,42.4956,610189
2014-08-07,42.385,43.187,42.385,42.9104,837071
2014-08-08,42.9565,44.24,42.9565,44.2102,725143
2014-08-11,44.3393,44.6342,43.9429,43.989,580831
2014-08-12,44.2747,44.837,43.9705,44.3485,540386
2014-08-13,44.3946,44.7956,44.3946,44.5789,484513
2014-08-14,44.6066,45.5284,44.496,45.4178,816824
2014-08-15,45.4823,46.229,45.4316,46.0077,1345556
2014-08-18,45.9985,46.2382,45.5929,45.8049,897501
2014-08-19,45.8049,46.3857,45.8049,45.9616,580506
2014-08-20,45.851,46.0907,45.6943,46.0723,390896
2014-08-21,45.9985,46.3765,45.8787,46.1644,627377
2014-08-22,45.9616,46.1737,45.7496,45.7773,406973
2014-08-25,45.9524,46.2105,45.7312,45.851,551257
2014-08-26,45.9524,46.1552,45.722,45.7496,456026
2014-08-27,45.9616,46.4502,45.9063,46.441,537843
2014-08-28,46.2105,46.4779,46.0446,46.2751,512358
