date,open,high,low,close,volume
2014-01-02,85.0007,85.169,83.5794,83.6448,5120019
2014-01-03,83.3643,84.2339,82.8781,83.916,3888564
2014-01-06,83.8786,84.3929,83.5794,83.8786,2844831
2014-01-07,84.3181,84.8137,83.2334,83.5607,4039511
2014-01-08,83.1201,84.0388,83.1201,83.8232,3880302
2014-01-09,84.2732,84.3107,82.5669,83.3263,3469242
2014-01-10,83.6826,83.9638,82.5904,83.0169,2901681
2014-01-13,82.9888,83.4388,81.4513,81.5544,5641388
2014-01-14,81.6388,81.9857,80.6919,81.6763,4778234
2014-01-15,81.995,82.9982,81.6388,82.7357,4495476
2014-01-16,82.5013,82.7263,81.8076,82.295,3336545
2014-01-17,86.092,87.7701,84.892,85.2857,15012583
2014-01-21,86.2232,86.917,84.0388,84.9295,7954764
2014-01-22,84.9763,85.7076,84.9576,85.4357,3849166
2014-01-23,84.8357,84.8357,83.1388,83.5982,5261291
2014-01-24,83.0263,83.7848,81.245,81.5169,6360684
2014-01-27,81.7044,82.2857,80.3544,80.3638,5653519
2014-01-28,80.4856,81.7325,80.2513,81.2263,4108711
2014-01-29,80.8981,81.47,80.0949,80.2044,3358104
2014-01-30,81.0481,81.545,80.6919,81.2075,4259912
2014-01-31,79.9513,80.5419,79.6044,79.7075,4778814
2014-02-03,79.6794,80.0825,77.5981,77.6825,5770127
2014-02-04,77.9918,79.4169,77.4678,78.7512,5380458
2014-02-05,78.2919,78.8637,77.7668,78.4887,3260150
2014-02-06,79.22,80.4013,79.0512,80.3356,5432386
2014-02-07,80.5888,81.7232,80.42,81.5638,4526594
2014-02-10,82.3419,83.4013,82.0325,82.82,5388045
2014-02-11,82.8388,83.2888,82.6607,83.0451,3610805
2014-02-12,83.1482,83.4857,82.8763,83.4576,2488737
2014-02-13,82.8482,83.4201,82.5107,83.3451,2759782
2014-02-14,83.3076,83.6919,82.745,83.4388,2705492
2014-02-18,83.2513,83.5701,82.7732,83.4576,3591615
2014-02-19,83.3357,84.6763,83.2044,83.2888,4332272
2014-02-20,83.2513,83.6544,82.6138,83.4482,4412162
2014-02-21,83.4951,83.8232,83.0263,83.2044,3808678
2014-02-24,83.2419,84.7795,83.2419,84.3013,3267762
2014-02-25,84.3763,84.7232,83.5794,84.2919,2914759
2014-02-26,84.5263,85.0232,83.6357,84.1232,4840187
2014-02-27,84.0482,84.7795,83.9169,84.6482,3075588
2014-02-28,84.6107,86.3779,84.4607,85.5763,4691121
2014-03-03,84.9388,84.967,83.5888,84.3482,3465250
2014-03-04,85.3607,86.8889,85.342,86.8232,3755559
2014-03-05,86.8045,86.8045,86.167,86.3826,3086478
2014-03-06,86.7764,87.7889,86.5889,87.6764,3962682
2014-03-07,88.2295,88.4545,87.5264,87.9951,3864611
2014-03-10,87.7701,88.0139,87.3201,87.8451,2218705
2014-03-11,87.967,88.0139,87.217,87.3764,1946279
2014-03-12,86.8889,87.1139,86.1576,87.0951,2486089
2014-03-13,87.3764,87.6389,84.7607,85.0232,3990350
2014-03-14,84.892,85.5201,84.0386,84.5357,3583900
2014-03-17,84.8545,85.9982,84.8357,85.5576,3039966
2014-03-18,85.567,86.2232,85.4357,85.867,2348331
2014-03-19,85.942,86.2139,84.6388,85.0607,3425706
2014-03-20,84.8263,86.1576,84.592,85.9607,3779744
2014-03-21,86.9826,87.8639,85.6513,85.8013,6684544
2014-03-24,85.9138,86.017,84.6435,85.3232,2525775
2014-03-25,85.6607,86.1576,84.967,85.1638,2420122
2014-03-26,85.6513,85.9606,84.0294,84.0576,3011622
2014-03-27,84.0951,84.7795,83.6919,84.367,3602751
2014-03-28,84.6295,85.8388,84.3763,84.8076,3138927
2014-03-31,85.3888,86.1951,84.2638,84.4045,5172409
