date,open,high,low,close,volume
2014-01-02,107.704,107.7434,105.357,106.1558,254146
2014-01-03,106.2051,107.0531,106.0571,106.6488,192777
2014-01-06,107.1912,107.418,104.2723,104.8048,271973
2014-01-07,105.426,108.1724,105.1302,107.9209,286308
2014-01-08,107.9505,109.0254,106.7425,108.5027,635479
2014-01-09,118.3343,134.5659,117.4074,121.7858,1981527
2014-01-10,126.4402,132.14,125.4048,130.8186,1333814
2014-01-13,129.941,130.9862,127.022,127.9884,828964
2014-01-14,128.3139,128.9746,126.6029,128.2843,626014
2014-01-15,129.0732,131.6963,128.1807,131.5976,591318
2014-01-16,131.7358,132.5452,129.7024,131.6371,316890
2014-01-17,131.4792,132.2886,129.9492,130.196,293472
2014-01-21,130.5908,130.9363,128.2317,129.0411,387140
2014-01-22,129.0411,129.7123,128.4212,129.6629,286722
2014-01-23,129.3175,129.732,127.4371,128.281,299202
2014-01-24,127.1656,128.0392,121.8551,122.9508,409024
2014-01-27,123.7405,124.9723,121.8058,123.7503,685927
2014-01-28,123.8589,126.7511,123.701,125.764,369608
2014-01-29,124.3031,126.1095,124.2834,125.8133,492044
2014-01-30,127.4321,127.4321,125.3198,125.3988,587724
2014-01-31,123.9379,127.4025,123.4739,125.3988,357362
2014-02-03,125.2606,126.0206,121.3813,123.01,750463
2014-02-04,123.6911,126.0552,122.704,125.1915,491075
2014-02-05,124.6979,125.5369,122.4573,125.2211,401437
2014-02-06,125.6653,127.9356,125.3297,126.1785,279760
2014-02-07,126.6721,128.3008,126.4944,127.9356,379193
2014-02-10,127.5506,127.9059,124.7868,126.5339,375861
2014-02-11,126.6918,128.1428,125.1915,127.2051,442889
2014-02-12,127.2742,130.1466,126.8103,129.811,556671
2014-02-13,129.3273,131.6174,127.748,131.2818,317825
2014-02-14,131.262,131.6174,129.7123,130.5414,341690
2014-02-18,130.5809,133.0388,130.5809,132.7032,369030
2014-02-19,132.0418,133.5027,131.5384,131.8543,347297
2014-02-20,132.1899,134.4799,131.2225,134.3318,304918
2014-02-21,134.7958,135.24,133.5718,133.6902,273898
2014-02-24,134.4898,135.8816,134.1838,134.549,275900
2014-02-25,134.8155,136.4244,134.4996,135.5459,391974
2014-02-26,135.2103,138.754,135.0327,138.5862,469357
2014-02-27,139.3561,141.6856,138.9909,140.1457,541225
2014-02-28,140.1655,140.817,138.4677,139.2278,361102
2014-03-03,138.3789,139.1488,136.5923,138.4085,230588
2014-03-04,140.1655,144.3902,139.218,141.5277,528835
2014-03-05,141.3895,142.5246,140.8861,141.7942,213138
2014-03-06,141.9027,142.6134,141.1328,141.6955,170228
2014-03-07,142.6825,142.8109,140.738,141.6658,256352
2014-03-10,141.2118,141.6241,139.9088,140.432,276186
2014-03-11,140.2247,141.7744,137.6978,138.1913,306524
2014-03-12,137.1944,137.9939,136.1974,137.451,329128
2014-03-13,138.1913,139.287,137.8162,138.9415,642038
2014-03-14,138.1222,138.9514,136.839,137.7077,268570
2014-03-17,138.8922,140.7676,138.1025,140.0076,411802
2014-03-18,140.2543,142.0286,139.3265,141.4289,231258
2014-03-19,141.192,141.8396,138.0334,139.6522,273263
2014-03-20,139.4943,140.5899,138.6592,139.7312,218543
2014-03-21,139.3462,140.6097,137.5201,137.6879,543467
2014-03-24,137.6978,138.7933,133.938,137.5991,398329
2014-03-25,138.2802,138.8329,136.5133,137.6583,465516
2014-03-26,139.287,139.287,132.4366,132.486,479521
2014-03-27,131.9332,132.0665,125.5764,126.4944,1229679
2014-03-28,127.0867,130.9955,126.3464,128.5377,484863
2014-03-31,129.811,131.9036,128.6265,130.8573,437236
2014-04-01,131.0054,132.3972,130.1861,131.7358,661849
2014-04-02,127.2841,138.4973,124.8559,135.9704,1337639
2014-04-03,138.8428,138.8428,130.3638,131.9036,639252
2014-04-04,133.4435,133.4632,129.1793,129.7222,565171
2014-04-07,130.2355,131.0152,125.3593,125.5073,952368
2014-04-08,125.8331,126.5931,123.6418,125.2211,783338
2014-04-09,125.6159,126.1588,123.7108,125.3,515975
2014-04-10,125.5962,126.0897,120.4436,120.8187,601858
2014-04-11,119.5848,124.4018,119.3233,121.9637,618018
2014-04-14,123.4443,123.622,119.9698,120.9075,341972
2014-04-15,121.0162,122.8442,117.6071,122.0834,491285
2014-04-16,123.3778,125.7395,122.6763,124.7612,505362
2014-04-17,123.9213,125.8086,122.9529,124.4944,562274
2014-04-21,124.692,126.2039,124.0992,126.1149,287328
2014-04-22,126.0359,127.1426,124.9094,125.2355,319778
2014-04-23,124.8205,126.026,122.6367,125.8284,542074
2014-04-24,126.6288,126.6288,123.4865,124.0003,248876
2014-04-25,123.4569,123.4569,121.1941,122.4391,258681
2014-04-28,123.2296,124.1782,119.455,121.2039,255454
2014-04-29,121.4905,122.6466,120.9668,122.4391,259083
2014-04-30,121.9549,123.4075,120.9964,123.0913,301861
2014-05-01,123.2691,124.6624,121.3522,122.1624,282008
2014-05-02,122.5379,124.2474,121.9352,122.281,205006
2014-05-05,121.1249,123.3976,120.1466,122.864,299610
2014-05-06,122.3996,122.6565,120.6901,121.1545,261583
2014-05-07,121.2929,122.0142,118.2494,120.364,488247
2014-05-08,120.0281,122.4292,117.5182,117.8245,531104
2014-05-09,117.1032,118.5459,115.3839,118.5063,597251
2014-05-12,119.3364,121.6387,118.5241,120.8976,567965
2014-05-13,120.8383,121.8166,120.6111,120.947,503655
2014-05-14,120.6012,121.0557,119.0103,119.5142,430721
2014-05-15,118.6052,119.1783,117.2909,118.4075,760325
2014-05-16,118.2297,120.1862,117.8344,120.1071,306592
2014-05-19,119.9787,121.4609,119.4846,120.5518,225983
2014-05-20,120.1763,120.7099,118.1111,119.119,523234
2014-05-21,119.8601,121.4806,119.6131,121.1051,351706
2014-05-22,121.0261,122.8442,120.5518,122.2316,227540
2014-05-23,122.2217,123.3778,121.8067,123.1703,197060
2014-05-27,123.6545,125.5122,122.9332,124.7513,251512
2014-05-28,124.2474,124.5833,123.2098,123.2988,314659
2014-05-29,123.7138,124.2968,122.6071,124.0794,182122
2014-05-30,124.277,124.2869,122.864,124.0201,336482
2014-06-02,124.0102,124.3758,122.7899,124.0695,299152
2014-06-03,123.3976,124.3264,122.8541,123.3976,225354
2014-06-04,122.9035,124.03,122.2711,123.3976,173694
2014-06-05,123.3877,126.6782,123.0023,126.5003,234482
2014-06-06,127.2019,129.692,126.3719,129.2671,389201
2014-06-09,128.8817,131.8066,128.6149,131.0457,282269
2014-06-10,130.6702,130.6702,129.1485,129.5932,254645
2014-06-11,128.7236,129.7216,128.19,129.5635,190996
2014-06-12,129.0694,130.0081,126.273,126.6979,408897
2014-06-13,127.0833,127.9133,126.2927,127.3995,227949
2014-06-16,126.856,128.0616,126.5794,127.9924,239175
2014-06-17,127.6663,130.8876,127.3402,130.3837,390142
2014-06-18,130.0477,131.2236,129.356,131.1643,219157
2014-06-19,131.8461,133.0911,130.0378,133.0121,570927
2014-06-20,133.0121,133.8915,131.935,133.7927,545855
2014-06-23,133.7828,134.0694,132.6366,133.0615,391772
2014-06-24,132.4587,134.6227,132.0635,132.4884,450053
2014-06-25,132.0042,134.7413,132.0042,134.514,420476
2014-06-26,134.3658,136.5693,132.6761,135.5022,570085
2014-06-27,134.514,135.9369,134.1287,134.6919,3800948
2014-06-30,134.6919,136.8164,133.9014,136.6089,665716
2014-07-01,128.3284,130.937,115.9382,116.2238,3692159
2014-07-02,115.2159,118.5656,111.8068,118.0913,1293340
2014-07-03,118.2494,119.5538,116.5597,117.4688,568615
2014-07-07,117.9826,119.0498,117.5874,118.0123,966236
2014-07-08,117.5182,118.0419,113.3187,114.3858,618343
2014-07-09,114.8305,115.1269,113.0519,114.0301,472705
2014-07-10,112.538,113.5064,112.0143,112.2021,413913
2014-07-11,111.8167,113.1705,110.9924,112.8048,492607
2014-07-14,113.457,114.0351,112.0242,112.1329,374060
2014-07-15,112.3404,113.2199,111.5815,111.7377,310688
2014-07-16,112.2125,112.905,110.9067,112.2224,317272
2014-07-17,110.3231,113.647,110.3231,113.4195,405907
2014-07-18,110.3231,113.647,110.3231,113.4195,405907
2014-07-21,112.8852,113.36,110.5605,111.2826,403976
