date,open,high,low,close,volume
2014-01-02,120.7678,121.8688,120.3238,121.3538,3368009
2014-01-03,121.7001,122.9787,121.6912,122.1974,3177498
2014-01-06,123.7779,124.0975,122.3572,122.8988,4197039
2014-01-07,123.0498,125.2874,122.9787,124.7635,4242072
2014-01-08,124.9233,125.5537,123.7424,125.0387,4237122
2014-01-09,125.6514,126.5482,124.7901,126.2019,4053185
2014-01-10,126.788,126.7968,125.1098,125.9977,4549806
2014-01-13,125.6869,126.2108,124.648,124.9322,4463037
2014-01-14,125.0654,125.8201,122.3581,124.3195,8443317
2014-01-15,124.577,125.2696,124.4349,124.8611,3033652
2014-01-16,124.6036,125.5981,124.3772,124.4971,3062987
2014-01-17,124.3817,125.1986,124.0886,124.7191,3382785
2014-01-21,125.607,126.4949,125.0299,125.7935,3240664
2014-01-22,126.3618,128.3694,125.9711,128.1909,4390389
2014-01-23,127.0632,127.7647,125.2874,125.4738,4494777
2014-01-24,124.6658,124.728,121.043,121.3361,5873453
2014-01-27,121.3805,122.9432,120.4481,121.9665,5279775
2014-01-28,122.1885,122.6147,121.1496,121.7267,4611453
2014-01-29,116.9408,116.9941,113.7176,115.236,16000895
2014-01-30,116.9408,116.9408,111.1692,112.3502,10419713
2014-01-31,110.5122,112.6521,109.2868,111.2225,9736049
2014-02-03,110.3168,112.3413,108.9938,109.2868,9342365
2014-02-04,109.2779,109.9261,107.0226,108.3634,9307592
2014-02-05,107.4399,108.2746,105.4598,107.7951,9691926
2014-02-06,108.1414,108.9671,107.8927,108.9227,6740580
2014-02-07,109.8817,112.954,109.7929,112.7853,8928435
2014-02-10,114.5078,114.5167,112.1903,112.9096,8174510
2014-02-11,113.3447,116.044,113.176,115.5734,7878823
2014-02-12,116.3412,116.5734,114.2964,114.4125,5802666
2014-02-13,113.457,116.0287,113.457,115.6358,4204248
2014-02-14,115.2697,116.4484,114.3143,116.2252,4813870
2014-02-18,116.1984,116.9216,115.7251,116.6448,4653262
2014-02-19,116.1805,116.5288,114.6268,114.6447,5149154
2014-02-20,114.725,116.0734,113.8589,115.6894,4470511
2014-02-21,115.9037,115.9037,114.3946,114.5464,5170064
2014-02-24,114.6357,116.7966,114.6179,115.7162,4638248
2014-02-25,115.4572,115.8591,112.698,113.207,7317397
2014-02-26,113.6178,114.2428,112.832,113.0552,4804395
2014-02-27,112.9302,114.7965,112.7427,114.7965,4649978
2014-02-28,114.9661,116.0377,114.35,115.1179,4365211
2014-03-03,113.5642,114.6893,112.9749,114.4929,4847051
2014-03-04,115.5287,116.9752,115.484,116.2877,5423308
2014-03-05,116.4395,116.7966,114.9125,115.0018,4097125
2014-03-06,115.1983,115.5197,114.3232,115.0643,3599923
2014-03-07,115.8591,116.2252,114.3589,114.7786,4301861
2014-03-10,112.9659,113.6535,111.4033,113.3052,7039871
2014-03-11,113.4303,113.6446,112.1712,112.2159,4190977
2014-03-12,111.6176,111.7962,110.555,111.1086,5041992
2014-03-13,111.3051,112.1623,108.6084,108.8405,6071160
2014-03-14,109.0459,110.9747,108.8941,109.9299,5702757
2014-03-17,110.6979,112.3498,110.6532,111.9926,4381634
2014-03-18,112.1444,112.3467,110.421,110.7604,4151560
2014-03-19,111.0104,111.7962,108.3762,109.1531,6672961
2014-03-20,109.4656,110.6376,108.3851,110.4836,4601670
2014-03-21,110.7782,111.1265,109.3852,109.4567,7975403
2014-03-24,110.305,110.68,109.0102,110.2067,4476014
2014-03-25,111.1354,111.6176,110.3317,110.7425,3229412
2014-03-26,111.2693,111.9033,110.1174,110.305,3091527
2014-03-27,109.8406,110.9925,108.7602,110.0192,3116046
2014-03-28,110.5282,111.7872,110.296,111.1354,2863453
2014-03-31,111.939,112.5462,111.439,112.0551,2962010
2014-04-01,112.7248,114.6536,112.6623,114.4839,3953038
2014-04-02,114.859,114.9804,113.7606,114.5732,2934724
2014-04-03,115.3411,115.3411,114.5464,114.9929,3305277
2014-04-04,115.484,116.0109,113.6089,113.7428,4157463
2014-04-07,113.5731,114.4527,111.5729,112.1444,3753854
2014-04-08,111.8676,112.2694,110.7782,110.8586,4122171
2014-04-09,111.6087,113.4213,110.7693,113.2963,3691406
2014-04-10,113.2427,113.2785,110.4032,110.4032,3959932
2014-04-11,109.8764,110.2334,108.8673,109.0013,3855303
2014-04-14,109.9031,110.5193,109.0995,110.0549,3086264
2014-04-15,110.1442,111.2158,109.0548,110.9657,2747116
2014-04-16,111.6176,112.5462,111.3765,112.5462,2826242
2014-04-17,112.9034,114.6268,112.3587,114.225,3449510
2014-04-21,114.3411,114.6893,113.7339,114.1357,2368601
2014-04-22,114.5196,115.3054,113.8321,113.8946,5022752
2014-04-23,116.6806,117.4217,115.484,116.6448,7123426
2014-04-24,116.4484,116.6359,114.6804,115.9573,4177695
2014-04-25,115.9394,116.0823,114.6268,114.8857,2978970
2014-04-28,114.475,115.0733,112.3319,113.4392,4354586
2014-04-29,113.5821,114.8054,112.9838,114.6268,3344129
2014-04-30,114.3411,115.6358,114.1178,115.2072,2775093
2014-05-01,114.9572,115.7251,114.5375,114.7072,2807335
2014-05-02,114.9215,116.4395,114.8411,116.0287,3763984
2014-05-05,115.1893,118.2075,115.1447,117.8325,4026799
2014-05-06,117.6449,117.7967,116.7073,116.8234,4032030
2014-05-07,117.4251,117.7214,116.0153,117.0479,2900669
2014-05-08,116.8863,117.8741,116.8863,117.2455,2988854
2014-05-09,116.9671,117.9279,116.6259,117.7214,2544165
2014-05-12,118.3679,119.4185,118.2063,119.0683,3288554
2014-05-13,119.4365,120.1728,119.3018,119.8316,3132290
2014-05-14,120.1459,120.2985,119.1492,119.4185,2884647
2014-05-15,119.1581,119.3018,117.2374,117.8202,3597638
2014-05-16,117.91,118.2692,116.7606,117.461,2964672
2014-05-19,117.1108,118.5924,117.0479,117.9459,2103213
2014-05-20,117.5777,118.1689,115.8986,116.3565,2996348
2014-05-21,117.1198,118.0177,116.7696,117.5957,2476186
2014-05-22,118.2243,118.9606,117.8741,118.3859,2370809
2014-05-23,118.5296,119.0497,118.4667,118.8977,1956559
2014-05-27,119.5083,120.514,119.3108,120.4781,3086912
2014-05-28,120.4781,121.3581,120.4781,120.6218,2609712
2014-05-29,120.963,121.403,120.7116,121.3491,2234120
2014-05-30,120.9271,121.6185,120.3614,121.4479,2762624
2014-06-02,121.6724,122.1483,121.0169,122.0316,2630152
2014-06-03,121.9418,122.5973,121.7802,122.0136,2468882
2014-06-04,121.7083,121.7173,120.8553,121.5197,2601922
2014-06-05,121.8071,123.3578,121.8071,122.8577,3493276
2014-06-06,123.3695,124.1418,123.1271,124.1418,2711659
2014-06-09,124.1418,124.2675,123.4684,123.8814,2585342
2014-06-10,123.5491,123.6928,122.3818,123.2438,2370554
2014-06-11,121.4479,121.6993,120.1638,120.4153,5558856
2014-06-12,120.1998,120.4781,118.2063,118.7002,3831603
2014-06-13,119.0055,119.3826,118.1255,118.79,2376911
2014-06-16,118.7092,119.5443,118.2153,119.0145,2169076
2014-06-17,118.6194,119.4724,118.2781,118.9336,2223350
2014-06-18,119.0773,119.1312,117.6586,118.9606,2865125
2014-06-19,118.9606,119.3647,118.35,119.2659,2795278
2014-06-20,119.8585,120.3973,118.6104,118.6194,8086238
2014-06-23,118.8169,119.0055,117.3173,117.4969,4436368
2014-06-24,117.1826,117.8469,115.8357,115.9704,4322064
2014-06-25,115.8716,115.9614,113.3933,114.0937,7930180
2014-06-26,114.408,115.3329,113.4642,114.9557,3929845
2014-06-27,115.0006,115.6364,114.5427,115.4227,3688198
2014-06-30,114.8569,114.8569,113.3214,114.2463,5714756
2014-07-01,114.6325,115.2341,114.3631,115.0725,3776278
2014-07-02,115.0725,115.3867,114.3451,114.5965,2859242
2014-07-03,114.9288,115.4945,114.6684,115.3957,1997530
2014-07-07,115.0276,116.2847,114.7312,115.9165,3161772
2014-07-08,115.7369,115.8088,113.07,113.8512,5725199
2014-07-09,115.2161,115.2251,113.061,113.8512,8025001
2014-07-10,112.7288,114.6055,112.3479,113.8512,3936933
2014-07-11,114.2014,115.1533,113.4651,115.0186,3194698
2014-07-14,115.7549,117.2545,115.6157,116.3026,5271166
2014-07-15,117.012,117.012,115.2431,115.9255,4916677
2014-07-16,116.3386,116.3386,114.1678,114.4169,5265197
2014-07-17,114.2284,115.0994,112.9533,113.0341,5296017
2014-07-18,113.4831,114.7761,113.3663,114.6145,3107465
2014-07-21,114.3092,115.3149,113.8333,115.2071,2742998
2014-07-22,115.8267,116.7426,115.4586,116.5002,5107214
2014-07-23,114.7492,115.2969,113.1598,113.7794,12326310
2014-07-24,113.07,113.1868,111.346,111.7051,10307154
2014-07-25,111.777,111.8219,109.9182,110.6276,6124206
2014-07-28,110.8431,111.8488,109.6937,110.5019,4982485
2014-07-29,110.7264,111.0137,109.7329,109.8374,4101880
2014-07-30,110.6276,111.1664,109.3345,109.8105,4049024
2014-07-31,109.0741,109.5949,108.1223,108.1852,5591290
2014-08-01,108.1582,109.2896,107.4309,108.0954,5852726
2014-08-04,108.4725,108.8227,107.5476,107.6913,4671123
2014-08-05,107.4578,109.5305,107.4488,108.8945,6098103
2014-08-06,107.7925,107.8286,106.4825,106.9071,6239710
2014-08-07,107.5034,108.6055,107.3859,108.2622,4650601
2014-08-08,108.2261,108.994,107.7563,108.9759,4349725
2014-08-11,109.4457,109.9967,109.0843,109.1295,2811028
2014-08-12,108.8675,109.2559,108.4158,108.8314,2304913
2014-08-13,109.012,110.4213,108.9759,110.1955,2641117
2014-08-14,110.3942,112.6437,110.3581,112.1197,4825075
2014-08-15,112.472,112.472,110.349,111.2615,4573022
2014-08-18,111.6409,113.1405,111.6319,112.9056,4201803
2014-08-19,113.1225,113.6374,113.0231,113.4477,2991557
2014-08-20,113.7277,115.3719,113.4477,115.0467,4335358
2014-08-21,115.2183,115.4351,114.4956,115.1822,2524057
2014-08-22,115.0286,115.4532,114.6944,115.146,2400949
2014-08-25,115.7061,116.0765,115.4306,115.932,2314353
2014-08-26,116.2572,116.6547,115.9139,116.1759,2334219
2014-08-27,116.3295,116.5282,115.5887,115.8146,3079182
2014-08-28,115.0376,115.408,114.4775,114.8299,3079399
2014-08-29,115.0467,115.0467,113.8723,114.5498,3032810
2014-09-02,113.4838,114.062,112.5352,113.3573,4584780
2014-09-03,113.3393,114.0439,113.1044,113.7729,3966666
2014-09-04,114.1704,114.5046,113.1586,113.3393,2984001
2014-09-05,113.3122,113.4206,112.1107,112.6437,4917882
2014-09-08,113.7368,115.8597,113.7368,115.6158,6103489
2014-09-09,115.4622,116.2482,115.2906,115.8236,4866412
2014-09-10,116.0585,116.0585,115.1641,115.8326,3070267
2014-09-11,115.4713,115.6248,114.9112,115.3087,1988616
2014-09-12,115.1731,115.2364,114.3782,114.6853,3109244
2014-09-15,114.6582,114.6853,113.547,114.1071,3265859
2014-09-16,114.0078,115.3629,113.5741,115.0196,3379618
2014-09-17,115.8597,115.9772,114.9112,115.4171,3139781
2014-09-18,115.6339,116.4469,115.6339,116.1578,2722296
2014-09-19,116.7812,117.1696,116.465,116.8535,5635667
2014-09-22,116.8715,117.3232,116.0494,116.1849,2890261
2014-09-23,115.8868,116.1217,114.7576,115.0738,2963455
2014-09-24,115.146,116.3566,114.9383,116.1578,2891440
2014-09-25,115.9139,116.0762,114.7395,114.857,2913091
2014-09-26,114.9021,116.5373,114.6944,116.2572,2524326
2014-09-29,114.9202,117.0161,114.7305,116.3295,3490832
2014-09-30,116.1488,116.8896,115.0105,115.0738,4009907
2014-10-01,115.0647,115.0647,112.3004,112.6256,5272526
2014-10-02,112.3817,113.4206,111.8741,112.1739,3207500
2014-10-03,112.6166,114.613,112.6166,114.1523,3081354
2014-10-06,114.8118,114.902,113.267,114.062,2680998
2014-10-07,113.3935,113.3935,111.3789,111.406,3564807
2014-10-08,111.5415,113.005,110.349,112.9056,3613817
2014-10-09,112.6708,112.6979,110.4936,110.9001,4874923
2014-10-10,110.9995,111.4421,109.7618,109.7618,4220241
2014-10-13,110.2587,111.2886,108.6371,108.8133,3883441
2014-10-14,110.069,111.4512,109.0572,110.4755,3768207
2014-10-15,109.3644,109.4186,105.0823,108.5784,7819029
2014-10-16,107.4221,109.5812,106.9523,108.6687,4492603
2014-10-17,110.4755,111.9029,110.0148,111.3337,4872389
2014-10-20,111.4693,112.6708,111.1169,112.3004,3676264
2014-10-21,113.1134,114.9473,112.8605,114.8389,5209474
2014-10-22,115.6248,115.6339,109.6173,109.7167,13844400
2014-10-23,109.5541,111.0085,109.3644,110.2406,7806465
2014-10-24,110.3942,110.9723,109.545,110.4304,4016436
2014-10-27,110.331,110.4213,109.545,110.3219,2944389
2014-10-28,110.6652,111.8306,110.1774,111.668,4163622
2014-10-29,112.4539,112.4539,110.7149,111.1892,3246309
2014-10-30,110.6833,112.1314,110.2226,111.8577,2569875
2014-10-31,112.9508,113.7277,112.6798,112.8424,4668628
2014-11-03,113.2399,114.053,112.8198,113.8542,3907297
2014-11-04,113.7729,114.4685,113.1587,113.6826,3684838
2014-11-05,114.5003,114.7184,112.8557,112.8738,3334000
2014-11-06,113.1101,113.4009,112.1015,113.201,2341850
2014-11-07,113.519,113.5281,112.8284,113.0828,2366682
2014-11-10,113.4645,113.5735,112.4922,113.2555,2622734
2014-11-11,113.201,114.2459,113.0828,113.9097,3056237
