date,open,high,low,close,volume
2014-01-02,14.7993,15.2426,14.7899,15.1861,149225696
2014-01-03,15.3464,15.5633,15.3087,15.4785,130054547
2014-01-06,15.6813,15.7803,15.6199,15.7143,114727379
2014-01-07,15.818,15.8369,15.5162,15.5633,112141137
2014-01-08,15.7237,15.7426,15.5814,15.6388,101227932
2014-01-09,15.7237,15.9655,15.6718,15.8746,101275343
2014-01-10,15.7992,15.8369,15.6671,15.818,87682477
2014-01-13,15.8369,15.8463,15.469,15.4973,90827849
2014-01-14,15.6011,15.818,15.5916,15.818,98517898
2014-01-15,16.2519,16.4311,16.1387,16.1764,330005943
2014-01-16,16.1199,16.167,16.0255,16.1104,163879260
2014-01-17,16.2236,16.2425,16.0255,16.0444,96509703
2014-01-21,16.1104,16.1812,15.9123,16.0444,118388995
2014-01-22,16.1104,16.1764,16.035,16.1764,68231534
2014-01-23,16.101,16.1199,15.7897,15.9029,124037063
2014-01-24,15.7237,15.7709,15.5162,15.5162,114269725
2014-01-27,15.4407,15.6011,15.1483,15.3841,135060624
2014-01-28,15.5162,15.8086,15.4407,15.7803,93652513
2014-01-29,15.6105,15.8935,15.5539,15.7331,130381992
2014-01-30,15.8557,16.0255,15.8133,15.9689,91147776
2014-01-31,15.7709,16.0161,15.6671,15.7992,139608553
2014-02-03,15.818,15.9218,15.3747,15.4219,160718806
2014-02-04,15.5539,15.6199,15.337,15.4219,125833754
2014-02-05,15.3841,15.5162,15.2332,15.469,110835126
2014-02-06,15.5162,15.7803,15.5068,15.7426,110229403
2014-02-07,15.8652,15.9218,15.686,15.8652,151911622
2014-02-10,15.7614,15.7803,15.6577,15.7709,96136622
2014-02-11,15.7756,15.9595,15.6907,15.9218,92866298
2014-02-12,15.9123,15.9501,15.7048,15.7992,97286498
2014-02-13,15.7001,15.8652,15.686,15.7992,96047289
2014-02-14,15.7897,15.8086,15.7048,15.752,113375071
2014-02-18,15.752,15.7897,15.535,15.535,122179187
2014-02-19,15.4502,15.5162,15.2615,15.2804,138080546
2014-02-20,15.2992,15.4313,15.2615,15.3747,107820954
2014-02-21,15.3653,15.5492,15.3275,15.3653,106622165
2014-02-24,15.3747,15.686,15.3747,15.5916,103039579
2014-02-25,15.5633,15.6199,15.3936,15.4124,81617640
2014-02-26,15.4313,15.469,15.2144,15.403,90012056
2014-02-27,15.3464,15.5539,15.2898,15.5539,71807622
2014-02-28,15.5539,15.7048,15.4171,15.5916,126312615
2014-03-03,15.3747,15.4785,15.2709,15.3747,87613440
2014-03-04,15.5445,15.7897,15.4973,15.7803,101701851
2014-03-05,15.8464,16.3371,15.8369,16.2805,207621573
2014-03-06,16.441,16.64,16.3371,16.3749,138302215
2014-03-07,16.5542,16.6014,16.2764,16.356,109771403
2014-03-10,16.2994,16.4881,16.2805,16.4881,81974096
2014-03-11,16.5259,16.5353,16.2805,16.2994,90642730
2014-03-12,16.2144,16.356,16.1106,16.3088,83501627
2014-03-13,16.3654,16.4881,16.1106,16.1956,100875677
2014-03-14,16.1201,16.2522,15.818,15.8558,131297215
2014-03-17,16.0257,16.205,16.0162,16.1484,79942183
2014-03-18,16.1767,16.2522,16.1106,16.2239,67402402
2014-03-19,16.1956,16.507,16.1578,16.4598,105006477
2014-03-20,16.4598,16.9884,16.4504,16.9128,167048671
2014-03-21,17.0167,17.0167,16.5731,16.5731,156026291
2014-03-24,16.6297,16.658,16.3277,16.3938,118499989
2014-03-25,16.507,16.592,16.2333,16.2428,98348557
2014-03-26,16.4032,16.4221,16.2144,16.2144,97573715
2014-03-27,16.3088,16.507,15.8841,16.054,175139455
2014-03-28,16.1248,16.1861,15.903,16.0257,79909509
2014-03-31,16.1861,16.2994,16.1578,16.2333,62115774
2014-04-01,16.3088,16.4221,16.2899,16.3654,57423776
2014-04-02,16.3749,16.4032,16.1672,16.2616,65285679
2014-04-03,16.2428,16.2711,16.0729,16.1861,56534512
2014-04-04,16.2428,16.2522,15.7614,15.7803,110409594
2014-04-07,15.752,15.7614,15.2801,15.4594,129464876
