date,open,high,low,close,volume
2014-01-02,102.5975,102.5975,101.0921,101.4174,665048
2014-01-03,101.5939,102.3466,101.5197,101.6311,419876
2014-01-06,102.1701,102.6347,101.3616,101.7054,510658
2014-01-07,102.4767,103.5639,102.4767,103.1736,1214211
2014-01-08,102.6997,103.5825,102.1979,103.2201,1162103
2014-01-09,103.5639,104.4467,103.248,104.2144,650074
2014-01-10,104.2144,104.7348,103.4989,104.5768,932513
2014-01-13,104.1029,104.5768,102.9413,103.2015,650583
2014-01-14,103.7405,103.8055,102.7926,103.7962,817660
2014-01-15,103.9728,104.0285,103.3966,103.9077,726866
2014-01-16,103.7869,104.4374,103.6476,104.0657,665102
2014-01-17,103.536,104.1215,103.2666,103.4338,960549
2014-01-21,104.2515,104.5582,103.2294,103.5639,813230
2014-01-22,103.9635,104.1726,103.2201,103.6661,611516
2014-01-23,103.5082,103.5082,102.1608,102.5882,771738
2014-01-24,101.1479,102.2351,100.1164,100.1257,1072187
2014-01-27,100.5903,100.674,99.1054,99.3359,989830
2014-01-28,99.4474,100.6833,99.3452,100.5532,709215
2014-01-29,99.8841,100.7948,99.6425,100.1164,869504
2014-01-30,100.7018,100.9713,100.0235,100.3394,1070557
2014-01-31,99.3266,100.8227,98.8062,100.4695,1474984
2014-02-03,100.6554,100.7892,97.7654,97.942,1911718
2014-02-04,99.6983,100.6833,98.1,98.5088,1426444
2014-02-05,98.7319,99.9585,98.3973,99.6611,1416850
2014-02-06,99.7354,100.1257,99.2987,99.5868,1081016
2014-02-07,99.977,102.3652,99.8934,102.328,1327390
2014-02-10,102.04,103.2294,101.8262,103.09,1393895
2014-02-11,102.6904,105.0042,102.6625,104.9949,1398568
2014-02-12,104.8556,105.3434,104.521,105.2923,1251682
2014-02-13,104.8277,106.2866,104.4746,106.2494,964324
2014-02-14,105.9335,106.3888,105.6361,106.3052,725159
2014-02-18,106.3981,107.3459,106.0543,107.2065,1074374
2014-02-19,106.9185,107.7083,105.8313,105.9242,944553
2014-02-20,106.203,107.634,105.9335,107.3459,1074422
2014-02-21,107.4946,107.6526,106.7512,106.8441,628485
2014-02-24,106.8999,107.7455,106.8534,106.8627,825247
2014-02-25,106.8441,107.4481,105.9242,106.426,881395
2014-02-26,106.3609,107.4388,106.1193,106.7605,932082
2014-02-27,106.8627,107.1694,106.3981,106.9556,763841
2014-02-28,106.9278,108.1272,106.3609,107.0671,1023064
2014-03-03,106.5654,108.1079,106.0729,106.807,971373
2014-03-04,108.0243,108.5818,107.7641,108.4424,1160734
2014-03-05,108.4424,108.4424,107.1972,108.0521,740213
2014-03-06,108.505,108.6357,107.4593,107.5153,791933
2014-03-07,108.1408,108.1408,107.3193,107.8981,894424
2014-03-10,107.7114,108.2996,107.534,107.9354,672198
2014-03-11,107.9448,107.9448,107.422,107.6834,909447
2014-03-12,107.2726,107.8514,106.9178,107.8047,678277
2014-03-13,108.0568,108.2809,107.2539,107.5433,1021297
2014-03-14,107.3659,108.4209,107.2166,107.6927,1011127
2014-03-17,107.8794,108.533,107.8047,107.9448,605038
2014-03-18,107.9448,109.1025,107.7954,109.0558,595022
2014-03-19,108.9718,109.2612,107.4126,107.9821,657228
2014-03-20,107.9354,108.1222,107.3659,107.9821,600842
2014-03-21,108.7664,109.2985,106.9085,106.9645,1295012
2014-03-24,107.5153,108.0662,105.6574,106.0215,906322
2014-03-25,106.4323,106.9551,105.6294,106.7217,552762
2014-03-26,107.2912,108.2435,106.9178,106.9271,630067
2014-03-27,107.1605,107.7301,106.4585,107.4966,713152
2014-03-28,108.0101,108.9624,107.5713,107.8701,809594
2014-03-31,108.4023,109.4759,107.9728,109.3079,723792
2014-04-01,110.1668,110.1668,108.6991,109.4759,697078
2014-04-02,109.2892,109.4946,108.8784,109.3826,631541
2014-04-03,109.7373,109.8587,108.2902,109.616,861397
2014-04-04,110.0454,110.8857,108.5796,108.617,824600
2014-04-07,108.5983,109.1025,107.4836,107.7767,726956
2014-04-08,107.4966,107.8421,105.9375,106.1989,1157949
2014-04-09,106.7684,107.8421,106.0029,107.8141,736210
2014-04-10,107.6834,107.7767,104.7985,105.1626,872753
2014-04-11,104.5838,105.3307,103.7902,103.7995,840916
2014-04-14,104.2103,105.8628,104.117,105.2466,1120659
2014-04-15,105.4894,106.367,104.0983,106.2083,762046
2014-04-16,106.591,107.1044,105.1346,105.4334,747400
2014-04-17,105.1719,106.0869,104.9665,105.6481,763780
2014-04-21,105.6481,106.5724,105.6294,106.5537,433500
2014-04-22,107.0018,107.2352,106.591,106.6097,734079
2014-04-23,106.7124,106.7124,105.6854,106.1522,789170
2014-04-24,106.4137,106.7124,105.9468,106.4697,699655
2014-04-25,106.1709,106.3296,104.8825,105.0879,661900
2014-04-28,105.7228,105.9515,104.0423,105.3213,673403
2014-04-29,105.5454,106.0402,104.6304,104.7331,812527
2014-04-30,104.8078,105.5454,104.4997,105.5267,1344811
2014-05-01,105.4334,105.5547,103.6968,104.1823,1077113
2014-05-02,104.3504,106.1009,104.1263,105.1253,1084104
2014-05-05,104.8825,106.0776,104.5072,105.9562,658477
2014-05-06,105.5641,107.2119,105.3214,106.7498,1082526
2014-05-07,106.8711,107.7674,105.7881,107.6834,926359
2014-05-08,107.6834,109.6906,107.562,108.7664,1265176
