date,open,high,low,close,volume
2017-07-03,37.5079,39.3697,37.2147,39.3356,4124512
2017-07-05,39.9425,39.9621,36.4671,36.4671,5883326
2017-07-06,37.2895,37.2895,35.7525,36.2322,5133756
2017-07-07,37.3384,37.779,35.3609,37.1133,6085969
2017-07-10,36.8391,37.3678,36.0266,36.4476,4721508
2017-07-11,36.5259,36.986,36.1147,36.565,2796240
2017-07-12,36.9762,37.1916,36.4671,36.5846,3268809
2017-07-13,36.6629,36.8587,35.9189,36.0657,4086813
2017-07-14,36.2224,36.707,36.1343,36.565,2874663
2017-07-17,36.9175,37.5636,36.8489,36.8489,3926058
2017-07-18,36.7315,36.986,35.9581,35.9776,3278954
2017-07-19,35.821,36.3105,35.5958,35.7721,4235240
2017-07-20,35.821,36.1245,34.1274,34.2351,6623457
2017-07-21,34.0001,34.1469,32.7372,33.4029,7851715
2017-07-24,33.54,33.7358,33.168,33.6379,2851511
2017-07-25,34.0784,34.5385,34.0393,34.5092,2979840
2017-07-26,34.8322,35.4196,34.4798,35.2924,3826003
2017-07-27,35.214,36.2615,34.9497,35.4,4730051
2017-07-28,34.1176,36.7119,33.5064,36.3203,4263752
2017-07-31,36.3594,36.3888,35.6644,36.1147,3322672
2017-08-01,34.6756,34.7931,34.3232,34.4896,3115457
2017-08-02,34.6169,34.8029,34.2987,34.6071,3405796
2017-08-03,34.519,34.7637,34.3329,34.5679,3200150
2017-08-04,34.6756,34.7931,34.3232,34.4896,3115457
2017-08-07,34.3623,34.5287,33.677,33.8337,2058552
2017-08-08,34.0197,34.7245,33.9161,34.2057,2155678
2017-08-09,34.2253,34.7172,34.1958,34.4516,2267019
2017-08-10,34.4418,34.7172,34.0089,34.1368,1984469
2017-08-11,33.9499,34.3237,33.7236,33.7335,1193191
2017-08-14,33.9499,33.9794,33.581,33.7039,1933549
2017-08-15,33.4777,33.8613,33.4777,33.7531,2158590
2017-08-16,33.8122,33.9499,33.2121,33.2809,1383406
2017-08-17,33.2416,33.5367,32.2184,32.2676,2230740
2017-08-18,32.2086,32.5923,31.9037,32.2381,3248495
2017-08-21,32.2381,32.4546,31.9332,32.0119,2354727
2017-08-22,32.0906,32.4103,31.9036,32.1594,1874751
2017-08-23,31.9823,32.7005,31.9823,32.5037,1580026
2017-08-24,32.5529,32.5529,32.0119,32.2873,1787191
2017-08-25,32.3463,32.8677,32.3366,32.7202,2037096
2017-08-28,32.73,32.8579,32.2873,32.7103,2518129
2017-08-29,32.5628,33.2612,32.5628,33.2022,2252996
2017-08-30,33.0547,33.1825,32.6981,32.9661,1637489
2017-08-31,33.4383,33.7925,32.9169,33.3498,3648374
2017-09-01,33.4186,33.881,33.1825,33.7433,1724403
2017-09-05,34.2647,34.8746,33.9302,34.4024,4389683
2017-09-06,34.8156,35.1599,34.1565,34.1762,3353311
2017-09-07,34.2057,34.6779,33.7335,34.186,2085980
2017-09-08,34.2057,34.4123,33.5072,33.8613,3019167
2017-09-11,33.9597,35.0222,33.8122,34.9041,2849534
2017-09-12,34.8058,35.8092,34.668,35.3764,3548583
2017-09-13,35.3567,36.1339,35.3173,35.5042,4303419
2017-09-14,35.76,36.5372,35.6125,35.7895,4785721
2017-09-15,35.7797,36.3109,35.7797,36.3011,8293145
2017-09-18,36.3109,36.8815,36.183,36.7536,3251905
2017-09-19,36.7044,36.8422,36.4585,36.7831,2961456
2017-09-20,36.9405,37.0684,36.6356,36.8914,2254136
2017-09-21,36.5667,36.6553,35.7748,35.9863,2626484
2017-09-22,35.9371,36.1437,35.6912,36.0748,3605847
2017-09-25,36.2519,37.4816,36.0355,36.911,4736968
2017-09-26,36.734,36.734,36.0647,36.4388,2629118
2017-09-27,36.4978,36.5962,36.0945,36.3306,2168587
2017-09-28,36.5175,36.6356,35.9666,36.429,2129601
2017-09-29,36.2027,36.4487,35.7305,36.0256,3251225
2017-10-02,35.3764,36.3109,35.337,36.2617,1908649
2017-10-03,36.2421,36.4978,35.7994,36.0748,2466311
2017-10-04,36.1535,36.488,35.9371,36.1142,1970638
2017-10-05,36.2421,36.3208,35.8682,35.8879,1909838
2017-10-06,35.5731,36.1142,35.4551,35.9371,1827879
2017-10-09,35.9961,36.0748,35.2189,35.2583,3165113
2017-10-10,35.4747,35.642,34.3532,34.4024,4350082
2017-10-11,34.245,34.3336,33.6744,33.8318,4578158
2017-10-12,33.5859,33.7433,33.2317,33.3695,4677528
2017-10-13,33.7039,34.0384,33.1629,33.1825,2854919
2017-10-16,33.4875,33.6695,33.095,33.153,2896282
2017-10-17,33.094,33.517,32.7595,33.2416,4636842
2017-10-18,33.2908,33.7039,33.2022,33.2514,2631429
2017-10-19,33.0055,33.3399,32.5136,32.612,4702269
2017-10-20,31.4905,32.8874,30.9297,32.7202,7152564
2017-10-23,32.5628,32.7202,30.8904,30.9592,5767345
2017-10-24,31.0478,31.1461,30.1329,30.1919,4213779
2017-10-25,30.2017,30.3591,29.5131,29.5623,4169848
2017-10-26,29.6311,29.8476,29.2475,29.4541,2599019
2017-10-27,29.3065,30.8018,29.1393,30.792,4641739
2017-10-30,30.6739,31.2544,30.5854,30.9887,4545954
2017-10-31,30.7821,31.0182,30.5464,30.9199,3144708
2017-11-01,31.2347,31.8151,31.0478,31.3331,3127214
2017-11-02,31.274,31.6479,30.5903,30.7723,3900514
2017-11-03,30.5843,31.1285,30.526,30.8515,4539086
2017-11-06,31.2176,33.6219,31.2077,33.5626,8134486
2017-11-07,33.6813,33.7209,32.959,33.0481,4451305
2017-11-08,32.8897,33.3647,32.4445,32.494,3370157
2017-11-09,32.3455,32.6028,31.8508,32.395,3858096
2017-11-10,32.306,32.7908,32.0586,32.6028,2512611
2017-11-13,32.395,32.4445,31.5045,31.5441,3665153
2017-11-14,31.1285,31.4154,29.6344,30.1885,6311904
2017-11-15,29.5355,30.5051,29.3079,30.2776,4733244
2017-11-16,30.2875,30.8218,29.7927,29.8323,3926933
2017-11-17,29.8818,30.6931,29.8422,30.5843,2690587
2017-11-20,30.5942,30.5942,29.9906,30.1192,3927182
2017-11-21,30.2281,30.6635,30.2281,30.3369,3346074
2017-11-22,30.426,30.802,30.2776,30.3864,3378941
2017-11-24,30.4557,30.7822,30.2775,30.4755,1314053
2017-11-27,30.3468,30.4755,29.862,29.9906,2622592
2017-11-28,29.8818,30.05,29.674,29.763,4314469
2017-11-29,29.7136,29.9807,29.5849,29.6641,4887853
2017-11-30,29.7037,30.3072,29.3821,29.4167,11606444
2017-12-01,29.7235,30.5051,29.5157,30.3765,10813070
2017-12-04,30.3765,32.2466,30.2726,31.3759,7928433
2017-12-05,31.4154,31.6529,30.426,30.4854,4719815
2017-12-06,30.327,30.8416,29.9708,30.1885,4477537
2017-12-07,30.1984,30.7723,29.9807,30.05,3670109
2017-12-08,30.2281,30.4755,29.7531,29.9411,4723836
2017-12-11,29.9313,30.3666,29.8917,30.2677,7036912
2017-12-12,30.3567,31.3264,30.2677,30.6239,5889758
2017-12-13,30.5744,30.6931,29.7729,30.0104,5404062
2017-12-14,29.9214,30.515,29.7037,30.2677,7625301
2017-12-15,30.2875,30.515,29.7828,29.9411,9025329
2017-12-18,30.1588,30.896,30.0104,30.703,6014837
2017-12-19,30.8515,31.7529,30.5348,31.4946,6025242
2017-12-20,31.5243,32.5335,31.4748,32.395,4432071
2017-12-21,32.5533,32.771,31.9498,31.9596,6206689
2017-12-22,31.6628,32.118,31.1582,31.8904,2640570
2017-12-26,31.8904,32.1279,31.5639,31.7222,2191608
2017-12-27,31.742,32.0091,31.5441,31.6925,2930091
2017-12-28,31.6628,31.7914,30.9405,31.0691,2746359
2017-12-29,31.2472,31.46,30.7327,31.3066,3050236
2018-01-02,31.3759,31.9003,31.2769,31.8904,3653271
2018-01-03,32.0883,33.2954,32.0685,33.1767,4954241
2018-01-04,33.4241,34.3047,32.9491,34.2651,6213650
2018-01-05,34.3344,34.3344,33.335,34.0771,4034566
2018-01-08,34.0573,34.2156,33.2954,34.1464,4656781
2018-01-09,34.1563,34.6807,33.7308,34.6609,3396731
2018-01-10,34.6015,35.2743,34.5026,35.0962,3496155
2018-01-11,35.1259,36.2341,34.7301,36.1154,5641504
2018-01-12,36.0362,36.8328,35.868,36.808,4082422
2018-01-16,36.6893,36.7091,35.68,35.8977,3872694
2018-01-17,35.9769,36.2638,35.5613,35.9076,4075132
2018-01-18,35.6899,35.7394,34.275,34.3739,7035413
2018-01-19,34.0078,34.5718,33.8397,34.3739,5061821
2018-01-22,34.6312,35.3782,33.9979,35.1754,6013088
2018-01-23,35.1853,35.6602,34.6263,35.4426,6187327
2018-01-24,35.5811,35.779,32.8095,33.4241,10236277
2018-01-25,33.4438,33.5269,31.9498,31.9695,6469444
2018-01-26,32.1279,32.6572,31.7618,32.395,3885072
2018-01-29,32.1575,32.3554,30.99,31.0691,4832574
2018-01-30,30.7525,31.554,30.3963,31.5243,6497647
2018-01-31,31.5342,32.4742,31.3165,31.8112,7545874
2018-02-01,32.1575,32.7215,31.7123,32.1081,6530479
2018-02-02,31.6404,31.8195,30.7449,30.8942,6506376
2018-02-05,30.6255,31.0832,29.0634,29.2326,4453397
2018-02-06,28.7052,29.4415,27.8893,29.0734,8368661
2018-02-07,29.2823,29.6803,28.4963,28.6654,3656339
2018-02-08,28.7948,28.9142,27.3123,27.362,7637940
2018-02-09,27.5312,27.6356,25.5511,26.367,6341890
2018-02-12,26.7451,26.9839,25.8795,26.7153,9381432
2018-02-13,26.5959,26.6257,25.7725,25.8098,4477042
2018-02-14,25.5113,26.4964,25.5014,26.2874,6140902
2018-02-15,26.367,26.6357,25.4019,26.0088,4577379
2018-02-16,25.8695,26.8844,25.8695,26.3969,4532145
