date,open,high,low,close,volume
2014-01-02,282.9766,282.9766,278.5709,280.6616,396548
2014-01-03,279.899,283.5239,278.5262,281.8909,442877
2014-01-06,283.7841,285.0133,280.2848,281.8011,504766
2014-01-07,281.846,286.7899,281.846,284.3942,422686
2014-01-08,285.0402,286.5297,282.6805,284.3045,689080
2014-01-09,284.7172,286.1528,281.7473,283.6046,472598
2014-01-10,283.2996,286.2246,279.3786,282.5818,517462
2014-01-13,281.2987,283.3355,274.4526,274.982,789539
2014-01-14,276.3548,279.235,274.8923,278.6159,608350
2014-01-15,279.4324,281.2269,277.3238,280.6168,1043844
2014-01-16,290.989,292.5054,281.2718,285.13,1525973
2014-01-17,286.9873,289.4458,283.1022,284.1789,1024248
2014-01-21,286.0452,287.3911,284.4301,286.0183,669229
2014-01-22,287.1129,291.3749,285.9734,290.6122,1001389
2014-01-23,287.5974,289.1497,282.9317,283.147,1136547
2014-01-24,281.4871,281.4871,271.7788,271.9672,1049069
2014-01-27,275.1076,276.0228,268.459,269.1319,1133725
2014-01-28,270.074,272.9452,268.9345,272.4876,1063748
2014-01-29,270.8277,271.8281,267.5976,268.4679,747198
2014-01-30,270.4598,275.5562,270.4598,274.0578,689184
2014-01-31,270.074,273.6002,265.5877,269.5985,920119
2014-02-03,266.5299,268.0462,255.5205,256.9651,1583668
2014-02-04,257.3061,262.5012,256.8667,259.9799,918288
2014-02-05,260.9669,264.1342,256.6511,259.5492,917924
2014-02-06,261.3796,265.2647,260.5631,264.5738,858432
2014-02-07,266.485,269.1768,264.7802,269.0601,866353
2014-02-10,267.2207,271.0072,266.2517,270.1009,734702
2014-02-11,270.074,275.0089,269.1857,273.7976,763835
2014-02-12,273.4926,275.8968,271.1328,272.3261,659729
2014-02-13,268.2705,274.345,265.7044,273.2503,550482
2014-02-14,273.1965,275.0897,271.6263,271.8954,667845
2014-02-18,272.1467,275.2422,271.8685,274.5244,513813
2014-02-19,272.1108,276.301,269.2934,269.6164,592452
2014-02-20,269.5267,270.9264,266.9336,269.6433,606447
2014-02-21,269.7151,271.2315,268.1001,268.2795,567597
2014-02-24,268.2346,273.2593,268.2257,271.5006,635118
2014-02-25,271.07,272.5863,268.773,269.3562,716139
2014-02-26,269.437,270.4865,265.4765,267.0503,681132
2014-02-27,267.14,275.1256,267.0951,274.3898,792483
2014-02-28,274.3539,277.1587,272.2274,273.5195,887544
2014-03-03,269.8587,270.6169,267.2028,269.4908,683430
2014-03-04,272.9901,277.1085,272.7748,275.6549,732920
2014-03-05,276.0612,278.0115,275.3931,277.2711,540413
2014-03-06,278.8242,281.9032,277.4517,280.9099,737436
2014-03-07,283.7361,283.7361,279.4472,280.621,760316
2014-03-10,280.5127,280.8016,276.8648,278.5262,809783
2014-03-11,279.1312,280.7754,277.7497,278.8152,845760
2014-03-12,276.3592,278.9145,274.9687,278.8964,555098
2014-03-13,280.305,281.0364,269.6775,270.2012,1027773
2014-03-14,269.7678,271.8626,267.0049,267.0049,718144
2014-03-17,269.0906,272.7836,268.7294,269.7136,746396
2014-03-18,270.9777,272.4585,270.12,271.8536,412888
2014-03-19,272.0703,272.3231,267.2216,269.4337,668361
2014-03-20,268.1516,273.1357,267.8717,271.7723,645977
2014-03-21,273.2983,274.6706,270.0568,272.5579,1333134
2014-03-24,272.5127,274.4179,269.6233,273.208,882902
2014-03-25,274.7971,277.9393,272.287,277.7407,907692
2014-03-26,281.3343,282.9415,278.4088,279.2305,963088
2014-03-27,279.4562,280.5756,275.8897,276.7474,666793
2014-03-28,279.3659,283.4472,278.472,280.7113,701469
2014-03-31,283.9348,285.0634,282.4269,283.9528,652131
2014-04-01,285.4336,286.3636,282.4449,286.1289,758270
2014-04-02,286.2372,290.2553,284.8199,287.6277,586387
2014-04-03,288.5848,288.5848,283.0228,284.0973,554549
2014-04-04,288.5307,288.955,278.3185,278.9325,876151
2014-04-07,279.6549,280.3862,273.7317,274.3908,835413
2014-04-08,274.1019,275.4743,270.9145,273.0454,831204
2014-04-09,274.0116,278.8693,273.3154,278.3908,569936
2014-04-10,279.0951,279.1221,267.2216,267.2216,875622
2014-04-11,267.041,268.6933,263.8311,265.199,929630
2014-04-14,269.2622,269.9662,266.2735,269.4969,729448
2014-04-15,270.761,272.4585,266.3638,271.5195,633521
2014-04-16,272.4585,280.4946,272.4585,280.0431,1089854
2014-04-17,282.5713,282.8061,271.5556,278.445,1011658
2014-04-21,278.2192,278.3908,275.5646,276.1876,651395
2014-04-22,276.5217,280.1425,275.4111,278.3456,581917
2014-04-23,278.1109,279.8444,276.2237,277.7407,485069
2014-04-24,275.9168,277.7316,273.3976,274.147,545078
2014-04-25,273.5782,274.1197,270.138,271.2847,394077
2014-04-28,272.7023,274.147,266.6979,269.524,807597
2014-04-29,272.2147,273.208,270.7069,271.3299,492281
2014-04-30,270.0929,272.8107,269.0726,271.7813,423030
2014-05-01,270.8604,273.3795,269.0816,271.8265,589223
2014-05-02,271.6008,274.7159,269.7588,269.9755,605304
2014-05-05,269.2983,270.4721,266.6166,269.524,509551
2014-05-06,269.2893,270.2102,267.3751,267.5466,591400
