date,open,high,low,close,volume
2014-01-02,24.6789,24.8571,24.6187,24.756,1234874
2014-01-03,24.7897,24.9823,24.7656,24.8715,859770
2014-01-06,24.8715,24.9486,24.5971,24.78,1519948
2014-01-07,24.833,25.0979,24.833,25.0593,1309630
2014-01-08,25.0208,25.1364,24.9438,25.0593,1178698
2014-01-09,25.1412,25.2568,24.9438,25.1171,1357612
2014-01-10,25.199,25.199,24.8812,25.0064,1013080
2014-01-13,24.9245,24.9919,24.4189,24.4526,1747096
2014-01-14,24.4526,24.6693,24.4526,24.6597,1494844
2014-01-15,24.6934,24.7656,24.4767,24.5489,1195074
2014-01-16,24.5441,24.5537,24.3948,24.5393,1021510
2014-01-17,24.6211,24.6259,24.3129,24.3322,1335390
2014-01-21,24.4285,24.469,24.1637,24.3467,1882068
2014-01-22,24.4141,24.467,24.2792,24.4381,1325456
2014-01-23,24.3611,24.4526,23.9662,24.0818,1642046
2014-01-24,23.9277,23.9855,23.3932,23.4028,1663314
2014-01-27,23.4558,23.9133,23.321,23.3691,2423494
2014-01-28,23.398,23.4582,23.1669,23.2439,2578642
2014-01-29,23.0561,23.8073,22.9935,23.6292,3253166
2014-01-30,24.9438,25.3964,24.4189,24.8475,5109516
2014-01-31,24.5393,24.9293,24.4406,24.65,3363618
2014-02-03,24.703,25.0593,24.6115,24.6356,4389068
2014-02-04,24.7463,24.8282,24.1829,24.65,4138202
2014-02-05,24.5345,25.0172,24.2166,24.8715,3344200
2014-02-06,24.8715,25.0497,24.7078,25.0449,2677302
2014-02-07,25.0304,25.459,24.963,25.4253,2475388
2014-02-10,25.3675,25.6856,25.3483,25.6468,2242784
2014-02-11,25.5842,26.0946,25.5409,25.9743,1899302
2014-02-12,26.0224,26.1524,25.8683,25.9309,2726164
2014-02-13,25.7913,26.4221,25.7624,26.2343,2211100
2014-02-14,26.2102,26.4028,26.1428,26.3065,3223562
2014-02-18,26.2921,26.5666,26.268,26.4221,2469946
2014-02-19,26.3258,26.7543,26.3258,26.4413,1760120
2014-02-20,26.4317,26.5377,26.2174,26.3643,2060890
2014-02-21,26.4317,26.658,26.321,26.4462,4473640
2014-02-24,26.4462,26.6624,26.4028,26.4269,1361370
2014-02-25,26.4221,26.4727,26.2728,26.3402,1289250
2014-02-26,26.4365,26.6243,26.3787,26.4606,1195232
2014-02-27,26.4799,26.6923,26.4461,26.6923,1462398
2014-02-28,26.6875,26.953,26.6778,26.8178,1199430
2014-03-03,26.5185,26.7406,26.4461,26.6633,1427006
2014-03-04,26.9336,27.0302,26.8033,27.0254,2276514
2014-03-05,27.0302,27.0302,26.8468,26.9143,1265866
2014-03-06,27.0398,27.146,26.9288,27.006,1265660
2014-03-07,27.0833,27.1895,26.9481,27.0736,2220604
2014-03-10,27.0205,27.1219,26.7695,26.8033,1350992
2014-03-11,26.8275,26.8757,26.5185,26.5861,2227686
2014-03-12,26.422,26.5499,26.2627,26.3399,2072406
2014-03-13,26.4268,26.6344,26.1951,26.3303,2391204
2014-03-14,26.2965,26.4799,26.0503,26.0793,3553300
2014-03-17,26.171,26.3593,26.1276,26.3206,1406300
2014-03-18,26.3737,26.4944,26.282,26.3496,1401394
2014-03-19,26.3641,26.4654,25.9273,26.06,1747972
2014-03-20,25.949,26.0841,25.8669,25.9345,1913876
2014-03-21,26.1179,26.2144,25.8766,26.0841,4203388
2014-03-24,26.1179,26.2108,25.698,25.7897,1668226
2014-03-25,25.8669,26.0165,25.7752,25.8573,1440424
2014-03-26,25.9393,26.0117,25.698,25.7318,1675090
2014-03-27,25.6835,25.9108,25.5339,25.8717,1552216
2014-03-28,25.9345,26.1661,25.8235,26.0503,1053758
2014-03-31,26.1131,26.4992,26.0552,26.4558,2306312
2014-04-01,26.533,26.5861,26.3641,26.5765,1496014
2014-04-02,26.5234,26.7888,26.3786,26.7406,1541770
2014-04-03,26.8419,26.8564,26.5909,26.6875,1242444
2014-04-04,26.8612,27.1702,26.5089,26.6344,1821230
2014-04-07,26.5523,26.6344,26.1903,26.2579,1858986
2014-04-08,26.282,26.5572,26.1932,26.451,1397054
2014-04-09,26.3641,26.6826,26.3641,26.6296,1263266
2014-04-10,26.673,26.7985,26.3786,26.4268,1613354
2014-04-11,26.3351,26.4703,26.0165,26.0359,1790082
2014-04-14,26.0455,26.142,25.8766,25.9924,1531406
2014-04-15,26.0793,26.7164,25.9997,26.702,2461358
2014-04-16,26.8516,27.1122,26.8468,27.0495,1916854
2014-04-17,27.0785,27.2474,27.0205,27.146,1693714
2014-04-21,27.1171,27.146,26.9723,27.0833,1315650
2014-04-22,27.1219,27.1895,25.92,26.8419,3091516
2014-04-23,26.7744,26.9143,26.5475,26.7744,1902970
2014-04-24,26.8999,26.9457,26.6778,26.7406,1261798
2014-04-25,26.7647,27.0181,26.6585,27.006,1916494
2014-04-28,27.1074,27.4743,27.006,27.1219,2858006
2014-04-29,27.2281,27.2957,26.9946,27.0736,1363180
2014-04-30,27.064,27.1813,26.953,27.1219,2390616
2014-05-01,27.4743,28.0921,27.3681,27.4839,3983506
2014-05-02,27.5129,27.5129,26.8081,26.8757,5576582
2014-05-05,26.8275,27.2812,26.7975,27.2667,3835948
2014-05-06,27.2281,27.5587,27.1846,27.426,1596440
2014-05-07,27.5418,27.9762,27.4018,27.928,2611492
2014-05-08,27.9328,28.1259,27.8507,28.0535,2062634
2014-05-09,28.1017,28.3189,27.928,28.3045,2279906
2014-05-12,28.3769,28.5989,28.3238,28.4734,1945088
2014-05-13,28.4589,28.5748,28.2755,28.372,2320696
2014-05-14,28.512,28.9513,28.4131,28.8113,3573550
2014-05-15,28.7775,28.8644,28.4975,28.6954,2186094
2014-05-16,28.6472,28.8837,28.4782,28.8837,3803534
2014-05-19,28.792,29.2264,28.7823,29.1492,1706724
2014-05-20,29.0671,29.2023,28.9295,28.9657,1455364
2014-05-21,28.9706,29.1298,28.7968,28.9464,1836966
2014-05-22,28.9464,29.1202,28.874,28.9271,1705270
2014-05-23,28.9657,29.1202,28.9224,29.0671,2176786
2014-05-27,29.043,29.2747,28.8933,29.1878,1473972
2014-05-28,29.2988,29.5594,28.9995,29.0092,2225746
2014-05-29,29.0817,29.2027,28.8689,29.1591,1683346
2014-05-30,29.1736,29.3236,29.043,29.1978,1575084
2014-06-02,29.3236,29.3526,29.0571,29.0624,2294164
2014-06-03,29.0285,29.5316,29.0285,29.5219,2907980
2014-06-04,29.4639,29.4953,29.2365,29.2752,1517636
2014-06-05,29.193,29.5316,29.1011,29.5171,970640
2014-06-06,29.4977,29.6719,29.459,29.5509,1391356
2014-06-09,29.5509,29.7106,29.4929,29.6187,2326154
2014-06-10,29.6816,29.8252,29.5219,29.7009,2353374
2014-06-11,29.58,29.638,29.2849,29.4687,1219712
2014-06-12,29.4494,29.5026,29.1833,29.3042,1203916
2014-06-13,28.9608,29.459,28.9415,29.4445,1384626
2014-06-16,29.3768,29.5364,29.2027,29.2801,1331800
2014-06-17,29.2897,29.5364,29.2269,29.4203,945972
2014-06-18,29.3381,29.5026,29.0914,29.4784,1095840
2014-06-19,29.3913,29.6235,29.3913,29.6187,1133616
2014-06-20,29.6574,29.8025,29.5896,29.7541,1818174
2014-06-23,29.6767,29.8702,29.5558,29.8605,1545716
2014-06-24,29.7735,29.9815,29.58,29.6816,1204722
2014-06-25,29.8315,30.3356,29.7444,30.0976,1738892
2014-06-26,29.9911,30.1508,29.8122,30.1314,1024706
2014-06-27,30.0685,30.4749,30.0444,30.47,3006788
2014-06-30,30.441,30.5378,30.1363,30.3201,1840928
2014-07-01,30.4071,30.6152,30.2185,30.47,1533010
2014-07-02,30.441,30.649,30.1604,30.3152,1796398
2014-07-03,30.412,30.5232,30.2814,30.4894,1047608
2014-07-07,30.4749,30.5136,30.3418,30.4071,969346
2014-07-08,30.412,30.5426,30.2814,30.4894,1718906
2014-07-09,30.6103,30.7312,30.383,30.6877,1081520
2014-07-10,30.3588,30.678,30.2959,30.6393,1461922
2014-07-11,30.649,30.649,30.4023,30.5087,1596152
2014-07-14,30.6442,30.8522,30.6152,30.828,1134434
2014-07-15,30.799,31.0457,30.799,31.0263,1991472
2014-07-16,31.0408,31.2247,30.9199,31.0505,1479070
2014-07-17,30.8425,31.0602,30.649,30.7071,1311596
2014-07-18,30.7458,31.2392,30.7167,31.1231,1454030
2014-07-21,31.0699,31.3262,30.8667,31.2488,1573122
2014-07-22,31.394,31.3988,30.4797,30.5765,2676640
2014-07-23,30.5861,30.6055,30.2572,30.4555,1585524
2014-07-24,30.5329,30.9779,30.4894,30.8764,1206072
2014-07-25,30.7699,30.8812,30.5668,30.649,1051626
2014-07-28,30.62,30.649,30.3588,30.4313,1537322
2014-07-29,30.4168,30.5523,30.1991,30.2088,923866
2014-07-30,30.2427,30.4314,30.0685,30.2282,2792974
2014-07-31,30.1411,30.4507,29.3768,29.6332,2796916
2014-08-01,29.9283,30.0395,29.7686,29.967,1670188
2014-08-04,29.9283,30.0395,29.7686,29.967,1670188
2014-08-05,29.8896,30.0153,29.6235,29.7057,1395054
2014-08-06,29.5945,30.175,29.5277,30.1024,1708266
2014-08-07,30.2765,30.3781,30.0395,30.1169,1528050
2014-08-08,29.9573,30.1556,29.6864,30.1121,1559084
2014-08-11,30.233,30.3733,30.1604,30.3007,1097526
2014-08-12,30.3201,30.4071,30.1701,30.3733,1279264
2014-08-13,30.4749,30.5523,30.1991,30.3104,1143534
2014-08-14,30.3152,30.5281,30.2572,30.4458,858722
2014-08-15,30.5087,30.7651,30.3298,30.5329,1885340
2014-08-18,30.678,30.9054,30.6152,30.886,1110210
2014-08-19,30.9828,31.0553,30.8909,30.9925,1086562
2014-08-20,30.9876,31.0045,30.5813,30.591,1418524
2014-08-21,30.6539,30.9054,30.5378,30.7554,1444068
2014-08-22,30.8425,30.8425,30.441,30.5716,1550494
2014-08-25,30.6974,30.7071,30.4265,30.5232,1118192
2014-08-26,30.5958,30.7748,30.5426,30.7167,1229558
2014-08-27,30.7941,30.9393,30.6684,30.8086,1314028
2014-08-28,30.6681,30.9953,30.5469,30.862,1754548
2014-08-29,30.9589,31.211,30.9104,31.0704,1343538
2014-09-02,31.3855,31.7829,31.2231,31.6278,3136998
2014-09-03,31.7248,32.0398,31.6036,32.0204,2247608
2014-09-04,32.1222,32.2483,31.9089,31.9235,2077420
2014-09-05,31.875,32.1513,31.6763,32.1513,949760
2014-09-08,32.0592,32.1804,31.7781,31.9477,1369010
2014-09-09,31.8314,31.9235,31.6811,31.8314,888898
2014-09-10,31.8265,31.9962,31.7248,31.9429,1207950
2014-09-11,31.749,32.0544,31.7102,32.035,1191338
2014-09-12,31.9914,32.0447,31.7684,31.8508,1626542
2014-09-15,31.8459,31.9817,31.7587,31.8265,956202
2014-09-16,31.8023,32.0107,31.7344,31.8169,1520124
2014-09-17,31.7248,31.8362,31.114,31.2885,2309184
2014-09-18,31.2691,31.3418,31.0219,31.1189,1773200
2014-09-19,31.2158,31.3346,31.1528,31.2061,2808198
2014-09-22,31.24,31.3044,31.1382,31.2352,1770638
2014-09-23,31.2255,31.3758,30.9637,30.9831,2145372
2014-09-24,30.9104,31.1431,30.8416,31.0074,1219014
2014-09-25,30.7699,30.9734,30.6404,30.7844,1504504
2014-09-26,30.7505,30.8668,30.6051,30.7165,1065530
2014-09-29,30.5954,31.24,30.4645,31.114,1874566
2014-09-30,31.0898,31.1528,30.6293,30.6681,2323400
2014-10-01,30.5711,30.6632,30.0287,30.1058,3106534
2014-10-02,30.0476,30.3336,29.9361,30.2027,2064516
2014-10-03,30.29,30.6778,30.2221,30.5954,1583156
2014-10-06,30.6584,30.8523,30.4645,30.5857,1073218
2014-10-07,30.5954,30.6487,30.2318,30.2512,1373708
2014-10-08,30.2997,30.9734,30.1155,30.9444,1633512
2014-10-09,30.8232,31.1916,30.4645,30.5663,2293756
2014-10-10,30.4984,30.9347,30.3385,30.353,2914194
2014-10-13,30.2803,30.6778,29.9507,29.9604,2761346
2014-10-14,30.164,30.6632,29.9992,30.5711,2223964
2014-10-15,30.353,31.0946,30.1446,31.0025,4417194
2014-10-16,30.6632,31.2982,30.6438,31.0074,2394778
2014-10-17,31.1382,31.6424,31.1382,31.5212,2688986
2014-10-20,31.5648,32.0447,31.5289,31.9768,2462534
2014-10-21,32.0447,32.9172,31.9623,32.9075,3328276
2014-10-22,33.0432,33.065,32.3937,32.4131,2708442
2014-10-23,32.699,32.699,32.1036,32.2725,2569864
2014-10-24,32.2337,32.5051,32.0592,32.3549,1541354
2014-10-27,32.1125,32.2434,31.5503,31.7538,2753306
2014-10-28,31.9477,32.2725,31.9089,32.2725,2192118
2014-10-29,32.2822,32.4906,31.8508,32.2773,5056922
2014-10-30,31.0413,31.4679,30.4887,30.6826,4585876
2014-10-31,30.9831,31.2788,30.7554,31.2303,3734488
2014-11-03,31.1334,31.2788,30.6002,30.7262,3996324
2014-11-04,30.7941,31.211,30.7262,30.988,3188648
2014-11-05,31.1334,31.2934,31.0796,31.2643,1769988
2014-11-06,31.2546,31.5309,31.1964,31.3564,1735290
2014-11-07,31.4194,31.6811,31.4073,31.4921,1638378
2014-11-10,31.4145,31.9477,31.4145,31.9429,1852612
2014-11-11,31.938,32.1271,31.7781,31.938,1343850
2014-11-12,31.9138,31.9574,31.5163,31.7732,1430010
2014-11-13,31.7248,31.9962,31.4679,31.5842,3276800
2014-11-14,31.5551,31.6181,31.0849,31.1382,2235788
2014-11-17,31.0219,31.3273,31.0219,31.2206,1542138
2014-11-18,31.2206,31.6908,31.2206,31.4727,2037030
2014-11-19,31.5066,31.5066,31.1964,31.2643,1981206
2014-11-20,31.2352,31.4994,31.0655,31.4291,2249258
2014-11-21,31.8508,31.938,31.2837,31.3661,2406386
2014-11-24,31.4388,31.6617,31.4145,31.4921,1704538
2014-11-25,31.5066,31.9623,31.4145,31.8023,1753290
2014-11-26,31.9431,32.2248,31.8217,32.1957,1413206
2014-11-28,32.3463,32.8319,32.3463,32.5745,1287880
2014-12-01,32.5648,32.9582,32.3317,32.7299,2985644
2014-12-02,32.7737,33.0099,32.6207,32.9291,2567422
2014-12-03,32.9534,33.8907,32.7979,33.7499,3835748
2014-12-04,33.7499,34.238,33.541,33.9053,3952350
2014-12-05,33.8422,33.9733,33.5799,33.7256,1771290
2014-12-08,33.6867,33.7207,33.0067,33.0456,1936224
2014-12-09,32.8757,33.1865,32.6959,33.1816,1958542
2014-12-10,33.0651,33.4828,32.8319,32.8659,1643290
2014-12-11,32.8902,33.1331,32.5988,32.6814,1750358
2014-12-12,32.5065,32.6814,32.2394,32.2783,1734946
2014-12-15,32.4531,32.4725,31.71,31.7974,2297912
2014-12-16,31.7877,32.0306,31.5497,31.5497,1565970
2014-12-17,31.6275,31.9189,31.3458,31.8169,2340914
2014-12-18,32.2006,32.9436,32.1374,32.9436,1951250
2014-12-19,33.1622,33.405,33.0651,33.3225,2224970
2014-12-22,33.3322,33.6236,33.3322,33.609,910546
2014-12-23,33.6722,34.1093,33.6722,33.9199,1220026
2014-12-24,33.8907,33.9686,33.7256,33.8519,365080
2014-12-26,33.8761,34.0558,33.7499,33.7547,580300
2014-12-29,33.7062,34.1821,33.5857,34.0704,939122
2014-12-30,34.0947,34.1676,33.7353,33.7499,885896
2014-12-31,33.7839,33.8033,33.0942,33.1088,960562
2015-01-02,33.3176,33.5216,32.7834,33.1768,944272
2015-01-05,32.8951,33.0262,32.3025,32.4531,1794906
2015-01-06,31.9189,32.3997,31.4817,31.9043,1984958
2015-01-07,31.982,32.2491,31.812,32.186,1341130
2015-01-08,32.4288,33.0019,32.4288,32.7397,1989272
2015-01-09,32.8757,32.9485,32.0646,32.0937,1890510
2015-01-12,32.1423,32.2685,31.642,31.9529,1915610
2015-01-13,32.118,32.6814,31.5206,31.7974,1804204
2015-01-14,31.4915,31.8314,31.3603,31.812,907424
2015-01-15,31.8654,31.948,31.5303,31.5497,823030
2015-01-16,31.5837,31.778,31.3997,31.506,1840808
2015-01-20,31.302,31.5692,31.0009,31.4623,2413156
2015-01-21,31.3312,31.8023,31.3312,31.744,1276658
2015-01-22,31.982,32.2143,31.7489,32.0937,1241590
2015-01-23,31.9869,31.9869,30.9922,31.0252,1622760
2015-01-26,31.2438,31.2438,30.8552,31.1612,1471954
2015-01-27,30.7484,31.2049,30.6379,31.0106,1189934
2015-01-28,31.1661,31.3555,30.7824,30.7872,1352986
2015-01-29,30.8649,31.1223,30.661,31.0204,1459874
2015-01-30,30.7775,31.1612,30.4545,30.7581,2013592
2015-02-02,31.0155,31.2632,30.5201,31.2632,1428320
2015-02-03,31.3312,31.8509,31.3312,31.7392,1955422
2015-02-04,31.6566,32.3171,31.6566,32.1277,2711260
2015-02-05,34.4784,35.6974,33.3856,34.9835,10971592
2015-02-06,34.5172,34.7722,33.9393,34.2938,3987636
2015-02-09,33.9344,34.3473,33.881,34.2938,3112896
2015-02-10,34.4638,35.0029,34.4055,34.9204,3538714
2015-02-11,34.9981,35.2846,34.8038,35.1632,3355486
2015-02-12,35.2555,36.0034,35.1923,35.9597,3537508
2015-02-13,35.916,36.426,35.78,36.392,3523264
2015-02-17,36.0229,36.2705,35.2992,36.1297,2798236
2015-02-18,36.1346,37.4945,35.8189,37.475,5424652
2015-02-19,36.9505,37.1642,35.8092,35.8674,9574788
2015-02-20,35.5906,35.6489,34.9689,35.5469,6567402
2015-02-23,35.2798,35.8529,35.0078,35.8189,3321450
2015-02-24,35.7363,35.7363,35.0418,35.2409,4080636
2015-02-25,35.2118,35.3332,34.9155,35.0466,2430876
2015-02-26,35.3094,35.4116,34.9737,35.2364,1874182
2015-02-27,35.1245,35.2997,34.8861,34.891,2324476
2015-03-02,34.9785,35.3629,34.8958,35.3532,2672416
2015-03-03,35.1586,35.3094,34.9883,35.178,1799620
2015-03-04,34.9834,35.1196,34.5942,34.6915,2078310
2015-03-05,34.8228,34.8934,34.3022,34.5406,1915522
2015-03-06,34.3509,34.4871,34.2195,34.4579,2107750
2015-03-09,34.4044,34.4336,34.0881,34.2244,2615066
2015-03-10,34.0054,34.2244,33.8205,34.0687,1804038
2015-03-11,34.1563,34.2195,33.5529,33.5578,3670180
2015-03-12,33.368,34.1222,33.368,34.0297,1724716
2015-03-13,33.9616,34.1173,33.4897,33.6551,1741050
2015-03-16,33.7475,34.273,33.6892,34.2584,2103798
2015-03-17,34.0589,34.2536,33.7427,33.9276,1017168
2015-03-18,33.8303,34.6112,33.7232,34.5212,2311486
2015-03-19,34.2487,34.3849,34.0176,34.3363,1864676
2015-03-20,34.5406,34.7012,34.1417,34.6428,1676582
2015-03-23,34.6379,35.1245,34.3874,34.9104,2193464
