date,open,high,low,close,volume
2014-01-02,52.9222,52.9885,51.6912,52.0226,1301497
2014-01-03,52.0416,52.2025,51.606,51.9753,1155068
2014-01-06,52.0794,52.6571,51.7764,52.0794,1292495
2014-01-07,52.515,53.4335,52.3919,53.3862,1349303
2014-01-08,53.4619,53.9732,53.0169,53.2915,1466369
2014-01-09,53.4525,53.9637,52.8938,53.3104,1056765
2014-01-10,53.5566,53.9164,53.2725,53.7365,883223
2014-01-13,53.8123,54.2478,52.5434,52.6192,1381188
2014-01-14,52.9695,53.8123,52.8133,53.7649,1217360
2014-01-15,53.8407,53.8975,51.6249,52.9885,3576562
2014-01-16,53.0453,53.9164,52.961,53.907,1607513
2014-01-17,53.907,53.907,52.7328,52.8464,1930301
2014-01-21,53.2725,53.4572,52.2783,53.1305,1513645
2014-01-22,53.3862,53.7744,52.7233,53.7365,1116044
2014-01-23,53.3483,53.5187,52.1741,52.6855,1412023
2014-01-24,52.051,52.0889,50.6402,50.8579,1643647
2014-01-27,51.3125,51.5397,50.4318,50.8295,1779488
2014-01-28,51.0189,51.4443,50.8295,51.1326,1295037
2014-01-29,50.7254,51.5492,50.3277,51.0852,2134160
2014-01-30,51.4981,51.7164,51.0425,51.4601,1060085
2014-01-31,50.6534,51.4126,50.6249,50.9666,1142378
2014-02-03,51.0425,51.1127,48.385,48.7077,2573572
2014-02-04,49.0304,49.5619,48.2427,49.5239,1675041
2014-02-05,49.2392,49.8941,48.7457,49.7707,1344427
2014-02-06,49.8182,50.9096,49.7422,50.7198,1093270
2014-02-07,51.033,51.574,50.7767,51.1659,1725411
2014-02-10,51.2418,51.2869,50.6913,51.1564,1754669
2014-02-11,51.3557,51.8967,51.1564,51.8872,1843423
2014-02-12,51.9821,52.7224,51.9441,52.618,1765966
2014-02-13,52.2858,54.3311,52.0011,54.0322,1660352
2014-02-14,54.5542,55.2945,54.4877,55.0097,2241165
2014-02-18,55.1521,55.5033,54.8579,55.1426,1826610
2014-02-19,55.0287,56.7086,54.9907,56.253,2051200
2014-02-20,56.2056,57.4964,56.0158,57.3445,2055732
2014-02-21,57.335,58.4075,57.0977,58.0468,1676640
2014-02-24,58.1987,58.5404,58.0374,58.1797,1220039
2014-02-25,58.2556,58.4739,57.7241,57.9045,992276
2014-02-26,57.9804,58.3506,57.5153,57.7716,971486
2014-02-27,57.6957,58.3126,57.5059,58.2651,1010444
2014-02-28,58.2651,58.6732,57.7621,58.3221,1312337
2014-03-03,57.6957,58.0563,56.9174,57.7052,1342709
2014-03-04,58.4075,59.0054,58.0658,58.8631,1281204
2014-03-05,58.7871,58.939,58.1038,58.3221,1769204
2014-03-06,58.6163,58.9105,58.3506,58.7017,796465
2014-03-07,58.8536,58.92,57.9425,58.1892,1025583
2014-03-10,58.1418,58.4644,57.7906,58.4265,803265
2014-03-11,58.4644,58.6163,57.8096,58.0374,1165334
2014-03-12,57.7052,58.2746,57.2971,58.2556,1136207
