date,open,high,low,close,volume
2014-01-02,28.9046,28.965,28.4989,28.6111,1948770
2014-01-03,28.5593,28.6974,28.4817,28.5766,1599190
2014-01-06,28.4126,28.5593,28.2875,28.4212,2892681
2014-01-07,28.5939,28.9046,28.5075,28.87,2074766
2014-01-08,28.8787,29.0427,28.5852,28.9909,2096711
2014-01-09,29.0254,29.2239,28.8269,29.2153,2187168
2014-01-10,29.3188,29.362,29.0858,29.362,1857623
2014-01-13,29.3188,29.4052,28.7578,28.8614,2557930
2014-01-14,28.9995,29.3965,28.8088,29.3534,2612918
2014-01-15,29.362,29.7072,29.1721,29.4483,3856843
2014-01-16,29.4483,29.7935,29.3016,29.3879,4178656
2014-01-17,29.4052,29.7418,29.3016,29.7159,3719067
2014-01-21,29.8194,29.8712,29.3447,29.5691,4447435
2014-01-22,31.2263,31.2573,29.595,29.6037,6245209
2014-01-23,29.4052,29.526,28.7233,29.0427,4364472
2014-01-24,28.7319,28.8441,28.1882,28.1882,4023322
2014-01-27,27.8602,28.1105,27.7049,27.8257,4677985
2014-01-28,27.748,28.1019,27.5841,28.0933,3718658
2014-01-29,27.9638,28.0631,27.6617,27.7912,3061645
2014-01-30,27.9897,28.1278,27.6531,27.9034,2395964
2014-01-31,27.6099,27.9768,27.4546,27.6963,3902729
2014-02-03,27.6186,27.6704,26.7641,26.9195,4474625
2014-02-04,26.9799,27.1094,26.7279,26.9454,2820334
2014-02-05,26.6778,26.9799,26.5439,26.8936,2652873
2014-02-06,27.0489,27.3467,26.8677,27.2906,2517840
2014-02-07,27.3683,28.1666,27.3251,27.7653,2774984
2014-02-10,27.6876,27.7826,27.4977,27.679,3492745
2014-02-11,27.5754,27.9293,27.5236,27.8775,3126958
2014-02-12,27.8516,28.2227,27.7653,28.1968,3015345
2014-02-13,28.0674,28.568,28.0674,28.5507,2067254
2014-02-14,28.3953,28.6111,28.3349,28.473,2733641
2014-02-18,28.3687,28.6991,28.2904,28.6122,2225850
2014-02-19,28.1773,28.4948,28.0295,28.2208,3272966
2014-02-20,28.1947,28.5426,28.1426,28.4121,2767766
2014-02-21,28.5339,28.6034,28.186,28.1947,3808186
2014-02-24,28.3339,28.5948,28.2034,28.4121,1868074
2014-02-25,28.5165,28.5165,28.1686,28.3687,2156550
2014-02-26,28.4904,28.9166,28.0904,28.6296,3769781
2014-02-27,28.7165,29.084,28.5426,29.0383,2853185
2014-02-28,29.1079,29.3079,28.8557,29.134,2543989
2014-03-03,28.9774,28.9948,28.5426,28.8209,2148823
2014-03-04,29.0818,29.2383,28.9513,29.0383,2345311
2014-03-05,28.8905,29.0383,28.8078,28.9166,1565969
2014-03-06,29.0209,29.0644,28.847,28.8818,1806804
2014-03-07,28.9166,28.9774,28.473,28.6383,2352223
2014-03-10,28.647,28.6991,28.4034,28.5426,1960318
2014-03-11,28.5252,28.5426,28.286,28.3948,2246351
2014-03-12,28.2469,28.3078,27.9686,28.1773,4795729
2014-03-13,28.2295,28.3078,27.6207,27.7164,4387595
2014-03-14,27.5947,27.8903,27.3685,27.3772,3309354
2014-03-17,27.4468,27.7947,27.4468,27.699,2798159
2014-03-18,27.7686,28.2034,27.6642,28.1643,3290013
2014-03-19,27.5425,28.2295,27.4468,27.9599,2891027
2014-03-20,27.9512,28.2295,27.8295,28.0469,1889552
2014-03-21,28.3774,28.4295,27.0033,27.0555,8068779
2014-03-24,27.0816,27.1859,26.3206,26.9685,4856940
2014-03-25,26.9772,27.1598,26.6554,26.9424,3392152
2014-03-26,27.0989,27.1859,26.6554,26.6641,2040001
2014-03-27,26.6119,26.7859,26.4989,26.5511,3207135
2014-03-28,26.6206,27.0207,26.4902,26.8207,2163304
2014-03-31,26.9859,27.0729,26.8467,26.9424,2191910
2014-04-01,27.0294,27.4903,27.0207,27.4729,4072595
2014-04-02,27.4816,27.7338,27.2816,27.6903,2849031
2014-04-03,27.8208,27.8208,27.3946,27.5425,2942445
2014-04-04,27.7773,27.7773,26.9511,27.0294,2769795
2014-04-07,27.0468,27.3424,26.838,27.1859,3551300
2014-04-08,27.2468,27.3772,27.0642,27.2729,3054775
2014-04-09,27.3424,27.4381,27.0294,27.1946,3379751
2014-04-10,27.2381,27.2381,26.3293,26.3597,4489945
2014-04-11,26.151,26.2554,25.577,25.577,5200162
2014-04-14,25.6814,25.8553,25.577,25.8292,5394829
2014-04-15,25.8466,26.1162,25.5814,26.0379,2959094
2014-04-16,26.2119,26.3684,25.9423,26.3684,2005615
2014-04-17,26.2728,26.5337,26.1075,26.4467,1713733
2014-04-21,26.5858,26.638,26.4293,26.5945,1725330
2014-04-22,26.4902,26.6641,26.4641,26.5511,1333994
2014-04-23,26.4293,26.6554,26.3249,26.6206,1556416
2014-04-24,27.0468,27.0468,26.5076,26.5858,1542296
2014-04-25,26.4467,26.4467,26.0379,26.0466,1801723
2014-04-28,26.2467,26.3597,25.6162,25.8814,3393348
2014-04-29,26.1162,26.3249,25.9336,26.0988,2117317
2014-04-30,25.951,26.351,25.8814,26.2119,2554916
2014-05-01,26.151,26.5684,26.1075,26.2119,2121045
2014-05-02,26.3684,26.3771,26.0032,26.0119,2711014
2014-05-05,25.8988,25.9162,25.6727,25.7944,2144855
2014-05-06,25.6988,25.8553,25.6292,25.6379,1984417
2014-05-07,25.6379,25.7249,25.3683,25.6205,2587975
2014-05-08,25.6466,26.0553,25.4292,25.864,2525112
2014-05-09,25.8466,25.8814,25.2639,25.577,3701635
2014-05-12,25.6814,26.3075,25.6553,26.238,2163257
2014-05-13,26.1945,26.2119,25.9597,26.0075,2158828
2014-05-14,26.1249,26.238,25.8379,26.151,3350606
2014-05-15,25.6379,26.151,25.1074,25.2639,3956739
2014-05-16,25.3161,25.377,24.9509,25.2118,4201524
2014-05-19,25.1335,25.4814,25.09,25.4379,1673674
2014-05-20,25.577,25.5944,25.2031,25.2118,2874081
2014-05-21,25.2205,25.4466,25.1422,25.2639,2322679
2014-05-22,25.2813,25.3857,25.1335,25.2118,3714311
2014-05-23,25.3683,25.4031,25.1596,25.3857,2549654
2014-05-27,25.5261,25.7585,25.4471,25.7453,2903884
2014-05-28,25.5085,25.7366,25.3068,25.3506,2447841
2014-05-29,25.3945,25.4296,25.2278,25.3945,4109568
2014-05-30,25.5173,25.5173,25.0348,25.1664,4498327
2014-06-02,25.2454,25.2804,25.0743,25.1664,2429344
2014-06-03,24.9383,25.1927,24.8068,24.8155,3948727
