date,open,high,low,close,volume
2014-01-02,23.3867,23.4354,23.2478,23.3242,1904047
2014-01-03,23.3034,23.3937,23.22,23.2686,1403867
2014-01-06,23.345,23.3902,23.1019,23.1574,1710392
2014-01-07,23.2061,23.5743,23.2061,23.5535,3525885
2014-01-08,23.3937,23.4284,23.2061,23.3589,2927101
2014-01-09,23.3381,23.4597,23.1852,23.4493,2349522
2014-01-10,23.5048,23.5813,23.4145,23.5257,2135042
2014-01-13,23.4215,23.6125,23.2825,23.3242,2173982
2014-01-14,23.3311,23.5604,23.3311,23.5396,2255346
2014-01-15,23.5743,23.748,23.3937,23.4562,2478585
2014-01-16,23.4423,23.6785,23.2895,23.6577,2608060
2014-01-17,23.5535,23.5743,23.1783,23.22,1877951
2014-01-21,23.3589,23.3659,23.1019,23.3172,2005874
2014-01-22,23.2895,23.4701,23.2408,23.3798,2145501
2014-01-23,23.2686,23.3034,22.9837,23.1088,2617963
2014-01-24,22.9907,23.0463,22.7545,22.7545,2652039
2014-01-27,22.7962,22.9907,22.7024,22.9212,3139552
2014-01-28,22.8517,22.8865,22.5495,22.7823,5958892
2014-01-29,22.6562,22.6912,22.1416,22.3062,5246945
2014-01-30,22.4042,22.5092,22.1871,22.2642,2434552
2014-01-31,22.1101,22.4567,22.0192,22.2572,2882073
2014-02-03,22.2291,22.2572,21.459,21.494,3740053
2014-02-04,21.536,21.648,21.389,21.578,2894579
2014-02-05,21.487,21.5955,21.3575,21.508,2696159
2014-02-06,21.564,21.564,21.249,21.494,4731403
2014-02-07,21.571,21.7391,21.501,21.599,3890444
2014-02-10,21.655,21.7741,21.522,21.7391,3921784
2014-02-11,20.3178,20.7239,20.0237,20.3598,15399253
2014-02-12,20.4018,20.4018,20.2408,20.2828,6963160
2014-02-13,20.2338,20.3458,20.1638,20.3038,3747144
2014-02-14,20.2828,20.6329,20.2688,20.5558,5181106
2014-02-18,20.5558,20.5628,20.2828,20.4368,4053020
2014-02-19,20.4158,20.4368,20.2128,20.2618,2834017
2014-02-20,20.2618,20.2758,19.9887,19.9957,8794552
2014-02-21,19.9817,20.0517,19.8277,19.9537,8652218
2014-02-24,19.9747,20.0587,19.8627,19.9817,5083780
2014-02-25,20.0167,20.0517,19.8487,19.9047,4099866
2014-02-26,19.9047,20.0027,19.8277,19.8347,4586196
2014-02-27,19.8557,19.9047,19.6667,19.7857,4321525
2014-02-28,19.8137,19.9957,19.7857,19.8837,3648864
2014-03-03,19.8277,19.9607,19.7927,19.8697,4548359
2014-03-04,20.0727,20.1498,19.9817,20.1288,5046327
2014-03-05,20.1498,20.3948,20.1358,20.2898,4652844
2014-03-06,20.3038,20.4858,20.2898,20.4018,3384060
2014-03-07,20.4648,20.7029,20.4228,20.6329,3660757
2014-03-10,20.5768,20.6398,20.4228,20.6048,3284402
2014-03-11,20.6399,20.6959,20.5628,20.5908,2934403
2014-03-12,20.5558,20.9339,20.4858,20.8779,3266992
2014-03-13,20.9269,20.9899,20.5908,20.6329,3208746
2014-03-14,20.5418,20.7239,20.4998,20.5978,2880158
2014-03-17,20.6819,20.7293,20.5978,20.6959,1966708
2014-03-18,20.6819,20.9129,20.6609,20.8709,2499594
2014-03-19,20.9129,20.9759,20.6609,20.7169,3280151
2014-03-20,21.1439,21.228,20.7589,20.9969,4623425
2014-03-21,21.0949,21.0949,20.8849,21.0529,6129947
2014-03-24,21.0319,21.242,20.9689,21.0809,4035817
2014-03-25,21.193,21.235,20.9899,21.179,4297029
2014-03-26,21.207,21.291,21.1509,21.179,4200188
2014-03-27,21.2,21.347,21.165,21.319,3303118
2014-03-28,21.361,21.508,21.3193,21.487,2193656
2014-03-31,21.606,21.7251,21.452,21.7251,3174935
2014-04-01,21.7111,21.7391,21.389,21.578,2894308
2014-04-02,21.578,21.9141,21.536,21.7881,2795340
2014-04-03,21.7181,22.0611,21.7181,22.0401,3407475
2014-04-04,22.0471,22.1101,21.662,21.69,2968880
2014-04-07,21.7321,21.8721,21.7041,21.7601,2951921
