date,open,high,low,close,volume
2014-01-02,60.6359,60.8161,60.1432,60.3439,1608509
2014-01-03,60.4534,61.0557,60.4443,60.9462,1301196
2014-01-06,61.0009,61.5028,60.572,60.8914,2214143
2014-01-07,60.9827,61.9043,60.9188,61.6397,2251552
2014-01-08,60.3713,61.2929,60.1797,61.1652,3602767
2014-01-09,61.4663,62.8396,61.1652,62.2146,3823491
2014-01-10,62.3971,63.2731,61.9134,63.2548,3432875
2014-01-13,63.4282,63.4282,61.7264,62.0047,2660617
2014-01-14,62.0594,62.3241,61.6853,62.2328,1985427
2014-01-15,62.2784,62.3241,61.6515,61.9682,2350309
2014-01-16,61.9682,62.2054,61.813,61.9955,1586158
2014-01-17,62.1233,62.2328,61.7218,61.7583,3781656
2014-01-21,62.4792,62.5522,61.6762,62.0503,2199386
2014-01-22,62.2328,62.2602,61.375,62.0047,3116662
2014-01-23,61.6397,61.9043,60.8732,61.1013,2632088
2014-01-24,60.8002,61.0279,59.6413,59.696,2876118
2014-01-27,59.7143,60.207,59.4177,59.55,2608068
2014-01-28,59.7325,61.5484,59.7325,61.4937,3021701
2014-01-29,60.9188,61.3659,60.28,60.6359,2646268
2014-01-30,62.7347,63.3187,61.6214,62.9263,3887230
2014-01-31,62.5248,62.5449,61.5667,62.0686,2546136
2014-02-03,62.0138,62.0686,59.8785,60.0063,3834954
2014-02-04,60.3439,60.572,59.5318,59.8238,2076506
2014-02-05,59.6595,60.1979,59.112,59.6504,2599201
2014-02-06,59.8238,60.7454,59.5409,60.4717,2235525
2014-02-07,60.718,61.6762,60.5082,61.6305,2085446
2014-02-10,61.4116,61.5758,60.3074,60.8275,3884299
2014-02-11,60.8184,63.7749,60.7272,63.4738,5035594
2014-02-12,63.7019,64.7468,63.3369,63.3917,3257114
2014-02-13,63.1088,64.2038,62.6708,63.8023,2132459
2014-02-14,63.6472,64.2859,63.4282,64.1217,1494353
2014-02-18,63.9757,65.0068,63.8753,64.6053,1900345
2014-02-19,64.5962,65.5817,64.2494,64.7331,2574638
2014-02-20,64.7696,65.5269,64.4046,65.2532,1720595
2014-02-21,65.5452,65.7323,65.2623,65.4722,2140872
2014-02-24,65.5817,66.1383,65.4813,65.4904,1837697
2014-02-25,65.3992,66.0927,65.2532,65.7003,1979233
2014-02-26,65.6912,66.2204,65.1072,65.3444,1685682
2014-02-27,65.2258,65.7368,64.8101,65.5452,2095642
2014-02-28,65.7459,65.9102,64.7513,65.2714,1799748
2014-03-03,64.8517,65.4539,64.7696,65.2258,1505933
2014-03-04,65.9102,67.1968,65.9102,67.1056,2214038
2014-03-05,66.6949,67.8903,66.6311,66.7953,2105672
2014-03-06,67.1238,67.2224,66.1566,66.2113,1755745
2014-03-07,66.2752,66.4029,65.5863,65.9741,2112690
2014-03-10,65.9102,66.2752,65.4266,66.1292,1703846
2014-03-11,66.2296,66.7406,65.9741,66.1931,1050104
2014-03-12,65.9284,66.7953,65.7916,66.1931,1180049
2014-03-13,66.5216,66.841,66.0288,66.1383,1985067
2014-03-14,65.9376,66.4121,65.8007,65.9649,1463653
2014-03-17,66.2204,66.7041,66.0653,66.3299,1310984
2014-03-18,66.4212,67.0417,66.3482,67.0235,1313683
2014-03-19,66.9322,67.0691,65.4266,65.8189,1586051
2014-03-20,65.7642,65.8098,65.2441,65.4722,2118567
2014-03-21,66.0197,66.5307,63.9757,64.0943,4115294
2014-03-24,64.5323,64.8791,63.6837,64.0031,2883144
2014-03-25,64.2312,65.0616,64.1856,64.9156,2259041
2014-03-26,65.2076,65.4722,64.1491,64.1673,2564674
2014-03-27,64.1856,64.3589,62.9172,63.0906,2184300
2014-03-28,63.5694,64.4309,63.377,63.8627,1456500
2014-03-31,64.3668,64.7334,63.8902,64.1377,3300306
2014-04-01,64.4309,64.7884,63.5878,63.9085,2523433
2014-04-02,64.0002,64.4951,63.8627,64.4126,2503545
2014-04-03,64.4309,65.4941,64.2843,65.3566,2468848
2014-04-04,65.9707,66.1265,63.2395,63.2486,2309048
2014-04-07,63.1295,63.3495,61.9197,62.3505,2171227
2014-04-08,62.2496,62.5246,61.3516,62.0297,1965321
2014-04-09,62.3688,63.6886,62.2588,63.6519,1815046
2014-04-10,63.7344,63.9177,61.5714,61.5806,2834114
2014-04-11,61.1315,61.5806,60.0546,60.6182,3381627
2014-04-14,61.0765,61.3698,60.3891,61.1498,2248364
2014-04-15,61.324,61.7456,60.2791,61.5989,2620037
2014-04-16,62.2038,62.5796,61.5256,62.3413,1369525
2014-04-17,62.2588,62.882,61.9564,62.4421,1419846
2014-04-21,62.3321,63.0104,62.048,62.9187,965425
2014-04-22,62.9187,63.5328,62.5796,63.1112,1424618
2014-04-23,63.212,63.5053,62.8087,63.1937,1214830
2014-04-24,63.6794,63.991,62.8179,62.882,1752547
2014-04-25,62.8637,62.9829,61.4889,61.5898,1759033
2014-04-28,62.1305,62.9554,61.7364,62.827,2102676
2014-04-29,63.1203,64.0093,62.8454,63.991,2482134
2014-04-30,63.7436,63.8444,63.2578,63.7069,2155264
2014-05-01,61.1957,61.2231,58.9594,59.6834,5540530
2014-05-02,59.6651,59.7934,58.2261,58.4736,5255388
2014-05-05,58.1437,58.8585,57.7954,58.6386,3441251
2014-05-06,58.4461,59.216,58.162,58.8585,3063284
2014-05-07,58.9044,59.0052,58.1895,58.5011,2357333
2014-05-08,58.6294,59.7017,58.2078,58.5653,2637083
2014-05-09,58.6202,59.0693,58.1162,59.0327,2001116
2014-05-12,59.2893,59.9859,59.2618,59.5918,1973037
2014-05-13,59.8484,60.9482,59.5184,60.6366,2636547
2014-05-14,60.6549,60.7282,59.7476,59.7751,1525374
2014-05-15,59.5459,59.7384,59.2526,59.5093,1513697
2014-05-16,59.4818,60.2608,59.4084,60.2608,2408308
2014-05-19,59.9675,61.1773,59.8117,60.994,1780036
2014-05-20,60.8657,61.2965,60.3158,60.6732,1660703
2014-05-21,60.8474,62.0022,60.6824,61.7639,1955279
2014-05-22,61.7364,62.6162,61.6997,62.1213,1477992
2014-05-23,62.2955,62.9004,62.1305,62.8179,1474372
2014-05-27,63.0012,63.5236,62.882,63.4136,1435445
2014-05-28,63.0653,63.8398,63.0653,63.6519,1891370
2014-05-29,63.6886,65.32,63.5878,65.1733,2602143
2014-05-30,64.9442,65.1458,64.4859,64.7334,2247370
2014-06-02,64.8067,65.0725,64.2431,64.6601,1943049
2014-06-03,64.5318,65.3658,64.2913,65.1642,1982312
2014-06-04,65.0267,65.1825,64.5868,65.1183,1491234
2014-06-05,65.0725,65.5674,64.7517,64.8159,1776382
2014-06-06,64.8984,65.2191,64.6692,64.8617,1636331
2014-06-09,64.825,65.2008,64.6417,64.8067,1063615
2014-06-10,64.4401,64.7426,63.881,64.1835,1966990
2014-06-11,63.8444,64.2201,63.6611,64.0918,2559107
2014-06-12,63.8535,63.936,62.048,62.2496,4136987
2014-06-13,62.268,62.2909,61.6539,62.0938,2841704
2014-06-16,62.103,62.9095,61.9472,61.9655,3075896
2014-06-17,61.8647,62.7216,61.8189,62.5246,2978099
2014-06-18,62.4971,63.0562,62.2405,63.0012,2429925
2014-06-19,63.212,63.4778,62.8362,62.9645,1205500
2014-06-20,63.0928,63.5511,62.6712,63.3586,2697605
2014-06-23,63.1845,63.4411,62.9279,63.0837,1247673
2014-06-24,63.0104,63.6336,62.6346,62.882,1474150
2014-06-25,63.0928,63.8535,63.0928,63.7436,1676550
2014-06-26,63.7344,63.8077,63.2945,63.4503,1208650
2014-06-27,63.471,63.8486,63.471,63.7013,1796904
2014-06-30,63.8763,63.9039,63.0381,63.1486,1578408
2014-07-01,63.3605,64.4565,63.3605,64.1249,2215457
2014-07-02,63.996,64.65,63.9315,64.0973,1581818
2014-07-03,64.2723,64.9539,64.1526,64.8526,1241019
2014-07-07,64.4749,64.8802,64.0236,64.825,1655692
2014-07-08,64.4289,64.5164,63.646,64.2631,1683450
2014-07-09,64.4565,64.9263,64.2263,64.696,1308407
2014-07-10,64.1249,65.1335,64.042,64.9447,1258762
2014-07-11,64.8157,64.9723,64.171,64.9171,1103628
2014-07-14,65.2579,65.2579,64.7697,65.0644,1294075
2014-07-15,65.0644,65.898,64.9263,65.4052,2982518
2014-07-16,65.5987,65.6079,64.521,65.396,2260265
2014-07-17,64.9907,65.7092,64.7973,65.0092,1841258
2014-07-18,65.221,65.4881,64.7236,65.4513,1953720
2014-07-21,65.046,65.1013,64.1756,64.5394,1927279
2014-07-22,64.8065,65.3868,64.7697,65.1381,1529107
2014-07-23,65.3684,66.3171,65.2533,65.8105,2575825
2014-07-24,66.446,67.929,66.2526,66.7132,3435874
2014-07-25,66.4921,66.6947,66.0868,66.5197,1363369
2014-07-28,66.4829,67.1645,66.3079,66.8145,1622730
2014-07-29,66.8697,66.8882,66.446,66.5934,1842873
2014-07-30,66.7776,67.0908,66.3727,67.0079,1431761
2014-07-31,66.5474,66.9618,65.8473,65.9947,2629365
2014-08-01,65.9763,67.3717,65.921,66.6579,3147870
2014-08-04,64.8434,65.3039,63.1302,64.7328,5459674
2014-08-05,64.6592,66.1605,64.4013,65.0921,2437333
2014-08-06,64.6868,65.4052,64.4749,64.7973,1095485
2014-08-07,65.2855,65.2855,64.1802,64.4749,2154298
2014-08-08,64.4105,65.3592,64.1618,65.3408,1248985
2014-08-11,65.7645,66.3171,65.5342,65.6171,1526235
2014-08-12,65.4789,65.8842,64.9723,65.4144,1810931
2014-08-13,66.0776,66.446,65.921,66.2066,1080860
2014-08-14,66.4184,66.6671,66.1743,66.4368,945447
2014-08-15,66.5105,66.6118,65.5526,65.7921,3010502
2014-08-18,65.8842,66.6947,65.7921,66.5105,1513996
2014-08-19,66.5474,67.1737,66.3539,66.8697,1824200
2014-08-20,66.7316,66.8697,66.4553,66.7592,1687526
2014-08-21,66.7776,67.6526,66.726,67.3303,1617337
2014-08-22,67.3303,67.5513,67.1507,67.1737,1329172
2014-08-25,67.3763,67.8645,67.2566,67.6526,1005791
2014-08-26,67.6066,67.8829,67.3579,67.5329,979815
2014-08-27,67.2842,67.7724,66.8697,66.9342,1539731
2014-08-28,66.8145,67.7079,66.7316,67.4869,1218041
2014-08-29,67.6066,67.9474,67.1921,67.8829,1207091
2014-09-02,67.9013,68.0303,67.5237,68.0027,2433882
2014-09-03,68.0671,68.804,67.8461,68.5,1955534
2014-09-04,68.5553,69.0803,68.1344,68.4356,1938603
2014-09-05,68.4263,69.4948,68.3434,69.375,1943940
2014-09-08,69.329,69.7377,69.1816,69.4579,1381747
2014-09-09,69.5501,69.7158,69.2553,69.3474,1726127
2014-09-10,69.6329,69.8264,69.2829,69.5224,1328660
2014-09-11,69.1079,69.6974,69.0987,69.3198,1353175
2014-09-12,69.3198,69.5593,68.9606,69.4395,1950472
2014-09-15,69.3382,69.5684,68.8961,69.0435,1339281
2014-09-16,69.025,69.8816,68.9698,69.5869,1607384
2014-09-17,69.7619,69.7619,68.7948,69.0435,2139754
2014-09-18,69.2277,69.6302,68.9974,69.4672,1632920
2014-09-19,69.9093,70.2961,69.8264,70.0843,2330359
2014-09-22,69.8172,70.0843,69.5316,69.8816,1345073
2014-09-23,69.7435,70.158,69.5408,69.8724,1565768
2014-09-24,69.9277,71.604,69.7803,71.5304,2081554
2014-09-25,71.1896,71.558,70.0843,70.1487,1747135
2014-09-26,70.158,70.3753,69.2461,69.7066,1381376
2014-09-29,69.3111,70.2549,69.2278,69.9773,1372180
2014-09-30,70.1438,70.2863,69.3019,69.3204,1567833
2014-10-01,69.4129,69.6072,68.6264,69.0058,2623979
2014-10-02,69.1908,69.9588,68.7652,69.4406,2713391
2014-10-03,70.0606,70.847,69.9495,70.4677,2334698
2014-10-06,70.9303,71.2005,69.672,70.1438,1697721
2014-10-07,69.7922,69.9218,68.9086,68.9225,2940071
2014-10-08,69.1446,70.9581,68.9503,70.9303,2089578
2014-10-09,70.7915,70.9396,69.746,69.7645,1457213
2014-10-10,69.968,70.6805,69.8663,69.8755,2701334
2014-10-13,69.783,69.8293,68.334,68.3859,2369253
2014-10-14,68.7467,69.8848,68.5339,69.0058,2778994
2014-10-15,68.1915,68.4784,66.3632,67.7567,3758359
2014-10-16,66.4613,67.7659,66.3965,66.7389,3166933
2014-10-17,67.3588,68.6727,67.294,68.1175,2799319
2014-10-20,67.8307,68.7189,67.4513,68.5709,2476820
2014-10-21,69.1538,70.2364,69.0983,70.1623,1761500
2014-10-22,70.4399,71.0136,70.1438,70.3196,1740607
2014-10-23,71.1246,71.3652,70.625,70.736,1685904
2014-10-24,70.7453,71.43,70.6342,71.3374,1787877
2014-10-27,71.467,72.7993,71.3744,72.5495,2371606
2014-10-28,72.6976,72.8271,72.0684,72.6235,1684101
2014-10-29,72.383,72.9751,71.9018,72.2442,1909676
2014-10-30,73.3915,74.4,73.373,74.2427,2618670
2014-10-31,72.9751,73.2157,72.3645,72.6143,3228233
2014-11-03,72.7808,73.0214,72.5125,72.7068,1626095
2014-11-04,73.0029,73.7709,72.6143,73.5673,2221613
2014-11-05,73.8449,74.0114,72.6374,73.0121,1605793
2014-11-06,73.3452,73.8449,72.9659,73.6506,1544914
2014-11-07,73.7986,73.8449,72.1517,72.42,2255064
2014-11-10,72.5865,73.1972,72.3089,73.1787,2082311
2014-11-11,73.2064,74.0762,73.2064,73.6506,1485383
2014-11-12,73.3915,74.4,73.373,74.2427,2618670
2014-11-13,74.363,74.9552,74.2797,74.6313,2233797
2014-11-14,74.6313,74.9182,74.2057,74.3445,1622862
2014-11-17,74.4093,74.8164,74.1271,74.3538,1554961
2014-11-18,74.289,75.1586,74.1225,74.9552,1219682
2014-11-19,74.9737,74.9829,73.6691,73.7709,1836588
2014-11-20,73.373,73.5488,72.7068,72.9751,2319573
2014-11-21,73.8449,74.0207,73.373,73.6043,1809128
2014-11-24,74.0392,75.0107,73.7246,74.9182,1842029
2014-11-25,74.8904,75.1032,74.2612,74.9274,1531234
2014-11-26,75.1402,75.5936,74.7609,75.4086,1231103
2014-11-28,75.6491,76.5004,75.5982,76.047,642501
2014-12-01,75.6954,76.0562,75.3438,75.8712,1492239
2014-12-02,75.8712,76.2436,75.6954,75.9915,1577897
2014-12-03,76.0285,76.3153,75.6769,75.8249,1161569
2014-12-04,75.8804,76.1118,75.2883,76.084,1184962
2014-12-05,76.01,76.3986,75.8573,76.084,819973
2014-12-08,76.1025,77.1295,76.038,76.3246,1523250
2014-12-09,75.4733,75.7879,74.9552,75.2143,1527392
2014-12-10,75.3068,75.7509,74.3538,74.4648,1735871
2014-12-11,74.7979,75.6769,74.2983,74.4555,1427149
2014-12-12,74.1595,74.6869,73.3545,73.373,1119479
2014-12-15,74.5111,74.5111,73.2758,73.6228,1711093
2014-12-16,73.6876,75.3345,73.1787,73.1879,1978460
2014-12-17,73.4285,74.8442,73.1232,74.6221,1711581
2014-12-18,75.1495,76.2505,74.8071,76.2505,1642341
2014-12-19,76.6206,77.148,76.0655,76.8335,2586694
2014-12-22,76.7224,77.1666,76.5374,76.7964,1219706
2014-12-23,76.963,76.9815,75.4456,75.7972,1346668
2014-12-24,75.973,76.4171,75.7324,75.936,481746
2014-12-26,76.2135,76.3449,75.4641,75.7232,1408038
2014-12-29,75.4918,75.7972,74.9737,75.0847,2069405
2014-12-30,75.3101,76.1092,75.3101,76.0255,1264767
2014-12-31,76.3322,76.5831,74.9477,75.0127,790566
2015-01-02,75.4309,75.8304,74.2136,74.8083,1019523
2015-01-05,74.511,75.1893,74.13,74.3809,1346000
2015-01-06,74.6411,75.0592,72.857,73.5818,2106390
2015-01-07,74.3809,76.3136,73.8884,76.2207,2024480
2015-01-08,76.8897,78.5994,76.8618,78.5715,2741747
2015-01-09,78.46,78.4972,77.7074,77.9025,1770348
2015-01-12,78.0883,78.6087,76.8711,76.9454,1353148
2015-01-13,77.7445,78.4135,76.1278,76.6574,1723587
2015-01-14,75.9605,76.518,75.7003,76.1463,1358978
2015-01-15,76.2671,76.6202,75.0592,75.1242,1224672
2015-01-16,74.8734,76.4994,74.8548,76.4344,1317929
2015-01-20,76.6946,77.2288,75.0964,75.9512,2007888
2015-01-21,76.0163,76.6388,75.6167,76.1371,2004738
2015-01-22,76.5923,78.0047,75.6818,77.9768,2321791
2015-01-23,78.0047,78.2184,77.4751,77.5587,1178830
2015-01-26,77.5122,78.7852,77.2614,78.748,1515809
2015-01-27,77.9954,79.1011,77.6516,78.7016,1633093
2015-01-28,79.7144,81.1453,79.0129,79.3427,4157162
2015-01-29,77.8003,79.3056,76.899,78.8131,2927270
2015-01-30,78.5994,79.4728,77.1777,77.2985,3039262
2015-02-02,75.6074,77.0384,75.561,76.9547,3086198
2015-02-03,77.4751,77.8653,76.899,77.5122,2167171
2015-02-04,77.2149,78.9803,77.2149,77.9304,2653076
2015-02-05,78.2649,78.906,77.949,78.4507,2228569
2015-02-06,78.618,80.2069,78.4879,79.4171,1936943
2015-02-09,79.3148,79.352,77.9397,78.2556,1514189
2015-02-10,78.8874,79.1476,78.4972,79.0918,2124205
2015-02-11,79.2684,80.2998,79.0268,79.9931,1930445
2015-02-12,80.5042,80.5414,79.2033,79.9467,1533799
2015-02-13,79.9467,80.0117,79.2963,79.9839,1253185
2015-02-17,80.0024,80.5785,79.6772,80.2905,1309002
2015-02-18,80.2162,80.3462,79.5936,80.1139,1420265
2015-02-19,80.1511,80.4113,79.7887,80.0675,834214
2015-02-20,79.8724,80.8945,79.5843,80.8945,1213276
2015-02-23,80.9781,81.9073,80.7975,81.8608,1894590
2015-02-24,81.8701,82.9851,81.5635,82.9294,2442843
2015-02-25,82.6134,83.0966,81.9723,82.0466,1678987
2015-02-26,81.9166,82.5298,81.517,81.9258,1145138
2015-02-27,81.8236,82.4648,81.6657,81.7586,1502298
2015-03-02,82.4276,84.0815,82.3626,83.1802,3820289
2015-03-03,83.5612,83.5612,81.4148,82.1674,1942264
2015-03-04,81.8515,82.79,81.2847,82.7249,1620657
2015-03-05,82.8922,83.2824,82.3254,82.6506,1504219
2015-03-06,82.4369,82.4369,80.6064,80.848,1501425
2015-03-09,81.0803,81.9073,80.8666,81.7493,1244101
2015-03-10,80.8666,81.1453,79.8538,80.783,1785056
2015-03-11,81.006,81.4241,80.3741,81.0896,1172138
2015-03-12,81.5263,82.4276,81.5263,82.2139,1197755
2015-03-13,81.9723,82.2975,81.1453,81.8794,1172372
2015-03-16,82.4462,83.6216,82.3626,83.6077,1368101
2015-03-17,83.1245,83.3661,82.6413,83.2081,1343728
2015-03-18,83.0037,84.2116,82.3254,83.9793,1896937
2015-03-19,83.9979,83.9979,82.9479,83.5519,1627407
2015-03-20,83.9236,84.9736,83.8121,84.7877,2488232
2015-03-23,84.9457,85.1036,83.8957,83.9236,1904597
2015-03-24,84.0165,84.2581,83.0502,83.1152,1705775
2015-03-25,83.3754,84.2209,82.567,82.7064,2177868
2015-03-26,82.4648,83.6913,81.8701,82.8272,1611582
2015-03-27,82.8829,83.8214,82.7621,83.7099,1672689
2015-03-30,83.9081,84.8968,83.7682,84.6916,1416619
2015-03-31,84.4771,85.2699,84.0946,84.1972,2290088
2015-04-01,84.1413,84.1646,82.2292,82.8728,2131659
2015-04-02,83.2459,83.7868,82.481,83.5723,1257296
2015-04-06,82.9847,84.3838,82.772,83.8801,1400863
2015-04-07,83.8521,84.4304,83.8381,83.8894,1180308
2015-04-08,84.0294,84.3465,83.5164,84.1226,1623236
2015-04-09,83.8521,84.5144,83.4604,83.8428,1490847
2015-04-10,83.7216,84.505,83.4884,84.4304,1909383
2015-04-13,84.3931,85.102,83.3671,83.591,1822893
2015-04-14,84.2159,84.4304,83.0127,84.2252,1368796
2015-04-15,84.4677,84.9901,84.0294,84.0853,1502864
2015-04-16,84.0853,84.0946,83.4138,83.6283,1151123
2015-04-17,83.1619,83.6936,82.6303,83.5257,1460353
2015-04-20,83.8801,84.7196,83.5816,84.076,1425908
2015-04-21,84.3185,84.7849,84.104,84.2719,1000929
2015-04-22,84.3745,85.4564,84.2346,85.3445,1788974
2015-04-23,84.9621,85.7083,84.5797,85.3445,1488625
2015-04-24,85.2605,85.6057,84.7849,85.2326,1317588
2015-04-27,85.5497,85.7269,83.4231,83.507,1943320
2015-04-28,83.2738,84.4771,82.565,84.3931,2225849
2015-04-29,83.8148,84.2812,82.3038,82.9194,2618106
2015-04-30,82.9194,82.9194,78.2091,78.6662,5378085
2015-05-01,78.8434,80.0,78.433,79.7948,2945726
2015-05-04,80.0,80.429,79.459,79.8694,2065301
2015-05-05,79.9347,80.2145,78.6662,78.8807,1991026
2015-05-06,79.2724,79.5285,78.5636,79.0579,2190479
2015-05-07,79.0952,79.8694,79.0206,79.2724,2153963
2015-05-08,80.0932,81.1006,79.972,80.8208,1657561
2015-05-11,80.7648,81.0446,80.3078,80.5503,1754129
2015-05-12,80.3171,80.6249,80.0,80.3637,1826561
2015-05-13,80.6902,81.3244,80.3637,80.6622,1996250
2015-05-14,81.2125,82.1359,80.97,82.08,1653232
2015-05-15,82.0333,82.3971,81.3151,81.6602,2296028
2015-05-18,81.6789,82.481,81.4923,81.94,2255014
2015-05-19,82.1359,82.994,81.3804,81.427,3311119
2015-05-20,81.4923,82.5743,81.1099,82.1452,2699785
2015-05-21,82.0426,82.8121,81.9587,82.6956,1871786
2015-05-22,82.5183,82.8634,82.3318,82.5463,1296204
2015-05-26,82.5277,82.8355,81.6975,81.6975,1756652
2015-05-27,81.7069,82.7982,81.4177,82.7235,1340323
2015-05-28,82.7142,83.6002,82.1546,82.1826,2032678
2015-05-29,82.2292,82.9287,81.9027,82.2385,2113758
2015-06-01,82.3878,82.7515,81.7255,82.4717,1549436
2015-06-02,82.0986,82.537,81.7815,82.1079,1274517
2015-06-03,82.2665,82.4716,81.8281,82.0986,1114894
2015-06-04,81.3618,82.1639,81.2592,81.7162,1458101
2015-06-05,81.2312,82.2385,80.3731,82.1173,2805883
2015-06-08,82.3318,82.7795,81.996,82.0706,2640102
2015-06-09,82.6396,83.0034,81.6183,81.7628,2223311
2015-06-10,82.1826,82.994,81.8001,82.7982,1903004
2015-06-11,83.2272,84.048,82.7795,83.6376,2654307
2015-06-12,83.2086,83.3578,82.7142,82.9008,1654866
2015-06-15,82.5743,82.9381,82.1546,82.3318,2268236
2015-06-16,82.481,83.4324,82.2199,83.1246,2310213
2015-06-17,83.4044,84.2159,83.2599,83.9361,2236755
2015-06-18,83.9827,84.5591,83.7962,83.8055,2603618
2015-06-19,83.7962,84.4771,83.6656,83.8242,2512977
2015-06-22,84.4677,84.6356,83.7402,83.8148,2252930
2015-06-23,84.1879,84.2346,83.1526,83.2272,2356039
2015-06-24,83.2272,83.3578,81.1566,81.1752,3406778
2015-06-25,81.5576,81.5576,80.0746,80.8394,3811942
2015-06-26,81.1659,81.1659,79.8787,80.2425,9080896
2015-06-29,79.7618,80.2115,78.3564,78.4594,3795609
2015-06-30,79.2933,79.5182,78.3002,78.3751,4071790
2015-07-01,78.9748,79.7571,78.8717,79.5931,3395066
2015-07-02,79.8742,80.071,78.8342,79.1715,1556760
2015-07-06,78.4126,79.5276,78.3564,79.209,2679328
2015-07-07,79.4151,79.9679,78.5157,79.64,2312826
2015-07-08,79.1715,79.818,78.0378,78.1409,2597120
2015-07-09,79.3121,79.5463,78.5297,78.853,2459723
2015-07-10,79.6681,80.2865,79.5088,80.0897,1457263
2015-07-13,80.6987,80.9049,80.0522,80.6894,1376225
2015-07-14,80.3521,81.111,79.9773,80.7362,3056750
2015-07-15,80.68,81.4951,80.3708,81.1391,2223938
2015-07-16,81.72,81.7387,81.036,81.5326,1488338
2015-07-17,81.645,81.8605,81.0173,81.289,1916783
2015-07-20,81.2515,81.5514,81.0173,81.1204,1177435
2015-07-21,81.1016,81.4483,80.324,80.755,1526161
2015-07-22,80.6613,81.4108,80.6519,81.3452,1757459
2015-07-23,81.4296,81.5982,78.7405,78.956,3063626
2015-07-24,78.7312,78.8249,77.8036,78.0378,2232801
2015-07-27,77.7567,77.916,76.951,77.1009,2744459
2015-07-28,77.1946,78.4969,76.9135,78.4032,2187388
2015-07-29,78.5625,79.1059,78.1596,79.031,3110641
2015-07-30,79.1903,81.0173,75.0021,78.0847,7632424
2015-07-31,78.0659,79.8274,77.916,79.6213,4519622
2015-08-03,79.2277,80.6987,79.2277,80.4083,2602865
2015-08-04,80.7268,81.1766,80.1553,80.3427,2373083
2015-08-05,81.0454,81.0923,80.2677,80.8299,1780558
2015-08-06,80.9611,81.1297,79.284,79.4339,2038459
2015-08-07,79.64,79.7618,78.7124,79.7149,2125692
2015-08-10,80.2584,80.9611,80.2209,80.324,1638722
2015-08-11,79.8836,80.6426,79.6494,80.4739,1939679
2015-08-12,79.6494,79.8274,78.6937,79.6868,2212067
2015-08-13,79.7337,79.8649,78.8623,78.8904,1572038
2015-08-14,78.6749,79.1434,78.4946,78.956,1955575
2015-08-17,78.4407,79.1247,77.6818,79.0216,1817371
2015-08-18,78.8904,79.5744,78.7428,79.4526,1563344
2015-08-19,78.7218,80.4832,78.4782,79.893,2473117
2015-08-20,79.1528,79.6775,77.0072,77.0728,2544193
2015-08-21,76.5762,77.2227,75.48,75.5175,3033639
2015-08-24,71.8165,75.3301,70.0457,73.9996,6632834
2015-08-25,75.7048,76.6605,74.3369,74.4119,5448828
2015-08-26,76.1077,78.3939,74.7585,78.2814,4654615
2015-08-27,78.8436,79.893,77.1009,78.4126,4646765
2015-08-28,78.2814,78.2955,77.6584,78.1315,2596932
2015-08-31,77.9629,78.8764,76.9041,77.0821,1902621
2015-09-01,75.3863,76.2857,74.6555,75.1708,3119402
2015-09-02,76.1546,76.5949,75.4706,76.5012,2093862
2015-09-03,76.876,77.3539,75.7517,76.0328,1614798
2015-09-04,74.9365,75.8173,74.6929,75.4706,2087074
2015-09-08,76.7074,77.129,75.9484,77.0634,2014222
2015-09-09,77.8317,78.0097,75.911,76.1171,2378553
2015-09-10,76.0515,78.0753,75.7329,77.7755,2617712
2015-09-11,77.5694,79.6775,77.3164,79.6494,3073926
2015-09-14,79.7243,79.8461,78.7124,78.9935,1953786
2015-09-15,79.1528,79.996,78.8623,79.7149,1895582
2015-09-16,79.7524,80.1647,79.2933,79.9773,2220915
