date,open,high,low,close,volume
2014-01-02,92.7487,93.2992,91.4402,91.7741,1112627
2014-01-03,91.9636,92.1802,91.35,91.5395,1120803
2014-01-06,92.4238,92.5141,90.9078,91.2236,1304119
2014-01-07,91.1514,91.4673,90.3934,90.4837,2214115
2014-01-08,90.3393,90.5649,88.9135,89.3647,2781675
2014-01-09,89.6264,89.7527,88.5706,89.2474,2096999
2014-01-10,89.5091,89.5813,88.2999,89.0398,2760927
2014-01-13,89.3123,89.6211,87.8319,88.0226,2459211
2014-01-14,87.9772,89.0489,87.8501,88.731,1878323
2014-01-15,89.1307,89.5575,88.6947,88.9944,1583856
2014-01-16,88.8128,89.1488,88.2315,88.3678,1564859
2014-01-17,88.3859,88.7492,87.9455,88.1861,4253729
2014-01-21,88.3496,88.6039,87.1962,87.5231,2648993
2014-01-22,87.7411,88.0862,87.1599,87.1962,1615515
2014-01-23,87.4051,87.4051,85.3798,85.5342,2879508
2014-01-24,85.5342,85.5342,83.7269,83.7269,2533893
2014-01-27,83.5725,85.1891,83.5552,84.5079,3022482
2014-01-28,84.6351,86.1427,84.5624,85.8884,2606993
2014-01-29,85.2708,85.8521,84.3626,85.398,3466743
2014-01-30,85.952,86.6149,85.407,86.4061,2339284
2014-01-31,85.1346,85.7794,84.9348,85.1981,2871441
2014-02-03,84.8621,85.2617,83.7904,84.0992,3813727
2014-02-04,84.6532,85.0347,84.0901,84.3172,2569013
2014-02-05,84.0447,84.9782,84.0266,84.6896,2561308
2014-02-06,84.8167,85.5433,84.4898,84.9075,2986496
2014-02-07,85.4434,85.961,85.0528,85.9156,2136765
2014-02-10,85.5433,86.3062,85.3071,86.3062,1712534
2014-02-11,86.5786,87.9591,86.4787,87.9227,2353891
2014-02-12,87.3687,87.6957,86.842,86.9237,1676836
2014-02-13,86.2789,87.3687,86.2335,87.3143,1339866
2014-02-14,87.3143,88.0862,87.1826,88.0681,1434935
2014-02-18,88.1861,88.642,87.95,88.5131,1450443
2014-02-19,88.3405,88.8845,87.7684,87.7956,1517312
2014-02-20,87.732,88.3496,87.0872,87.8955,1579216
2014-02-21,88.168,88.8673,87.7956,88.2679,1264117
2014-02-24,88.1861,88.8764,87.8955,87.9046,1409663
2014-02-25,87.8501,88.0136,87.4959,87.6685,1268450
2014-02-26,87.5322,87.9137,87.1599,87.2779,1126556
2014-02-27,87.2053,88.0771,87.1508,87.8773,1250189
2014-02-28,88.0953,89.0943,87.9591,88.8854,1780242
2014-03-03,87.841,88.1044,87.0509,87.5686,1376233
2014-03-04,88.4949,88.6402,88.1407,88.5222,1918551
2014-03-05,88.5767,88.9399,88.2406,88.6947,1172352
2014-03-06,88.8037,89.5212,88.5312,89.1397,1331091
