date,open,high,low,close,volume
2014-01-02,48.9207,49.0045,47.8554,48.0628,522121
2014-01-03,48.355,48.9301,48.1407,48.7039,648582
2014-01-06,48.7699,48.949,48.0156,48.0156,550901
2014-01-07,48.2513,48.4493,47.4877,47.7894,515229
2014-01-08,47.7799,47.9968,46.9597,47.1577,624764
2014-01-09,47.1671,47.516,46.6486,46.9126,610435
2014-01-10,46.8277,47.1671,46.5732,46.9974,493886
2014-01-13,47.1389,47.1389,45.4607,45.6964,526272
2014-01-14,45.7153,47.252,45.6776,46.8937,924988
2014-01-15,46.8937,47.1577,46.3564,46.9786,470114
2014-01-16,46.8372,46.9503,46.1867,46.2432,480798
2014-01-17,46.1018,47.4593,45.9645,47.0257,1331641
2014-01-21,47.9685,48.0628,46.988,47.0163,648170
2014-01-22,47.1954,48.0534,47.0917,47.8459,568174
2014-01-23,47.8082,48.0534,47.2426,47.8271,829054
2014-01-24,47.7611,47.8365,46.9597,47.1671,686816
2014-01-27,47.3651,47.5725,46.1207,46.2149,753037
2014-01-28,46.4883,47.3934,46.3092,47.318,726690
2014-01-29,47.1294,47.516,46.8655,46.8749,681483
2014-01-30,47.4877,48.685,47.186,48.4587,786906
2014-01-31,47.8459,49.4487,47.7988,49.0433,790290
2014-02-03,49.1187,49.3167,46.1961,46.3186,1283349
2014-02-04,47.1294,48.421,46.7052,48.0816,1053056
2014-02-05,48.0816,48.3362,47.2803,47.8177,474962
2014-02-06,48.0816,48.751,47.9496,48.7227,664911
2014-02-07,49.0244,50.5329,48.5625,50.3632,710166
2014-02-10,50.844,51.3814,50.3632,51.2588,922291
2014-02-11,51.2588,52.3336,51.2588,51.6076,934743
2014-02-12,51.7302,52.8474,51.5699,52.8427,720600
2014-02-13,52.6635,53.9834,52.5504,53.4178,997475
2014-02-14,53.4837,53.8231,52.6541,53.0878,632513
2014-02-18,53.2858,53.4742,52.8615,53.2575,434029
2014-02-19,53.0878,53.2198,52.1214,52.1827,540605
2014-02-20,52.2676,52.5598,51.2399,51.5605,763268
2014-02-21,51.6642,51.8056,50.9854,51.0702,629983
2014-02-24,51.4379,51.7868,51.1551,51.1645,504106
2014-02-25,51.2305,51.4285,50.6555,50.778,347916
2014-02-26,50.9577,51.4496,50.6172,50.8158,407484
2014-02-27,50.7969,51.1185,50.4659,51.005,370847
2014-02-28,51.0807,51.8904,50.9861,51.1091,527520
2014-03-03,50.4185,52.4523,50.1347,52.405,879715
2014-03-04,52.509,53.6182,52.509,53.5307,637192
2014-03-05,53.5212,54.1644,53.2847,54.155,557104
2014-03-06,54.1644,55.0915,53.928,54.2969,562184
