date,open,high,low,close,volume
2014-01-02,60.0797,60.5356,59.2818,60.0797,6722968
2014-01-03,60.0227,60.2412,59.6427,59.9752,2226057
2014-01-06,60.5166,60.6306,59.7377,59.8517,3662980
2014-01-07,60.1177,60.6401,59.9372,60.2032,2258749
2014-01-08,60.0512,60.1557,59.3293,59.5952,2653368
2014-01-09,59.8422,59.9277,58.3034,59.3578,3565468
2014-01-10,59.3673,60.1034,58.9588,59.8327,3754806
2014-01-13,59.3578,59.551,57.6053,57.8855,5463214
2014-01-14,58.4649,58.4649,57.2775,57.61,5845454
2014-01-15,57.781,58.2939,57.439,57.9425,7616569
2014-01-16,57.9615,58.2368,57.5483,57.7525,3943877
2014-01-17,57.743,58.1039,57.0211,57.458,5014341
2014-01-21,58.1609,58.1609,56.3182,56.7076,5797019
2014-01-22,57.0021,57.8902,56.7171,57.724,3580526
2014-01-23,57.0876,57.4699,56.1947,56.7076,4422318
2014-01-24,56.5746,56.6981,55.1213,55.4633,7374067
2014-01-27,55.4538,55.9002,54.6274,55.2638,5826855
2014-01-28,55.4633,56.0807,55.3208,55.7577,4131448
2014-01-29,55.3303,55.5013,54.4944,54.8269,5709171
2014-01-30,56.0427,57.1541,55.7197,56.2042,7782567
2014-01-31,55.2733,56.1139,54.9978,55.7767,6940312
2014-02-03,55.6533,55.7767,52.9176,53.4875,11594866
2014-02-04,53.8865,55.2448,53.6395,54.9693,8234466
2014-02-05,54.5419,56.0831,53.9055,55.9857,8278901
2014-02-06,56.2137,57.9805,55.8432,57.268,6706856
2014-02-07,57.515,57.8,56.9926,57.4675,4726061
2014-02-10,57.515,57.6575,57.1731,57.553,4311500
2014-02-11,57.5435,58.0848,57.344,57.8475,6747892
2014-02-12,58.5124,58.9303,58.0659,58.7499,6765628
2014-02-13,60.7066,61.647,60.2507,61.3715,12806269
2014-02-14,60.9251,62.6253,60.6496,61.704,7916748
2014-02-18,61.9604,63.1193,61.9034,62.9673,6013083
2014-02-19,62.4924,63.2428,62.2074,62.5209,7185405
2014-02-20,62.6443,62.7678,61.419,62.6063,6616982
2014-02-21,62.7583,63.2618,62.4449,62.7488,5038340
2014-02-24,63.0528,63.9172,62.9626,63.1288,4822847
2014-02-25,62.7773,63.0053,62.3119,62.4639,4438883
2014-02-26,62.5968,63.1193,62.1219,62.2549,4726875
2014-02-27,62.1029,63.2048,61.9034,63.0718,4732527
2014-02-28,63.0813,64.0834,63.0813,63.7177,5577132
2014-03-03,62.5209,63.0243,61.4,62.6443,4303326
2014-03-04,63.5562,64.2306,63.5562,64.0407,6201721
2014-03-05,64.1451,64.4681,63.7557,64.0027,4320986
2014-03-06,64.1926,64.3256,63.8412,64.1641,3757479
2014-03-07,64.5162,64.678,63.8786,64.1356,3450408
2014-03-10,63.8786,64.1641,63.4409,63.5266,3200732
2014-03-11,64.7922,64.8017,62.594,62.889,4480787
2014-03-12,62.4323,62.8747,62.0992,62.7082,4096937
2014-03-13,63.0888,63.3648,61.5568,61.8137,5670962
2014-03-14,61.652,62.8224,61.652,62.2039,5456288
2014-03-17,62.8034,63.2126,62.4513,62.6511,4099175
