date,open,high,low,close,volume
2014-01-02,40.5115,41.1669,40.3836,40.6263,3460110
2014-01-03,40.7514,40.8366,40.1916,40.3464,2272410
2014-01-06,40.5341,40.6315,39.7268,39.8092,4105020
2014-01-07,39.8109,40.1151,39.2198,40.0647,4197740
2014-01-08,39.8335,40.9061,39.7744,40.6037,6478380
2014-01-09,40.5498,42.0118,40.5063,41.7215,7461540
2014-01-10,41.8501,42.9315,41.738,42.7941,5428250
2014-01-13,42.6272,43.0758,42.33,42.5299,5027355
2014-01-14,42.4099,43.2965,42.3404,42.7072,5386280
2014-01-15,42.8584,43.2357,42.8002,43.1888,3452765
2014-01-16,42.9575,43.3052,42.8011,43.1922,2134645
2014-01-17,43.26,43.26,42.5872,42.7333,2040400
2014-01-21,42.9749,43.2964,42.768,42.855,2913490
2014-01-22,42.8584,42.9914,41.9993,42.1474,3268140
2014-01-23,42.0631,42.5525,41.3755,41.6641,4231025
2014-01-24,41.525,41.525,40.4437,40.4507,3984995
2014-01-27,40.515,40.7097,40.0195,40.2959,4683775
2014-01-28,40.3151,41.0591,40.136,40.8383,4227775
2014-01-29,40.3394,40.8105,39.8909,39.91,4804885
2014-01-30,40.0021,41.0105,39.5519,40.4333,4243950
2014-01-31,40.0074,40.5654,39.9917,40.1343,3697495
2014-02-03,40.2177,40.4785,39.2529,39.312,4644380
2014-02-04,39.312,39.9309,38.7817,39.1016,5173690
2014-02-05,38.8426,39.717,38.2672,39.5936,4413025
2014-02-06,39.6597,40.0752,39.5519,39.9726,2893525
2014-02-07,40.0021,40.7462,39.95,40.6906,3349995
2014-02-10,40.6575,41.3182,40.4385,40.4872,4617230
2014-02-11,40.668,40.8766,40.1082,40.169,5338030
2014-02-12,40.0608,40.1586,39.5457,39.9281,9237620
2014-02-13,39.7902,40.5409,39.6697,40.3733,8174315
2014-02-14,40.4205,40.7592,40.1725,40.4467,7555575
2014-02-18,40.3332,40.4851,38.8176,39.4933,11816295
2014-02-19,41.3371,43.5808,41.2734,41.489,14527990
2014-02-20,41.6427,42.2136,41.6322,42.0548,4620380
2014-02-21,42.1141,42.6694,41.8278,42.4232,5020230
2014-02-24,42.2922,42.9557,42.2922,42.3917,6802075
2014-02-25,42.4022,42.8213,42.3847,42.4162,4049025
2014-02-26,42.5471,42.9225,42.3673,42.6519,3136585
2014-02-27,42.4406,43.5895,42.4022,43.4847,4751315
2014-02-28,43.6506,43.8776,43.497,43.8078,4825720
2014-03-03,44.1762,44.8711,44.0941,44.6755,6819015
2014-03-04,44.9636,45.2304,44.2809,44.8763,6934930
2014-03-05,44.8903,46.1876,44.487,45.882,5445865
2014-03-06,45.7528,46.4181,45.5896,46.1178,4220630
2014-03-07,46.2016,46.7516,45.3757,45.587,6431130
2014-03-10,45.5538,46.3849,44.9846,46.1789,4458325
2014-03-11,46.1352,46.1352,44.9532,44.9636,5753060
2014-03-12,44.5236,44.8728,43.9666,44.6528,6832320
2014-03-13,44.7855,44.9479,43.7274,43.9178,5756445
2014-03-14,43.8252,44.129,43.6436,44.0557,5250425
2014-03-17,44.2059,44.6266,43.7432,43.8078,3351580
2014-03-18,43.8252,44.5149,43.8095,44.4643,3373460
2014-03-19,44.4328,44.7541,43.8287,44.0522,2402890
2014-03-20,43.9387,44.2425,43.6366,43.9038,3136925
2014-03-21,44.3001,44.7436,44.0889,44.349,6171515
2014-03-24,44.5306,44.8047,43.7991,44.1255,4399320
2014-03-25,44.3054,44.8571,44.1762,44.4747,2831080
2014-03-26,44.8519,44.9374,43.916,43.93,2648435
2014-03-27,43.8724,44.5324,43.7082,44.473,3617220
2014-03-28,44.3246,45.2168,44.3246,45.0108,3178190
2014-03-31,45.0614,45.6236,44.2687,45.5084,5067735
2014-04-01,45.676,46.6084,45.1819,46.5106,5828405
2014-04-02,45.9362,46.6031,45.6393,46.3465,4946590
2014-04-03,45.7668,46.0933,45.2063,45.3652,4240165
2014-04-04,45.5712,45.7179,44.4573,44.6319,4025580
2014-04-07,44.6878,44.9409,43.7571,43.9736,3089605
2014-04-08,44.0662,44.6232,43.9317,44.4241,3372555
2014-04-09,44.4241,44.9881,44.3246,44.5952,3270090
2014-04-10,44.0854,44.349,42.7793,42.9103,5645690
2014-04-11,42.6257,42.6949,41.4471,41.5065,7857000
2014-04-14,40.8675,42.1124,40.5767,42.0774,4398615
2014-04-15,42.1141,42.5105,41.6776,42.0548,3759055
2014-04-16,42.4162,43.2874,42.2695,43.2525,3509330
2014-04-17,43.0919,43.1478,42.3079,42.3132,3128495
2014-04-21,42.4441,42.4441,41.9675,42.1176,2634380
2014-04-22,42.0652,42.3324,41.0875,42.2416,4145470
2014-04-23,42.3778,42.7497,42.2206,42.4616,2711830
2014-04-24,42.6135,42.6135,41.9046,41.9552,2679095
2014-04-25,41.8679,42.2241,41.6121,42.0251,3172755
2014-04-28,42.1263,42.5401,41.9046,42.2538,2120350
2014-04-29,42.5209,42.8701,42.1421,42.6816,2828020
2014-04-30,42.6641,42.9871,42.4074,42.8073,2026200
2014-05-01,42.7322,42.8335,42.2084,42.2538,2867445
2014-05-02,42.2957,42.6903,42.1752,42.493,1949960
2014-05-05,42.3359,42.7881,42.2887,42.6938,1468255
2014-05-06,42.5384,42.8055,42.0338,42.5192,2263750
2014-05-07,42.6117,42.837,42.149,42.7532,2594555
2014-05-08,42.1141,43.3416,40.857,42.1438,7675510
2014-05-09,41.9936,42.1787,40.9181,41.1468,5447700
2014-05-12,41.4227,42.5821,41.2079,42.1979,5475265
2014-05-13,42.6187,43.6506,42.3079,43.469,5238880
2014-05-14,43.5637,43.9231,43.4182,43.4761,3883440
2014-05-15,43.2043,43.306,41.7125,41.9334,5513575
2014-05-16,41.8177,42.3366,41.4849,42.2033,8121725
2014-05-19,42.2296,43.4287,41.9649,43.1693,4061415
2014-05-20,43.15,43.7653,43.1114,43.2622,3406225
2014-05-21,43.3358,43.7215,42.9256,43.0378,3941930
2014-05-22,43.0238,43.3095,42.61,42.8818,3803015
2014-05-23,42.9168,43.2587,42.6556,43.2411,2806590
