date,open,high,low,close,volume
2014-01-02,45.3847,45.4151,44.6014,44.7755,541030
2014-01-03,44.819,44.9669,44.3926,44.497,415547
2014-01-06,44.5405,44.7233,44.249,44.3839,554136
2014-01-07,44.4013,44.6536,44.3142,44.4274,530374
2014-01-08,44.4448,44.4448,44.0706,44.2881,1036572
2014-01-09,44.2968,44.5405,44.2377,44.4796,569713
2014-01-10,44.7407,44.8103,44.4187,44.5144,543625
2014-01-13,44.3752,44.5927,43.8617,43.9574,804359
2014-01-14,43.9835,44.2881,43.9139,44.2098,342383
2014-01-15,44.4361,44.4883,44.0532,44.2707,510835
2014-01-16,44.027,44.1663,43.8182,43.9574,527985
2014-01-17,43.9313,44.0357,43.6963,43.9661,1408117
2014-01-21,44.2968,44.3752,43.7312,43.9313,890712
2014-01-22,44.1141,44.2011,43.8791,44.1228,676849
2014-01-23,43.9835,44.1663,43.4875,43.6354,930309
2014-01-24,43.2525,43.3743,42.4693,42.478,903487
2014-01-27,42.2952,42.7651,41.3553,42.4432,893028
2014-01-28,42.4867,42.9131,42.4519,42.8696,630747
2014-01-29,42.4954,42.7651,42.2778,42.3039,533144
2014-01-30,42.6694,42.8696,42.4606,42.8435,408736
2014-01-31,42.0515,42.5128,41.7382,42.1647,913892
2014-02-03,42.2517,42.3822,41.3205,41.4336,989406
2014-02-04,41.5033,41.6164,40.9637,41.1203,1142836
2014-02-05,40.9637,41.277,40.8506,40.9898,791233
2014-02-06,40.4676,40.6243,39.2318,39.345,1464384
2014-02-07,39.3624,39.7975,39.0752,39.7975,1381353
2014-02-10,39.7105,39.841,39.3537,39.841,945603
2014-02-11,39.8584,40.4502,39.7605,40.311,852672
2014-02-12,40.4415,40.6156,40.2501,40.4763,710389
2014-02-13,40.163,40.8419,40.0412,40.8331,698744
2014-02-14,40.6852,40.9028,40.5634,40.9028,615837
2014-02-18,40.7983,41.1639,40.7548,41.0507,642148
2014-02-19,40.868,40.9898,40.4763,40.5198,753363
2014-02-20,40.6069,40.7809,40.3066,40.72,482985
2014-02-21,40.8419,40.8767,40.4676,40.6852,489319
2014-02-24,40.7026,40.9289,40.5808,40.5982,632434
2014-02-25,40.6678,41.0507,40.398,40.5024,371998
2014-02-26,40.5198,40.5721,40.2762,40.4328,452824
2014-02-27,40.398,40.6678,40.2414,40.5982,456748
2014-02-28,40.6417,40.9898,40.4763,40.7983,569164
2014-03-03,40.6243,40.6678,40.2414,40.4328,410997
2014-03-04,40.7722,41.0855,40.72,41.0072,723376
2014-03-05,40.9811,41.0507,40.8027,40.9811,415787
2014-03-06,40.9898,41.599,40.9637,41.4684,637139
2014-03-07,41.6164,41.7643,41.4075,41.6338,548117
2014-03-10,41.512,41.6251,41.3379,41.4859,466032
2014-03-11,41.5207,41.6338,41.1551,41.277,504047
2014-03-12,41.1377,41.4772,41.0072,41.451,388601
