date,open,high,low,close,volume
2014-01-02,43.9918,44.1688,43.6194,43.6287,1094704
2014-01-03,43.7777,44.085,43.6752,43.8429,843485
2014-01-06,44.0663,44.3271,43.7311,43.7684,1131736
2014-01-07,44.0663,44.3085,43.787,44.0477,882578
2014-01-08,44.1874,44.5785,44.0384,44.3457,1463707
2014-01-09,44.4202,44.8765,44.4202,44.7089,1095599
2014-01-10,44.5692,44.7275,44.3457,44.5133,1347889
2014-01-13,44.5133,44.6158,43.8894,43.9732,1006085
2014-01-14,44.0757,44.2619,43.787,43.9639,1053678
2014-01-15,44.057,44.5599,44.057,44.4482,1091017
2014-01-16,44.4016,44.4575,43.8658,44.1688,1259271
2014-01-17,46.5155,46.5155,44.1828,44.3737,2319026
2014-01-21,45.2025,46.1337,44.9138,46.1058,2569834
2014-01-22,46.2641,46.5155,45.7612,46.4876,1754097
2014-01-23,46.1058,46.1058,45.0767,45.4353,1665027
2014-01-24,44.9883,45.1932,43.9639,43.9825,1824137
2014-01-27,43.9825,44.2712,43.2655,43.3679,1511287
2014-01-28,43.4424,43.7777,43.163,43.5635,1598499
2014-01-29,43.1258,43.7684,43.1165,43.2469,2106157
2014-01-30,43.6752,43.7963,43.2562,43.6752,922766
2014-01-31,42.9675,43.3214,42.5857,42.6509,1284746
2014-02-03,42.6043,42.6788,40.9374,40.9839,2385895
2014-02-04,41.2167,41.8593,41.0026,41.7476,1485882
2014-02-05,41.6265,41.9152,41.3657,41.8034,1255748
2014-02-06,41.7755,42.6974,41.552,42.6602,1442037
2014-02-07,42.7626,43.0327,42.1294,42.6043,1675374
2014-02-10,42.5298,42.7905,42.2784,42.7254,666508
2014-02-11,42.6136,43.4331,42.446,43.2748,1034116
2014-02-12,43.2934,43.8149,43.0606,43.2655,671981
2014-02-13,42.8371,43.5029,42.7067,43.4331,902603
2014-02-14,44.1036,44.6251,43.3959,44.355,1953792
2014-02-18,44.4016,44.6251,44.1688,44.532,1502824
2014-02-19,44.2992,44.4016,43.4052,43.5635,1954819
2014-02-20,43.5262,43.8149,42.8017,43.4983,1608841
2014-02-21,43.5635,43.8801,43.2282,43.5262,1340767
2014-02-24,43.4797,44.5599,43.4797,44.2712,1461839
2014-02-25,44.2805,44.3923,43.8242,44.2619,1332909
2014-02-26,44.3643,44.7927,44.1315,44.7648,1388295
2014-02-27,44.5506,44.6437,44.2526,44.4947,1059034
2014-02-28,44.504,45.1652,44.4109,44.8672,1239184
2014-03-03,44.3643,44.5692,44.0896,44.2712,1169377
2014-03-04,44.8579,45.4166,44.7462,45.2863,1523731
2014-03-05,45.1559,45.5843,45.1187,45.4818,955182
2014-03-06,45.6401,45.8916,45.5377,45.5843,1315423
2014-03-07,45.9009,46.4503,45.9009,46.0871,1692205
2014-03-10,45.4911,46.4783,45.4911,46.469,1326033
2014-03-11,46.4038,46.469,45.6774,46.022,1582377
2014-03-12,45.8444,46.0968,45.4611,46.05,983938
2014-03-13,46.1809,46.4053,45.6948,45.7976,2112447
2014-03-14,45.6387,45.9752,45.2928,45.433,1374163
2014-03-17,45.7228,45.9285,45.4377,45.7976,1740862
2014-03-18,45.9004,46.3492,45.7696,46.3024,1166645
2014-03-19,46.4333,47.5084,46.1529,47.1905,3071328
2014-03-20,47.1157,49.1116,46.9755,48.5647,4496522
2014-03-21,48.9013,50.0137,48.518,48.9574,3431887
2014-03-24,49.1817,49.6865,48.7984,48.92,2184627
2014-03-25,49.1163,49.2285,48.0132,48.4712,2678309
2014-03-26,48.733,48.948,48.0973,48.1254,1621484
2014-03-27,48.0225,48.2562,46.9288,47.1344,2535168
2014-03-28,47.3027,48.1347,47.1718,47.7608,1397547
2014-03-31,48.1067,48.4899,47.9384,48.4245,1841425
2014-04-01,48.6115,48.6115,48.0506,48.2843,2211235
2014-04-02,48.8078,48.8078,48.2282,48.6489,1644287
2014-04-03,48.5834,48.761,48.2656,48.5741,858925
2014-04-04,48.7891,49.1724,47.686,47.7608,1804739
2014-04-07,47.7795,47.8169,46.7325,47.2934,2808470
2014-04-08,47.3307,47.3514,46.7325,47.1251,2134487
2014-04-09,47.499,47.499,46.7792,47.2279,2300709
2014-04-10,47.2653,47.3775,45.5172,45.7228,2541523
2014-04-11,44.9656,45.8163,44.7786,45.1058,2099622
2014-04-14,45.6293,45.7415,44.8628,45.4237,1902070
2014-04-15,45.4143,46.237,44.372,45.4143,2567526
2014-04-16,45.6387,45.6854,45.1713,45.405,1360957
2014-04-17,45.4143,45.6106,44.8441,45.3022,1541950
2014-04-21,45.3115,45.6574,45.1152,45.2554,1010455
2014-04-22,45.1526,46.0874,45.1245,45.807,1150131
2014-04-23,45.6106,46.1715,45.5919,46.0687,1423948
2014-04-24,46.1902,46.1996,45.4003,45.4517,1287586
2014-04-25,44.7786,45.1526,44.4047,44.8067,1499607
2014-04-28,44.9095,44.9095,43.9092,44.3673,1492615
2014-04-29,44.6291,44.8347,44.3393,44.6758,879503
2014-04-30,44.6665,45.2367,44.3112,45.0965,1770561
2014-05-01,45.218,45.3208,44.7132,44.9189,991474
2014-05-02,45.031,45.8444,44.7973,45.1432,1237541
2014-05-05,44.8254,45.1806,44.4515,44.8347,872350
2014-05-06,44.6945,44.788,44.0027,44.0027,1540034
2014-05-07,44.2738,44.601,43.8345,44.5823,1461013
2014-05-08,44.5823,45.0965,44.4701,44.7132,953284
2014-05-09,44.6852,44.6945,44.171,44.6478,1007182
2014-05-12,44.9189,45.3769,44.7786,45.19,978396
2014-05-13,45.2461,45.405,44.8534,44.9095,927360
2014-05-14,44.7319,44.8254,43.6381,43.6849,1726524
