date,open,high,low,close,volume
2014-01-02,24.0794,24.1259,23.8331,23.9167,19522498
2014-01-03,24.0004,24.0376,23.6378,23.7401,13371360
2014-01-06,23.768,23.9958,23.5542,23.7169,17988290
2014-01-07,23.8656,24.7302,23.7587,24.5582,37161950
2014-01-08,24.4932,24.8465,24.4141,24.5211,29731644
2014-01-09,24.5908,24.7163,24.3165,24.5815,20919264
2014-01-10,24.6466,24.972,24.4432,24.8883,21307680
2014-01-13,24.8743,24.958,24.1724,24.2468,23042328
2014-01-14,24.4188,24.5652,24.1631,24.5489,17588898
2014-01-15,24.7535,25.4043,24.7163,25.1347,29161530
2014-01-16,25.1347,25.2416,24.7442,24.8883,20263280
2014-01-17,24.786,24.9441,24.6745,24.8883,24322542
2014-01-21,25.1254,25.2462,24.6628,24.7814,17160272
2014-01-22,24.7628,24.9999,24.6373,24.9813,16374760
2014-01-23,24.7442,24.9069,24.5583,24.6745,18490640
2014-01-24,24.5071,24.5815,24.2561,24.3584,28821938
2014-01-27,24.4095,25.0417,24.1027,24.4002,37947668
2014-01-28,25.1021,25.1626,24.5489,24.8,33004654
2014-01-29,24.7674,24.8511,24.4095,24.6652,30431938
2014-01-30,24.7791,25.2648,24.628,25.1904,28997696
2014-01-31,24.5861,25.4275,24.5861,25.3113,32120304
2014-02-03,25.4461,25.5484,24.4188,24.5304,38308378
2014-02-04,24.6001,24.9162,24.2607,24.879,28050224
2014-02-05,24.6838,24.9452,24.5582,24.8139,18229058
2014-02-06,24.9813,25.1719,24.8232,25.1161,15804886
2014-02-07,25.2788,25.488,25.1904,25.3996,19547612
2014-02-10,25.4601,25.4601,25.1974,25.2648,13889172
2014-02-11,25.2462,25.5902,25.2323,25.567,15871728
2014-02-12,25.6739,25.6971,25.5786,25.6785,16032852
2014-02-13,24.879,25.2369,24.5304,24.621,166551204
2014-02-14,24.6419,25.1533,24.6373,24.9627,71679996
2014-02-18,25.0835,25.0882,24.7256,24.8836,40541558
2014-02-19,24.7628,24.8093,23.8052,23.9725,80427040
2014-02-20,24.0702,24.2375,23.861,24.0609,51477140
2014-02-21,24.2003,24.2003,23.7076,23.7308,48105416
2014-02-24,24.0401,24.1073,23.768,23.7773,32762746
2014-02-25,23.8284,23.9214,23.331,23.6006,40888722
2014-02-26,23.6704,23.6718,23.3334,23.5588,30516474
2014-02-27,23.5449,23.8796,23.4751,23.7448,35473120
2014-02-28,23.847,24.2101,23.7633,24.0283,38390298
2014-03-03,23.7448,23.8331,23.5263,23.7076,33500878
2014-03-04,23.8935,23.9818,23.8145,23.8749,25840062
2014-03-05,23.8796,24.291,23.768,24.1213,33179708
2014-03-06,24.2282,24.3212,24.0934,24.2235,25728450
2014-03-07,24.3212,24.3444,23.9121,24.0004,25983422
2014-03-10,24.019,24.1213,23.8517,23.9493,19885044
2014-03-11,24.0376,24.0609,23.7076,23.8098,23851502
2014-03-12,23.7076,23.7959,23.5263,23.6983,22210908
2014-03-13,23.7587,23.7959,23.3217,23.4565,30253550
2014-03-14,23.3915,23.6076,23.3264,23.5402,31715910
2014-03-17,23.6983,23.7029,23.5263,23.6053,25711984
2014-03-18,23.5821,23.5821,23.2288,23.345,32672432
2014-03-19,23.3403,23.3775,23.0103,23.1869,42753868
2014-03-20,23.2427,23.682,23.1962,23.5239,30960292
2014-03-21,23.5635,23.8517,23.2009,23.2427,47988580
2014-03-24,23.3589,23.4751,22.9313,23.3822,36853986
2014-03-25,23.4054,23.4705,22.9591,23.0893,36882004
2014-03-26,23.1218,23.4101,23.0428,23.0661,38862316
2014-03-27,22.9684,23.0521,22.7755,22.8243,25188316
2014-03-28,22.9591,23.1683,22.7825,23.0382,31930854
2014-03-31,23.274,23.5308,23.246,23.3674,34758188
2014-04-01,23.5075,23.5262,23.1759,23.316,27944634
2014-04-02,23.3581,23.8017,23.3581,23.769,31878224
2014-04-03,23.7036,23.9604,23.6896,23.8717,28831592
2014-04-04,23.8997,24.1005,23.4281,23.4328,36551060
