date,open,high,low,close,volume
2014-01-02,69.5239,69.5239,68.5393,68.6878,731153
2014-01-03,68.6596,69.4112,68.6408,69.3454,567235
2014-01-06,70.2662,71.9855,69.8246,71.0929,2243465
2014-01-07,71.1681,71.4593,71.0178,71.1963,891031
2014-01-08,71.1963,71.5909,70.4822,71.4124,1068899
2014-01-09,71.6378,72.0043,71.1305,71.5815,429822
2014-01-10,71.6378,71.7506,71.1587,71.3842,873698
2014-01-13,71.1963,71.6026,70.5433,70.595,806295
2014-01-14,70.952,71.5063,70.3413,71.5063,931387
2014-01-15,71.5251,71.9291,71.1305,71.3936,835126
2014-01-16,71.4405,72.5586,71.2714,72.3895,1071577
2014-01-17,72.6901,73.6202,72.6431,72.8874,2003252
2014-01-21,73.282,74.757,72.164,73.4887,1975684
2014-01-22,73.9866,74.5926,72.6619,74.4,1575363
2014-01-23,74.3061,74.7758,74.0712,74.494,1265060
2014-01-24,73.7142,73.7987,72.3988,72.4082,1163093
2014-01-27,72.3895,72.9062,71.7224,71.9667,990308
2014-01-28,71.9855,72.0888,71.1963,71.7506,833936
2014-01-29,70.905,71.1775,70.4113,70.858,1036309
2014-01-30,71.4218,71.5815,70.9708,71.3748,693145
2014-01-31,70.4071,71.6003,70.238,70.9896,940532
2014-02-03,71.0929,71.3654,70.0219,70.0595,1822783
2014-02-04,70.2662,70.4822,69.0636,70.2943,1332172
2014-02-05,69.8528,70.4634,69.2985,70.3789,848946
2014-02-06,71.4448,71.8221,70.7468,71.7844,1138264
2014-02-07,71.9636,72.8315,71.9636,72.8032,650852
2014-02-10,72.6428,73.0579,72.2561,72.4636,953243
2014-02-11,72.473,73.0296,72.2655,72.6522,675242
2014-02-12,72.9352,73.4446,72.822,73.1616,807654
2014-02-13,72.6805,73.4257,72.4824,73.4257,488654
2014-02-14,73.3597,74.0766,73.0956,74.0672,723853
2014-02-18,73.9917,74.4634,73.6804,74.2841,958428
2014-02-19,74.2747,75.5481,74.103,74.3313,1073030
2014-02-20,74.4634,76.5763,74.3879,76.3877,1355882
2014-02-21,76.4065,77.7083,76.3877,77.3215,1305111
2014-02-24,77.0574,79.0477,76.9442,78.1233,1236071
2014-02-25,77.8026,78.2271,77.4064,77.746,1086531
