date,open,high,low,close,volume
2014-01-02,123.0513,123.7702,122.0929,122.8517,320701
2014-01-03,122.8916,123.9199,122.2676,123.3509,218742
2014-01-06,123.6504,124.2893,120.8249,122.0729,901089
2014-01-07,120.2259,124.3093,119.9663,123.7502,785352
2014-01-08,123.5605,124.4391,123.0414,123.87,513061
2014-01-09,124.0697,126.4858,123.9499,125.6272,666857
2014-01-10,125.6172,126.965,125.148,125.9367,785678
2014-01-13,125.6671,125.7869,123.6604,123.85,606467
2014-01-14,124.1895,126.7354,124.1895,126.1763,367709
2014-01-15,125.9966,129.7705,125.9966,128.862,692250
2014-01-16,128.7022,131.0884,128.5025,130.4095,511926
2014-01-17,130.3296,131.308,129.2114,129.4909,399436
2014-01-21,130.6491,130.6491,127.604,129.2014,331000
2014-01-22,129.541,129.7706,127.0244,127.1742,439891
2014-01-23,126.2255,127.5837,125.4466,126.1257,491929
2014-01-24,126.0059,126.0059,121.9415,122.5307,953132
2014-01-27,122.7404,124.9972,121.3024,123.6291,581730
2014-01-28,123.7689,124.5179,122.8502,123.5492,340016
2014-01-29,123.3995,125.1171,122.3309,122.8902,484371
2014-01-30,124.3781,125.187,123.5393,125.0671,257159
2014-01-31,123.1598,124.7775,122.251,124.1085,236493
2014-02-03,123.1198,123.3295,117.0682,117.1381,1472913
2014-02-04,117.4177,120.3037,116.7886,119.2052,717767
2014-02-05,119.2552,120.2838,118.1667,119.5747,221647
2014-02-06,119.8643,120.798,118.8957,119.9842,274657
2014-02-07,120.3836,123.3695,120.3257,123.2297,508224
2014-02-10,123.2097,124.7176,122.7503,124.6777,413654
2014-02-11,124.5579,126.595,124.3981,125.9759,457094
2014-02-12,125.9959,127.0644,125.3268,126.4153,292653
2014-02-13,125.7362,127.6985,125.7362,126.3654,350909
2014-02-14,126.2355,126.5751,124.0585,124.7875,706347
2014-02-18,125.0272,127.2541,124.6677,127.2142,375607
2014-02-19,126.635,127.9432,125.9459,126.8047,309562
2014-02-20,126.7448,128.5324,125.2119,128.3426,238384
2014-02-21,127.0744,128.6622,126.0857,127.364,252745
2014-02-24,127.2741,129.481,127.2092,128.1229,312570
2014-02-25,128.1828,128.4425,126.4253,128.4225,211357
2014-02-26,128.5523,129.6408,126.9845,129.2613,317680
2014-02-27,129.0417,129.9604,127.5238,129.4711,301039
2014-02-28,130.1901,131.0189,127.1593,128.033,345700
2014-03-03,127.6935,129.481,127.374,127.9631,643420
2014-03-04,129.1016,132.3471,128.8419,132.2173,607907
2014-03-05,132.2672,132.4769,130.6994,130.6994,381088
2014-03-06,130.6994,132.7665,129.4111,129.9105,748969
2014-03-07,136.4614,145.1394,132.8164,136.2916,1582392
2014-03-10,135.333,136.4679,133.6553,134.0447,698541
2014-03-11,134.2445,134.7238,132.6666,132.8664,416058
2014-03-12,131.8578,134.6639,130.7892,134.2544,767003
2014-03-13,134.6639,136.012,132.9013,133.3657,440941
2014-03-14,132.5468,134.4442,131.9177,132.1673,340058
2014-03-17,132.9063,134.2638,132.4969,133.4855,388227
2014-03-18,134.1945,137.3102,133.3058,136.4015,575226
2014-03-19,136.4015,138.7283,136.032,137.4301,467841
2014-03-20,137.1405,139.1177,136.1918,138.3887,471176
2014-03-21,139.2775,139.2775,133.8151,133.8151,939040
2014-03-24,134.5141,135.7124,132.6267,134.2245,640953
2014-03-25,135.5127,135.7923,132.5868,133.7851,298533
2014-03-26,134.7438,135.303,132.9762,133.0661,385101
2014-03-27,133.2458,133.3956,131.0489,131.3884,350938
2014-03-28,131.8578,132.8164,131.0139,132.1174,245176
2014-03-31,133.6753,137.4101,132.2922,137.1704,638286
2014-04-01,136.731,139.1077,136.3516,138.179,513061
2014-04-02,138.3788,139.1876,136.5513,137.2104,594591
2014-04-03,137.2303,138.0812,135.9321,137.3102,559381
2014-04-04,137.9094,138.7482,132.2173,132.397,511742
2014-04-07,132.1873,132.2672,128.4625,130.4797,549170
2014-04-08,130.4697,131.2286,129.1765,130.25,494448
2014-04-09,130.5995,132.5668,128.822,132.5368,346747
2014-04-10,132.1274,132.1274,125.6683,125.926,679651
2014-04-11,124.7875,125.4966,123.3196,123.4494,581231
2014-04-14,124.7576,126.8946,124.0486,126.615,572905
2014-04-15,127.1143,129.0017,123.8488,126.4952,702512
2014-04-16,127.7734,129.8006,126.3753,129.0017,460731
2014-04-17,128.3426,129.6408,126.1257,128.4824,399745
2014-04-21,125.926,129.2713,125.926,127.8633,156270
2014-04-22,128.6622,130.2999,127.7434,129.8905,322883
