date,open,high,low,close,volume
2014-01-02,60.8642,61.4272,60.2233,60.4398,4363288
2014-01-03,60.6997,60.9296,60.4831,60.5957,3095014
2014-01-06,60.9249,61.332,60.6477,60.8556,4433936
2014-01-07,60.8469,61.0548,60.5957,60.9508,3698490
2014-01-08,61.0461,61.0461,60.2103,60.3619,6411941
2014-01-09,60.4658,60.5689,59.8768,60.1626,4103311
2014-01-10,60.3012,60.4398,59.5823,59.6516,4816758
2014-01-13,59.4871,59.5477,58.4477,58.6729,7277993
2014-01-14,58.7508,59.2272,58.6036,59.1752,4788297
2014-01-15,59.2185,59.5044,58.7335,58.9674,4584832
2014-01-16,58.9414,58.9587,58.1099,58.7508,5356836
2014-01-17,58.9154,59.1475,58.465,58.4737,4854504
2014-01-21,58.9674,59.1319,58.6469,59.1233,4712007
2014-01-22,59.3225,59.5823,58.9414,59.2185,4100678
2014-01-23,58.9414,59.4091,58.5516,58.7681,4333849
2014-01-24,58.6989,58.6989,57.5122,57.6595,6036972
2014-01-27,57.4083,57.6855,56.854,57.0445,5383578
2014-01-28,57.1225,57.4083,56.9319,57.3477,4338185
2014-01-29,57.313,57.3477,56.5941,57.0099,5671684
2014-01-30,57.6855,57.7288,56.5768,56.9492,5529224
2014-01-31,56.3429,56.7154,55.7366,56.2563,10717849
2014-02-03,56.3862,56.6374,55.2343,55.3122,7770333
2014-02-04,55.4508,55.5028,54.9571,55.1823,6660315
2014-02-05,55.1563,55.2689,54.3421,54.9658,6528502
2014-02-06,55.1563,55.7799,54.9658,55.6933,5546770
2014-02-07,56.1177,56.2996,55.5758,56.2736,5358528
2014-02-10,56.265,56.265,55.5461,55.9358,5854828
2014-02-11,55.9965,56.9059,55.9488,56.7933,5755216
2014-02-12,57.7114,57.85,56.3776,56.4902,6965405
2014-02-13,56.4114,56.9979,56.2276,56.6478,5845309
2014-02-14,56.604,57.4707,56.4639,57.3656,4631145
2014-02-18,57.4006,57.5372,57.0767,57.2255,4878197
2014-02-19,57.1293,57.7771,56.8929,56.9016,6146035
2014-02-20,56.8841,57.0767,56.7878,56.8316,6111916
2014-02-21,56.8929,56.9279,56.5777,56.6215,6576402
2014-02-24,56.9016,58.4686,56.8841,58.1447,8054529
2014-02-25,58.0397,58.5212,57.8996,58.2323,5871703
2014-02-26,58.3286,58.4774,57.6283,57.8909,5160235
2014-02-27,57.7771,57.9959,57.1949,57.9959,4988969
2014-02-28,58.0309,58.5474,57.4444,58.2148,6263906
2014-03-03,58.0922,58.8275,57.7595,58.0484,6218251
2014-03-04,58.4774,58.5562,58.0834,58.2148,4907785
2014-03-05,58.2848,58.6525,57.9959,58.0397,4675365
2014-03-06,58.3023,58.3636,58.0397,58.1185,3998101
2014-03-07,58.3373,58.6525,58.0484,58.2235,4938663
2014-03-10,58.1272,58.5999,57.8646,58.5562,3712577
2014-03-11,58.6525,58.9939,58.0222,58.241,4415862
2014-03-12,57.9259,58.4336,57.7858,58.2498,4135372
2014-03-13,58.4599,58.5124,57.8558,58.0572,4531924
2014-03-14,57.8558,58.3986,57.8121,58.3023,4648371
2014-03-17,58.4249,58.9063,58.3461,58.9063,4664755
2014-03-18,59.0201,59.6329,58.9624,59.6154,5658555
2014-03-19,59.8605,59.8868,58.6787,59.0902,4322587
2014-03-20,59.0114,59.5279,58.7488,59.4403,3968567
2014-03-21,59.9306,59.9481,59.0639,59.0727,9094655
2014-03-24,59.2477,59.5892,59.007,59.1427,5340395
2014-03-25,59.4754,59.9393,59.2477,59.8693,5986757
2014-03-26,60.1494,60.5696,59.9568,60.0531,5732194
2014-03-27,60.0619,60.9373,60.0619,60.6572,6049859
2014-03-28,60.7797,61.6289,60.5521,61.5851,5763144
2014-03-31,61.944,62.1454,61.3925,61.5851,5020814
2014-04-01,61.6901,61.8643,61.3925,61.5501,4958195
2014-04-02,61.5501,62.1541,61.4975,62.0578,5672875
2014-04-03,62.0841,62.0841,61.4363,61.4538,5161057
2014-04-04,62.0053,62.1541,61.3137,61.4713,5520428
2014-04-07,61.4888,61.4888,60.6922,60.8235,5528759
2014-04-08,61.2874,61.48,60.806,61.34,5757911
2014-04-09,61.375,62.6443,61.34,62.6268,7536417
2014-04-10,61.9177,62.0053,61.0248,61.0248,7581419
2014-04-11,61.5238,62.4693,61.2612,62.0403,8390891
2014-04-14,62.7056,62.7056,61.7952,62.6006,6240662
2014-04-15,62.5655,63.9224,62.408,63.8524,7615021
2014-04-16,64.2376,64.6665,64.0713,64.5877,7285223
2014-04-17,64.4039,65.5594,64.3864,65.4544,7230420
2014-04-21,65.4194,65.6111,64.9554,65.3056,6329578
2014-04-22,65.3844,65.3844,64.7278,64.9292,5092504
2014-04-23,64.9204,65.2531,64.7366,64.7978,5285870
2014-04-24,65.148,65.3406,64.7366,65.2093,5250324
2014-04-25,65.1655,65.218,64.9073,65.1305,4658452
2014-04-28,65.2706,65.5069,64.8504,65.3494,5190765
2014-04-29,65.647,65.9534,65.3669,65.3756,5293717
2014-04-30,65.682,65.682,64.9248,65.0517,6854081
2014-05-01,65.6645,65.9446,64.8241,65.682,5895884
2014-05-02,65.5507,67.2753,65.5419,66.9864,9360408
2014-05-05,66.8813,67.6692,66.7237,67.3103,5843882
2014-05-06,67.5816,67.6692,67.0914,67.4766,5020071
2014-05-07,67.9493,68.4746,67.7042,68.3783,7189262
2014-05-08,68.2119,68.3441,67.2078,67.4153,6709986
2014-05-09,67.4941,67.9756,67.3278,67.9668,5609575
2014-05-12,68.3783,68.6496,68.0981,68.6409,4979112
2014-05-13,68.6759,68.9998,68.4961,68.8422,5228997
2014-05-14,68.9298,68.9736,68.5884,68.7459,4463424
2014-05-15,68.6847,68.8773,67.8618,68.3783,7923550
2014-05-16,68.3783,68.4921,67.8005,68.3345,5868151
2014-05-19,68.2907,68.781,68.2286,68.6584,3341725
