date,open,high,low,close,volume
2014-01-02,104.9923,105.5141,104.1344,104.1963,1618678
2014-01-03,104.5501,104.6828,103.5949,103.7364,1293522
2014-01-06,103.9133,104.1432,102.4982,102.9492,2120218
2014-01-07,102.9404,103.0916,102.0471,102.4716,2292582
2014-01-08,102.6308,102.6308,100.7523,100.8708,4602924
2014-01-09,102.7724,105.3372,100.8708,104.8154,5763123
2014-01-10,104.5412,104.9392,103.1792,104.2317,2790333
2014-01-13,103.533,103.9487,101.3396,101.5076,3168867
2014-01-14,101.8879,103.3296,101.8172,102.7989,2320831
2014-01-15,102.6574,103.2057,101.9321,102.8077,1847624
2014-01-16,102.9846,103.0112,101.9764,102.2063,1938349
2014-01-17,102.2417,103.135,102.0913,102.852,2708082
2014-01-21,102.2505,102.6928,101.5695,101.6491,2110841
2014-01-22,101.7199,101.8525,100.5524,100.6055,2507507
2014-01-23,100.3844,100.4109,99.4115,99.7652,2168058
2014-01-24,99.668,99.8272,98.9878,99.1727,3203790
2014-01-27,99.5486,100.5878,99.0842,100.0129,3790471
2014-01-28,100.4109,101.4988,100.3313,101.1627,2367521
2014-01-29,100.8708,100.9946,99.155,99.2611,2356365
2014-01-30,99.721,100.3755,99.1373,99.7033,1629387
2014-01-31,98.4297,100.1897,98.2882,99.3761,2146024
2014-02-03,99.9068,99.9421,97.333,97.448,3121170
2014-02-04,97.9344,98.4651,96.8466,98.076,2529624
2014-02-05,97.4834,97.9964,97.1128,97.7399,2374212
2014-02-06,99.951,101.3396,99.9421,101.0565,3755143
2014-02-07,100.8973,101.3661,100.2782,100.862,2198514
2014-02-10,100.862,100.915,99.5707,100.6939,1871796
2014-02-11,100.747,101.8437,100.3844,101.7022,1778347
2014-02-12,101.8796,102.3673,101.3652,101.8175,1737694
2014-02-13,101.2233,102.8107,101.2233,102.7043,1587102
2014-02-14,102.1279,103.3074,101.5426,102.9615,1520003
2014-02-18,103.1389,103.2364,101.915,102.3052,2062002
2014-02-19,102.0835,102.252,101.3386,101.9062,1804724
2014-02-20,101.6046,102.4737,100.9927,102.0392,1837090
2014-02-21,102.3407,102.4205,100.1414,100.3808,3659545
2014-02-24,100.6203,101.8175,100.3897,101.0459,2285392
2014-02-25,101.0991,102.7726,101.0991,102.3939,1935430
2014-02-26,102.4294,103.6089,102.3141,102.7664,1926823
2014-02-27,102.8994,103.2453,102.2343,103.0679,1374462
2014-02-28,103.3162,104.1765,102.7753,103.5823,2106177
2014-03-03,103.0679,103.8217,102.0835,102.6511,1666961
2014-03-04,103.4138,103.6798,102.7398,103.4493,1810584
2014-03-05,103.3783,103.7153,102.7043,103.2896,2320202
2014-03-06,100.3453,101.6667,99.5649,100.4429,8925347
2014-03-07,100.9218,101.108,100.3366,100.6557,2906694
2014-03-10,100.3985,101.6224,100.2123,101.6224,2325219
2014-03-11,101.5958,101.7643,101.0282,101.7288,2201836
2014-03-12,101.445,102.5358,101.3209,102.1722,2177956
2014-03-13,102.5713,102.6866,101.2677,101.4627,2519618
2014-03-14,101.9416,101.9416,100.5005,100.6114,2293362
2014-03-17,101.2233,101.5071,100.5582,100.6203,2190456
2014-03-18,101.0105,101.2056,100.23,100.9661,2501020
2014-03-19,100.6912,101.3209,99.7334,100.0793,1635636
2014-03-20,99.8221,100.4071,99.4416,100.3542,1408202
2014-03-21,101.4627,101.6135,100.4784,100.9484,4442274
2014-03-24,101.0903,101.0991,100.1148,100.5404,2501669
2014-03-25,100.9395,101.5071,100.9147,101.0371,2202127
2014-03-26,101.3475,101.516,99.7334,99.76,1912278
2014-03-27,99.7689,100.1591,99.1658,99.3521,2042713
2014-03-28,99.6359,100.0216,98.5717,99.024,2795496
2014-03-31,99.2723,99.5756,98.9441,99.0417,2119603
2014-04-01,99.5117,99.8132,98.8909,99.2013,2566752
2014-04-02,99.2368,99.3343,98.3854,98.9264,3291664
2014-04-03,99.0949,99.4585,98.687,99.0594,2329649
2014-04-04,99.2811,99.3254,98.1105,98.1282,2722053
2014-04-07,98.1992,98.5539,97.8711,98.2515,3119749
2014-04-08,98.0484,99.9817,97.8888,99.9108,3863906
2014-04-09,99.964,100.3365,99.423,100.2566,2899623
2014-04-10,101.2056,101.4893,99.2723,99.3964,3305094
2014-04-11,98.8288,100.0172,98.7934,99.3964,3098466
2014-04-14,99.76,100.2123,98.9087,99.8221,2518969
2014-04-15,99.8398,100.1768,98.8377,99.3787,2130181
2014-04-16,100.0349,100.7799,99.5649,100.6469,2455027
2014-04-17,100.6735,101.1257,100.3187,100.6557,1659126
2014-04-21,100.6646,101.1878,100.567,101.1878,1826836
2014-04-22,101.0991,101.3031,100.6646,100.7089,2315142
2014-04-23,100.638,101.9771,100.505,101.7997,1999296
2014-04-24,101.8973,102.2609,101.2233,102.0126,1939330
2014-04-25,101.853,102.252,101.2765,101.9948,1721552
2014-04-28,102.0747,103.4138,102.0747,102.5092,3018758
2014-04-29,102.323,102.8281,102.1279,102.3407,1580555
2014-04-30,102.0215,102.6555,101.7731,102.589,1633995
2014-05-01,102.589,102.8728,101.9328,102.4826,1167950
2014-05-02,102.997,102.997,102.0392,102.119,1321116
2014-05-05,102.0392,102.0392,101.0371,101.5337,1397980
2014-05-06,101.3475,101.5337,100.0083,100.0615,1945691
2014-05-07,100.0615,100.2886,98.9796,99.3077,2951813
2014-05-08,100.2833,101.8263,100.1857,101.7465,2557564
2014-05-09,101.5869,102.5802,101.3652,102.3318,1954566
2014-05-12,102.6777,103.6798,102.5012,103.3251,1940724
2014-05-13,103.1566,103.4049,102.9438,103.13,1229433
2014-05-14,102.9477,103.2768,102.1738,102.4139,1255293
2014-05-15,102.0848,102.1204,101.0707,101.7201,1890968
2014-05-16,101.9247,103.0277,101.729,102.8409,2146282
2014-05-19,102.3784,103.6771,102.1827,103.517,2212762
2014-05-20,103.001,103.2857,102.2805,102.4139,2127085
2014-05-21,102.3872,102.583,101.5511,101.8713,1712718
2014-05-22,101.8802,102.2983,101.7646,102.0581,1059931
2014-05-23,102.3606,102.4316,101.8624,102.2449,1103053
2014-05-27,102.2983,102.494,101.0707,101.2931,2583867
2014-05-28,101.4087,102.2538,101.3696,101.6222,2391409
2014-05-29,101.9247,102.4673,100.9729,101.5333,2976908
2014-05-30,101.9514,103.2679,101.4176,103.2056,2622386
2014-06-02,103.0455,103.3124,102.7787,102.9032,1085483
2014-06-03,102.7164,103.1878,102.5385,102.752,1127418
2014-06-04,102.5563,103.6237,102.5386,103.4636,1297837
2014-06-05,104.0774,104.9136,103.8284,104.7446,2614252
2014-06-06,104.6912,105.1804,104.5942,105.1715,1669550
2014-06-09,105.1538,105.7231,104.4981,104.7712,1623136
2014-06-10,104.4065,104.7268,103.9884,104.1663,1089123
2014-06-11,103.597,104.024,103.1701,103.4013,1117146
2014-06-12,103.3035,103.5704,102.3606,102.6897,1427319
2014-06-13,102.921,102.921,102.0047,102.5652,1230071
2014-06-16,102.583,102.7075,102.2538,102.6808,1503081
2014-06-17,102.6541,103.001,102.4228,102.6986,1505805
2014-06-18,102.8854,103.4903,102.3606,103.428,2113173
