date,open,high,low,close,volume
2014-01-02,14.0712,14.3937,13.9698,14.3476,783829
2014-01-03,14.32,14.5411,14.2923,14.3568,465133
2014-01-06,14.449,14.4582,13.8684,14.0067,839349
2014-01-07,13.8776,14.1357,13.7671,13.9974,498721
2014-01-08,13.9237,14.0527,13.6933,13.9145,694508
2014-01-09,13.9882,14.0988,13.8116,13.9698,573148
2014-01-10,13.979,14.0067,13.8039,13.9698,259359
2014-01-13,13.8869,14.0343,13.7947,13.85,457430
2014-01-14,13.9145,14.0343,13.8224,13.9514,353904
2014-01-15,13.8869,14.1449,13.8316,14.0988,435030
2014-01-16,14.0251,14.3384,13.9421,14.2186,672735
2014-01-17,13.7486,13.7947,13.4538,13.5551,1497765
2014-01-21,13.5183,13.5827,13.1589,13.2787,1237501
2014-01-22,13.122,13.334,12.9193,13.2879,1114714
2014-01-23,13.0852,13.3846,12.5968,13.334,1578968
2014-01-24,13.2971,13.3524,12.5323,12.8179,1269780
2014-01-27,12.7626,13.228,12.4218,12.5138,1417228
2014-01-28,12.6889,12.9101,12.5203,12.7995,1122897
2014-01-29,12.6336,12.7074,12.3434,12.3572,1052957
2014-01-30,12.3572,12.6613,12.3295,12.4401,628569
2014-01-31,12.3664,12.5968,12.3021,12.4309,803259
2014-02-03,12.394,12.7442,12.0992,12.2466,1217788
2014-02-04,13.1773,13.3054,11.9425,12.3664,1906916
2014-02-05,12.3848,12.3848,11.8227,12.3111,1112124
2014-02-06,12.6428,12.6889,12.2743,12.4493,849798
2014-02-07,12.4678,12.5599,12.1545,12.2097,542674
2014-02-10,12.1729,12.3111,12.1176,12.2097,478073
2014-02-11,12.2374,12.265,12.1268,12.2097,620006
2014-02-12,12.2005,12.4401,12.09,12.3664,557409
2014-02-13,12.3572,12.6889,12.265,12.6428,665267
2014-02-14,12.9285,14.2831,12.9285,13.5828,2970144
2014-02-18,13.5828,13.6657,12.993,13.0759,1338349
2014-02-19,12.993,13.1589,12.8824,13.0022,643638
2014-02-20,13.334,13.721,13.1128,13.4077,1206879
2014-02-21,13.3985,13.638,13.2602,13.334,618286
2014-02-24,13.3616,13.7763,13.3524,13.5367,1000258
2014-02-25,13.6012,13.8592,13.5736,13.6657,1135041
2014-02-26,13.6473,14.2647,13.5828,13.6381,4069397
2014-02-27,13.5736,14.0527,13.4538,13.5551,962023
2014-02-28,13.5551,13.8224,13.4722,13.6841,772061
2014-03-03,13.6381,13.9329,13.6012,13.7394,644332
2014-03-04,13.8039,14.0619,13.7856,13.8869,621499
2014-03-05,13.9145,14.0712,13.7118,13.8316,722697
2014-03-06,13.8224,13.9974,13.7671,13.8961,848996
2014-03-07,13.8224,14.5595,13.8039,14.3937,2312181
