date,open,high,low,close,volume
2014-01-02,26.0986,26.1534,25.7155,25.7702,4485698
2014-01-03,25.7885,26.2537,25.7794,25.9344,4632583
2014-01-06,26.053,26.2172,25.6152,25.7429,5073221
2014-01-07,25.8158,25.9344,25.7246,25.8615,3842830
2014-01-08,25.7885,25.9197,25.5878,25.752,5023976
2014-01-09,25.8158,26.1625,25.7429,26.1442,4581358
2014-01-10,26.2355,26.3997,26.1169,26.3449,4576165
2014-01-13,26.2993,26.4362,25.8432,25.9344,6856688
2014-01-14,26.1078,26.4362,25.9162,26.3449,8011682
2014-01-15,26.3997,26.6779,26.2993,26.6642,12063556
2014-01-16,25.0496,25.0952,24.411,24.8489,27364544
2014-01-17,24.9857,24.9857,24.6847,24.8398,11726569
2014-01-21,24.9492,25.1043,24.5479,24.6664,9571056
2014-01-22,24.8124,24.9766,24.7759,24.8306,7842556
2014-01-23,24.785,24.9219,24.5205,24.6482,8603506
2014-01-24,24.3928,24.484,23.8911,23.9002,9396316
2014-01-27,23.7998,24.0553,23.6128,23.8455,7424974
2014-01-28,23.9002,24.3563,23.9002,24.1921,4908771
2014-01-29,23.8911,24.0644,23.736,23.8363,7286100
2014-01-30,24.0917,24.5114,24.0644,24.4201,5531454
2014-01-31,24.0917,24.6847,23.964,24.5479,7427129
2014-02-03,24.5661,24.6847,23.5718,23.736,9549010
2014-02-04,23.7907,24.2103,23.7177,24.037,8696553
2014-02-05,23.964,24.2286,23.8911,24.183,6735284
2014-02-06,24.3016,24.6938,24.2651,24.6573,5257862
2014-02-07,24.7942,25.0405,24.6484,24.858,5818990
2014-02-10,24.8033,24.8306,24.5387,24.6938,4643885
2014-02-11,24.785,25.0313,24.7577,24.9127,4197797
2014-02-12,24.9766,25.1317,24.8419,24.9857,4672947
2014-02-13,24.8033,24.9675,24.6664,24.9675,5536771
2014-02-14,24.9127,25.1682,24.8854,25.1134,5820329
2014-02-18,25.1043,25.1226,24.785,25.004,4357411
2014-02-19,24.8945,25.1682,24.6847,24.7121,7564243
2014-02-20,24.785,24.9948,24.6847,24.9492,8479010
2014-02-21,25.0222,25.191,24.9127,24.9219,5603347
2014-02-24,24.931,25.4053,24.931,25.2594,6525647
2014-02-25,25.232,25.2822,24.858,24.9127,6721682
2014-02-26,25.0228,25.2705,24.899,24.9586,5581125
2014-02-27,24.9036,25.2154,24.8394,25.1879,5116636
2014-02-28,25.2154,25.6557,25.2154,25.4172,6000145
2014-03-03,25.243,25.4539,25.087,25.3163,5742810
2014-03-04,25.6465,26.0501,25.6282,25.9584,7274914
2014-03-05,26.0868,26.2886,25.9951,26.1786,6080622
2014-03-06,26.2428,26.4812,26.2061,26.3528,5003617
2014-03-07,26.6188,26.6922,26.3941,26.4812,5385163
2014-03-10,26.4904,26.573,26.2244,26.4996,5571497
2014-03-11,26.5821,26.6555,26.307,26.4537,6129229
2014-03-12,26.2703,26.4996,26.0593,26.4996,10274015
