date,open,high,low,close,volume
2014-01-02,21.7693,21.8242,21.6115,21.7076,4446283
2014-01-03,21.7967,21.8173,21.6047,21.6733,2137339
2014-01-06,21.7624,21.8036,21.6253,21.7213,2925125
2014-01-07,21.783,21.807,21.5155,21.543,5040813
2014-01-08,21.5018,21.543,21.3578,21.4264,4356803
2014-01-09,21.4332,21.4538,21.056,21.1177,4052169
2014-01-10,21.296,21.4058,21.1452,21.2755,3666234
2014-01-13,21.2549,21.4332,21.1657,21.1726,4951794
2014-01-14,21.2275,21.2617,20.9394,21.0491,5584896
2014-01-15,21.0766,21.104,20.7336,20.9394,11731354
2014-01-16,20.9051,20.9668,20.7062,20.8022,4404416
2014-01-17,20.8228,20.8297,20.5622,20.5759,6213716
2014-01-21,20.665,20.6993,20.2741,20.473,6060770
2014-01-22,20.5622,20.5622,20.2261,20.233,4476142
2014-01-23,20.1781,20.2124,20.0889,20.1987,6166990
2014-01-24,20.1849,20.2672,19.986,19.9929,6080409
2014-01-27,20.0272,20.1095,19.9175,19.9449,7468250
2014-01-28,19.9998,20.0341,19.8009,19.8557,6378807
2014-01-29,19.8146,19.8283,19.4168,19.6088,7570471
2014-01-30,19.6705,20.0272,19.5677,19.9998,7070543
2014-01-31,19.8214,19.938,19.7529,19.794,6519118
2014-02-03,19.8214,19.8214,19.2727,19.2933,6612993
2014-02-04,19.3276,19.3756,19.1562,19.2659,5374941
2014-02-05,19.2385,19.4511,19.2247,19.3893,4115641
2014-02-06,19.4374,19.5197,19.2522,19.4099,8104686
2014-02-07,19.4716,19.7529,19.4442,19.746,4059261
2014-02-10,19.7597,19.89,19.6843,19.842,4284328
2014-02-11,20.0409,20.5004,19.9586,20.3907,8416882
2014-02-12,20.377,20.7405,20.329,20.7062,8307185
2014-02-13,20.6102,21.4332,20.5896,21.104,12193083
2014-02-14,21.1383,21.2137,21.008,21.0217,6944649
2014-02-18,21.1006,21.248,20.9634,21.2275,5995099
2014-02-19,21.1932,21.4126,21.1452,21.1932,4886465
2014-02-20,21.2137,21.3921,21.1417,21.3441,3587917
2014-02-21,21.3372,21.4538,21.2206,21.3235,6094501
2014-02-24,21.4469,21.591,21.3441,21.3921,4717215
2014-02-25,21.4126,21.5155,21.2755,21.3578,5218198
2014-02-26,21.3852,21.3989,21.0903,21.1246,5624604
2014-02-27,21.1314,21.3303,21.0354,21.3166,6072859
2014-02-28,21.3098,21.5224,21.296,21.4401,5197792
2014-03-03,21.2755,21.4332,21.248,21.3372,5041610
2014-03-04,21.5292,21.639,21.4675,21.6253,4637747
2014-03-05,21.5841,21.9545,21.4744,21.8516,10214777
2014-03-06,21.7679,21.8795,21.6493,21.7609,6461975
2014-03-07,21.7748,21.8655,21.7051,21.8516,4463090
2014-03-10,21.7609,21.8097,21.3911,21.5097,4681172
2014-03-11,21.5586,21.5725,21.3423,21.412,4331872
2014-03-12,21.3493,21.4051,21.1679,21.4051,3206400
