date,open,high,low,close,volume
2014-01-02,49.5497,49.7968,48.6502,48.8528,5559598
2014-01-03,48.8676,49.3471,48.5414,48.5958,3261370
2014-01-06,48.7688,49.011,48.0719,48.3734,4933810
2014-01-07,48.7144,49.179,48.7144,48.9912,3064862
2014-01-08,49.011,49.4064,48.7441,49.4014,5613542
2014-01-09,49.6584,49.6584,48.9467,49.1938,3069366
2014-01-10,49.3174,49.8166,49.2334,49.6584,2776386
2014-01-13,49.3273,49.8809,48.4179,48.5414,4476030
2014-01-14,48.8133,49.9451,48.7045,49.5893,3911288
2014-01-15,49.5893,50.0044,49.436,49.9352,3721568
2014-01-16,49.7672,49.9649,49.4706,49.5744,3421626
2014-01-17,49.3619,49.6584,48.9714,49.0999,3760416
2014-01-21,49.3866,50.2268,48.4871,48.8923,4941218
2014-01-22,48.9615,50.1527,48.6353,49.693,4029976
2014-01-23,49.1938,49.5645,48.576,48.7095,3306108
2014-01-24,48.3882,48.4327,47.8099,48.0818,3855200
2014-01-27,48.057,48.403,47.286,47.3799,5917120
2014-01-28,47.5628,48.0818,47.3601,47.8198,5636842
2014-01-29,47.5727,48.0867,47.1674,47.3601,3214796
2014-01-30,47.6962,48.8528,47.5974,48.7342,3539956
2014-01-31,47.8149,48.319,47.5529,47.8989,7392236
2014-02-03,48.0126,48.6007,46.7917,47.0438,4659456
2014-02-04,47.1031,48.0768,46.851,47.9483,4033490
2014-02-05,45.9663,46.6978,44.439,45.8922,12964690
2014-02-06,45.8724,47.2316,45.8724,47.197,6004894
2014-02-07,47.3008,48.0669,46.9598,47.9434,4172198
2014-02-10,47.8544,48.057,47.1674,47.4738,3660508
2014-02-11,47.7061,48.5266,47.2563,48.3091,3343436
2014-02-12,48.5068,49.0752,48.403,48.66,3423950
2014-02-13,48.3981,49.4064,48.3289,49.3125,2953296
2014-02-14,49.1444,49.6584,48.8676,49.5942,2738536
2014-02-18,49.5102,49.7919,49.2087,49.4607,2652296
2014-02-19,49.5102,49.7178,49.2443,49.4212,2464198
2014-02-20,49.3174,49.9995,48.9022,49.7524,2855314
2014-02-21,50.2565,51.0869,49.955,50.7755,4563848
2014-02-24,51.0276,52.0457,50.8644,51.5218,4089522
2014-02-25,51.3686,51.6553,50.6766,51.0424,4202008
2014-02-26,51.2994,51.7442,50.9435,51.0572,4106976
2014-02-27,51.072,51.2154,50.7013,51.0078,2457042
2014-02-28,51.3043,51.6948,51.0127,51.4328,2773798
2014-03-03,50.9089,51.1585,50.3949,50.8595,2391392
2014-03-04,51.2599,52.1248,51.2599,52.0507,2623312
2014-03-05,51.848,52.2286,51.6503,52.2138,3434240
2014-03-06,52.1248,53.3802,52.1248,52.9305,5816124
2014-03-07,53.1974,53.232,52.5845,52.9947,3919272
2014-03-10,52.8662,52.9947,52.1545,52.2929,1695445
2014-03-11,52.105,52.3818,51.3439,51.7294,3082115
2014-03-12,51.3735,51.4328,49.9303,50.9979,4410803
2014-03-13,51.245,51.3439,49.6535,49.9995,2627836
2014-03-14,49.871,50.5333,49.6041,49.6733,2881665
2014-03-17,49.8216,50.731,49.8216,50.4641,2534389
2014-03-18,50.6321,50.82,50.3257,50.5036,2412571
2014-03-19,50.7409,50.7409,48.6551,49.0406,4412516
2014-03-20,48.9319,49.2383,48.6749,49.0505,4011369
2014-03-21,50.1181,50.1181,48.1312,48.1954,6296309
2014-03-24,48.576,48.9517,47.6073,48.5068,4366104
2014-03-25,48.7243,48.7935,47.7951,48.0323,3647405
2014-03-26,48.3783,49.1494,47.9137,48.5365,5637347
2014-03-27,48.576,48.6254,46.8758,47.0339,6517260
2014-03-28,48.4871,50.0489,48.1222,49.1197,7295306
2014-03-31,49.2878,50.1181,49.1889,50.0193,3979565
2014-04-01,50.1972,51.1066,49.9896,51.077,3376023
2014-04-02,52.6685,52.7871,51.2055,51.4625,3484989
2014-04-03,51.0671,52.0457,50.4542,50.7013,2353253
2014-04-04,51.0671,51.1561,49.5547,49.614,4116742
2014-04-07,49.1592,49.4657,47.9928,48.1213,4664700
2014-04-08,48.0027,48.8133,47.7259,48.5958,4514555
2014-04-09,48.6057,49.2878,48.062,49.2186,3315756
2014-04-10,49.2779,49.4657,47.1674,47.3206,3665105
2014-04-11,47.1328,47.9345,46.7275,46.767,2770108
2014-04-14,47.3008,48.0224,46.7868,47.9236,3363883
2014-04-15,48.0027,48.6699,47.1031,48.3289,3408891
