date,open,high,low,close,volume
2014-01-02,50.2014,50.3209,49.3493,49.7634,1018355
2014-01-03,49.4449,50.3288,49.3971,49.7554,1689716
2014-01-06,49.7077,49.9306,48.5609,48.5808,2062693
2014-01-07,48.6326,48.7441,47.4938,47.8602,3721817
2014-01-08,47.8761,48.8077,47.5018,48.7919,2752238
2014-01-09,49.0228,49.2139,48.0115,48.0592,1917570
2014-01-10,48.4494,48.4654,47.4576,47.884,1745344
2014-01-13,47.884,48.2424,46.6736,46.8169,2614712
2014-01-14,46.9603,47.8602,46.7931,47.8283,3312437
2014-01-15,47.9637,50.3129,47.8681,50.1536,5367879
2014-01-16,49.4528,50.0182,48.6246,48.8556,4067062
2014-01-17,49.3175,49.5404,47.8203,48.1309,2873240
2014-01-21,48.4893,49.0029,47.9955,48.9671,3179116
2014-01-22,48.2504,49.1502,47.6292,48.7361,3835441
2014-01-23,48.2981,48.7361,46.7453,47.5177,3236180
2014-01-24,47.2788,47.4699,46.6577,46.9045,2589714
2014-01-27,47.0957,47.1036,46.1878,46.2993,3916297
2014-01-28,46.5143,47.1196,46.3949,46.7692,3807062
2014-01-29,46.594,46.594,45.6702,45.8693,4928894
2014-01-30,41.0355,42.7078,40.7568,42.4371,18145012
2014-01-31,43.6077,43.9501,42.9786,43.0582,6384075
2014-02-03,43.1219,43.3688,41.4257,41.9832,5412892
2014-02-04,42.007,42.7755,41.8956,42.6999,5320764
2014-02-05,42.7875,43.1539,42.23,42.9786,3695139
2014-02-06,43.1219,43.6634,42.8034,43.1856,3065731
2014-02-07,43.2095,44.1572,42.7078,44.0218,3860120
2014-02-10,43.8466,44.4757,43.8147,44.1253,2288669
2014-02-11,44.1014,44.9137,44.0536,44.635,2866704
2014-02-12,44.6748,45.1765,44.5155,44.7942,3573262
2014-02-13,44.7624,46.2834,44.2209,45.9012,6703555
2014-02-14,45.057,45.8932,44.9933,45.503,5262483
2014-02-18,45.5826,45.8128,45.3198,45.7737,2466556
2014-02-19,45.5667,46.0365,45.4791,45.5826,1780555
2014-02-20,45.6384,48.545,45.0889,48.2504,8388930
2014-02-21,48.5848,48.6644,47.1833,47.6213,3811297
2014-02-24,47.5257,48.1946,47.3664,47.4699,1890757
2014-02-25,47.7805,47.9955,47.1594,47.9796,2055004
2014-02-26,48.0194,48.6485,47.7805,48.4096,2337012
2014-02-27,48.4176,48.6326,48.0035,48.5132,1471711
2014-02-28,48.4176,48.4176,47.4301,47.8203,2445223
2014-03-03,47.2231,47.8363,47.1196,47.6372,1995801
2014-03-04,47.9637,48.5848,47.9597,48.4017,2029336
2014-03-05,48.4176,49.9705,48.0991,49.8192,4050152
2014-03-06,49.8192,49.9705,48.5689,48.6804,3394349
2014-03-07,48.7043,49.3095,48.1787,48.5689,1795142
2014-03-10,48.6406,48.7361,47.8363,48.3778,1808850
2014-03-11,48.3459,48.8317,47.9,48.0433,1501009
2014-03-12,47.884,48.322,47.4461,48.2981,1305756
2014-03-13,48.4813,48.76,47.4062,47.7964,1915675
2014-03-14,47.462,48.0035,46.6895,47.6213,2722836
2014-03-17,47.8442,48.6565,47.8402,48.4096,2208192
2014-03-18,48.2822,49.0069,48.2105,48.8158,1638294
2014-03-19,48.7282,49.6201,48.4017,49.2538,2489399
2014-03-20,49.1184,49.7793,49.0945,49.6679,1942675
2014-03-21,50.1058,50.1058,48.6804,49.3891,3184156
2014-03-24,49.6201,49.6679,48.0911,48.6883,1858283
2014-03-25,48.9432,49.3175,48.2822,48.4972,1596770
2014-03-26,48.6485,49.1263,45.3198,46.3153,8011504
2014-03-27,46.1719,46.6895,45.5269,46.371,3873529
2014-03-28,46.3551,46.7931,45.6463,45.7658,2748744
2014-03-31,45.8136,46.152,45.272,45.7419,3822734
2014-04-01,45.933,46.6179,45.6861,46.5701,1575897
2014-04-02,46.578,47.2788,46.5621,46.7612,1546840
2014-04-03,46.7532,46.9842,45.1685,45.4393,2862625
2014-04-04,45.6623,45.6623,44.3801,45.0172,3888832
2014-04-07,44.7305,44.9455,43.8665,43.8944,3347550
2014-04-08,43.8466,45.073,43.8466,44.9137,2994327
2014-04-09,44.0297,45.722,44.0297,45.4313,3315793
2014-04-10,45.4632,45.5109,43.9342,43.982,3810704
2014-04-11,43.8625,43.9262,43.2732,43.4484,2176920
2014-04-14,43.8147,44.0935,43.313,43.544,2572293
2014-04-15,43.6316,44.0218,42.891,43.8784,2316282
2014-04-16,44.2448,44.7863,43.8864,44.5235,2032268
2014-04-17,44.3085,44.8181,43.8784,44.5952,1368267
2014-04-21,44.627,45.0968,44.4837,45.0411,1519695
2014-04-22,44.8579,46.363,44.7783,45.8374,2402675
2014-04-23,45.5826,45.6479,44.5195,44.5872,4263687
2014-04-24,47.9159,49.5723,47.3505,47.7805,8444372
2014-04-25,48.0911,48.497,47.016,47.3186,9240811
2014-04-28,47.4222,47.7407,46.1162,46.809,3925558
2014-04-29,47.0558,47.0718,46.156,46.4825,4043302
2014-04-30,46.4347,47.2709,46.0047,47.231,2333005
2014-05-01,47.9079,47.9876,47.0877,47.1753,2705851
2014-05-02,47.3186,47.3186,46.4586,46.9842,2980507
2014-05-05,46.8488,47.2629,46.6736,47.1912,2663832
2014-05-06,47.2868,48.0672,47.0718,47.0718,3508069
2014-05-07,47.1116,47.9637,46.7453,47.884,4449034
2014-05-08,47.7327,48.8237,47.5337,47.8602,2596654
2014-05-09,47.7805,48.0433,47.1992,47.7327,2394287
2014-05-12,47.9318,48.7759,47.6929,48.6087,2647658
2014-05-13,48.5848,48.6724,47.9716,48.0752,2777252
2014-05-14,47.8522,48.4176,47.7646,47.9318,2216690
2014-05-15,48.2185,48.5769,47.1992,48.4335,4862998
2014-05-16,48.5769,48.5769,47.6213,48.1548,6823801
2014-05-19,48.0513,48.7919,47.9199,48.5609,2185065
2014-05-20,48.6167,48.8158,48.0752,48.5609,1779963
2014-05-21,48.5609,49.2299,48.5609,48.8078,1586404
2014-05-22,48.7839,49.1104,48.4256,48.9113,1666490
2014-05-23,48.9273,49.0308,48.5291,48.9273,1409754
2014-05-27,49.1263,49.1741,48.4574,48.6724,3929953
2014-05-28,48.7202,48.768,48.0513,48.4654,4911972
2014-05-29,48.537,49.2936,48.3698,49.1024,3978814
2014-05-30,49.2458,49.7236,49.0149,49.3493,5955699
2014-06-02,49.3732,49.3732,48.5848,48.8954,2012615
2014-06-03,48.7839,48.9432,48.2185,48.4494,2642192
2014-06-04,48.322,48.4318,48.0194,48.2185,2053216
2014-06-05,48.2663,48.8874,48.0194,48.7361,2471214
2014-06-06,48.9511,49.4927,48.768,49.421,1723439
2014-06-09,49.3095,50.2333,49.3095,49.9784,2880094
2014-06-10,50.0262,51.372,49.8908,51.0853,5679374
2014-06-11,50.8783,51.4755,50.6394,51.4357,2351753
2014-06-12,51.1411,51.3163,50.5677,50.6792,3466358
2014-06-13,50.6792,50.8425,50.281,50.7031,2828510
2014-06-16,50.5996,51.2287,50.3447,51.1252,2219580
2014-06-17,51.0376,51.7304,50.8544,51.5711,2695804
2014-06-18,51.5233,51.9534,51.165,51.8896,3328472
2014-06-19,52.0569,52.3356,51.4317,51.7304,2921245
2014-06-20,51.8498,52.0011,51.4875,51.7065,4772426
2014-06-23,51.603,51.9534,51.2844,51.81,2109525
2014-06-24,51.818,51.8976,51.1013,51.2287,2412544
2014-06-25,51.3163,51.6189,51.1013,51.4437,1842319
2014-06-26,51.5233,51.6667,50.719,51.2526,1882429
2014-06-27,51.0057,51.3004,50.4642,51.1252,2833599
2014-06-30,50.9261,51.0455,49.7316,49.8112,4943008
2014-07-01,50.074,50.5677,49.8829,50.297,2970964
2014-07-02,50.4722,50.9101,50.3368,50.5677,1962893
2014-07-03,50.7429,51.1172,50.5199,50.5996,1436295
2014-07-07,50.4483,50.6792,50.2253,50.5279,1700026
2014-07-08,50.4005,50.4801,49.6579,49.859,2559448
2014-07-09,49.9386,50.3765,49.7873,50.0262,1979432
2014-07-10,49.3254,50.0342,49.2378,49.9705,2244766
2014-07-11,50.0023,50.4642,49.7873,50.0262,1716737
2014-07-14,50.4403,50.6712,50.1476,50.4881,1905959
2014-07-15,50.297,50.9659,50.2731,50.6474,1730162
2014-07-16,50.8385,51.2844,50.4005,50.504,2768390
2014-07-17,50.4084,50.9898,50.1855,50.4403,2293888
2014-07-18,50.7111,50.8225,50.1616,50.6633,2318626
2014-07-21,50.6951,50.8703,50.2731,50.4881,1275598
2014-07-22,50.6155,51.5074,50.6155,51.0296,2677281
2014-07-23,50.9022,51.3561,50.8544,51.0455,3137528
2014-07-24,52.4789,53.8168,52.4789,53.2116,6108096
2014-07-25,53.0921,54.4698,52.909,53.6496,3592393
2014-07-28,53.761,54.9197,53.6336,54.6609,4148936
2014-07-29,54.6609,55.4971,54.6052,55.083,4202432
2014-07-30,55.3537,55.943,54.8998,54.9396,3413953
2014-07-31,54.5016,54.8297,53.8248,53.9362,3137797
2014-08-01,53.9362,54.2548,53.2753,53.6735,1990404
2014-08-04,53.4664,54.1632,53.4266,54.0557,2139067
2014-08-05,53.9044,54.4061,53.6097,54.1353,1696873
2014-08-06,53.7531,54.6848,53.3629,54.5335,2014064
2014-08-07,54.7087,55.0432,54.4698,54.6768,2175007
2014-08-08,54.4061,54.86,54.3344,54.4618,2147347
2014-08-11,54.7087,55.1825,54.5813,54.9396,1677464
2014-08-12,54.8361,54.8998,54.422,54.637,1437155
2014-08-13,54.3503,55.2622,54.3503,55.1785,1863996
2014-08-14,55.1467,55.2741,54.6689,55.0432,1661581
2014-08-15,55.4413,55.4573,54.3344,54.9078,1934611
2014-08-18,55.298,55.7201,55.1387,55.4493,1531551
2014-08-19,55.3776,55.5767,55.1865,55.3537,1782009
2014-08-20,55.3378,55.6404,55.0909,55.3378,1524837
2014-08-21,55.3378,55.9191,55.0511,55.8236,1638498
2014-08-22,55.9351,56.2894,55.7201,55.8156,1613598
2014-08-25,55.943,56.0545,55.3935,55.7838,1151725
2014-08-26,55.8475,56.1262,55.4334,55.6245,1508187
2014-08-27,55.5847,55.9032,55.2024,55.728,1497955
2014-08-28,55.5528,55.6882,54.86,55.5289,1375035
2014-08-29,55.7519,56.166,55.6245,55.951,1897511
2014-09-02,55.9191,56.5323,55.8873,56.1899,1423719
2014-09-03,56.2297,56.5403,56.0227,56.2775,1250692
2014-09-04,56.7234,56.7234,55.9749,56.2775,1204255
2014-09-05,56.0704,56.7633,56.0704,56.4049,1596099
2014-09-08,56.4129,57.2331,56.2918,57.0659,2256541
2014-09-09,56.811,57.1375,56.4527,56.6199,1323710
2014-09-10,56.6199,57.2331,56.612,57.0499,1692373
2014-09-11,56.9146,57.8861,56.819,57.4959,2641274
2014-09-12,57.3764,57.6074,57.1216,57.3127,1445571
2014-09-15,57.2092,57.48,56.604,57.0579,1525271
2014-09-16,57.0659,57.1933,56.4447,56.9942,1344971
2014-09-17,57.0579,57.7348,56.6518,56.9225,2021002
2014-09-18,57.2012,58.0454,56.9464,57.8781,1895559
2014-09-19,57.9896,57.9896,56.7075,57.0499,2804547
2014-09-22,56.9225,57.042,56.0386,56.1541,1903179
2014-09-23,56.0466,56.381,55.8634,56.1979,1901745
2014-09-24,56.2934,57.1614,56.174,57.0022,1490762
2014-09-25,56.811,56.819,55.8315,55.8674,1078096
2014-09-26,55.9112,56.381,55.7439,56.1501,997743
2014-09-29,55.8634,56.8588,55.7201,56.5482,1609163
2014-09-30,56.5482,57.1535,56.4606,56.811,2409501
2014-10-01,56.6916,56.6916,54.7246,54.8043,3856213
2014-10-02,54.7087,55.1785,54.1114,54.8998,1523371
2014-10-03,55.0909,55.7041,54.8202,55.4254,1367285
2014-10-06,55.6802,56.1461,54.7366,54.7883,1677533
2014-10-07,53.6814,54.2389,53.4823,53.777,2861991
2014-10-08,53.8327,54.4459,52.9727,54.2707,1847407
2014-10-09,54.1353,54.3902,53.554,53.5699,2367593
2014-10-10,53.5779,54.1672,52.2799,52.2878,2604021
2014-10-13,52.1604,52.3117,51.1013,51.5393,4897351
2014-10-14,51.9852,52.4232,51.2685,51.7144,2398566
2014-10-15,51.157,51.7941,50.7827,51.7144,2892333
2014-10-16,50.942,51.4437,50.6123,50.9739,2875499
2014-10-17,51.3322,51.6189,51.0057,51.3959,2727658
2014-10-20,51.0137,52.029,50.5996,51.9016,2859406
2014-10-21,52.041,52.6462,51.8578,52.5586,2766410
2014-10-22,51.818,52.1923,51.2366,51.587,4277405
2014-10-23,48.1548,49.7714,48.0194,49.2458,10186248
2014-10-24,49.1343,50.8385,49.0308,50.6394,5967570
2014-10-27,50.7111,50.8942,50.1616,50.4005,2405779
2014-10-28,50.6712,51.0615,50.4323,51.0376,1869453
2014-10-29,50.95,51.1729,50.0421,50.2014,1899149
2014-10-30,50.1934,51.0614,50.0023,50.7509,1155323
2014-10-31,51.6746,51.6746,51.0137,51.149,1583194
2014-11-03,51.3163,51.7144,51.157,51.2924,885945
