date,open,high,low,close,volume
2014-01-02,103.9056,104.2562,103.2795,103.6385,4540472
2014-01-03,104.0225,104.2646,103.4047,103.8138,3506119
2014-01-06,104.0141,104.1895,103.1209,103.5383,4254928
2014-01-07,103.8722,104.6236,103.2294,104.4149,4567467
2014-01-08,103.8889,103.9056,102.478,102.9288,8286511
2014-01-09,103.0374,103.0374,101.8686,102.9288,5646335
2014-01-10,102.2693,102.5532,100.4886,101.0254,8134559
2014-01-13,100.8584,100.9335,99.3557,99.556,6512504
2014-01-14,99.6813,99.9735,99.1804,99.8232,6904684
2014-01-15,99.9234,100.2406,99.3891,99.4976,5830002
2014-01-16,99.4392,99.5893,98.6711,99.2054,5042417
2014-01-17,99.3724,100.4994,99.1303,99.5894,7210045
2014-01-21,100.8,100.9252,99.7731,100.4827,5602368
2014-01-22,100.6079,100.8167,100.1571,100.5412,4977592
2014-01-23,100.0486,100.0569,98.7295,98.8381,6209880
2014-01-24,98.4039,98.6293,97.0598,97.0849,7131317
2014-01-27,97.0557,97.8863,96.7426,97.2018,6180141
2014-01-28,97.4439,97.7027,96.9012,97.544,4306359
2014-01-29,96.9596,97.5858,96.6007,96.8428,5524394
2014-01-30,97.1016,97.6442,96.1582,97.2185,5539663
2014-01-31,95.0896,95.0896,92.7603,93.1945,15531717
2014-02-03,93.7956,93.8874,92.2845,92.7854,11280034
2014-02-04,93.3865,93.5368,92.2427,92.5266,9718823
2014-02-05,92.6685,92.6685,91.2242,91.4329,10571392
2014-02-06,91.9255,92.9607,91.7585,92.8939,7989804
2014-02-07,93.4282,93.6035,92.1593,93.5451,7109393
2014-02-10,93.8957,93.8957,92.7353,93.2446,9251748
2014-02-11,93.5284,95.0645,93.4616,94.8224,6880829
2014-02-12,95.0835,95.0835,94.1738,94.3591,6436077
2014-02-13,94.1065,94.9572,93.6432,94.7634,5064114
2014-02-14,94.8224,95.8752,93.9885,95.5804,6787514
2014-02-18,95.9005,96.1111,94.8392,94.9319,6111613
2014-02-19,94.7971,96.9028,94.7297,95.6815,7993616
2014-02-20,95.6057,97.1386,95.2604,96.5238,8408726
2014-02-21,96.6248,96.6417,94.8392,94.9066,9222025
2014-02-24,95.4878,96.8607,95.2183,96.1448,7348553
2014-02-25,96.33,97.2271,96.2206,96.8354,5976339
2014-02-26,96.7091,97.585,96.3553,97.2902,6114023
2014-02-27,97.4166,97.5513,96.4901,97.4418,4923905
2014-02-28,97.5934,98.3262,96.7006,97.1386,6947143
2014-03-03,96.6838,97.863,96.2374,96.7259,6046576
2014-03-04,97.6103,97.9304,97.0797,97.1302,5612688
2014-03-05,96.9281,97.0797,96.0268,96.3806,6704008
2014-03-06,96.6164,96.987,96.3132,96.7343,5179876
2014-03-07,96.9196,97.6608,96.5575,96.9281,5055612
2014-03-10,97.2397,97.6524,96.1195,97.5682,6203531
2014-03-11,97.6187,97.8967,96.2206,96.448,6274518
2014-03-12,96.1363,98.0062,96.1279,97.4082,6821466
2014-03-13,97.366,97.4924,96.1195,96.3974,5405112
2014-03-14,96.3216,96.7765,95.7489,96.1026,6290005
2014-03-17,96.2374,97.1049,96.1279,96.9196,5895674
2014-03-18,97.3829,98.1704,97.0291,97.9051,6329618
2014-03-19,97.6019,98.3262,96.5743,97.0291,5569641
2014-03-20,96.7343,97.7703,96.2885,97.2902,5280578
2014-03-21,97.9472,99.3875,97.3492,97.3913,14894127
2014-03-24,97.7029,98.2841,97.4115,97.5766,5386996
2014-03-25,97.8967,98.7052,97.8798,98.621,5573789
2014-03-26,99.219,99.6233,98.8484,99.1432,5972009
2014-03-27,99.1769,99.3791,98.402,99.1095,5224576
2014-03-28,99.497,99.8507,99.1348,99.8086,5875099
2014-03-31,100.0529,100.752,99.796,100.1539,5482812
2014-04-01,100.3561,100.7434,100.095,100.2297,5391435
2014-04-02,99.8255,100.6846,99.8255,100.5245,4505159
2014-04-03,100.8867,100.8951,100.1329,100.2634,4448768
2014-04-04,100.8614,100.8614,99.8844,100.0613,5301335
2014-04-07,99.657,100.0781,98.8316,98.8316,5241259
2014-04-08,99.1011,99.6486,98.6951,99.219,4711840
2014-04-09,99.2443,100.4403,99.0421,100.314,5377587
2014-04-10,98.7136,99.438,98.1662,98.2841,8769453
2014-04-11,98.1241,99.1601,98.1241,98.5705,7028942
2014-04-14,99.2527,100.0866,98.8316,99.9771,6819190
2014-04-15,99.9855,101.3331,99.6738,101.3247,7681867
2014-04-16,101.83,102.8534,101.83,102.6134,7277495
2014-04-17,102.5207,104.3147,102.5207,104.1716,8604891
2014-04-21,103.6409,104.778,103.6409,104.6432,6351118
2014-04-22,104.3316,104.7354,104.1126,104.4411,5851778
2014-04-23,104.6011,105.2497,104.6011,105.0222,5596357
2014-04-24,105.1486,105.216,104.559,104.6938,5185910
2014-04-25,104.6348,105.0307,104.0874,104.4327,5778653
2014-04-28,104.6601,106.1761,104.6516,105.8982,7687848
2014-04-29,106.0582,107.1953,105.9235,106.1003,6666828
2014-04-30,105.9235,106.1088,105.5444,105.7213,6129242
2014-05-01,105.8392,105.9235,104.6769,105.2328,6380335
2014-05-02,104.3568,105.9572,104.0873,105.0475,5406091
2014-05-05,105.1317,105.9993,104.7274,105.5866,4224353
2014-05-06,105.2833,105.8645,104.8791,105.2581,5600010
2014-05-07,106.0835,106.7826,105.8224,106.3193,5436267
2014-05-08,105.8729,106.2351,105.1738,105.3591,5010009
2014-05-09,105.6118,106.1846,104.9759,105.3086,4826142
2014-05-12,105.7634,105.7634,104.9717,105.4855,4914743
2014-05-13,105.7634,106.1172,105.2581,105.9993,4415213
2014-05-14,106.2435,106.7826,105.9235,106.4794,4961548
2014-05-15,106.3265,106.6068,104.9504,105.1712,5942941
2014-05-16,105.2986,105.6299,104.3897,104.6361,6435090
2014-05-19,104.4407,104.8399,104.3557,104.4407,4045979
2014-05-20,104.4407,104.5681,103.8376,104.0584,4044716
2014-05-21,104.4832,105.6384,104.4322,105.4685,4758794
2014-05-22,105.4176,105.6809,104.9589,105.0183,3262734
2014-05-23,105.4176,105.6384,104.7635,104.7975,3811307
2014-05-27,105.1287,105.3241,104.2708,104.3472,4287468
2014-05-28,104.3982,104.7465,104.0754,104.0754,4705743
2014-05-29,104.3897,104.3982,103.3364,103.9055,6255073
2014-05-30,103.8376,104.3812,103.6422,104.3048,5166981
2014-06-02,104.4237,104.5171,103.6422,103.8121,3689833
2014-06-03,103.965,104.3303,103.3959,104.1009,3563774
2014-06-04,103.9055,104.2113,103.6337,103.931,3285543
2014-06-05,104.0839,105.1457,104.0244,104.9249,4225026
2014-06-06,105.0778,105.9272,104.9419,105.494,4295422
2014-06-09,105.3411,105.8788,105.2307,105.6469,3660777
2014-06-10,106.1651,106.4964,105.46,106.4709,5877350
2014-06-11,106.2925,106.5813,105.8593,106.335,4570851
2014-06-12,106.8022,107.2269,106.5388,107.125,6815809
2014-06-13,106.9806,108.1018,106.9466,108.1018,5578790
2014-06-16,108.0084,109.4143,107.9999,109.1891,7074254
2014-06-17,108.6455,109.618,108.3652,109.4355,6721037
2014-06-18,109.5459,110.8541,109.0362,110.6672,7703901
2014-06-19,110.6757,112.1283,110.3529,112.1198,7425763
2014-06-20,112.0858,112.468,111.1769,112.4171,11350979
2014-06-23,112.57,113.4619,112.485,112.9607,11010250
2014-06-24,112.7569,113.3685,111.8819,111.9329,8581147
2014-06-25,111.5676,112.4341,111.2873,111.4742,6714259
2014-06-26,111.4572,111.4657,110.0301,111.2109,6111572
2014-06-27,111.0495,111.2321,109.8347,110.7352,8674870
2014-06-30,110.5568,110.9645,109.8942,110.8966,5708219
2014-07-01,111.2278,111.6356,110.82,110.8881,4001310
2014-07-02,110.8796,111.2109,110.4209,110.6247,5137137
2014-07-03,111.6526,111.78,111.041,111.4402,3513987
2014-07-07,110.8031,110.973,110.4463,110.8286,3659977
2014-07-08,110.1745,110.7521,110.0216,110.3444,4687818
2014-07-09,110.6587,111.8649,110.4209,111.6101,5203960
2014-07-10,110.8371,111.1599,110.3444,110.6417,4405007
2014-07-11,109.6903,110.3359,108.7559,109.1297,5248059
2014-07-14,109.41,110.0046,109.0532,109.8008,4135861
2014-07-15,109.6394,110.0046,109.2486,109.8008,4845041
