date,open,high,low,close,volume
2014-01-02,25.5027,26.2418,25.5027,25.9144,11704363
2014-01-03,26.5412,27.4674,26.4196,27.3458,19114454
2014-01-06,27.5329,27.879,27.1774,27.4019,15782953
2014-01-07,27.5422,27.7479,26.747,26.9248,13042162
2014-01-08,26.9154,28.1597,26.7658,27.879,17931187
2014-01-09,28.5713,29.5436,28.4403,29.0578,18693398
2014-01-10,29.1794,29.4507,28.6836,29.4414,13204275
2014-01-13,29.722,29.7314,28.88,28.9268,15117536
2014-01-14,29.0765,30.0027,29.0204,29.9465,14282492
2014-01-15,30.2179,30.2179,29.0765,29.4694,18089310
2014-01-16,29.432,29.6846,29.3104,29.5443,7461938
2014-01-17,29.2543,29.3665,28.8894,29.0671,15845098
2014-01-21,30.3021,30.5453,29.6098,30.012,17961120
2014-01-22,30.2927,30.7979,30.2038,30.723,11553876
2014-01-23,30.4517,30.5804,30.0307,30.405,13400762
2014-01-24,29.9653,30.2272,28.9642,29.1046,14895241
2014-01-27,29.2075,29.5536,27.7434,28.6181,19143375
2014-01-28,28.6087,29.4788,28.5713,28.9081,11920519
2014-01-29,28.4778,29.2688,27.8603,27.9913,16382417
2014-01-30,28.4871,28.88,28.3281,28.6087,10041566
2014-01-31,28.2439,28.852,28.0614,28.6368,11442456
2014-02-03,28.6649,28.8145,27.3364,27.4861,16906999
2014-02-04,28.0661,28.0942,27.3738,28.01,14441233
2014-02-05,27.748,28.1597,27.2428,28.0848,13896187
2014-02-06,28.0755,29.3197,27.8884,28.8987,9461912
2014-02-07,29.3104,29.7969,29.0765,29.6098,12930098
2014-02-10,29.7033,29.7501,28.9362,29.1981,10752356
2014-02-11,29.2823,29.4133,28.6461,29.3852,12512044
2014-02-12,29.4788,29.4788,28.7958,29.1233,9538768
2014-02-13,28.8052,29.4694,28.4685,29.3291,8718849
2014-02-14,29.1794,29.5817,28.9455,29.3197,7025955
2014-02-18,29.3385,29.5536,28.9221,28.9268,10429436
2014-02-19,28.8893,29.0955,28.5331,28.655,10557745
2014-02-20,28.6643,29.8876,28.6362,29.8454,12151484
2014-02-21,29.8829,30.1735,29.7235,29.7704,9632926
2014-02-24,29.9204,30.6796,29.8454,30.4172,11242179
2014-02-25,30.5765,31.4014,30.5765,31.1577,15333593
2014-02-26,31.3639,31.6358,31.0171,31.4108,11732721
2014-02-27,31.2983,31.8232,31.1952,31.2327,10862170
2014-02-28,30.8671,31.3545,30.614,31.1296,10865236
2014-03-03,30.361,30.6797,29.9016,30.5484,14410504
2014-03-04,31.4014,32.545,31.3874,32.2919,13590275
2014-03-05,32.6668,32.9481,32.4419,32.545,11337280
2014-03-06,32.8637,33.3511,32.8356,33.1543,12033454
2014-03-07,33.4823,33.6042,32.62,33.1449,11829277
2014-03-10,33.1262,33.576,32.5356,32.9668,10696238
2014-03-11,32.8637,33.2293,32.5919,32.7325,9976506
2014-03-12,32.4325,32.6575,32.0669,32.3388,9953669
2014-03-13,32.5825,32.6012,31.2046,31.4764,13340734
2014-03-14,31.392,32.4606,31.1671,31.9826,11884726
2014-03-17,32.4138,32.4138,31.6358,32.0576,9177220
2014-03-18,32.3294,32.4138,31.9123,31.9357,8857857
2014-03-19,31.9638,32.1701,31.2421,31.617,9846152
2014-03-20,31.6826,31.7857,31.2139,31.5326,7001379
2014-03-21,31.9357,31.9357,30.6797,30.6797,22080577
2014-03-24,31.0358,31.4295,30.4828,31.2327,11290505
2014-03-25,31.3639,32.3481,31.3639,32.2732,11546721
2014-03-26,32.3388,32.3856,31.7857,31.8326,12059085
2014-03-27,31.7764,32.1419,30.9046,31.9919,11959087
2014-03-28,32.0013,32.5169,31.4108,31.4295,10434934
2014-03-31,31.6358,32.7231,31.6358,32.4794,10215864
2014-04-01,32.7418,33.5386,32.7325,33.5105,11635234
2014-04-02,33.6604,34.2322,33.3042,33.4636,12017417
2014-04-03,33.4917,33.8104,32.7793,33.1543,8909084
2014-04-04,33.4542,33.4636,32.32,32.4419,9357537
2014-04-07,32.3481,33.1543,31.5795,31.8607,13776273
2014-04-08,31.7764,32.1326,30.3797,31.4108,16160513
2014-04-09,31.617,32.634,31.3358,32.5544,9558285
2014-04-10,32.9012,32.9387,30.9327,30.9421,14715384
2014-04-11,30.8203,31.7295,30.2485,30.4828,12682179
2014-04-14,30.8015,30.9327,29.1799,29.7423,15618231
2014-04-15,29.8079,30.3984,28.6268,29.911,19273837
2014-04-16,30.2016,31.617,30.1547,31.5139,14165209
2014-04-17,31.5045,31.7576,30.8203,31.6451,13152498
2014-04-21,31.4764,31.9451,31.1671,31.8139,8894787
2014-04-22,32.0388,33.0418,32.0294,32.7606,14114315
2014-04-23,34.5603,35.0665,33.7448,34.7665,22028663
2014-04-24,34.8228,35.118,34.0541,34.4291,16537702
2014-04-25,34.2135,34.3166,33.5386,33.8104,10325515
2014-04-28,33.9323,34.3728,32.9293,33.5948,12646311
2014-04-29,33.7636,34.4478,33.623,34.4384,10036288
2014-04-30,34.5041,34.8509,34.026,34.5228,11962790
2014-05-01,34.6822,35.179,34.6522,34.7946,11868041
2014-05-02,34.7853,35.1227,34.2697,34.8978,9365885
