date,open,high,low,close,volume
2014-01-02,51.1825,51.3752,50.5862,50.788,2756625
2014-01-03,50.7697,50.9714,50.4302,50.522,1971965
2014-01-06,50.5678,50.8981,49.8614,49.8706,2169166
2014-01-07,50.1642,50.4944,49.9165,50.21,3311805
2014-01-08,50.4119,50.6688,50.1504,50.2376,2459668
2014-01-09,50.4853,50.6137,50.1963,50.5678,2280756
2014-01-10,50.6229,50.9623,50.577,50.8339,2393500
2014-01-13,50.7788,50.9348,49.1092,49.2284,3339816
2014-01-14,49.4853,50.2834,49.0449,50.2559,2600620
2014-01-15,50.5311,50.577,50.0449,50.3201,2553861
2014-01-16,50.2284,50.4211,49.6413,49.788,1814877
2014-01-17,49.9073,49.9073,48.6596,48.9991,4685820
2014-01-21,49.4394,49.5816,48.7881,48.889,4044422
2014-01-22,49.0633,49.4027,48.889,49.2284,3009272
2014-01-23,48.8248,49.0082,47.5037,48.0725,5047314
2014-01-24,50.2284,50.9165,49.311,49.4302,9025149
2014-01-27,49.5862,49.999,48.889,48.9073,5278983
2014-01-28,49.7238,50.7697,49.4302,50.7238,5231778
2014-01-29,50.2284,50.5311,49.3385,49.522,3837339
2014-01-30,49.944,50.2743,49.4257,50.2559,3250829
2014-01-31,49.3293,49.944,49.1734,49.2192,3233443
2014-02-03,49.2284,49.2926,47.8523,47.8982,4658553
2014-02-04,48.1192,48.3771,47.7785,48.11,3467154
2014-02-05,47.9442,48.681,47.5482,48.5613,2997562
2014-02-06,48.8652,49.7216,48.5981,49.7032,3245518
2014-02-07,49.9058,50.9557,49.8506,50.882,4021380
2014-02-10,50.836,51.3885,50.5505,51.232,2410320
2014-02-11,51.1491,51.5175,51.011,51.278,3451957
2014-02-12,51.2965,51.4991,51.1583,51.3701,2612388
2014-02-13,51.0202,51.7569,50.7715,51.7293,2282605
2014-02-14,52.6134,52.6871,52.07,52.42,3193067
2014-02-18,52.4937,53.0739,52.2542,53.0094,2728146
2014-02-19,52.7239,53.2442,52.3003,52.3555,2576590
2014-02-20,52.3279,52.991,52.024,52.5581,2620882
2014-02-21,52.6226,52.9265,52.1529,52.2266,2624132
2014-02-24,53.3317,53.3317,52.4476,52.8989,2786261
2014-02-25,52.77,52.9265,52.1437,52.4568,3476271
2014-02-26,52.7608,53.0186,51.9872,52.2911,3654849
2014-02-27,52.3095,52.6134,51.8674,52.0148,3536489
2014-02-28,52.1253,53.3502,52.0332,52.8436,3874011
2014-03-03,52.4568,52.8344,52.1806,52.5397,3102704
