date,open,high,low,close,volume
2014-01-02,57.8032,58.9902,57.8032,58.5882,6018218
2014-01-03,58.6073,59.129,58.3775,58.3775,2697770
2014-01-06,58.6073,58.7126,57.0277,57.066,4008031
2014-01-07,57.267,57.8406,57.0517,57.3341,2584491
2014-01-08,57.3245,57.4943,56.7501,57.1522,4418716
2014-01-09,56.4916,59.9667,56.4246,58.9136,8043818
2014-01-10,58.7988,60.2443,58.2339,60.1869,6432066
2014-01-13,59.9571,60.0816,57.9946,58.0999,4163116
2014-01-14,58.3584,59.0764,57.8127,58.9615,2709996
2014-01-15,58.7318,59.0285,58.2914,58.5786,2681109
2014-01-16,58.6073,58.8754,57.7457,57.985,2507283
2014-01-17,58.1669,58.6935,57.2096,57.5351,7995177
2014-01-21,57.6117,57.8319,56.0225,56.1661,4058478
2014-01-22,56.0513,56.1087,55.2567,55.4769,5386639
2014-01-23,55.4864,55.5151,54.8737,55.1322,2745311
2014-01-24,54.7397,55.1992,54.3089,54.9025,3724802
2014-01-27,55.0939,55.5534,54.5195,55.0556,3475091
2014-01-28,55.2567,55.4864,54.6536,54.8259,3314126
2014-01-29,54.4429,54.9216,54.1557,54.2036,3309797
2014-01-30,54.5004,54.8546,53.7441,54.0887,4563347
2014-01-31,53.5335,54.2993,52.7293,53.9164,5360133
2014-02-03,54.0696,54.3185,52.8634,53.141,5905325
2014-02-04,53.1601,53.7824,52.8442,53.409,3912841
2014-02-05,53.9451,54.4621,53.3229,53.7441,3762703
2014-02-06,53.8494,55.1897,53.7728,54.7972,2990193
2014-02-07,55.0078,55.4577,54.6153,54.6631,3200186
2014-02-10,54.7589,55.5151,53.9643,54.2419,3372289
2014-02-11,54.1557,54.845,54.1557,54.2802,3755272
2014-02-12,54.4334,54.7589,53.6867,53.8686,3577147
2014-02-13,53.6867,54.0026,53.1314,53.5239,3766650
2014-02-14,53.7154,54.9695,53.6579,54.8163,3642280
2014-02-18,55.0461,55.9555,55.0461,55.5439,3395144
2014-02-19,54.8259,55.3955,54.3951,54.9886,3730796
2014-02-20,54.711,55.2471,54.3185,54.6631,3996941
2014-02-21,54.8929,55.3093,54.8163,55.0365,2560089
2014-02-24,55.0939,56.1566,55.0173,55.5534,3133685
2014-02-25,55.4003,55.8981,55.3055,55.5439,3173621
2014-02-26,55.5726,57.8797,55.4003,57.3245,4651770
2014-02-27,57.2479,57.6404,56.8841,57.2192,2435518
2014-02-28,57.2862,58.569,56.798,57.3436,3505825
2014-03-03,57.0373,57.5782,56.7788,57.2862,1935609
2014-03-04,57.6213,58.0329,56.4342,57.267,4560533
2014-03-05,57.3724,57.4489,56.5778,57.1617,2046164
2014-03-06,57.1713,57.3245,56.7501,56.8745,3403263
2014-03-07,57.2192,57.3532,56.5299,56.8554,3487663
2014-03-10,56.8458,56.9894,56.1566,56.865,2617229
2014-03-11,56.8363,56.9607,56.415,56.865,3338807
2014-03-12,56.5682,56.8554,56.1661,56.7597,4136846
2014-03-13,55.5439,55.9555,54.6536,55.1992,10239977
2014-03-14,54.9886,55.7066,54.6727,54.7493,5101370
2014-03-17,54.845,55.5247,54.7014,55.2567,6439494
2014-03-18,55.2662,55.6386,55.0939,55.4386,4896777
2014-03-19,55.3524,55.7736,55.1801,55.3811,5325307
2014-03-20,55.3428,55.697,54.8929,55.1226,8502178
2014-03-21,55.5822,55.7545,55.1226,55.5534,5263776
2014-03-24,55.5917,55.6779,53.7632,53.8877,7224855
2014-03-25,54.0983,54.194,52.7293,52.8442,11358419
2014-03-26,53.1793,53.6484,52.8011,53.2176,6938253
2014-03-27,53.4569,53.5,52.9112,53.2942,8177923
2014-03-28,53.1601,53.6867,53.0165,53.0357,4945737
2014-03-31,53.2942,53.4952,52.7676,53.1123,3526438
2014-04-01,53.1314,54.0792,53.1124,54.0122,4532258
2014-04-02,53.9834,54.8355,53.8147,54.778,4396880
2014-04-03,54.5483,55.0652,54.5483,54.8642,3750502
2014-04-04,55.0461,55.0844,53.993,54.2611,3710265
2014-04-07,54.0026,54.2993,52.7676,53.0165,5228883
2014-04-08,52.9495,53.2271,52.5474,53.0836,5050469
2014-04-09,53.1027,54.0409,53.0165,53.9547,3521633
2014-04-10,53.9643,54.1366,53.074,53.0836,6080033
2014-04-11,52.7006,52.9782,52.1071,52.4038,4429232
2014-04-14,52.7389,52.9878,52.3751,52.8442,2262754
2014-04-15,52.94,53.2271,52.1549,52.624,3484924
2014-04-16,53.0931,53.2559,52.4517,52.5379,3047312
2014-04-17,52.4517,53.074,52.3943,53.0644,3289554
2014-04-21,52.9878,53.0644,52.4613,52.7389,1680541
2014-04-22,52.6719,53.0213,52.4038,52.7389,2724899
2014-04-23,52.7868,53.141,52.6528,52.9687,3489640
2014-04-24,53.0548,53.141,52.624,52.9495,2829495
2014-04-25,52.9304,54.2419,52.6528,53.926,5371151
2014-04-28,53.993,54.577,53.4665,53.859,3582827
2014-04-29,54.0887,54.1749,53.4665,53.6292,2964546
2014-04-30,53.6579,54.1749,53.3277,54.0313,3484745
2014-05-01,54.2898,54.577,54.0026,54.2323,1765038
2014-05-02,54.3376,54.8929,54.194,54.5674,1785565
2014-05-05,54.2706,54.577,53.9451,54.4621,1751573
2014-05-06,54.3664,54.9982,53.993,54.4908,4453158
