date,open,high,low,close,volume
2014-01-02,20.8008,21.0154,20.6339,20.8199,6140313
2014-01-03,20.9343,21.1537,20.7245,20.7436,3724939
2014-01-06,20.9057,20.9152,20.1904,20.2858,6655579
2014-01-07,20.4861,20.529,20.219,20.3525,4813077
2014-01-08,20.2762,20.7436,20.1713,20.5814,5760067
2014-01-09,20.8485,20.982,20.5814,20.7436,4988366
2014-01-10,20.858,21.5161,20.7436,21.1251,7861914
2014-01-13,20.9534,21.1155,20.4288,20.5528,6779995
2014-01-14,20.5624,20.7245,20.3335,20.591,4574580
2014-01-15,20.5814,20.7054,20.3335,20.591,5063904
2014-01-16,20.5338,20.9534,20.2476,20.9057,5325092
2014-01-17,20.8199,20.8485,20.5719,20.591,5221218
2014-01-21,20.6577,20.7913,20.3335,20.4861,3649568
2014-01-22,20.4479,21.0583,20.3335,20.9534,5227049
2014-01-23,20.7817,21.0202,20.6959,20.9439,5503516
2014-01-24,20.5433,20.7817,19.8375,19.9138,9587444
2014-01-27,20.0378,20.4861,19.2653,19.9711,10673122
2014-01-28,21.23,22.1265,20.9343,21.9357,19841336
2014-01-29,21.5447,22.2028,21.3063,22.0406,11727496
2014-01-30,22.2314,22.4984,21.5924,21.8213,7753453
2014-01-31,21.5542,22.8895,21.4398,22.3935,11358116
2014-02-03,22.4031,22.527,21.497,21.8213,8989202
2014-02-04,21.9357,22.2123,21.7354,22.0025,6721232
2014-02-05,21.8855,22.0956,21.5893,21.6753,6893033
2014-02-06,21.9141,22.8121,21.9046,22.5159,12390092
2014-02-07,22.6879,22.8742,22.4395,22.8216,7479785
2014-02-10,22.8216,23.0891,22.2485,22.4968,8163406
2014-02-11,22.43,22.535,22.0765,22.2867,6599482
2014-02-12,22.3918,22.5446,22.1052,22.1911,7585476
2014-02-13,22.0956,22.2962,21.8281,22.2007,5623618
2014-02-14,22.2007,22.6019,22.0574,22.5637,4955194
2014-02-18,22.5828,22.6688,21.7613,22.2676,6195881
2014-02-19,22.0574,22.5255,21.9332,22.1243,4898082
2014-02-20,22.1147,22.4061,21.9237,22.2867,5310785
2014-02-21,22.3727,22.8789,22.3058,22.5924,5154111
2014-02-24,22.6592,22.8503,22.4873,22.6497,5077711
2014-02-25,22.6688,23.156,22.4449,23.0605,5612866
2014-02-26,23.0413,23.9393,22.7524,23.7387,14350785
2014-02-27,23.71,23.9011,23.5381,23.7578,6749886
2014-02-28,23.7387,23.8342,23.2228,23.4617,7825174
2014-03-03,22.7261,23.3566,22.7261,23.2037,4860916
2014-03-04,23.4712,23.6335,23.0031,23.242,6204398
2014-03-05,23.1655,23.242,22.8551,22.8885,7955082
2014-03-06,22.9267,23.0413,22.6306,22.793,4005214
2014-03-07,22.9363,22.9554,22.3153,22.4204,6491143
2014-03-10,22.0479,22.3727,21.7422,21.7517,7887393
2014-03-11,21.8186,22.215,21.3362,21.6084,8996699
2014-03-12,21.403,21.6848,21.255,21.6371,6640798
2014-03-13,21.7612,21.809,20.9397,21.169,5725749
2014-03-14,21.1117,21.3696,20.9044,21.0544,5928772
2014-03-17,21.0926,21.2932,20.7773,21.0639,4891327
2014-03-18,21.1403,21.532,21.0735,21.446,5467489
2014-03-19,22.4491,22.6306,21.3027,21.4842,7574506
2014-03-20,21.4747,21.5989,20.7503,20.892,7860075
2014-03-21,21.0926,21.1881,20.3284,20.4621,10712334
2014-03-24,20.529,20.6149,20.0322,20.3092,7463485
2014-03-25,20.4716,20.6818,20.3379,20.4907,7556254
2014-03-26,20.5958,20.7391,20.1851,20.2042,6521312
