date,open,high,low,close,volume
2014-01-02,41.1588,42.1532,40.8852,41.0261,2583986
2014-01-03,41.3164,41.6813,40.7608,41.3247,1215034
2014-01-06,41.8886,41.9964,41.0718,41.2418,1147776
2014-01-07,41.7145,42.0877,41.2915,41.3496,2426211
2014-01-08,41.2832,41.5237,40.6364,41.0344,1603188
2014-01-09,41.2666,41.6564,40.7193,41.2169,893952
2014-01-10,41.4906,41.8555,41.2335,41.4657,1846502
2014-01-13,41.6067,42.1955,41.4242,41.6398,1421547
2014-01-14,42.0047,42.5521,41.7725,42.4609,1641824
2014-01-15,42.4857,43.8458,42.4857,43.5473,2189985
2014-01-16,43.6551,44.0531,43.5025,43.8126,2754293
2014-01-17,43.6965,43.9536,42.562,42.9336,1410838
2014-01-21,43.2487,44.0697,43.2238,43.9785,2377457
2014-01-22,44.0531,44.1361,42.7677,43.3399,1763657
2014-01-23,43.3233,43.5804,43.1076,43.4975,1249860
2014-01-24,43.4146,43.7629,43.0497,43.4146,2251627
2014-01-27,43.456,43.5638,42.7097,42.7179,1266436
2014-01-28,42.7097,43.8375,42.6101,43.2238,1134481
2014-01-29,41.3745,42.494,40.7856,41.7145,3014602
2014-01-30,42.1789,42.2534,41.3827,41.4242,1859077
2014-01-31,41.0842,42.4526,40.9109,42.2867,1756794
2014-02-03,42.3448,42.3613,41.4491,41.5569,1491617
2014-02-04,41.6813,43.0497,41.6813,42.9999,1215616
2014-02-05,43.1243,43.1741,42.6433,43.0663,935988
2014-02-06,43.0497,43.2819,42.1706,42.6682,1343056
2014-02-07,42.6931,43.2819,42.494,43.0082,1453688
2014-02-10,43.1575,43.9453,42.6765,43.8375,997684
2014-02-11,43.6219,43.7836,42.8258,43.2155,1075717
2014-02-12,43.539,43.879,43.2238,43.879,1068745
2014-02-13,43.9039,44.7415,43.7878,44.4263,1234738
2014-02-14,44.2936,44.5341,44.0531,44.2771,663334
2014-02-18,44.4512,44.6005,44.1858,44.3849,1169580
2014-02-19,44.3185,44.418,43.4602,43.6551,1555695
2014-02-20,43.6385,43.9868,42.9501,43.1989,1665489
2014-02-21,43.2736,44.4097,43.2653,44.3517,1764543
2014-02-24,44.3185,45.1975,44.219,44.899,2668825
2014-02-25,45.6454,47.7021,43.4312,44.4097,3926171
2014-02-26,44.7829,44.7829,43.8126,44.4429,1658074
2014-02-27,44.4844,44.8244,43.9536,44.5424,695718
2014-02-28,44.4346,45.1478,44.3019,44.9156,1213800
2014-03-03,44.5341,45.1644,44.418,45.0732,845262
2014-03-04,45.5708,45.6122,45.2805,45.5625,887322
2014-03-05,45.6786,45.6952,45.0815,45.4132,828877
2014-03-06,45.5625,45.6786,44.9073,45.0317,786459
2014-03-07,44.9737,44.9903,43.0165,43.4229,1533304
2014-03-10,43.4146,43.7546,43.2072,43.4477,1046131
2014-03-11,43.3316,44.3144,43.3316,44.1609,834789
2014-03-12,43.8745,44.4221,43.6218,44.3631,1170536
2014-03-13,44.2873,44.4727,43.0152,43.2006,1211216
2014-03-14,43.0742,43.824,43.0742,43.3943,646865
2014-03-17,43.8914,44.6411,43.6808,44.4558,851060
2014-03-18,44.161,44.3547,42.1812,43.7313,2324560
2014-03-19,43.7734,44.6075,42.257,42.3665,1466092
2014-03-20,42.2402,42.412,41.1534,41.9285,2193825
2014-03-21,41.9874,42.3076,41.7937,42.097,1510656
2014-03-24,42.1812,42.5856,41.9032,42.4087,1112523
2014-03-25,42.8636,43.6049,42.7035,43.5965,1244399
2014-03-26,43.8156,44.4112,43.1837,43.8745,1372240
2014-03-27,43.7397,45.1972,43.7397,44.7844,2263116
2014-03-28,45.0287,45.6942,44.321,45.0708,1760248
2014-03-31,45.2309,45.2393,44.4811,44.717,1231026
2014-04-01,44.9107,45.1256,44.102,44.599,1467822
2014-04-02,44.4895,44.5754,43.8071,43.9925,1293626
2014-04-03,43.9588,44.9613,43.6462,44.7507,1616615
2014-04-04,44.5737,46.048,44.4642,44.8012,2543831
2014-04-07,44.7422,45.1972,44.4727,44.9276,2520934
2014-04-08,44.8181,45.749,44.8181,45.155,4115212
2014-04-09,45.1803,45.7869,44.4811,45.6437,3936190
2014-04-10,45.8543,46.3934,44.1862,44.5485,1658227
2014-04-11,44.2789,44.4811,43.2427,43.5375,3158028
2014-04-14,43.7313,44.3042,43.4175,43.8998,1250391
