date,open,high,low,close,volume
2014-01-02,70.5203,70.6664,69.3442,69.578,647793
2014-01-03,69.7241,70.0382,69.3004,69.5561,751228
2014-01-06,69.9578,69.9871,68.9534,69.0959,742644
2014-01-07,69.0959,69.5561,68.906,69.2201,697814
2014-01-08,69.2201,69.2347,68.6138,68.811,990001
2014-01-09,69.0301,69.5488,68.5042,68.716,1012556
2014-01-10,68.7452,69.1762,68.1316,68.9863,779548
2014-01-13,68.716,69.4976,67.8979,68.044,805040
2014-01-14,68.3654,69.7095,68.1389,69.7022,1156831
2014-01-15,69.819,70.6153,69.7168,70.3888,887841
2014-01-16,70.25,70.5568,69.1397,70.1989,1259103
2014-01-17,70.0017,70.1112,69.3296,69.4757,1403051
2014-01-21,70.082,70.402,69.4319,70.1405,1332189
2014-01-22,70.2281,70.2866,69.7533,70.0455,1034434
2014-01-23,69.7533,69.7971,68.4604,68.7233,935212
2014-01-24,67.54,68.3581,65.9694,65.984,1193979
2014-01-27,66.1667,66.4954,65.0636,65.4143,1113746
2014-01-28,65.6845,66.4808,65.6845,66.1009,1064080
2014-01-29,65.743,66.3201,65.1812,65.5092,1398163
2014-01-30,64.0483,65.4654,62.6969,65.2097,1455065
2014-01-31,63.3178,64.0629,63.0329,63.2301,1846667
2014-02-03,63.0402,63.4858,60.4909,60.6004,2001261
2014-02-04,60.6442,61.309,60.2425,61.0825,1580997
2014-02-05,60.7538,60.9584,59.6654,60.4689,1873030
2014-02-06,60.6808,61.1921,60.3155,60.3667,1557981
2014-02-07,60.8196,62.6092,60.5201,62.412,1914291
2014-02-10,62.2659,62.4777,61.3528,61.6888,1174609
2014-02-11,61.6669,62.2732,61.4989,61.9153,1290833
2014-02-12,62.1198,62.7115,61.8788,62.3682,1603733
2014-02-13,61.8422,62.4339,61.7254,62.3097,1902301
2014-02-14,62.2513,63.0037,62.0322,62.8649,1516200
2014-02-18,62.9745,63.8803,62.8138,63.6246,1755789
2014-02-19,63.4493,63.8949,63.1644,63.2448,1955804
2014-02-20,63.3543,64.8956,63.1572,64.7057,2261540
2014-02-21,64.6911,65.1878,64.282,65.0052,1842052
2014-02-24,65.1148,65.6042,64.976,65.3558,1384639
2014-02-25,65.3777,65.7795,65.3193,65.743,1930891
2014-02-26,65.9548,66.5319,65.6553,66.4589,1498199
2014-02-27,66.1155,67.0432,66.1155,67.0286,1547661
2014-02-28,67.2478,68.9425,67.1455,68.884,2275682
2014-03-03,56.8969,58.314,56.707,57.7808,3066212
2014-03-04,58.7377,58.9788,57.715,58.0584,2337987
2014-03-05,58.3505,58.7085,58.0145,58.3432,1341922
2014-03-06,58.4601,59.5983,58.4455,59.5924,2242001
2014-03-07,59.8042,60.4251,59.5193,60.0964,1735379
2014-03-10,59.9284,60.3557,59.5631,60.2717,1276257
2014-03-11,60.3959,60.8926,59.6289,59.8407,1352718
2014-03-12,59.3307,59.9031,59.1986,59.6683,1439871
2014-03-13,59.9985,60.3141,58.8464,59.1986,1596485
2014-03-14,59.0372,59.5729,58.5088,58.5602,1484886
2014-03-17,59.0665,60.2774,59.0665,59.7564,1319687
2014-03-18,59.9912,60.4315,59.8371,60.1086,1130116
2014-03-19,60.1746,60.2994,59.3674,59.8151,839422
2014-03-20,59.6389,59.9354,59.0739,59.7857,1707426
2014-03-21,61.7084,61.7084,59.2353,59.2353,2702846
2014-03-24,59.5509,59.716,59.0225,59.3454,1491209
2014-03-25,59.9325,60.1306,59.0592,59.6463,1775303
2014-03-26,60.1159,60.2333,59.2794,59.3014,1308345
2014-03-27,59.0886,59.2573,58.6629,59.1032,820500
2014-03-28,58.1933,59.9398,58.1933,59.4335,778947
2014-03-31,59.7784,60.0169,59.5802,59.9912,1408501
2014-04-01,60.1746,60.7463,59.9251,60.7177,798972
2014-04-02,62.2734,62.699,61.613,62.4862,1686103
2014-04-03,62.5229,63.0586,62.2,62.6624,1383157
2014-04-04,63.0366,63.0403,61.2387,61.2387,2118793
2014-04-07,61.0332,61.3048,59.9325,60.2113,1099371
2014-04-08,60.3434,60.8204,59.7564,60.4608,1051860
2014-04-09,60.5049,61.4809,60.5049,61.4075,1034602
2014-04-10,61.3268,61.679,60.1013,60.3067,1142283
2014-04-11,60.0132,60.4241,59.1619,59.2794,1169647
2014-04-14,59.9251,60.1013,59.2867,59.8518,1620269
2014-04-15,60.0646,60.4168,59.25,60.1379,1048387
2014-04-16,60.7764,61.246,60.6957,61.0406,1637824
2014-04-17,62.8605,63.3668,60.0315,62.7137,2110952
2014-04-21,62.4202,63.1834,62.0973,63.0073,2192569
2014-04-22,62.9706,63.6237,62.7431,63.2127,1276096
2014-04-23,62.9412,63.7191,62.9412,63.3668,810476
2014-04-24,63.6897,63.6897,62.7284,63.2494,1060474
2014-04-25,62.9045,63.0997,62.1707,62.3028,1196071
2014-04-28,62.8311,63.0146,61.8001,62.7284,919467
2014-04-29,62.8825,63.176,62.4202,62.8605,513621
2014-04-30,62.8531,63.4035,62.5449,63.4035,822885
2014-05-01,63.3742,63.5356,62.6697,63.1247,717410
2014-05-02,63.1247,63.5136,62.9265,63.0293,743894
2014-05-05,62.7504,63.11,62.4202,63.0073,682095
2014-05-06,62.8678,63.3008,62.4862,62.5376,711499
2014-05-07,62.9045,63.1247,62.3116,63.0806,799805
2014-05-08,63.0293,63.8732,62.7211,63.0366,526472
2014-05-09,62.9045,63.066,61.9505,62.5669,906552
2014-05-12,62.6917,64.13,62.6917,64.0126,737920
2014-05-13,64.0126,64.0199,63.4255,63.5356,803147
2014-05-14,63.5503,63.7631,63.2641,63.3888,769596
2014-05-15,63.0953,63.3081,62.2734,62.9412,844023
2014-05-16,62.8972,63.5356,62.8018,63.4109,1051891
2014-05-19,63.11,64.0053,63.0366,63.6237,769624
2014-05-20,63.5136,63.5136,62.134,62.4275,818415
2014-05-21,62.6624,63.3008,62.611,63.1981,541223
2014-05-22,63.1173,63.675,63.0439,63.1173,664817
2014-05-23,63.2568,63.9025,63.2054,63.8512,514728
2014-05-27,64.064,64.6877,63.9319,64.1887,597340
2014-05-28,64.1777,64.6199,63.9418,63.9713,446380
2014-05-29,64.1408,64.3472,63.6397,64.2514,440149
2014-05-30,64.1408,64.3103,63.8165,64.2514,577836
2014-06-02,64.3398,64.7304,63.8294,64.5241,388129
2014-06-03,64.2956,64.3988,63.8165,63.9787,576801
2014-06-04,63.8681,64.2735,63.718,63.9787,386808
2014-06-05,64.0819,64.9073,63.8165,64.8115,515766
2014-06-06,64.6715,65.4158,64.6641,65.0768,905294
2014-06-09,65.0694,65.998,64.8041,65.4969,969389
2014-06-10,65.3421,65.6369,64.782,65.6295,1065414
