date,open,high,low,close,volume
2014-01-02,12.6418,12.6418,12.4097,12.476,2550464
2014-01-03,12.4595,12.617,12.4444,12.5672,1769103
2014-01-06,12.5838,12.6418,12.3434,12.3931,4387539
2014-01-07,12.4595,12.6418,12.389,12.5589,2448638
2014-01-08,12.5092,12.617,12.3848,12.4595,3102341
2014-01-09,12.5009,12.5009,12.2605,12.4097,1662047
2014-01-10,12.5092,12.6087,12.3766,12.4512,2824112
2014-01-13,12.4512,12.5258,12.36,12.3683,1615357
2014-01-14,12.4097,12.5755,12.3848,12.4429,1349679
2014-01-15,12.476,12.5921,12.4677,12.5424,1083474
2014-01-16,12.5506,12.5921,12.4926,12.5175,1396448
2014-01-17,12.476,12.5258,12.36,12.3683,1844819
2014-01-21,12.4429,12.5755,12.4097,12.476,2479422
2014-01-22,12.5258,12.617,12.5092,12.5424,3430641
2014-01-23,12.476,12.5092,12.4014,12.4429,2778574
2014-01-24,12.418,12.4843,12.2356,12.3019,3102338
2014-01-27,12.3019,12.3848,12.0035,12.045,4144512
2014-01-28,12.0781,12.2845,12.0781,12.1942,3392459
2014-01-29,12.1196,12.1942,12.0533,12.1279,2155415
2014-01-30,12.5258,12.8739,12.476,12.7662,3983601
2014-01-31,12.7662,13.1392,12.5838,13.0232,3274571
2014-02-03,12.9734,12.99,12.6004,12.6335,4064601
2014-02-04,13.3962,13.3962,12.8988,12.9983,4525640
2014-02-05,13.0066,13.0149,12.8822,12.9734,1609960
2014-02-06,12.9817,13.247,12.9154,13.2055,1895554
2014-02-07,13.2221,13.3465,13.1309,13.2387,1759369
2014-02-10,13.2055,13.4128,13.0978,13.3796,2018311
2014-02-11,13.4128,13.5869,13.2884,13.4874,2104923
2014-02-12,13.5544,13.5921,13.3709,13.4958,2392819
2014-02-13,13.4036,13.6382,13.3952,13.5209,1779013
2014-02-14,13.4455,13.6801,13.4455,13.6298,1273635
2014-02-18,13.6717,13.7387,13.4706,13.7303,2573308
2014-02-19,13.6717,13.9816,13.6549,13.8225,2145187
2014-02-20,13.8141,13.9565,13.7219,13.8141,1327680
2014-02-21,13.8308,13.9523,13.6801,13.8811,1602189
2014-02-24,13.8895,14.0403,13.8644,13.8895,2300701
2014-02-25,13.9062,13.9733,13.8225,13.856,2207810
2014-02-26,13.9062,13.9398,13.7555,13.7638,2395246
2014-02-27,13.7387,13.9272,13.6968,13.7973,3369837
2014-02-28,13.8225,14.1743,13.8057,14.0738,3476010
2014-03-03,13.9146,14.0654,13.7848,14.057,1999181
2014-03-04,14.2078,14.2665,14.0654,14.1324,2188138
2014-03-05,14.1408,14.1827,13.99,14.1408,1429073
2014-03-06,14.1576,14.1743,13.9774,14.0654,1375497
2014-03-07,14.0235,14.0403,13.7471,13.856,1668121
2014-03-10,13.8392,13.8895,13.7303,13.8141,1855959
2014-03-11,13.8476,14.057,13.8141,13.9649,1561600
2014-03-12,13.9146,14.057,13.8895,13.99,2267821
2014-03-13,13.9984,13.9984,13.8476,13.8895,1721257
2014-03-14,13.856,14.0319,13.8476,13.9062,2035072
2014-03-17,13.9733,14.0487,13.8811,13.9146,1193320
2014-03-18,13.9314,14.0319,13.8644,14.0068,1583304
2014-03-19,14.0235,14.0738,13.6549,13.6884,1577114
2014-03-20,13.6298,13.6801,13.5125,13.6549,1649359
2014-03-21,13.6884,13.9062,13.6549,13.8225,2888987
2014-03-24,13.8811,13.923,13.5963,13.7638,1955220
2014-03-25,13.8392,13.9733,13.6717,13.8895,1997253
2014-03-26,13.9314,13.9314,13.6214,13.6298,1800428
2014-03-27,13.6549,13.8308,13.5628,13.8308,1419846
2014-03-28,13.8476,14.0235,13.8476,13.9481,1474315
2014-03-31,13.9984,14.1827,13.8392,14.1408,2055098
2014-04-01,14.1492,14.1492,13.923,14.1324,2590644
2014-04-02,14.1073,14.1157,13.9816,14.0905,1976319
2014-04-03,14.233,14.233,13.99,14.0989,2246028
2014-04-04,14.2246,14.2916,14.057,14.1743,1985123
2014-04-07,14.1743,14.3335,14.1659,14.1827,2376964
2014-04-08,14.1324,14.3502,14.0822,14.3419,2396171
2014-04-09,14.3586,14.3712,14.1953,14.3419,2022746
2014-04-10,14.3251,14.5513,14.1701,14.2413,3065243
2014-04-11,14.1994,14.3,13.9816,13.99,2122519
2014-04-14,14.0905,14.1282,13.9398,14.1157,1758212
2014-04-15,14.1157,14.3921,14.0864,14.367,3705104
2014-04-16,14.434,14.6267,14.3754,14.5848,3073520
2014-04-17,14.5094,14.5262,14.367,14.4591,1652653
2014-04-21,14.4927,14.568,14.4005,14.5094,975978
2014-04-22,14.4843,14.6183,14.4005,14.6016,1489473
2014-04-23,14.5848,14.6016,14.367,14.5094,3000747
2014-04-24,14.5513,14.5932,14.4675,14.5513,2336965
2014-04-25,14.5429,14.5513,14.3921,14.4508,1901114
2014-04-28,14.5345,14.5932,14.3837,14.5262,1460654
2014-04-29,14.5848,14.6602,14.4843,14.5513,1573454
2014-04-30,14.5429,14.6853,14.4843,14.677,2355015
2014-05-01,14.6183,14.744,14.3754,14.7021,1702647
